,"(deg C) Mean Dew Point Temperature (ERA5) at Anuradhapura, 2007-01-01 to 2025-12-31"
"2007-01-01",19.4477
"2007-01-02",18.0049
"2007-01-03",17.8532
"2007-01-04",17.8886
"2007-01-05",18.8895
"2007-01-06",19.2017
"2007-01-07",20.1695
"2007-01-08",22.5152
"2007-01-09",23.2172
"2007-01-10",22.124
"2007-01-11",22.5757
"2007-01-12",22.8745
"2007-01-13",22.1264
"2007-01-14",22.8853
"2007-01-15",22.1592
"2007-01-16",21.7628
"2007-01-17",21.1648
"2007-01-18",21.2024
"2007-01-19",20.2472
"2007-01-20",19.8677
"2007-01-21",19.3355
"2007-01-22",19.5562
"2007-01-23",19.5582
"2007-01-24",19.5898
"2007-01-25",20.3142
"2007-01-26",22.2367
"2007-01-27",23.2067
"2007-01-28",23.5781
"2007-01-29",22.6323
"2007-01-30",21.5481
"2007-01-31",21.4545
"2007-02-01",19.84
"2007-02-02",21.3826
"2007-02-03",22.1608
"2007-02-04",21.1714
"2007-02-05",19.5647
"2007-02-06",18.8483
"2007-02-07",19.9846
"2007-02-08",20.1438
"2007-02-09",21.7467
"2007-02-10",22.4237
"2007-02-11",22.3074
"2007-02-12",22.6502
"2007-02-13",22.6628
"2007-02-14",22.5356
"2007-02-15",21.9544
"2007-02-16",21.8916
"2007-02-17",22.203
"2007-02-18",22.1019
"2007-02-19",20.5739
"2007-02-20",19.5037
"2007-02-21",16.7179
"2007-02-22",17.4774
"2007-02-23",18.9068
"2007-02-24",21.6033
"2007-02-25",22.7509
"2007-02-26",23.2925
"2007-02-27",23.6953
"2007-02-28",22.7318
"2007-03-01",22.6924
"2007-03-02",22.5479
"2007-03-03",22.6715
"2007-03-04",20.514
"2007-03-05",20.398
"2007-03-06",20.3772
"2007-03-07",20.1221
"2007-03-08",19.4143
"2007-03-09",20.4479
"2007-03-10",20.7526
"2007-03-11",19.6166
"2007-03-12",22.2845
"2007-03-13",22.8769
"2007-03-14",21.8531
"2007-03-15",22.602
"2007-03-16",23.5988
"2007-03-17",22.7356
"2007-03-18",20.11
"2007-03-19",18.3458
"2007-03-20",17.3911
"2007-03-21",19.3474
"2007-03-22",18.9676
"2007-03-23",18.3679
"2007-03-24",19.8957
"2007-03-25",20.0832
"2007-03-26",19.7118
"2007-03-27",18.9994
"2007-03-28",19.9526
"2007-03-29",20.18
"2007-03-30",19.9979
"2007-03-31",22.071
"2007-04-01",23.546
"2007-04-02",23.0731
"2007-04-03",22.992
"2007-04-04",22.535
"2007-04-05",23.7412
"2007-04-06",23.8398
"2007-04-07",24.0237
"2007-04-08",23.9214
"2007-04-09",24.1785
"2007-04-10",24.0182
"2007-04-11",23.9326
"2007-04-12",24.6569
"2007-04-13",24.4164
"2007-04-14",24.2164
"2007-04-15",23.9371
"2007-04-16",23.621
"2007-04-17",23.82
"2007-04-18",24.1822
"2007-04-19",24.5601
"2007-04-20",24.3676
"2007-04-21",24.2231
"2007-04-22",24.3849
"2007-04-23",24.6143
"2007-04-24",24.4936
"2007-04-25",24.3547
"2007-04-26",23.9254
"2007-04-27",23.8693
"2007-04-28",24.3159
"2007-04-29",24.0289
"2007-04-30",24.4739
"2007-05-01",24.7767
"2007-05-02",25.3178
"2007-05-03",24.2377
"2007-05-04",24.6868
"2007-05-05",25.0849
"2007-05-06",25.1717
"2007-05-07",24.8894
"2007-05-08",25.0724
"2007-05-09",24.5998
"2007-05-10",24.8003
"2007-05-11",25.2505
"2007-05-12",24.2932
"2007-05-13",23.6801
"2007-05-14",23.866
"2007-05-15",23.5959
"2007-05-16",23.5399
"2007-05-17",22.6031
"2007-05-18",23.9919
"2007-05-19",24.2305
"2007-05-20",24.3524
"2007-05-21",24.5629
"2007-05-22",24.416
"2007-05-23",24.501
"2007-05-24",24.1951
"2007-05-25",24.2003
"2007-05-26",23.8906
"2007-05-27",24.1353
"2007-05-28",22.5694
"2007-05-29",22.5141
"2007-05-30",22.9557
"2007-05-31",22.2879
"2007-06-01",23.5507
"2007-06-02",23.8643
"2007-06-03",23.7742
"2007-06-04",23.7418
"2007-06-05",24.3971
"2007-06-06",24.8718
"2007-06-07",24.2187
"2007-06-08",23.5178
"2007-06-09",23.6462
"2007-06-10",24.2848
"2007-06-11",24.0456
"2007-06-12",23.7467
"2007-06-13",24.3529
"2007-06-14",24.2642
"2007-06-15",23.079
"2007-06-16",23.741
"2007-06-17",23.5669
"2007-06-18",23.5155
"2007-06-19",23.1831
"2007-06-20",23.1745
"2007-06-21",23.3168
"2007-06-22",23.0221
"2007-06-23",23.7696
"2007-06-24",23.6505
"2007-06-25",23.8302
"2007-06-26",23.674
"2007-06-27",23.7472
"2007-06-28",24.1146
"2007-06-29",24.0297
"2007-06-30",24.0533
"2007-07-01",23.6826
"2007-07-02",23.5874
"2007-07-03",23.6426
"2007-07-04",22.884
"2007-07-05",23.1593
"2007-07-06",22.7602
"2007-07-07",22.7102
"2007-07-08",22.6534
"2007-07-09",23.0836
"2007-07-10",22.9389
"2007-07-11",23.5372
"2007-07-12",23.4228
"2007-07-13",23.229
"2007-07-14",23.3102
"2007-07-15",22.8871
"2007-07-16",23.188
"2007-07-17",22.9309
"2007-07-18",23.2396
"2007-07-19",23.4493
"2007-07-20",22.6982
"2007-07-21",22.6836
"2007-07-22",22.8917
"2007-07-23",23.1907
"2007-07-24",23.2724
"2007-07-25",21.9328
"2007-07-26",22.7158
"2007-07-27",22.5243
"2007-07-28",22.9194
"2007-07-29",23.2501
"2007-07-30",22.9851
"2007-07-31",22.813
"2007-08-01",22.499
"2007-08-02",22.6464
"2007-08-03",22.9328
"2007-08-04",23.1347
"2007-08-05",23.2636
"2007-08-06",22.9437
"2007-08-07",22.6155
"2007-08-08",22.7566
"2007-08-09",22.8748
"2007-08-10",23.6399
"2007-08-11",23.0013
"2007-08-12",23.2382
"2007-08-13",22.9744
"2007-08-14",22.5712
"2007-08-15",22.7787
"2007-08-16",22.6385
"2007-08-17",22.6451
"2007-08-18",22.78
"2007-08-19",23.2053
"2007-08-20",22.7595
"2007-08-21",23.205
"2007-08-22",22.6438
"2007-08-23",23.2757
"2007-08-24",23.6105
"2007-08-25",23.469
"2007-08-26",23.2386
"2007-08-27",22.7046
"2007-08-28",23.1416
"2007-08-29",23.328
"2007-08-30",23.424
"2007-08-31",22.7429
"2007-09-01",22.446
"2007-09-02",23.1192
"2007-09-03",22.9079
"2007-09-04",23.3259
"2007-09-05",23.4747
"2007-09-06",23.2359
"2007-09-07",23.8127
"2007-09-08",23.6842
"2007-09-09",22.8956
"2007-09-10",23.0931
"2007-09-11",23.5071
"2007-09-12",23.304
"2007-09-13",23.4521
"2007-09-14",23.6536
"2007-09-15",23.7818
"2007-09-16",23.8536
"2007-09-17",23.961
"2007-09-18",23.5106
"2007-09-19",23.2258
"2007-09-20",23.5676
"2007-09-21",23.6269
"2007-09-22",23.2229
"2007-09-23",22.8682
"2007-09-24",23.2487
"2007-09-25",23.2664
"2007-09-26",23.2901
"2007-09-27",23.469
"2007-09-28",23.5409
"2007-09-29",22.8892
"2007-09-30",22.8097
"2007-10-01",22.1199
"2007-10-02",23.3283
"2007-10-03",23.0255
"2007-10-04",22.7582
"2007-10-05",22.7274
"2007-10-06",23.0221
"2007-10-07",23.3612
"2007-10-08",23.042
"2007-10-09",22.4842
"2007-10-10",22.7436
"2007-10-11",23.1824
"2007-10-12",23.3997
"2007-10-13",23.2083
"2007-10-14",23.7667
"2007-10-15",23.7551
"2007-10-16",23.647
"2007-10-17",23.5936
"2007-10-18",23.5064
"2007-10-19",23.7193
"2007-10-20",22.8327
"2007-10-21",23.4607
"2007-10-22",23.254
"2007-10-23",23.5361
"2007-10-24",23.9534
"2007-10-25",23.8254
"2007-10-26",23.3865
"2007-10-27",23.7077
"2007-10-28",23.8355
"2007-10-29",23.5909
"2007-10-30",23.4501
"2007-10-31",23.8941
"2007-11-01",24.0084
"2007-11-02",23.4308
"2007-11-03",23.3158
"2007-11-04",23.4359
"2007-11-05",24.044
"2007-11-06",23.4695
"2007-11-07",23.471
"2007-11-08",23.5742
"2007-11-09",23.4213
"2007-11-10",22.9851
"2007-11-11",23.4279
"2007-11-12",23.5672
"2007-11-13",22.6372
"2007-11-14",20.0957
"2007-11-15",20.4674
"2007-11-16",18.3176
"2007-11-17",18.6765
"2007-11-18",22.2855
"2007-11-19",23.611
"2007-11-20",23.4942
"2007-11-21",23.3902
"2007-11-22",23.4249
"2007-11-23",21.9708
"2007-11-24",21.9652
"2007-11-25",19.6689
"2007-11-26",21.3367
"2007-11-27",22.9922
"2007-11-28",23.2313
"2007-11-29",22.3663
"2007-11-30",20.6022
"2007-12-01",21.762
"2007-12-02",21.8351
"2007-12-03",20.5286
"2007-12-04",22.3529
"2007-12-05",21.2115
"2007-12-06",21.2526
"2007-12-07",22.0948
"2007-12-08",23.18
"2007-12-09",22.9708
"2007-12-10",22.2259
"2007-12-11",21.5997
"2007-12-12",22.5082
"2007-12-13",23.324
"2007-12-14",23.6292
"2007-12-15",23.4336
"2007-12-16",22.3527
"2007-12-17",23.3744
"2007-12-18",23.8549
"2007-12-19",23.632
"2007-12-20",23.6491
"2007-12-21",23.6972
"2007-12-22",23.2258
"2007-12-23",22.6033
"2007-12-24",20.5602
"2007-12-25",19.8486
"2007-12-26",20.2006
"2007-12-27",20.5588
"2007-12-28",20.4482
"2007-12-29",20.2909
"2007-12-30",20.9109
"2007-12-31",19.6928
"2008-01-01",19.4106
"2008-01-02",20.6764
"2008-01-03",22.7685
"2008-01-04",23.094
"2008-01-05",22.8464
"2008-01-06",21.8881
"2008-01-07",20.9665
"2008-01-08",21.3961
"2008-01-09",22.3941
"2008-01-10",22.744
"2008-01-11",22.5238
"2008-01-12",22.4021
"2008-01-13",21.8993
"2008-01-14",20.4609
"2008-01-15",19.9495
"2008-01-16",20.1642
"2008-01-17",19.545
"2008-01-18",18.5637
"2008-01-19",18.4129
"2008-01-20",21.4389
"2008-01-21",23.2863
"2008-01-22",22.8213
"2008-01-23",20.3981
"2008-01-24",21.6314
"2008-01-25",22.433
"2008-01-26",22.3297
"2008-01-27",22.2359
"2008-01-28",21.8775
"2008-01-29",22.2668
"2008-01-30",21.4611
"2008-01-31",21.7858
"2008-02-01",21.8947
"2008-02-02",21.474
"2008-02-03",20.7707
"2008-02-04",21.0947
"2008-02-05",21.4037
"2008-02-06",23.3653
"2008-02-07",23.3195
"2008-02-08",23.4871
"2008-02-09",23.6686
"2008-02-10",23.6401
"2008-02-11",23.2881
"2008-02-12",23.4129
"2008-02-13",23.0837
"2008-02-14",22.8924
"2008-02-15",22.2565
"2008-02-16",21.6411
"2008-02-17",20.2056
"2008-02-18",19.9766
"2008-02-19",19.7587
"2008-02-20",21.8605
"2008-02-21",22.5709
"2008-02-22",20.1684
"2008-02-23",17.3908
"2008-02-24",17.6672
"2008-02-25",17.3893
"2008-02-26",20.7443
"2008-02-27",23.0648
"2008-02-28",22.6317
"2008-02-29",23.0623
"2008-03-01",21.9374
"2008-03-02",23.1288
"2008-03-03",22.322
"2008-03-04",22.5815
"2008-03-05",23.2163
"2008-03-06",22.7303
"2008-03-07",21.0323
"2008-03-08",20.2174
"2008-03-09",22.6626
"2008-03-10",22.9393
"2008-03-11",23.5016
"2008-03-12",23.4089
"2008-03-13",23.1119
"2008-03-14",23.398
"2008-03-15",23.2719
"2008-03-16",23.8495
"2008-03-17",23.7858
"2008-03-18",23.7331
"2008-03-19",23.4599
"2008-03-20",23.6249
"2008-03-21",23.6941
"2008-03-22",23.5012
"2008-03-23",23.8968
"2008-03-24",23.702
"2008-03-25",23.4317
"2008-03-26",23.3387
"2008-03-27",23.5453
"2008-03-28",23.4381
"2008-03-29",23.6961
"2008-03-30",23.7081
"2008-03-31",24.0667
