,"(deg C) Mean Dew Point Temperature (ERA5) at Ampara, 2007-01-01 to 2025-12-31"
"2007-01-01",19.2613
"2007-01-02",19.3846
"2007-01-03",18.326
"2007-01-04",17.8798
"2007-01-05",19.2651
"2007-01-06",19.3756
"2007-01-07",20.7575
"2007-01-08",22.8123
"2007-01-09",23.1199
"2007-01-10",23.2494
"2007-01-11",23.125
"2007-01-12",22.8265
"2007-01-13",23.1037
"2007-01-14",23.0131
"2007-01-15",22.2894
"2007-01-16",22.2808
"2007-01-17",21.4447
"2007-01-18",21.9697
"2007-01-19",20.8478
"2007-01-20",20.5602
"2007-01-21",19.6123
"2007-01-22",19.4226
"2007-01-23",19.3783
"2007-01-24",19.6435
"2007-01-25",21.6367
"2007-01-26",22.9392
"2007-01-27",22.848
"2007-01-28",23.5176
"2007-01-29",23.2184
"2007-01-30",21.6966
"2007-01-31",21.8525
"2007-02-01",20.3496
"2007-02-02",21.3186
"2007-02-03",21.9407
"2007-02-04",21.228
"2007-02-05",19.8437
"2007-02-06",19.0949
"2007-02-07",20.6513
"2007-02-08",20.2783
"2007-02-09",21.5555
"2007-02-10",22.1616
"2007-02-11",22.5508
"2007-02-12",22.8295
"2007-02-13",22.8099
"2007-02-14",22.391
"2007-02-15",22.4562
"2007-02-16",22.4635
"2007-02-17",22.2684
"2007-02-18",21.7923
"2007-02-19",20.7765
"2007-02-20",20.5556
"2007-02-21",18.3442
"2007-02-22",19.0055
"2007-02-23",20.6937
"2007-02-24",22.3929
"2007-02-25",21.9372
"2007-02-26",22.707
"2007-02-27",23.3342
"2007-02-28",23.1007
"2007-03-01",22.6417
"2007-03-02",21.9997
"2007-03-03",22.0352
"2007-03-04",21.1585
"2007-03-05",20.4019
"2007-03-06",20.0042
"2007-03-07",20.1528
"2007-03-08",20.2398
"2007-03-09",20.3599
"2007-03-10",20.6159
"2007-03-11",20.4459
"2007-03-12",22.7285
"2007-03-13",23.2087
"2007-03-14",22.6762
"2007-03-15",23.0165
"2007-03-16",23.559
"2007-03-17",23.0161
"2007-03-18",20.8441
"2007-03-19",19.6428
"2007-03-20",18.783
"2007-03-21",19.7095
"2007-03-22",19.7895
"2007-03-23",19.2229
"2007-03-24",20.4455
"2007-03-25",20.8188
"2007-03-26",20.1904
"2007-03-27",20.5841
"2007-03-28",20.649
"2007-03-29",20.951
"2007-03-30",20.6052
"2007-03-31",22.459
"2007-04-01",23.3225
"2007-04-02",22.9329
"2007-04-03",23.2913
"2007-04-04",23.287
"2007-04-05",23.6561
"2007-04-06",24.0569
"2007-04-07",24.0815
"2007-04-08",23.6033
"2007-04-09",23.8375
"2007-04-10",23.8224
"2007-04-11",24.2062
"2007-04-12",24.2288
"2007-04-13",24.0897
"2007-04-14",23.9651
"2007-04-15",23.752
