,"(deg C) Mean Dew Point Temperature (ERA5) at Badulla, 2007-01-01 to 2025-12-31"
"2007-01-01",16.4513
"2007-01-02",17.7948
"2007-01-03",17.1033
"2007-01-04",16.1454
"2007-01-05",16.6066
"2007-01-06",16.8874
"2007-01-07",18.0958
"2007-01-08",20.124
"2007-01-09",20.4601
"2007-01-10",20.8184
"2007-01-11",20.5217
"2007-01-12",20.3192
"2007-01-13",20.3607
"2007-01-14",20.5002
"2007-01-15",19.7796
"2007-01-16",19.6656
"2007-01-17",18.9275
"2007-01-18",19.4278
"2007-01-19",18.2494
"2007-01-20",17.9593
"2007-01-21",16.3407
"2007-01-22",15.8201
"2007-01-23",15.3234
"2007-01-24",16.6917
"2007-01-25",19.1028
"2007-01-26",20.1967
"2007-01-27",20.6498
"2007-01-28",20.5754
"2007-01-29",20.0448
"2007-01-30",18.9725
"2007-01-31",19.1121
"2007-02-01",17.6593
"2007-02-02",18.3337
"2007-02-03",19.0422
"2007-02-04",18.6611
"2007-02-05",17.3103
"2007-02-06",16.1241
"2007-02-07",17.8332
"2007-02-08",16.9478
"2007-02-09",18.0434
"2007-02-10",18.5457
"2007-02-11",19.4383
"2007-02-12",20.0224
"2007-02-13",19.4702
"2007-02-14",18.822
"2007-02-15",18.9106
"2007-02-16",18.7451
"2007-02-17",19.053
"2007-02-18",18.9762
"2007-02-19",17.8276
"2007-02-20",17.7436
"2007-02-21",15.8043
"2007-02-22",16.7766
"2007-02-23",18.1724
"2007-02-24",19.9611
"2007-02-25",19.4711
"2007-02-26",20.0825
"2007-02-27",20.2461
"2007-02-28",19.9633
"2007-03-01",19.6493
"2007-03-02",19.8343
"2007-03-03",19.1255
"2007-03-04",17.2436
"2007-03-05",16.8049
"2007-03-06",16.7954
"2007-03-07",17.2423
"2007-03-08",16.3584
"2007-03-09",15.5585
"2007-03-10",16.6484
"2007-03-11",16.1581
"2007-03-12",19.105
"2007-03-13",20.6483
"2007-03-14",19.8744
"2007-03-15",19.2467
"2007-03-16",20.645
"2007-03-17",20.1935
"2007-03-18",16.7791
"2007-03-19",13.4087
"2007-03-20",13.4877
"2007-03-21",14.6111
"2007-03-22",15.9943
"2007-03-23",15.7664
"2007-03-24",17.1063
"2007-03-25",15.0569
"2007-03-26",14.2703
"2007-03-27",14.1063
"2007-03-28",13.7436
"2007-03-29",14.3584
"2007-03-30",18.2992
"2007-03-31",18.8067
"2007-04-01",20.3974
"2007-04-02",19.5726
"2007-04-03",19.7423
"2007-04-04",19.8909
"2007-04-05",20.6838
"2007-04-06",20.9541
"2007-04-07",21.1428
