,"(deg C) Mean Dew Point Temperature (ERA5) at Batticaloa, 2007-01-01 to 2025-12-31"
"2007-01-01",19.708
"2007-01-02",18.8842
"2007-01-03",18.3174
"2007-01-04",18.3209
"2007-01-05",19.3351
"2007-01-06",19.7108
"2007-01-07",20.9548
"2007-01-08",23.2421
"2007-01-09",23.7049
"2007-01-10",23.4537
"2007-01-11",23.5295
"2007-01-12",23.1115
"2007-01-13",23.2281
"2007-01-14",23.0786
"2007-01-15",22.4547
"2007-01-16",22.3466
"2007-01-17",21.6022
"2007-01-18",22.0658
"2007-01-19",21.1112
"2007-01-20",20.7119
"2007-01-21",19.7826
"2007-01-22",19.9326
"2007-01-23",19.9425
"2007-01-24",19.8961
"2007-01-25",21.7639
"2007-01-26",23.236
"2007-01-27",23.2328
"2007-01-28",23.9839
"2007-01-29",23.4942
"2007-01-30",22.0551
"2007-01-31",22.1928
"2007-02-01",20.1913
"2007-02-02",21.8793
"2007-02-03",22.4928
"2007-02-04",21.7407
"2007-02-05",20.0749
"2007-02-06",19.4736
"2007-02-07",20.8437
"2007-02-08",20.8785
"2007-02-09",22.312
"2007-02-10",23.2165
"2007-02-11",22.8699
"2007-02-12",23.2601
"2007-02-13",23.2631
"2007-02-14",23.0245
"2007-02-15",22.9795
"2007-02-16",22.9922
"2007-02-17",22.7927
"2007-02-18",22.4849
"2007-02-19",21.2364
"2007-02-20",20.6952
"2007-02-21",18.1638
"2007-02-22",18.9972
"2007-02-23",20.8242
"2007-02-24",22.7159
"2007-02-25",22.7019
"2007-02-26",23.205
"2007-02-27",23.904
"2007-02-28",23.4003
"2007-03-01",23.124
"2007-03-02",22.7227
"2007-03-03",22.6423
"2007-03-04",21.8564
"2007-03-05",21.3125
"2007-03-06",20.9934
"2007-03-07",20.8481
"2007-03-08",20.9465
"2007-03-09",21.2282
"2007-03-10",21.4104
"2007-03-11",21.2403
"2007-03-12",23.4499
"2007-03-13",23.4174
"2007-03-14",22.9449
"2007-03-15",23.5138
"2007-03-16",23.9538
"2007-03-17",23.4643
"2007-03-18",21.6746
"2007-03-19",20.6269
"2007-03-20",19.8709
"2007-03-21",20.3382
"2007-03-22",20.2943
"2007-03-23",20.1712
"2007-03-24",21.1199
"2007-03-25",21.5181
"2007-03-26",21.1068
"2007-03-27",21.5019
"2007-03-28",21.7831
"2007-03-29",21.9006
"2007-03-30",21.4106
"2007-03-31",23.4253
"2007-04-01",23.9116
"2007-04-02",23.5011
"2007-04-03",23.926
"2007-04-04",23.8369
"2007-04-05",24.3059
"2007-04-06",24.3856
"2007-04-07",24.4747
"2007-04-08",23.9277
"2007-04-09",24.221
"2007-04-10",24.2868
"2007-04-11",24.4574
"2007-04-12",24.5512
"2007-04-13",24.6855
"2007-04-14",24.3559
"2007-04-15",24.2422
"2007-04-16",23.9576
"2007-04-17",24.2293
"2007-04-18",24.7048
"2007-04-19",24.7933
"2007-04-20",24.0833
"2007-04-21",24.2512
"2007-04-22",24.4311
"2007-04-23",24.6517
"2007-04-24",25.0139
"2007-04-25",24.8292
"2007-04-26",24.4346
"2007-04-27",24.1584
"2007-04-28",24.3668
"2007-04-29",24.1989
"2007-04-30",24.5283
"2007-05-01",24.7693
"2007-05-02",24.8645
"2007-05-03",23.942
"2007-05-04",24.3962
"2007-05-05",24.8707
"2007-05-06",25.1447
"2007-05-07",24.641
"2007-05-08",24.5115
"2007-05-09",23.9351
"2007-05-10",24.0885
"2007-05-11",24.3737
"2007-05-12",23.7412
"2007-05-13",22.2463
"2007-05-14",21.7266
"2007-05-15",20.4801
"2007-05-16",20.661
"2007-05-17",20.9114
"2007-05-18",22.9132
"2007-05-19",23.6626
"2007-05-20",23.8218
"2007-05-21",24.3988
"2007-05-22",24.66
"2007-05-23",25.1281
"2007-05-24",24.7296
"2007-05-25",24.7435
"2007-05-26",23.9104
"2007-05-27",23.9494
"2007-05-28",22.3868
"2007-05-29",22.1164
"2007-05-30",22.8256
"2007-05-31",22.471
"2007-06-01",23.0989
"2007-06-02",23.5254
"2007-06-03",23.4343
"2007-06-04",23.65
"2007-06-05",24.1595
"2007-06-06",24.3184
"2007-06-07",24.1684
"2007-06-08",23.3617
"2007-06-09",22.7487
"2007-06-10",23.4389
"2007-06-11",23.4077
"2007-06-12",22.9613
"2007-06-13",23.6669
"2007-06-14",22.5811
"2007-06-15",22.9948
"2007-06-16",23.1923
"2007-06-17",22.4731
"2007-06-18",21.9429
"2007-06-19",22.0639
"2007-06-20",22.0942
"2007-06-21",22.346
"2007-06-22",22.025
"2007-06-23",23.2513
"2007-06-24",23.7794
"2007-06-25",24.1081
"2007-06-26",23.2918
"2007-06-27",23.2262
"2007-06-28",22.5564
"2007-06-29",22.5393
"2007-06-30",22.8886
"2007-07-01",22.8928
"2007-07-02",22.9168
"2007-07-03",22.8338
"2007-07-04",21.4399
"2007-07-05",21.8023
"2007-07-06",21.5978
"2007-07-07",21.0855
"2007-07-08",21.0832
"2007-07-09",21.5365
"2007-07-10",21.0423
"2007-07-11",21.77
"2007-07-12",22.1015
"2007-07-13",21.7937
"2007-07-14",21.7628
"2007-07-15",21.3285
"2007-07-16",22.0156
"2007-07-17",22.443
"2007-07-18",23.0987
"2007-07-19",23.0855
"2007-07-20",21.9023
"2007-07-21",21.4062
"2007-07-22",21.8827
"2007-07-23",23.2457
"2007-07-24",23.1841
"2007-07-25",21.994
"2007-07-26",21.9012
"2007-07-27",21.3893
"2007-07-28",21.8652
"2007-07-29",22.4264
"2007-07-30",22.3769
"2007-07-31",21.8599
"2007-08-01",21.1728
"2007-08-02",21.399
"2007-08-03",21.5617
"2007-08-04",21.4065
"2007-08-05",21.1858
"2007-08-06",20.6465
"2007-08-07",20.8351
"2007-08-08",21.0619
"2007-08-09",21.4005
"2007-08-10",21.9991
"2007-08-11",21.4918
"2007-08-12",21.5524
"2007-08-13",21.1815
"2007-08-14",20.891
"2007-08-15",21.5372
"2007-08-16",21.2158
"2007-08-17",21.0527
"2007-08-18",21.3156
"2007-08-19",21.693
"2007-08-20",21.152
"2007-08-21",21.4838
"2007-08-22",20.692
"2007-08-23",22.3979
"2007-08-24",22.6786
"2007-08-25",22.5305
"2007-08-26",21.9238
"2007-08-27",21.3459
"2007-08-28",21.8953
"2007-08-29",22.4273
"2007-08-30",22.3463
"2007-08-31",21.8387
"2007-09-01",21.1117
"2007-09-02",21.742
"2007-09-03",21.7743
"2007-09-04",22.3346
"2007-09-05",22.7305
"2007-09-06",22.2199
"2007-09-07",23.499
"2007-09-08",24.1683
"2007-09-09",23.0822
"2007-09-10",23.2654
"2007-09-11",23.5812
"2007-09-12",23.4635
"2007-09-13",22.5985
"2007-09-14",22.2188
"2007-09-15",22.3536
"2007-09-16",22.7004
"2007-09-17",22.4872
"2007-09-18",21.9591
"2007-09-19",22.0303
"2007-09-20",22.116
"2007-09-21",21.8676
"2007-09-22",21.6405
"2007-09-23",21.9526
"2007-09-24",21.7099
"2007-09-25",21.9802
"2007-09-26",22.6495
"2007-09-27",22.9468
"2007-09-28",22.8487
"2007-09-29",21.79
"2007-09-30",20.6654
"2007-10-01",20.5402
"2007-10-02",21.6626
"2007-10-03",21.5562
"2007-10-04",21.3811
"2007-10-05",21.1842
"2007-10-06",20.8269
"2007-10-07",21.1377
"2007-10-08",21.3907
"2007-10-09",21.2487
"2007-10-10",22.7624
"2007-10-11",23.6056
"2007-10-12",23.5756
"2007-10-13",23.6403
"2007-10-14",23.7745
"2007-10-15",23.9814
"2007-10-16",23.7764
"2007-10-17",23.8498
"2007-10-18",23.5136
"2007-10-19",23.5433
"2007-10-20",22.2636
"2007-10-21",22.4997
"2007-10-22",22.77
"2007-10-23",23.3891
"2007-10-24",24.0031
"2007-10-25",23.9895
"2007-10-26",23.3715
"2007-10-27",23.4602
"2007-10-28",22.8037
"2007-10-29",22.3448
"2007-10-30",22.662
"2007-10-31",23.6317
"2007-11-01",23.7064
"2007-11-02",23.5552
"2007-11-03",23.7675
"2007-11-04",23.5481
"2007-11-05",23.9747
"2007-11-06",23.5313
"2007-11-07",23.5306
"2007-11-08",23.4628
"2007-11-09",22.7179
"2007-11-10",22.7011
"2007-11-11",23.1387
"2007-11-12",23.6568
"2007-11-13",23.2368
"2007-11-14",21.1002
"2007-11-15",21.0536
"2007-11-16",19.829
"2007-11-17",19.7052
"2007-11-18",22.7421
"2007-11-19",23.5897
"2007-11-20",23.4069
"2007-11-21",23.6705
"2007-11-22",23.6586
"2007-11-23",23.7522
"2007-11-24",23.5656
"2007-11-25",20.8757
"2007-11-26",21.2217
"2007-11-27",23.0366
"2007-11-28",23.167
"2007-11-29",22.4764
"2007-11-30",21.1662
"2007-12-01",22.1706
"2007-12-02",22.133
"2007-12-03",21.0777
"2007-12-04",23.0128
"2007-12-05",22.1394
"2007-12-06",22.073
