,"(deg C) Mean Dew Point Temperature (ERA5) at Galle, 2007-01-01 to 2025-12-31"
"2007-01-01",20.5889
"2007-01-02",21.2154
"2007-01-03",20.7012
"2007-01-04",20.0883
"2007-01-05",20.0611
"2007-01-06",20.6343
"2007-01-07",21.1803
"2007-01-08",22.4293
"2007-01-09",23.3926
"2007-01-10",23.481
"2007-01-11",23.2853
"2007-01-12",23.1188
"2007-01-13",23.1692
"2007-01-14",23.564
"2007-01-15",23.214
"2007-01-16",22.8771
"2007-01-17",23.2379
"2007-01-18",23.3571
"2007-01-19",22.6443
"2007-01-20",22.4071
"2007-01-21",21.6093
"2007-01-22",21.0533
"2007-01-23",21.3703
"2007-01-24",21.2888
"2007-01-25",21.738
"2007-01-26",22.5658
"2007-01-27",23.2027
"2007-01-28",23.4651
"2007-01-29",23.0983
"2007-01-30",22.7306
"2007-01-31",22.9174
"2007-02-01",22.2476
"2007-02-02",21.4185
"2007-02-03",22.0922
"2007-02-04",22.0048
"2007-02-05",21.4912
"2007-02-06",21.3163
"2007-02-07",21.2471
"2007-02-08",21.5712
"2007-02-09",21.6124
"2007-02-10",21.8188
"2007-02-11",22.4479
"2007-02-12",23.0078
"2007-02-13",22.858
"2007-02-14",22.3344
"2007-02-15",22.1398
"2007-02-16",21.4601
"2007-02-17",21.5431
"2007-02-18",21.7835
"2007-02-19",21.4857
"2007-02-20",21.4724
"2007-02-21",20.7746
"2007-02-22",20.7163
"2007-02-23",21.3877
"2007-02-24",22.4349
"2007-02-25",22.1934
"2007-02-26",23.3914
"2007-02-27",23.6175
"2007-02-28",23.3571
"2007-03-01",23.4628
"2007-03-02",23.3114
"2007-03-03",22.9272
"2007-03-04",21.8733
"2007-03-05",22.6717
"2007-03-06",22.8007
"2007-03-07",22.4802
"2007-03-08",22.3407
"2007-03-09",21.7363
"2007-03-10",22.3131
"2007-03-11",22.3707
"2007-03-12",22.4807
"2007-03-13",23.5059
"2007-03-14",23.5948
"2007-03-15",23.6588
"2007-03-16",23.5905
"2007-03-17",23.4896
"2007-03-18",22.8047
"2007-03-19",22.3325
"2007-03-20",22.6385
"2007-03-21",22.7912
"2007-03-22",22.7272
"2007-03-23",22.7747
"2007-03-24",22.6637
"2007-03-25",22.9976
"2007-03-26",23.5514
"2007-03-27",22.3433
"2007-03-28",22.6013
"2007-03-29",23.0615
"2007-03-30",23.1135
"2007-03-31",22.8858
"2007-04-01",23.516
"2007-04-02",23.7798
"2007-04-03",24.2674
"2007-04-04",24.0416
"2007-04-05",24.0138
"2007-04-06",24.1757
"2007-04-07",23.8274
"2007-04-08",23.7078
"2007-04-09",23.7016
"2007-04-10",23.8195
"2007-04-11",23.8343
"2007-04-12",24.2333
"2007-04-13",24.7024
"2007-04-14",24.4537
"2007-04-15",24.3206
"2007-04-16",24.0491
"2007-04-17",23.8367
"2007-04-18",24.3313
"2007-04-19",24.5445
"2007-04-20",24.0571
"2007-04-21",23.5491
"2007-04-22",24.2765
"2007-04-23",24.4519
"2007-04-24",24.389
"2007-04-25",24.4467
"2007-04-26",24.2949
"2007-04-27",24.2056
"2007-04-28",24.1
"2007-04-29",24.1586
"2007-04-30",24.2357
"2007-05-01",24.8798
"2007-05-02",25.4675
"2007-05-03",24.3859
"2007-05-04",24.7046
"2007-05-05",25.2572
"2007-05-06",25.2833
"2007-05-07",25.2052
"2007-05-08",25.2373
"2007-05-09",24.9024
"2007-05-10",25.251
"2007-05-11",25.2709
"2007-05-12",25.132
"2007-05-13",25.2796
"2007-05-14",24.913
"2007-05-15",25.1243
"2007-05-16",24.4628
"2007-05-17",24.0707
"2007-05-18",24.6687
"2007-05-19",25.0275
"2007-05-20",25.1138
"2007-05-21",25.1944
"2007-05-22",25.0183
"2007-05-23",24.9104
"2007-05-24",25.0284
"2007-05-25",24.9652
"2007-05-26",25.0792
"2007-05-27",24.5543
"2007-05-28",23.7867
"2007-05-29",23.9679
"2007-05-30",24.3226
"2007-05-31",24.3207
"2007-06-01",24.3631
"2007-06-02",24.6733
"2007-06-03",24.7848
"2007-06-04",24.6451
"2007-06-05",24.9605
"2007-06-06",25.0714
"2007-06-07",24.573
"2007-06-08",24.2372
"2007-06-09",24.5576
"2007-06-10",24.7004
"2007-06-11",24.6004
"2007-06-12",24.3992
"2007-06-13",24.5525
"2007-06-14",24.1644
"2007-06-15",24.0731
"2007-06-16",24.1036
"2007-06-17",24.0839
"2007-06-18",23.8505
"2007-06-19",23.9409
"2007-06-20",23.8539
"2007-06-21",23.75
"2007-06-22",23.6219
"2007-06-23",23.8038
"2007-06-24",24.3973
"2007-06-25",24.7751
"2007-06-26",24.5173
"2007-06-27",24.6849
"2007-06-28",24.4846
"2007-06-29",24.7317
"2007-06-30",24.6204
"2007-07-01",24.3105
"2007-07-02",24.2566
"2007-07-03",24.4509
"2007-07-04",24.451
"2007-07-05",24.4918
"2007-07-06",24.7529
"2007-07-07",24.53
"2007-07-08",24.4104
"2007-07-09",24.6043
"2007-07-10",24.1805
"2007-07-11",23.9319
"2007-07-12",24.3536
"2007-07-13",24.5605
"2007-07-14",24.4202
"2007-07-15",24.5796
"2007-07-16",24.1431
"2007-07-17",23.8159
"2007-07-18",23.6013
"2007-07-19",23.4711
"2007-07-20",23.4347
"2007-07-21",23.3442
