,"(deg C) Mean Dew Point Temperature (ERA5) at Gampaha, 2007-01-01 to 2025-12-31"
"2007-01-01",19.3091
"2007-01-02",19.5803
"2007-01-03",18.2173
"2007-01-04",17.738
"2007-01-05",18.7472
"2007-01-06",19.2962
"2007-01-07",20.2612
"2007-01-08",22.3332
"2007-01-09",22.7249
"2007-01-10",22.8883
"2007-01-11",23.0828
"2007-01-12",22.6682
"2007-01-13",22.6373
"2007-01-14",22.9441
"2007-01-15",22.0438
"2007-01-16",22.0518
"2007-01-17",21.2827
"2007-01-18",21.6733
"2007-01-19",20.6151
"2007-01-20",20.1183
"2007-01-21",18.7948
"2007-01-22",18.7567
"2007-01-23",18.4194
"2007-01-24",19.202
"2007-01-25",20.7265
"2007-01-26",22.355
"2007-01-27",23.5832
"2007-01-28",23.3972
"2007-01-29",22.5515
"2007-01-30",21.6417
"2007-01-31",21.5313
"2007-02-01",19.9462
"2007-02-02",20.9466
"2007-02-03",21.4953
"2007-02-04",21.0056
"2007-02-05",19.4733
"2007-02-06",18.3754
"2007-02-07",20.0126
"2007-02-08",19.9183
"2007-02-09",20.1644
"2007-02-10",20.811
"2007-02-11",22.3024
"2007-02-12",23.3577
"2007-02-13",23.4672
"2007-02-14",23.0022
"2007-02-15",22.4514
"2007-02-16",21.6428
"2007-02-17",21.727
"2007-02-18",22.2622
"2007-02-19",20.6051
"2007-02-20",19.6551
"2007-02-21",17.4474
"2007-02-22",18.1984
"2007-02-23",19.791
"2007-02-24",21.7087
"2007-02-25",21.4145
"2007-02-26",22.5922
"2007-02-27",23.443
"2007-02-28",22.4004
"2007-03-01",23.4963
"2007-03-02",23.3995
"2007-03-03",23.1764
"2007-03-04",20.7313
"2007-03-05",19.4888
"2007-03-06",20.0922
"2007-03-07",22.488
"2007-03-08",22.2758
"2007-03-09",21.301
"2007-03-10",20.1316
"2007-03-11",21.4294
"2007-03-12",22.474
"2007-03-13",23.1368
"2007-03-14",23.4412
"2007-03-15",23.7617
"2007-03-16",23.6822
"2007-03-17",24.0676
"2007-03-18",23.0283
"2007-03-19",23.0828
"2007-03-20",22.7036
"2007-03-21",23.501
"2007-03-22",23.6189
"2007-03-23",23.1186
"2007-03-24",22.982
"2007-03-25",23.7341
"2007-03-26",24.1135
"2007-03-27",23.1875
"2007-03-28",22.9336
"2007-03-29",22.8382
"2007-03-30",23.2476
"2007-03-31",23.8463
"2007-04-01",23.986
"2007-04-02",24.2418
"2007-04-03",25.0932
"2007-04-04",24.4839
"2007-04-05",24.6735
"2007-04-06",24.8032
"2007-04-07",24.407
"2007-04-08",24.2868
"2007-04-09",24.4538
"2007-04-10",24.2846
"2007-04-11",24.2268
"2007-04-12",24.762
"2007-04-13",25.1761
"2007-04-14",24.7402
"2007-04-15",24.8663
"2007-04-16",24.6123
"2007-04-17",24.5732
"2007-04-18",25.0848
"2007-04-19",25.0961
"2007-04-20",25.0002
"2007-04-21",24.4203
"2007-04-22",24.779
"2007-04-23",25.1492
"2007-04-24",25.1071
"2007-04-25",25.0457
"2007-04-26",24.756
"2007-04-27",24.6529
"2007-04-28",24.7544
"2007-04-29",24.8486
"2007-04-30",25.1387
"2007-05-01",25.8531
"2007-05-02",26.2923
"2007-05-03",24.7837
"2007-05-04",25.1732
"2007-05-05",26.049
"2007-05-06",25.9116
"2007-05-07",25.9984
"2007-05-08",25.9517
"2007-05-09",25.3871
"2007-05-10",25.8282
"2007-05-11",25.9668
"2007-05-12",25.7134
"2007-05-13",24.8798
"2007-05-14",24.5225
"2007-05-15",24.3638
"2007-05-16",24.3533
"2007-05-17",24.3842
"2007-05-18",25.4387
"2007-05-19",25.5169
"2007-05-20",25.6677
"2007-05-21",25.9796
"2007-05-22",25.6618
"2007-05-23",25.7094
"2007-05-24",25.3738
