,"(deg C) Mean Dew Point Temperature (ERA5) at Hambantota, 2007-01-01 to 2025-12-31"
"2007-01-01",18.788
"2007-01-02",20.1121
"2007-01-03",20.0694
"2007-01-04",19.1803
"2007-01-05",19.7261
"2007-01-06",19.1074
"2007-01-07",20.0819
"2007-01-08",21.9787
"2007-01-09",22.4743
"2007-01-10",22.8383
"2007-01-11",22.7176
"2007-01-12",22.307
"2007-01-13",22.2319
"2007-01-14",22.5222
"2007-01-15",21.6644
"2007-01-16",21.7866
"2007-01-17",21.4332
"2007-01-18",21.8799
"2007-01-19",21.0556
"2007-01-20",20.7262
"2007-01-21",19.2787
"2007-01-22",18.8437
"2007-01-23",18.3864
"2007-01-24",19.065
"2007-01-25",20.9031
"2007-01-26",22.4321
"2007-01-27",22.6298
"2007-01-28",22.5568
"2007-01-29",21.993
"2007-01-30",20.7793
"2007-01-31",21.0265
"2007-02-01",19.9407
"2007-02-02",20.2943
"2007-02-03",21.0889
"2007-02-04",20.7201
"2007-02-05",19.9533
"2007-02-06",19.3179
"2007-02-07",19.9973
"2007-02-08",19.5349
"2007-02-09",20.0237
"2007-02-10",20.6835
"2007-02-11",21.4641
"2007-02-12",21.8018
"2007-02-13",22.2196
"2007-02-14",21.7254
"2007-02-15",21.7256
"2007-02-16",21.4418
"2007-02-17",21.414
"2007-02-18",20.934
"2007-02-19",19.8504
"2007-02-20",19.5832
"2007-02-21",18.3707
"2007-02-22",18.6964
"2007-02-23",19.5829
"2007-02-24",21.6748
"2007-02-25",22.2244
"2007-02-26",22.5121
"2007-02-27",22.8572
"2007-02-28",22.5788
"2007-03-01",22.3881
"2007-03-02",22.2137
"2007-03-03",21.7534
"2007-03-04",20.2299
"2007-03-05",19.9257
"2007-03-06",19.8122
"2007-03-07",20.4033
"2007-03-08",20.0661
"2007-03-09",19.3672
"2007-03-10",19.912
"2007-03-11",20.0667
"2007-03-12",21.7295
"2007-03-13",22.5978
"2007-03-14",22.3822
"2007-03-15",21.7531
"2007-03-16",22.9191
"2007-03-17",22.5198
"2007-03-18",20.1869
"2007-03-19",20.0667
"2007-03-20",20.1258
"2007-03-21",21.4368
"2007-03-22",21.3986
"2007-03-23",21.2249
"2007-03-24",21.5401
"2007-03-25",21.6199
"2007-03-26",21.4311
"2007-03-27",20.6159
"2007-03-28",20.2788
"2007-03-29",21.1276
"2007-03-30",21.762
"2007-03-31",21.6874
"2007-04-01",23.0639
"2007-04-02",23.1093
"2007-04-03",23.4805
"2007-04-04",23.4432
"2007-04-05",23.1327
"2007-04-06",23.679
"2007-04-07",23.4857
"2007-04-08",23.2877
"2007-04-09",23.5841
"2007-04-10",23.4608
"2007-04-11",23.6883
"2007-04-12",23.8992
"2007-04-13",23.8639
"2007-04-14",23.9875
"2007-04-15",23.8675
"2007-04-16",23.3677
"2007-04-17",23.4922
"2007-04-18",23.6984
"2007-04-19",24.2551
"2007-04-20",23.2824
"2007-04-21",23.1939
"2007-04-22",23.7106
"2007-04-23",24.0016
"2007-04-24",24.1939
"2007-04-25",24.0971
"2007-04-26",23.8435
"2007-04-27",23.4935
"2007-04-28",23.7007
"2007-04-29",23.7437
"2007-04-30",23.6525
"2007-05-01",24.0913
"2007-05-02",24.4459
"2007-05-03",23.4282
