,"(deg C) Mean Dew Point Temperature (ERA5) at Jaffna, 2007-01-01 to 2025-12-31"
"2007-01-01",18.6565
"2007-01-02",16.9251
"2007-01-03",17.203
"2007-01-04",17.2326
"2007-01-05",18.3021
"2007-01-06",19.1273
"2007-01-07",20.2687
"2007-01-08",21.7666
"2007-01-09",22.7379
"2007-01-10",21.8739
"2007-01-11",21.4973
"2007-01-12",21.6138
"2007-01-13",20.5258
"2007-01-14",21.8564
"2007-01-15",21.814
"2007-01-16",21.4844
"2007-01-17",20.8609
"2007-01-18",20.3143
"2007-01-19",19.9499
"2007-01-20",19.8304
"2007-01-21",19.2804
"2007-01-22",20.4266
"2007-01-23",20.3409
"2007-01-24",20.5501
"2007-01-25",20.4635
"2007-01-26",21.8853
"2007-01-27",23.2393
"2007-01-28",23.0248
"2007-01-29",22.7643
"2007-01-30",21.2699
"2007-01-31",20.8578
"2007-02-01",19.1832
"2007-02-02",20.383
"2007-02-03",21.3474
"2007-02-04",21.1709
"2007-02-05",19.6721
"2007-02-06",19.5306
"2007-02-07",20.0123
"2007-02-08",20.794
"2007-02-09",22.5246
"2007-02-10",22.6903
"2007-02-11",22.738
"2007-02-12",23.2354
"2007-02-13",23.4841
"2007-02-14",23.8759
"2007-02-15",22.9016
"2007-02-16",23.0326
"2007-02-17",22.7525
"2007-02-18",22.9459
"2007-02-19",21.732
"2007-02-20",20.3319
"2007-02-21",18.1337
"2007-02-22",17.6751
"2007-02-23",18.5532
"2007-02-24",20.9411
"2007-02-25",22.2184
"2007-02-26",23.1884
"2007-02-27",23.8513
"2007-02-28",23.2016
"2007-03-01",23.2344
"2007-03-02",23.5609
"2007-03-03",23.8106
"2007-03-04",22.3134
"2007-03-05",21.7272
"2007-03-06",21.6856
"2007-03-07",20.9599
"2007-03-08",21.2949
"2007-03-09",21.8171
"2007-03-10",21.9319
"2007-03-11",21.0366
"2007-03-12",22.245
"2007-03-13",23.0821
"2007-03-14",22.2924
"2007-03-15",23.0906
"2007-03-16",23.9115
"2007-03-17",23.889
"2007-03-18",22.4287
"2007-03-19",22.012
"2007-03-20",21.627
"2007-03-21",21.7384
"2007-03-22",21.4713
"2007-03-23",21.6721
"2007-03-24",21.4058
"2007-03-25",23.0841
"2007-03-26",23.4314
"2007-03-27",23.0008
"2007-03-28",23.1493
"2007-03-29",22.7159
"2007-03-30",21.8443
"2007-03-31",23.8056
"2007-04-01",24.5533
"2007-04-02",24.7533
"2007-04-03",24.5535
"2007-04-04",23.9596
"2007-04-05",24.2635
"2007-04-06",24.8336
"2007-04-07",24.7072
"2007-04-08",24.462
"2007-04-09",24.2396
"2007-04-10",24.143
"2007-04-11",23.9164
"2007-04-12",24.369
"2007-04-13",24.7961
"2007-04-14",24.6409
"2007-04-15",24.2174
"2007-04-16",24.0287
"2007-04-17",24.5117
"2007-04-18",25.2851
"2007-04-19",25.1091
"2007-04-20",25.0362
"2007-04-21",25.1938
"2007-04-22",25.2448
"2007-04-23",25.5781
"2007-04-24",25.5514
"2007-04-25",25.4019
"2007-04-26",25.0181
"2007-04-27",24.8849
"2007-04-28",24.952
"2007-04-29",25.3925
"2007-04-30",25.5539
"2007-05-01",25.6522
"2007-05-02",26.282
"2007-05-03",26.32
"2007-05-04",25.7338
"2007-05-05",26.0707
"2007-05-06",26.3133
"2007-05-07",26.1706
"2007-05-08",26.2623
"2007-05-09",26.2053
"2007-05-10",26.1584
"2007-05-11",26.2095
"2007-05-12",25.6345
"2007-05-13",25.8388
"2007-05-14",26.1472
"2007-05-15",26.0429
"2007-05-16",26.051
"2007-05-17",24.8339
"2007-05-18",25.4026
"2007-05-19",25.5594
"2007-05-20",25.6391
"2007-05-21",26.0022
"2007-05-22",25.9553
"2007-05-23",25.9443
"2007-05-24",25.7393
"2007-05-25",25.6955
"2007-05-26",25.5836
"2007-05-27",25.4091
"2007-05-28",24.4341
"2007-05-29",24.3281
"2007-05-30",24.7661
"2007-05-31",24.7747
"2007-06-01",25.2401
"2007-06-02",25.763
"2007-06-03",25.8071
"2007-06-04",25.9533
"2007-06-05",25.8374
"2007-06-06",25.8509
"2007-06-07",25.3095
"2007-06-08",25.1786
"2007-06-09",25.3182
"2007-06-10",25.4587
"2007-06-11",25.324
"2007-06-12",25.2814
"2007-06-13",25.4166
"2007-06-14",25.2417
"2007-06-15",24.7925
"2007-06-16",24.8375
"2007-06-17",24.8056
"2007-06-18",24.7827
"2007-06-19",24.4116
"2007-06-20",24.2735
"2007-06-21",24.6226
"2007-06-22",24.4387
"2007-06-23",25.0067
"2007-06-24",25.0947
"2007-06-25",25.3774
"2007-06-26",25.3687
"2007-06-27",24.8103
"2007-06-28",25.0253
"2007-06-29",25.1472
"2007-06-30",25.0373
"2007-07-01",24.9838
"2007-07-02",24.9372
"2007-07-03",25.0211
"2007-07-04",24.665
"2007-07-05",24.9186
"2007-07-06",24.6634
"2007-07-07",24.6292
"2007-07-08",24.5206
"2007-07-09",24.5404
"2007-07-10",24.6336
"2007-07-11",24.677
"2007-07-12",24.6569
"2007-07-13",24.6775
"2007-07-14",24.8243
"2007-07-15",24.4499
"2007-07-16",24.652
"2007-07-17",24.6096
"2007-07-18",23.8624
"2007-07-19",24.5673
"2007-07-20",24.1119
"2007-07-21",24.1802
"2007-07-22",24.2179
"2007-07-23",23.9336
"2007-07-24",23.8264
"2007-07-25",23.7055
"2007-07-26",24.0519
"2007-07-27",24.1614
"2007-07-28",24.1706
"2007-07-29",24.4197
"2007-07-30",24.2817
"2007-07-31",24.1345
"2007-08-01",23.7927
"2007-08-02",24.0054
"2007-08-03",24.2893
"2007-08-04",24.3735
"2007-08-05",24.3582
"2007-08-06",24.3434
"2007-08-07",24.4497
"2007-08-08",24.3034
"2007-08-09",24.3761
"2007-08-10",24.111
"2007-08-11",24.275
"2007-08-12",24.3327
"2007-08-13",24.849
"2007-08-14",24.7117
"2007-08-15",24.4604
"2007-08-16",24.5249
