,"(deg C) Mean Dew Point Temperature (ERA5) at Kalutara, 2007-01-01 to 2025-12-31"
"2007-01-01",20.3517
"2007-01-02",20.2327
"2007-01-03",18.9991
"2007-01-04",18.2744
"2007-01-05",18.8313
"2007-01-06",19.682
"2007-01-07",20.276
"2007-01-08",22.037
"2007-01-09",22.9195
"2007-01-10",23.294
"2007-01-11",23.3767
"2007-01-12",23.0935
"2007-01-13",23.1241
"2007-01-14",23.6227
"2007-01-15",22.8141
"2007-01-16",22.3696
"2007-01-17",22.4992
"2007-01-18",22.4286
"2007-01-19",21.1081
"2007-01-20",20.6419
"2007-01-21",20.4084
"2007-01-22",19.0735
"2007-01-23",19.4604
"2007-01-24",19.6828
"2007-01-25",20.7041
"2007-01-26",22.3533
"2007-01-27",23.5309
"2007-01-28",24.0468
"2007-01-29",23.5894
"2007-01-30",22.4398
"2007-01-31",22.2158
"2007-02-01",21.4833
"2007-02-02",21.7059
"2007-02-03",21.9685
"2007-02-04",21.462
"2007-02-05",20.4252
"2007-02-06",19.9096
"2007-02-07",20.5804
"2007-02-08",21.0701
"2007-02-09",21.5884
"2007-02-10",21.904
"2007-02-11",22.3296
"2007-02-12",23.112
"2007-02-13",22.9872
"2007-02-14",22.3844
"2007-02-15",21.9453
"2007-02-16",21.1179
"2007-02-17",21.2953
"2007-02-18",21.5634
"2007-02-19",21.4657
"2007-02-20",19.9568
"2007-02-21",17.9088
"2007-02-22",18.7635
"2007-02-23",20.7068
"2007-02-24",21.9082
"2007-02-25",20.8863
"2007-02-26",22.765
"2007-02-27",23.3809
"2007-02-28",23.0889
"2007-03-01",23.669
"2007-03-02",23.2345
"2007-03-03",22.6749
"2007-03-04",21.7194
"2007-03-05",21.9429
"2007-03-06",22.2665
"2007-03-07",22.616
"2007-03-08",22.279
"2007-03-09",22.292
"2007-03-10",21.8584
"2007-03-11",21.8936
"2007-03-12",22.2091
"2007-03-13",23.5422
"2007-03-14",23.8766
"2007-03-15",24.0601
"2007-03-16",23.8666
"2007-03-17",23.711
"2007-03-18",23.1022
"2007-03-19",22.836
"2007-03-20",22.7083
"2007-03-21",22.8936
"2007-03-22",22.6697
"2007-03-23",22.5883
"2007-03-24",22.3755
"2007-03-25",22.7029
"2007-03-26",22.8876
"2007-03-27",22.1332
"2007-03-28",22.0991
"2007-03-29",22.4647
"2007-03-30",22.8722
"2007-03-31",23.094
"2007-04-01",23.5972
"2007-04-02",23.7785
"2007-04-03",24.3521
"2007-04-04",23.9564
"2007-04-05",24.0138
"2007-04-06",24.4838
"2007-04-07",24.2289
"2007-04-08",24.0518
"2007-04-09",23.9136
"2007-04-10",24.0267
"2007-04-11",23.9358
"2007-04-12",24.4735
"2007-04-13",25.0589
"2007-04-14",24.6181
"2007-04-15",24.4964
"2007-04-16",24.1367
"2007-04-17",23.9672
"2007-04-18",24.5621
"2007-04-19",24.6099
"2007-04-20",24.4897
"2007-04-21",24.047
"2007-04-22",24.5557
"2007-04-23",24.7281
"2007-04-24",24.7246
"2007-04-25",24.6793
"2007-04-26",24.4881
"2007-04-27",24.1718
"2007-04-28",24.2728
"2007-04-29",24.3033
"2007-04-30",24.5432
"2007-05-01",25.1411
"2007-05-02",25.8207
"2007-05-03",24.3186
"2007-05-04",24.8902
"2007-05-05",25.6227
"2007-05-06",25.4967
"2007-05-07",25.655
"2007-05-08",25.5788
"2007-05-09",25.0532
"2007-05-10",25.5474
"2007-05-11",25.6108
"2007-05-12",25.4143
"2007-05-13",25.0291
"2007-05-14",24.7139
"2007-05-15",24.5624
"2007-05-16",24.0343
"2007-05-17",24.0236
"2007-05-18",25.0332
"2007-05-19",25.2186
"2007-05-20",25.387
"2007-05-21",25.4915
"2007-05-22",25.3752
"2007-05-23",25.3918
"2007-05-24",25.1621
"2007-05-25",25.2815
"2007-05-26",25.3786
"2007-05-27",24.8899
"2007-05-28",23.7804
"2007-05-29",24.064
"2007-05-30",24.7026
"2007-05-31",24.5316
"2007-06-01",24.9548
"2007-06-02",25.1264
"2007-06-03",25.0522
"2007-06-04",24.9168
"2007-06-05",25.3326
"2007-06-06",25.409
"2007-06-07",24.8816
"2007-06-08",24.5023
"2007-06-09",24.7924
"2007-06-10",24.9272
"2007-06-11",24.8202
"2007-06-12",24.718
