,"(deg C) Mean Dew Point Temperature (ERA5) at Kandy, 2007-01-01 to 2025-12-31"
"2007-01-01",17.4319
"2007-01-02",18.414
"2007-01-03",17.1587
"2007-01-04",16.3104
"2007-01-05",17.186
"2007-01-06",17.6406
"2007-01-07",18.825
"2007-01-08",20.7914
"2007-01-09",21.0355
"2007-01-10",21.4794
"2007-01-11",21.4722
"2007-01-12",20.9951
"2007-01-13",21.0922
"2007-01-14",21.3219
"2007-01-15",20.5145
"2007-01-16",20.4462
"2007-01-17",19.5777
"2007-01-18",20.0835
"2007-01-19",18.9898
"2007-01-20",18.5589
"2007-01-21",17.2629
"2007-01-22",16.6015
"2007-01-23",16.2289
"2007-01-24",17.2759
"2007-01-25",19.5645
"2007-01-26",20.9169
"2007-01-27",21.4584
"2007-01-28",21.2612
"2007-01-29",20.6073
"2007-01-30",19.7538
"2007-01-31",19.7551
"2007-02-01",18.2538
"2007-02-02",19.123
"2007-02-03",19.7136
"2007-02-04",19.0755
"2007-02-05",17.6673
"2007-02-06",16.2551
"2007-02-07",18.1614
"2007-02-08",17.4142
"2007-02-09",18.4769
"2007-02-10",18.8707
"2007-02-11",19.7359
"2007-02-12",20.0083
"2007-02-13",19.7749
"2007-02-14",19.2295
"2007-02-15",19.2158
"2007-02-16",18.4487
"2007-02-17",19.2677
"2007-02-18",19.1691
"2007-02-19",18.0977
"2007-02-20",17.965
"2007-02-21",15.7546
"2007-02-22",16.6974
"2007-02-23",18.2552
"2007-02-24",20.2152
"2007-02-25",19.8116
"2007-02-26",20.3438
"2007-02-27",20.8528
"2007-02-28",20.4465
"2007-03-01",19.9564
"2007-03-02",20.3104
"2007-03-03",19.2575
"2007-03-04",16.7266
"2007-03-05",16.7697
"2007-03-06",16.4878
"2007-03-07",18.1261
"2007-03-08",16.6131
"2007-03-09",14.7956
"2007-03-10",16.6126
"2007-03-11",16.4606
"2007-03-12",19.4865
"2007-03-13",21.2315
"2007-03-14",20.3267
"2007-03-15",19.5483
"2007-03-16",21.2577
"2007-03-17",20.6483
"2007-03-18",17.3417
"2007-03-19",14.681
"2007-03-20",14.9432
"2007-03-21",16.6509
"2007-03-22",17.1559
"2007-03-23",16.7657
"2007-03-24",18.2233
"2007-03-25",16.7776
"2007-03-26",15.9705
"2007-03-27",15.1416
"2007-03-28",14.4335
"2007-03-29",14.3841
"2007-03-30",18.5911
"2007-03-31",20.0738
"2007-04-01",21.3953
"2007-04-02",20.6867
"2007-04-03",20.7986
"2007-04-04",20.4911
"2007-04-05",21.4101
