,"(deg C) Mean Dew Point Temperature (ERA5) at Kegalle, 2007-01-01 to 2025-12-31"
"2007-01-01",18.4238
"2007-01-02",18.9522
"2007-01-03",17.5514
"2007-01-04",16.9255
"2007-01-05",17.8623
"2007-01-06",18.3249
"2007-01-07",19.4425
"2007-01-08",21.5374
"2007-01-09",21.7695
"2007-01-10",22.3297
"2007-01-11",22.4665
"2007-01-12",21.7982
"2007-01-13",21.769
"2007-01-14",22.1814
"2007-01-15",21.0575
"2007-01-16",21.1087
"2007-01-17",20.2999
"2007-01-18",20.7251
"2007-01-19",19.6573
"2007-01-20",19.1342
"2007-01-21",17.5817
"2007-01-22",17.2111
"2007-01-23",16.6109
"2007-01-24",17.8206
"2007-01-25",19.9416
"2007-01-26",21.7786
"2007-01-27",22.787
"2007-01-28",22.4185
"2007-01-29",21.4311
"2007-01-30",20.424
"2007-01-31",20.3039
"2007-02-01",18.5539
"2007-02-02",19.7247
"2007-02-03",20.3041
"2007-02-04",19.4229
"2007-02-05",17.6813
"2007-02-06",16.4869
"2007-02-07",18.3884
"2007-02-08",17.854
"2007-02-09",18.7043
"2007-02-10",19.1457
"2007-02-11",20.6338
"2007-02-12",21.2392
"2007-02-13",21.5191
"2007-02-14",20.8849
"2007-02-15",20.6381
"2007-02-16",19.6107
"2007-02-17",20.0759
"2007-02-18",20.1553
"2007-02-19",18.5268
"2007-02-20",18.068
"2007-02-21",15.9384
"2007-02-22",17.0212
"2007-02-23",18.4259
"2007-02-24",20.5193
"2007-02-25",20.1087
"2007-02-26",21.0137
"2007-02-27",21.8856
"2007-02-28",20.7751
"2007-03-01",21.3041
"2007-03-02",21.7167
"2007-03-03",20.411
"2007-03-04",17.3834
"2007-03-05",16.8306
"2007-03-06",17.8873
"2007-03-07",20.4235
"2007-03-08",18.9695
"2007-03-09",17.2263
"2007-03-10",17.5147
"2007-03-11",18.7425
"2007-03-12",20.6343
"2007-03-13",22.1254
"2007-03-14",21.6674
"2007-03-15",21.3882
"2007-03-16",22.3981
"2007-03-17",21.9691
"2007-03-18",19.7629
"2007-03-19",18.7079
"2007-03-20",18.5353
"2007-03-21",20.0251
"2007-03-22",20.0786
"2007-03-23",19.7226
"2007-03-24",20.4107
"2007-03-25",20.038
"2007-03-26",19.8309
"2007-03-27",18.7011
"2007-03-28",17.5727
"2007-03-29",17.7679
"2007-03-30",20.6933
"2007-03-31",21.7637
"2007-04-01",22.5043
"2007-04-02",22.1174
