,"(deg C) Mean Dew Point Temperature (ERA5) at Kilinochchi, 2007-01-01 to 2025-12-31"
"2007-01-01",19.7812
"2007-01-02",18.3138
"2007-01-03",18.5795
"2007-01-04",18.2644
"2007-01-05",19.3801
"2007-01-06",19.9891
"2007-01-07",20.9043
"2007-01-08",22.662
"2007-01-09",23.0622
"2007-01-10",22.1868
"2007-01-11",22.2872
"2007-01-12",22.6463
"2007-01-13",21.6174
"2007-01-14",23.1295
"2007-01-15",22.5192
"2007-01-16",22.1349
"2007-01-17",21.7641
"2007-01-18",21.33
"2007-01-19",20.6764
"2007-01-20",20.3781
"2007-01-21",20.2262
"2007-01-22",20.9447
"2007-01-23",20.7755
"2007-01-24",20.7944
"2007-01-25",20.7142
"2007-01-26",22.3576
"2007-01-27",23.5721
"2007-01-28",23.6639
"2007-01-29",23.3099
"2007-01-30",22.2277
"2007-01-31",21.8163
"2007-02-01",20.4587
"2007-02-02",21.6097
"2007-02-03",22.4617
"2007-02-04",21.9899
"2007-02-05",20.4446
"2007-02-06",20.4502
"2007-02-07",20.9242
"2007-02-08",21.6037
"2007-02-09",22.9615
"2007-02-10",23.2031
"2007-02-11",23.1018
"2007-02-12",23.92
"2007-02-13",24.1029
"2007-02-14",24.313
"2007-02-15",23.6056
"2007-02-16",23.4532
"2007-02-17",23.3875
"2007-02-18",23.4448
"2007-02-19",22.1915
"2007-02-20",20.658
"2007-02-21",18.4912
"2007-02-22",18.5313
"2007-02-23",19.5393
"2007-02-24",21.8522
"2007-02-25",22.6391
"2007-02-26",23.8757
"2007-02-27",24.2209
"2007-02-28",23.6551
"2007-03-01",23.797
"2007-03-02",23.5539
"2007-03-03",24.1178
"2007-03-04",22.6416
"2007-03-05",22.2803
"2007-03-06",21.8162
"2007-03-07",21.6328
"2007-03-08",21.567
"2007-03-09",22.1839
"2007-03-10",22.3078
"2007-03-11",21.2609
"2007-03-12",23.1434
"2007-03-13",23.5548
"2007-03-14",22.8885
"2007-03-15",23.4705
"2007-03-16",24.2321
"2007-03-17",24.2769
"2007-03-18",22.7322
"2007-03-19",22.112
"2007-03-20",21.3112
"2007-03-21",21.6008
"2007-03-22",21.4084
"2007-03-23",21.5654
"2007-03-24",21.6948
"2007-03-25",23.2592
"2007-03-26",23.5194
"2007-03-27",22.8383
"2007-03-28",23.0126
"2007-03-29",23.1251
"2007-03-30",22.5479
"2007-03-31",24.2228
"2007-04-01",24.9132
"2007-04-02",24.8602
"2007-04-03",24.9081
"2007-04-04",24.4831
"2007-04-05",24.8024
"2007-04-06",25.1213
"2007-04-07",25.046
"2007-04-08",24.7906
"2007-04-09",24.5922
"2007-04-10",24.4468
"2007-04-11",24.3898
"2007-04-12",24.9763
"2007-04-13",25.342
"2007-04-14",25.1027
"2007-04-15",24.6476
"2007-04-16",24.4846
"2007-04-17",25.0051
"2007-04-18",25.3847
"2007-04-19",25.7047
"2007-04-20",25.2038
"2007-04-21",25.2783
"2007-04-22",25.3266
"2007-04-23",25.6948
"2007-04-24",25.8966
"2007-04-25",25.5997
"2007-04-26",24.939
"2007-04-27",24.8783
"2007-04-28",25.1132
"2007-04-29",25.3631
"2007-04-30",25.8863
"2007-05-01",26.0624
"2007-05-02",26.3279
"2007-05-03",25.9264
"2007-05-04",25.8125
"2007-05-05",26.152
"2007-05-06",26.4004
"2007-05-07",26.1952
"2007-05-08",26.2162
"2007-05-09",26.1082
"2007-05-10",26.2189
"2007-05-11",26.4102
"2007-05-12",25.3801
"2007-05-13",25.6866
"2007-05-14",25.8544
"2007-05-15",25.6186
"2007-05-16",25.5924
"2007-05-17",24.4387
"2007-05-18",25.2885
"2007-05-19",25.4727
"2007-05-20",25.3906
"2007-05-21",25.5452
"2007-05-22",25.6586
"2007-05-23",25.799
"2007-05-24",25.524
"2007-05-25",25.678
"2007-05-26",25.4673
"2007-05-27",25.5677
"2007-05-28",24.3171
"2007-05-29",24.0885
"2007-05-30",24.6387
"2007-05-31",24.4634
"2007-06-01",25.0904
"2007-06-02",25.5657
"2007-06-03",25.6529
"2007-06-04",25.5671
"2007-06-05",25.6068
"2007-06-06",26.1482
"2007-06-07",25.6724
"2007-06-08",25.2791
"2007-06-09",25.2209
"2007-06-10",25.6564
"2007-06-11",25.3851
"2007-06-12",25.4145
"2007-06-13",25.6207
"2007-06-14",25.5611
"2007-06-15",25.1382
"2007-06-16",25.0026
"2007-06-17",25.0944
"2007-06-18",24.9162
"2007-06-19",24.767
"2007-06-20",24.6414
"2007-06-21",24.7971
"2007-06-22",24.304
"2007-06-23",24.7909
"2007-06-24",25.0037
"2007-06-25",25.2751
"2007-06-26",25.3325
"2007-06-27",25.3859
"2007-06-28",25.3638
"2007-06-29",25.2478
"2007-06-30",25.1148
"2007-07-01",25.0023
"2007-07-02",24.8683
"2007-07-03",24.995
"2007-07-04",24.8455
"2007-07-05",24.9204
"2007-07-06",24.6898
"2007-07-07",24.5058
"2007-07-08",24.5369
"2007-07-09",24.8373
"2007-07-10",24.5969
"2007-07-11",24.8886
"2007-07-12",24.8416
"2007-07-13",24.6092
"2007-07-14",24.7573
"2007-07-15",24.3898
"2007-07-16",24.6071
"2007-07-17",24.6632
"2007-07-18",24.0673
"2007-07-19",24.694
"2007-07-20",24.2443
"2007-07-21",24.1132
"2007-07-22",24.1598
"2007-07-23",24.1581
"2007-07-24",24.0877
"2007-07-25",23.5843
"2007-07-26",24.0277
"2007-07-27",24.0936
"2007-07-28",24.2486
"2007-07-29",24.718
"2007-07-30",24.4871
"2007-07-31",24.1908
"2007-08-01",23.7423
"2007-08-02",23.8496
"2007-08-03",24.241
"2007-08-04",24.4645
"2007-08-05",24.417
"2007-08-06",24.2486
"2007-08-07",24.1963
"2007-08-08",24.395
"2007-08-09",24.5421
"2007-08-10",25.0357
"2007-08-11",24.5123
"2007-08-12",24.6884
"2007-08-13",24.6973
"2007-08-14",24.2429
"2007-08-15",24.1107
"2007-08-16",24.1658
"2007-08-17",24.2767
"2007-08-18",24.4809
"2007-08-19",24.4631
"2007-08-20",24.4029
"2007-08-21",24.661
"2007-08-22",24.5444
"2007-08-23",24.8275
"2007-08-24",24.5461
"2007-08-25",24.5463
"2007-08-26",24.5675
"2007-08-27",24.4367
"2007-08-28",24.6678
"2007-08-29",24.5185
"2007-08-30",24.5823
"2007-08-31",24.162
"2007-09-01",24.3334
"2007-09-02",24.7466
"2007-09-03",24.555
"2007-09-04",24.8315
"2007-09-05",24.9159
"2007-09-06",24.9394
"2007-09-07",25.1303
"2007-09-08",25.0821
"2007-09-09",24.184
"2007-09-10",24.4001
"2007-09-11",24.6977
"2007-09-12",24.579
"2007-09-13",24.8299
"2007-09-14",24.8155
"2007-09-15",24.9253
"2007-09-16",24.8285
"2007-09-17",25.1883
"2007-09-18",24.7236
"2007-09-19",24.6688
"2007-09-20",24.8176
"2007-09-21",24.8627
"2007-09-22",24.6593
"2007-09-23",24.314
"2007-09-24",24.5743
"2007-09-25",24.6531
"2007-09-26",24.9268
"2007-09-27",24.8328
"2007-09-28",24.764
"2007-09-29",24.673
"2007-09-30",24.6858
"2007-10-01",23.8597
"2007-10-02",24.6978
"2007-10-03",24.6086
"2007-10-04",24.5165
"2007-10-05",24.1317
"2007-10-06",24.0268
"2007-10-07",24.3887
"2007-10-08",24.2471
"2007-10-09",24.2955
"2007-10-10",23.8414
"2007-10-11",24.1654
"2007-10-12",24.2776
"2007-10-13",24.4904
"2007-10-14",24.4641
"2007-10-15",24.6826
"2007-10-16",24.3076
"2007-10-17",23.9413
"2007-10-18",23.9223
"2007-10-19",23.9009
"2007-10-20",23.5148
"2007-10-21",23.77
"2007-10-22",23.6672
"2007-10-23",23.8691
"2007-10-24",24.2095
"2007-10-25",24.3916
"2007-10-26",23.843
"2007-10-27",24.1319
"2007-10-28",23.7792
"2007-10-29",24.514
"2007-10-30",24.6047
"2007-10-31",25.0265
"2007-11-01",24.2131
"2007-11-02",23.9095
"2007-11-03",24.1349
"2007-11-04",23.7849
"2007-11-05",24.2859
"2007-11-06",24.0423
"2007-11-07",24.1542
"2007-11-08",23.8693
"2007-11-09",23.9746
"2007-11-10",24.0304
"2007-11-11",24.2959
"2007-11-12",24.4808
"2007-11-13",23.3
"2007-11-14",21.5665
"2007-11-15",21.2853
"2007-11-16",19.4434
"2007-11-17",20.0163
"2007-11-18",22.9183
"2007-11-19",24.0577
"2007-11-20",24.3748
"2007-11-21",24.2983
"2007-11-22",23.9058
"2007-11-23",22.3865
"2007-11-24",21.7858
"2007-11-25",20.3955
"2007-11-26",22.7166
"2007-11-27",23.8839
"2007-11-28",24.0842
"2007-11-29",23.0517
"2007-11-30",22.0116
