,"(deg C) Mean Dew Point Temperature (ERA5) at Kurunegala, 2007-01-01 to 2025-12-31"
"2007-01-01",18.9152
"2007-01-02",18.6864
"2007-01-03",17.6058
"2007-01-04",17.3557
"2007-01-05",18.5823
"2007-01-06",18.8269
"2007-01-07",19.9749
"2007-01-08",22.2575
"2007-01-09",22.7367
"2007-01-10",22.4418
"2007-01-11",22.7309
"2007-01-12",22.4862
"2007-01-13",22.5443
"2007-01-14",22.761
"2007-01-15",21.9574
"2007-01-16",21.799
"2007-01-17",20.8794
"2007-01-18",21.4416
"2007-01-19",20.1821
"2007-01-20",19.7478
"2007-01-21",18.8585
"2007-01-22",18.7982
"2007-01-23",18.903
"2007-01-24",18.9739
"2007-01-25",20.3859
"2007-01-26",22.182
"2007-01-27",23.0487
"2007-01-28",23.0485
"2007-01-29",22.372
"2007-01-30",21.4687
"2007-01-31",21.4602
"2007-02-01",19.9141
"2007-02-02",21.1326
"2007-02-03",21.6819
"2007-02-04",20.7717
"2007-02-05",19.2554
"2007-02-06",18.1373
"2007-02-07",19.9689
"2007-02-08",18.8029
"2007-02-09",20.703
"2007-02-10",21.0994
"2007-02-11",21.6095
"2007-02-12",21.7824
"2007-02-13",22.579
"2007-02-14",22.2323
"2007-02-15",21.78
"2007-02-16",20.9724
"2007-02-17",21.5969
"2007-02-18",21.4731
"2007-02-19",19.7648
"2007-02-20",19.3197
"2007-02-21",16.5777
"2007-02-22",17.3921
"2007-02-23",19.0628
"2007-02-24",21.6164
"2007-02-25",22.0825
"2007-02-26",22.3494
"2007-02-27",22.8106
"2007-02-28",22.5327
"2007-03-01",22.2357
"2007-03-02",22.778
"2007-03-03",22.2381
"2007-03-04",19.1444
"2007-03-05",18.723
"2007-03-06",19.347
"2007-03-07",19.4354
"2007-03-08",18.991
"2007-03-09",18.6783
"2007-03-10",19.7136
"2007-03-11",18.7286
"2007-03-12",21.4249
"2007-03-13",22.4916
"2007-03-14",21.6731
"2007-03-15",21.7937
"2007-03-16",23.217
"2007-03-17",22.5083
"2007-03-18",19.7097
"2007-03-19",18.5315
"2007-03-20",18.9729
"2007-03-21",21.0896
"2007-03-22",20.5632
"2007-03-23",19.7179
"2007-03-24",20.9624
"2007-03-25",21.2487
"2007-03-26",20.5598
"2007-03-27",19.2107
"2007-03-28",19.3931
"2007-03-29",19.354
"2007-03-30",20.26
"2007-03-31",22.4308
"2007-04-01",23.2938
"2007-04-02",23.4721
"2007-04-03",23.8849
"2007-04-04",23.2565
"2007-04-05",23.6395
"2007-04-06",23.6862
"2007-04-07",24.0912
