,"(deg C) Mean Dew Point Temperature (ERA5) at Mannar, 2007-01-01 to 2025-12-31"
"2007-01-01",19.5547
"2007-01-02",17.7372
"2007-01-03",17.85
"2007-01-04",17.6728
"2007-01-05",18.6955
"2007-01-06",19.3808
"2007-01-07",20.308
"2007-01-08",22.2551
"2007-01-09",23.0296
"2007-01-10",22.0196
"2007-01-11",22.1822
"2007-01-12",22.5235
"2007-01-13",21.3408
"2007-01-14",22.7303
"2007-01-15",22.2206
"2007-01-16",21.7942
"2007-01-17",21.3484
"2007-01-18",20.905
"2007-01-19",20.1695
"2007-01-20",19.8048
"2007-01-21",19.4834
"2007-01-22",20.0722
"2007-01-23",19.9821
"2007-01-24",20.0194
"2007-01-25",20.3679
"2007-01-26",22.0398
"2007-01-27",23.3167
"2007-01-28",23.4434
"2007-01-29",22.7508
"2007-01-30",21.631
"2007-01-31",21.3331
"2007-02-01",19.848
"2007-02-02",21.1933
"2007-02-03",21.901
"2007-02-04",21.4441
"2007-02-05",19.8191
"2007-02-06",19.2748
"2007-02-07",20.0587
"2007-02-08",20.7067
"2007-02-09",22.0531
"2007-02-10",22.5047
"2007-02-11",22.4723
"2007-02-12",23.0899
"2007-02-13",23.4843
"2007-02-14",23.4011
"2007-02-15",22.4431
"2007-02-16",22.0156
"2007-02-17",22.2942
"2007-02-18",22.4693
"2007-02-19",21.1247
"2007-02-20",19.8383
"2007-02-21",17.3802
"2007-02-22",17.5639
"2007-02-23",18.9184
"2007-02-24",21.4388
"2007-02-25",22.7497
"2007-02-26",23.3615
"2007-02-27",23.9507
"2007-02-28",23.0053
"2007-03-01",22.8883
"2007-03-02",23.4189
"2007-03-03",23.4411
"2007-03-04",21.3527
"2007-03-05",20.9317
"2007-03-06",20.7003
"2007-03-07",20.4959
"2007-03-08",20.1273
"2007-03-09",20.9846
"2007-03-10",21.1881
"2007-03-11",20.1968
"2007-03-12",22.1545
"2007-03-13",22.9795
"2007-03-14",22.1514
"2007-03-15",22.7622
"2007-03-16",23.6754
"2007-03-17",23.3798
"2007-03-18",21.2931
"2007-03-19",19.6768
"2007-03-20",19.2718
"2007-03-21",22.1438
"2007-03-22",20.7315
"2007-03-23",19.5039
"2007-03-24",20.6881
"2007-03-25",22.819
"2007-03-26",22.2238
"2007-03-27",20.9423
"2007-03-28",21.6966
"2007-03-29",21.678
"2007-03-30",20.9873
"2007-03-31",22.6624
"2007-04-01",23.7721
"2007-04-02",24.3409
"2007-04-03",24.076
"2007-04-04",23.1548
"2007-04-05",23.7586
"2007-04-06",24.2344
"2007-04-07",24.1789
"2007-04-08",24.1569
"2007-04-09",24.2407
"2007-04-10",23.9617
"2007-04-11",23.9351
"2007-04-12",24.3994
"2007-04-13",24.585
"2007-04-14",24.3798
"2007-04-15",24.1173
"2007-04-16",23.9499
"2007-04-17",24.3155
"2007-04-18",25.0688
"2007-04-19",25.1438
"2007-04-20",25.2009
"2007-04-21",25.0821
"2007-04-22",24.7665
"2007-04-23",25.3612
"2007-04-24",25.4723
"2007-04-25",25.2568
"2007-04-26",24.7556
"2007-04-27",24.5213
"2007-04-28",24.892
"2007-04-29",24.9661
"2007-04-30",25.2224
"2007-05-01",25.7841
"2007-05-02",26.1363
"2007-05-03",25.3628
"2007-05-04",25.2729
"2007-05-05",25.6936
"2007-05-06",25.9276
"2007-05-07",25.6882
"2007-05-08",25.7521
"2007-05-09",25.5482
"2007-05-10",25.7005
"2007-05-11",25.879
"2007-05-12",24.977
"2007-05-13",25.1127
"2007-05-14",25.309
"2007-05-15",25.1649
"2007-05-16",25.0774
"2007-05-17",23.9482
"2007-05-18",24.967
"2007-05-19",25.1161
"2007-05-20",25.3216
"2007-05-21",25.4992
"2007-05-22",25.3261
"2007-05-23",25.346
"2007-05-24",25.0713
"2007-05-25",25.1921
"2007-05-26",25.0852
"2007-05-27",24.9516
"2007-05-28",23.7067
"2007-05-29",23.7475
"2007-05-30",24.2612
"2007-05-31",24.0063
"2007-06-01",24.8382
"2007-06-02",25.1925
"2007-06-03",25.1057
"2007-06-04",25.1352
"2007-06-05",25.3159
"2007-06-06",25.5059
"2007-06-07",24.9303
"2007-06-08",24.6074
"2007-06-09",24.703
"2007-06-10",25.0736
"2007-06-11",24.8732
"2007-06-12",24.851
"2007-06-13",24.958
"2007-06-14",24.9407
"2007-06-15",24.266
"2007-06-16",24.7194
"2007-06-17",24.6829
"2007-06-18",24.6597
"2007-06-19",24.4169
"2007-06-20",24.3034
"2007-06-21",24.4055
"2007-06-22",24.1474
"2007-06-23",24.4775
"2007-06-24",24.6893
"2007-06-25",24.7014
"2007-06-26",24.6552
"2007-06-27",24.7291
"2007-06-28",24.9458
"2007-06-29",24.8018
"2007-06-30",24.6533
"2007-07-01",24.5658
"2007-07-02",24.5224
"2007-07-03",24.6295
"2007-07-04",24.3141
"2007-07-05",24.4228
"2007-07-06",24.1784
"2007-07-07",24.1509
"2007-07-08",24.1137
"2007-07-09",24.3711
"2007-07-10",24.1967
"2007-07-11",24.5171
"2007-07-12",24.3708
"2007-07-13",24.3039
"2007-07-14",24.4095
"2007-07-15",24.2062
"2007-07-16",24.2483
"2007-07-17",24.1261
"2007-07-18",24.0937
"2007-07-19",24.1541
"2007-07-20",23.4692
"2007-07-21",23.7114
"2007-07-22",23.6582
"2007-07-23",23.7141
"2007-07-24",23.701
"2007-07-25",23.1742
"2007-07-26",23.6971
"2007-07-27",23.6184
"2007-07-28",23.8154
"2007-07-29",24.0444
"2007-07-30",23.8798
"2007-07-31",23.7571
"2007-08-01",23.3831
"2007-08-02",23.567
"2007-08-03",23.8638
"2007-08-04",24.1497
"2007-08-05",24.1814
"2007-08-06",24.1614
"2007-08-07",24.0514
"2007-08-08",24.0731
"2007-08-09",24.0621
"2007-08-10",24.391
"2007-08-11",24.0561
"2007-08-12",24.211
"2007-08-13",24.148
"2007-08-14",23.9445
"2007-08-15",23.8965
"2007-08-16",23.8679
"2007-08-17",23.9027
"2007-08-18",24.0975
"2007-08-19",24.2422
"2007-08-20",24.0716
"2007-08-21",24.1616
"2007-08-22",23.8906
"2007-08-23",24.0808
"2007-08-24",23.989
"2007-08-25",23.9684
"2007-08-26",24.1079
"2007-08-27",23.9309
"2007-08-28",24.1912
"2007-08-29",24.0492
"2007-08-30",24.0951
"2007-08-31",23.8329
"2007-09-01",23.7889
"2007-09-02",24.1538
"2007-09-03",24.0807
"2007-09-04",24.3814
"2007-09-05",24.3499
"2007-09-06",24.0551
"2007-09-07",24.4824
"2007-09-08",24.4221
"2007-09-09",23.8431
"2007-09-10",23.9586
"2007-09-11",24.1598
"2007-09-12",23.9998
"2007-09-13",24.2292
"2007-09-14",24.3948
"2007-09-15",24.5459
"2007-09-16",24.4026
"2007-09-17",24.6179
"2007-09-18",24.2663
"2007-09-19",24.1297
"2007-09-20",24.3088
"2007-09-21",24.4028
"2007-09-22",24.1824
"2007-09-23",23.8387
"2007-09-24",24.2291
"2007-09-25",24.3325
"2007-09-26",24.3326
"2007-09-27",24.3637
"2007-09-28",24.2032
"2007-09-29",24.0926
"2007-09-30",24.1451
"2007-10-01",23.5538
"2007-10-02",24.1752
"2007-10-03",24.1145
"2007-10-04",23.9335
"2007-10-05",23.697
"2007-10-06",23.8208
"2007-10-07",24.0514
"2007-10-08",23.951
"2007-10-09",23.7616
"2007-10-10",23.7534
"2007-10-11",23.6309
"2007-10-12",23.8106
"2007-10-13",23.9018
"2007-10-14",23.9075
"2007-10-15",24.0521
"2007-10-16",23.8421
"2007-10-17",23.698
"2007-10-18",23.5716
"2007-10-19",23.4965
"2007-10-20",23.1526
"2007-10-21",23.3617
"2007-10-22",23.1669
"2007-10-23",23.4676
"2007-10-24",23.925
"2007-10-25",23.8919
"2007-10-26",23.5444
"2007-10-27",23.7243
"2007-10-28",23.9659
"2007-10-29",24.2552
"2007-10-30",24.3854
"2007-10-31",24.5145
"2007-11-01",24.3124
"2007-11-02",23.6561
"2007-11-03",23.4841
"2007-11-04",23.5375
"2007-11-05",23.9228
"2007-11-06",23.5767
"2007-11-07",23.7046
"2007-11-08",23.8163
"2007-11-09",23.5477
"2007-11-10",23.4106
"2007-11-11",23.8206
"2007-11-12",23.8792
"2007-11-13",22.8449
"2007-11-14",20.894
"2007-11-15",20.7193
"2007-11-16",18.5848
"2007-11-17",19.1385
"2007-11-18",22.2911
"2007-11-19",23.6701
"2007-11-20",23.8308
"2007-11-21",23.6545
"2007-11-22",23.5684
"2007-11-23",21.7253
"2007-11-24",21.5896
"2007-11-25",19.776
"2007-11-26",21.6898
"2007-11-27",23.3889
"2007-11-28",23.6378
"2007-11-29",22.8117
"2007-11-30",21.2764
"2007-12-01",22.3381
"2007-12-02",22.1622
"2007-12-03",21.1759
"2007-12-04",22.6511
"2007-12-05",21.6979
"2007-12-06",21.9709
"2007-12-07",22.4871
"2007-12-08",23.2935
"2007-12-09",22.9586
"2007-12-10",22.3637
"2007-12-11",22.1359
"2007-12-12",22.5775
"2007-12-13",23.1412
"2007-12-14",23.4152
"2007-12-15",23.396
"2007-12-16",22.2928
"2007-12-17",23.5642
"2007-12-18",23.8771
"2007-12-19",23.6748
"2007-12-20",23.6324
"2007-12-21",23.7586
"2007-12-22",23.5792
"2007-12-23",22.4004
"2007-12-24",20.3068
"2007-12-25",19.6894
"2007-12-26",20.5375
"2007-12-27",20.8754
"2007-12-28",20.832
"2007-12-29",20.9809
"2007-12-30",21.3457
"2007-12-31",20.2823
"2008-01-01",19.7779
"2008-01-02",20.4073
"2008-01-03",22.419
"2008-01-04",23.1222
"2008-01-05",23.0797
"2008-01-06",21.7224
"2008-01-07",20.719
"2008-01-08",20.8736
"2008-01-09",21.8816
"2008-01-10",22.317
"2008-01-11",22.2123
"2008-01-12",21.8999
"2008-01-13",21.5472
"2008-01-14",20.4073
"2008-01-15",19.8951
"2008-01-16",20.0821
"2008-01-17",19.573
"2008-01-18",18.5158
"2008-01-19",18.5958
"2008-01-20",21.1065
"2008-01-21",23.3885
"2008-01-22",23.0755
"2008-01-23",20.8826
"2008-01-24",21.7477
"2008-01-25",22.7243
"2008-01-26",22.9038
"2008-01-27",22.8198
"2008-01-28",22.6962
"2008-01-29",23.0706
"2008-01-30",22.2321
"2008-01-31",22.8076
"2008-02-01",22.8691
"2008-02-02",22.2967
"2008-02-03",21.3466
"2008-02-04",21.5061
"2008-02-05",21.5873
"2008-02-06",23.131
"2008-02-07",23.2656
"2008-02-08",23.38
"2008-02-09",23.7375
"2008-02-10",23.786
"2008-02-11",23.7321
"2008-02-12",23.7225
"2008-02-13",23.3357
"2008-02-14",23.085
"2008-02-15",22.5896
"2008-02-16",22.0156
"2008-02-17",20.5916
"2008-02-18",20.2181
"2008-02-19",19.7967
"2008-02-20",21.9334
"2008-02-21",22.8393
"2008-02-22",20.9092
"2008-02-23",18.5607
"2008-02-24",18.1329
"2008-02-25",18.2553
"2008-02-26",20.504
"2008-02-27",22.9257
"2008-02-28",22.9244
"2008-02-29",23.096
"2008-03-01",22.8306
"2008-03-02",23.4179
"2008-03-03",22.6944
"2008-03-04",22.2349
"2008-03-05",23.2702
"2008-03-06",23.2732
"2008-03-07",21.2578
"2008-03-08",20.3592
"2008-03-09",22.5668
"2008-03-10",23.1548
"2008-03-11",23.2648
"2008-03-12",23.4068
"2008-03-13",23.0766
"2008-03-14",23.4846
"2008-03-15",23.5018
"2008-03-16",23.8643
