,"(deg C) Mean Dew Point Temperature (ERA5) at Matale, 2007-01-01 to 2025-12-31"
"2007-01-01",18.5927
"2007-01-02",18.5651
"2007-01-03",17.3854
"2007-01-04",17.1089
"2007-01-05",18.3489
"2007-01-06",18.6215
"2007-01-07",19.8667
"2007-01-08",21.9878
"2007-01-09",22.4494
"2007-01-10",22.3257
"2007-01-11",22.5034
"2007-01-12",22.131
"2007-01-13",22.4143
"2007-01-14",22.436
"2007-01-15",21.7088
"2007-01-16",21.5622
"2007-01-17",20.5802
"2007-01-18",21.2545
"2007-01-19",20.0332
"2007-01-20",19.7778
"2007-01-21",18.801
"2007-01-22",18.5209
"2007-01-23",18.7635
"2007-01-24",18.8436
"2007-01-25",20.5066
"2007-01-26",21.9886
"2007-01-27",22.4348
"2007-01-28",22.679
"2007-01-29",22.0545
"2007-01-30",21.1232
"2007-01-31",21.2941
"2007-02-01",19.6288
"2007-02-02",20.8197
"2007-02-03",21.3675
"2007-02-04",20.5949
"2007-02-05",19.1855
"2007-02-06",18.1293
"2007-02-07",19.8812
"2007-02-08",18.9785
"2007-02-09",20.636
"2007-02-10",21.0465
"2007-02-11",21.5997
"2007-02-12",21.5716
"2007-02-13",21.3874
"2007-02-14",21.0636
"2007-02-15",21.0203
"2007-02-16",20.5239
"2007-02-17",20.9833
"2007-02-18",21.0656
"2007-02-19",19.6811
"2007-02-20",19.4487
"2007-02-21",16.7913
"2007-02-22",17.5611
"2007-02-23",19.3415
"2007-02-24",21.6626
"2007-02-25",21.3362
"2007-02-26",21.9621
"2007-02-27",22.4314
"2007-02-28",22.4864
"2007-03-01",21.7718
"2007-03-02",21.8599
"2007-03-03",21.4914
"2007-03-04",19.451
"2007-03-05",19.1469
"2007-03-06",19.3037
"2007-03-07",19.0666
"2007-03-08",18.9186
"2007-03-09",18.736
"2007-03-10",19.7867
"2007-03-11",18.6066
"2007-03-12",21.2718
"2007-03-13",22.3592
"2007-03-14",21.5035
"2007-03-15",21.4723
"2007-03-16",22.6809
"2007-03-17",22.0408
"2007-03-18",18.6283
"2007-03-19",16.0637
"2007-03-20",16.4279
"2007-03-21",18.1009
"2007-03-22",17.9597
"2007-03-23",17.9434
"2007-03-24",19.1069
"2007-03-25",18.5801
"2007-03-26",18.1071
"2007-03-27",17.7435
"2007-03-28",18.2377
"2007-03-29",18.1209
"2007-03-30",19.3607
"2007-03-31",21.064
"2007-04-01",22.8589
"2007-04-02",22.1512
"2007-04-03",22.3463
"2007-04-04",22.1912
"2007-04-05",22.955
"2007-04-06",22.8776
"2007-04-07",23.4176
"2007-04-08",23.1592
"2007-04-09",23.3706
"2007-04-10",23.4231
"2007-04-11",23.2356
"2007-04-12",23.751
"2007-04-13",23.55
"2007-04-14",23.4647
"2007-04-15",23.4142
"2007-04-16",23.0252
"2007-04-17",23.2356
"2007-04-18",23.2202
"2007-04-19",23.5413
"2007-04-20",23.3353
"2007-04-21",23.1702
"2007-04-22",23.4936
"2007-04-23",23.8057
"2007-04-24",23.7683
"2007-04-25",23.6487
"2007-04-26",23.1643
"2007-04-27",23.0025
"2007-04-28",23.3808
"2007-04-29",23.2672
"2007-04-30",23.8583
"2007-05-01",23.8481
"2007-05-02",24.5536
"2007-05-03",23.141
"2007-05-04",23.6255
"2007-05-05",24.1788
"2007-05-06",24.0673
"2007-05-07",24.0342
"2007-05-08",24.2575
"2007-05-09",23.7883
"2007-05-10",24.1259
"2007-05-11",24.5268
"2007-05-12",24.0716
"2007-05-13",22.8722
"2007-05-14",22.4078
"2007-05-15",20.9236
"2007-05-16",20.9141
"2007-05-17",21.1441
"2007-05-18",22.9372
"2007-05-19",23.3599
"2007-05-20",23.62
"2007-05-21",23.8027
"2007-05-22",23.7244
"2007-05-23",23.94
"2007-05-24",23.5246
"2007-05-25",23.3727
"2007-05-26",23.1539
"2007-05-27",23.7003
"2007-05-28",22.6608
"2007-05-29",22.2319
"2007-05-30",22.9463
"2007-05-31",22.0844
"2007-06-01",23.0993
"2007-06-02",23.3185
"2007-06-03",23.2651
"2007-06-04",22.9693
"2007-06-05",23.559
"2007-06-06",23.7497
"2007-06-07",23.3431
"2007-06-08",22.5699
"2007-06-09",22.7351
"2007-06-10",23.572
"2007-06-11",23.4408
"2007-06-12",23.1386
"2007-06-13",23.6489
"2007-06-14",23.0391
"2007-06-15",22.7411
"2007-06-16",23.1581
"2007-06-17",22.9257
"2007-06-18",22.3946
"2007-06-19",22.6355
"2007-06-20",22.9073
"2007-06-21",22.9401
"2007-06-22",22.4156
"2007-06-23",22.871
"2007-06-24",23.285
"2007-06-25",23.1674
"2007-06-26",22.8593
"2007-06-27",23.0191
"2007-06-28",23.3086
"2007-06-29",23.0438
"2007-06-30",23.2932
"2007-07-01",23.0346
