,"(deg C) Mean Dew Point Temperature (ERA5) at Matara, 2007-01-01 to 2025-12-31"
"2007-01-01",19.7508
"2007-01-02",21.2327
"2007-01-03",21.2186
"2007-01-04",20.5614
"2007-01-05",20.696
"2007-01-06",20.2013
"2007-01-07",20.8476
"2007-01-08",22.347
"2007-01-09",22.7489
"2007-01-10",23.2332
"2007-01-11",22.9045
"2007-01-12",22.5253
"2007-01-13",22.6306
"2007-01-14",23.0029
"2007-01-15",22.4314
"2007-01-16",22.3387
"2007-01-17",22.604
"2007-01-18",23.068
"2007-01-19",22.5281
"2007-01-20",22.0546
"2007-01-21",20.6941
"2007-01-22",20.3053
"2007-01-23",20.2453
"2007-01-24",20.5656
"2007-01-25",21.5628
"2007-01-26",22.5115
"2007-01-27",22.6263
"2007-01-28",22.4582
"2007-01-29",21.8952
"2007-01-30",21.1545
"2007-01-31",21.7476
"2007-02-01",21.0589
"2007-02-02",20.3048
"2007-02-03",21.1611
"2007-02-04",21.0852
"2007-02-05",20.8059
"2007-02-06",20.406
"2007-02-07",20.4645
"2007-02-08",20.3566
"2007-02-09",19.7915
"2007-02-10",20.2108
"2007-02-11",21.4215
"2007-02-12",21.9046
"2007-02-13",22.0818
"2007-02-14",21.7411
"2007-02-15",21.6927
"2007-02-16",21.0563
"2007-02-17",21.1591
"2007-02-18",21.0216
"2007-02-19",20.208
"2007-02-20",20.1187
"2007-02-21",20.232
"2007-02-22",20.0708
"2007-02-23",20.3039
"2007-02-24",21.8293
"2007-02-25",22.3749
"2007-02-26",23.1117
"2007-02-27",23.2551
"2007-02-28",22.8244
"2007-03-01",22.9122
"2007-03-02",23.0088
"2007-03-03",22.4248
"2007-03-04",20.8813
"2007-03-05",21.8355
"2007-03-06",22.0214
"2007-03-07",22.006
"2007-03-08",21.2839
"2007-03-09",20.2156
"2007-03-10",21.1996
"2007-03-11",21.6573
"2007-03-12",22.0676
"2007-03-13",23.1071
"2007-03-14",23.0739
"2007-03-15",22.684
"2007-03-16",23.1857
"2007-03-17",23.0532
"2007-03-18",21.7895
"2007-03-19",21.8196
"2007-03-20",21.9336
"2007-03-21",22.2451
"2007-03-22",22.4339
"2007-03-23",22.3856
"2007-03-24",22.418
"2007-03-25",22.6023
"2007-03-26",22.7984
"2007-03-27",21.6273
"2007-03-28",21.7256
"2007-03-29",22.6208
"2007-03-30",22.7545
"2007-03-31",22.0875
"2007-04-01",23.3198
"2007-04-02",23.6034
"2007-04-03",24.0166
"2007-04-04",23.7805
"2007-04-05",23.6526
"2007-04-06",23.8635
"2007-04-07",23.4836
"2007-04-08",23.376
"2007-04-09",23.4943
"2007-04-10",23.543
"2007-04-11",23.5337
"2007-04-12",23.9733
"2007-04-13",24.2035
"2007-04-14",24.0685
"2007-04-15",24.0026
"2007-04-16",23.4723
"2007-04-17",23.4965
"2007-04-18",23.8807
"2007-04-19",24.3202
"2007-04-20",23.6365
"2007-04-21",23.2267
"2007-04-22",24.0258
"2007-04-23",24.1937
"2007-04-24",24.1696
"2007-04-25",24.223
"2007-04-26",23.9916
"2007-04-27",23.8818
"2007-04-28",23.8485
"2007-04-29",23.9066
"2007-04-30",23.8359
"2007-05-01",24.447
"2007-05-02",24.9057
"2007-05-03",23.876
"2007-05-04",24.2353
"2007-05-05",24.9803
"2007-05-06",24.9416
"2007-05-07",24.8824
"2007-05-08",25.0376
"2007-05-09",24.6064
"2007-05-10",24.8417
"2007-05-11",24.9957
"2007-05-12",24.7052
"2007-05-13",24.9758
"2007-05-14",24.5473
"2007-05-15",24.7975
"2007-05-16",24.3421
"2007-05-17",23.5615
"2007-05-18",24.2161
"2007-05-19",24.8248
"2007-05-20",24.8737
"2007-05-21",25.0844
"2007-05-22",24.9042
"2007-05-23",24.6157
"2007-05-24",24.8759
"2007-05-25",24.5937
"2007-05-26",24.8686
"2007-05-27",24.3812
"2007-05-28",23.3252
"2007-05-29",23.4808
"2007-05-30",23.7578
"2007-05-31",23.9183
"2007-06-01",23.8981
"2007-06-02",24.1536
"2007-06-03",24.2722
"2007-06-04",24.2568
"2007-06-05",24.7483
"2007-06-06",24.8752
"2007-06-07",24.191
"2007-06-08",23.8316
"2007-06-09",24.1837
"2007-06-10",24.3182
"2007-06-11",24.21
"2007-06-12",24.0793
"2007-06-13",24.141
"2007-06-14",23.5264
"2007-06-15",23.6941
"2007-06-16",23.5025
"2007-06-17",23.3576
"2007-06-18",23.2888
"2007-06-19",23.4391
"2007-06-20",23.2442
"2007-06-21",23.1709
"2007-06-22",23.0162
"2007-06-23",23.3656
"2007-06-24",23.9581
"2007-06-25",24.3167
"2007-06-26",24.0937
"2007-06-27",24.2139
"2007-06-28",24.015
"2007-06-29",24.3481
"2007-06-30",24.3123
"2007-07-01",24.1379
"2007-07-02",23.8086
"2007-07-03",24.1536
"2007-07-04",23.8558
"2007-07-05",23.8227
"2007-07-06",24.2313
"2007-07-07",23.7986
"2007-07-08",23.9716
"2007-07-09",24.1975
"2007-07-10",23.885
"2007-07-11",23.5356
"2007-07-12",24.0273
"2007-07-13",24.2892
"2007-07-14",24.0597
"2007-07-15",24.0259
"2007-07-16",23.8013
"2007-07-17",23.4011
"2007-07-18",23.1541
"2007-07-19",23.149
"2007-07-20",23.0601
"2007-07-21",22.8585
"2007-07-22",22.4688
"2007-07-23",22.8595
"2007-07-24",23.1558
"2007-07-25",22.6311
"2007-07-26",22.986
"2007-07-27",23.2991
"2007-07-28",23.0605
"2007-07-29",23.6503
"2007-07-30",23.3551
"2007-07-31",23.136
"2007-08-01",22.8262
"2007-08-02",23.2461
"2007-08-03",23.2438
"2007-08-04",23.4382
"2007-08-05",23.8386
"2007-08-06",23.1507
"2007-08-07",23.4471
"2007-08-08",23.9054
"2007-08-09",23.5894
"2007-08-10",23.4231
"2007-08-11",23.3566
"2007-08-12",23.7459
"2007-08-13",23.7897
"2007-08-14",23.0886
"2007-08-15",23.2973
"2007-08-16",23.7551
"2007-08-17",23.5682
"2007-08-18",23.6261
"2007-08-19",23.5507
"2007-08-20",23.5595
"2007-08-21",23.4073
"2007-08-22",23.2783
"2007-08-23",23.5956
"2007-08-24",23.5713
"2007-08-25",23.3505
"2007-08-26",23.2982
"2007-08-27",23.1624
"2007-08-28",23.6885
"2007-08-29",23.4041
"2007-08-30",23.0841
"2007-08-31",22.4697
"2007-09-01",23.2081
"2007-09-02",23.7617
"2007-09-03",23.5284
"2007-09-04",23.4496
"2007-09-05",23.4319
"2007-09-06",23.6121
"2007-09-07",23.4297
"2007-09-08",23.6414
"2007-09-09",22.3345
"2007-09-10",23.339
"2007-09-11",23.645
"2007-09-12",23.3055
"2007-09-13",23.5882
"2007-09-14",23.7837
"2007-09-15",23.5312
"2007-09-16",23.87
"2007-09-17",23.5143
"2007-09-18",23.594
"2007-09-19",23.6094
"2007-09-20",23.7644
"2007-09-21",23.7844
"2007-09-22",23.638
"2007-09-23",23.7358
"2007-09-24",23.7709
"2007-09-25",23.7596
"2007-09-26",23.51
"2007-09-27",24.1424
"2007-09-28",23.6096
"2007-09-29",23.3247
"2007-09-30",22.9611
"2007-10-01",23.7826
"2007-10-02",23.2103
"2007-10-03",23.4731
"2007-10-04",23.5651
"2007-10-05",23.2494
"2007-10-06",23.0742
"2007-10-07",23.3152
"2007-10-08",23.1628
"2007-10-09",23.5462
"2007-10-10",23.5312
"2007-10-11",23.2669
"2007-10-12",23.379
"2007-10-13",23.3577
"2007-10-14",23.2341
"2007-10-15",23.4415
"2007-10-16",23.3361
"2007-10-17",22.8907
"2007-10-18",22.6539
"2007-10-19",22.8184
"2007-10-20",21.7945
"2007-10-21",22.3613
"2007-10-22",22.3649
"2007-10-23",23.2347
"2007-10-24",23.4924
"2007-10-25",23.3021
"2007-10-26",22.6649
"2007-10-27",22.4246
"2007-10-28",22.972
"2007-10-29",23.1539
"2007-10-30",22.5399
"2007-10-31",22.7761
"2007-11-01",22.8554
"2007-11-02",22.767
"2007-11-03",22.7458
"2007-11-04",23.3103
"2007-11-05",22.8821
"2007-11-06",22.8819
"2007-11-07",22.7394
"2007-11-08",22.9889
"2007-11-09",22.8894
"2007-11-10",22.5549
"2007-11-11",22.8145
"2007-11-12",23.0453
"2007-11-13",22.9451
"2007-11-14",22.2405
"2007-11-15",22.0864
"2007-11-16",21.4535
"2007-11-17",21.465
"2007-11-18",21.9613
"2007-11-19",22.4022
"2007-11-20",23.0299
"2007-11-21",23.0098
"2007-11-22",23.114
"2007-11-23",22.9257
"2007-11-24",23.3141
"2007-11-25",23.3905
"2007-11-26",23.198
"2007-11-27",22.581
"2007-11-28",22.3379
"2007-11-29",21.8232
"2007-11-30",21.4641
"2007-12-01",21.5447
"2007-12-02",22.0731
"2007-12-03",22.4577
"2007-12-04",22.0927
"2007-12-05",20.9355
