,"(deg C) Mean Dew Point Temperature (ERA5) at Monaragala, 2007-01-01 to 2025-12-31"
"2007-01-01",17.5268
"2007-01-02",18.6902
"2007-01-03",18.0427
"2007-01-04",17.1194
"2007-01-05",17.952
"2007-01-06",17.8684
"2007-01-07",19.0902
"2007-01-08",21.1409
"2007-01-09",21.6376
"2007-01-10",21.8834
"2007-01-11",21.6234
"2007-01-12",21.3526
"2007-01-13",21.4069
"2007-01-14",21.5777
"2007-01-15",20.6929
"2007-01-16",20.8102
"2007-01-17",20.0744
"2007-01-18",20.4944
"2007-01-19",19.3283
"2007-01-20",19.1194
"2007-01-21",17.6928
"2007-01-22",17.1692
"2007-01-23",16.8609
"2007-01-24",17.7916
"2007-01-25",20.068
"2007-01-26",21.4702
"2007-01-27",21.6245
"2007-01-28",21.8698
"2007-01-29",21.4398
"2007-01-30",19.9442
"2007-01-31",20.1404
"2007-02-01",18.834
"2007-02-02",19.5401
"2007-02-03",20.2463
"2007-02-04",19.7418
"2007-02-05",18.5477
"2007-02-06",17.8042
"2007-02-07",19.2564
"2007-02-08",18.4248
"2007-02-09",19.3556
"2007-02-10",19.957
"2007-02-11",20.6953
"2007-02-12",21.02
"2007-02-13",21.35
"2007-02-14",20.6067
"2007-02-15",20.7631
"2007-02-16",20.6627
"2007-02-17",20.6129
"2007-02-18",20.0909
"2007-02-19",19.0944
"2007-02-20",18.9394
"2007-02-21",17.1088
"2007-02-22",17.8314
"2007-02-23",19.0841
"2007-02-24",20.9649
"2007-02-25",20.7322
"2007-02-26",21.21
"2007-02-27",21.6599
"2007-02-28",21.4077
"2007-03-01",20.9967
"2007-03-02",20.7845
"2007-03-03",20.3995
"2007-03-04",18.9001
"2007-03-05",18.3054
"2007-03-06",18.2297
"2007-03-07",18.859
"2007-03-08",18.4644
"2007-03-09",18.0928
"2007-03-10",18.4214
"2007-03-11",18.3355
"2007-03-12",20.7193
"2007-03-13",21.8398
"2007-03-14",21.211
"2007-03-15",20.8611
"2007-03-16",21.9752
"2007-03-17",21.3889
"2007-03-18",18.5656
"2007-03-19",17.1774
"2007-03-20",16.5602
"2007-03-21",17.938
"2007-03-22",18.2767
"2007-03-23",18.5609
"2007-03-24",19.2035
"2007-03-25",18.6653
"2007-03-26",18.2271
"2007-03-27",17.9525
"2007-03-28",17.3083
"2007-03-29",18.1194
"2007-03-30",19.6721
"2007-03-31",20.5486
"2007-04-01",21.965
"2007-04-02",21.5452
"2007-04-03",21.8454
"2007-04-04",21.9756
"2007-04-05",22.2007
"2007-04-06",22.5204
"2007-04-07",22.6114
"2007-04-08",22.2727
"2007-04-09",22.5097
"2007-04-10",22.3105
"2007-04-11",22.7581
"2007-04-12",22.9585
"2007-04-13",22.5403
"2007-04-14",22.5831
"2007-04-15",22.4603
"2007-04-16",22.0887
"2007-04-17",22.4668
"2007-04-18",22.5716
"2007-04-19",22.7844
"2007-04-20",21.9662
"2007-04-21",21.9934
"2007-04-22",22.263
"2007-04-23",22.7237
"2007-04-24",23.1034
"2007-04-25",22.7694
"2007-04-26",22.3991
"2007-04-27",21.9907
"2007-04-28",22.3572
"2007-04-29",22.3603
"2007-04-30",22.6923
"2007-05-01",22.5358
"2007-05-02",23.0871
"2007-05-03",22.4637
"2007-05-04",23.0545
"2007-05-05",23.7297
"2007-05-06",23.6811
"2007-05-07",23.4759
"2007-05-08",23.6595
"2007-05-09",23.1598
"2007-05-10",23.2442
"2007-05-11",23.5595
"2007-05-12",22.907
"2007-05-13",22.4204
"2007-05-14",21.1229
"2007-05-15",20.1049
"2007-05-16",20.0406
"2007-05-17",20.3513
"2007-05-18",21.8391
"2007-05-19",22.6329
"2007-05-20",23.0291
"2007-05-21",23.2026
"2007-05-22",23.2547
