,"(deg C) Mean Dew Point Temperature (ERA5) at Mullaitivu, 2007-01-01 to 2025-12-31"
"2007-01-01",19.3668
"2007-01-02",17.8214
"2007-01-03",18.0166
"2007-01-04",17.8156
"2007-01-05",18.8114
"2007-01-06",19.5368
"2007-01-07",20.4724
"2007-01-08",22.65
"2007-01-09",23.2069
"2007-01-10",21.9731
"2007-01-11",22.3546
"2007-01-12",22.8421
"2007-01-13",21.6735
"2007-01-14",23.0037
"2007-01-15",22.306
"2007-01-16",21.8254
"2007-01-17",21.3583
"2007-01-18",20.9861
"2007-01-19",20.3442
"2007-01-20",19.9674
"2007-01-21",19.6076
"2007-01-22",20.2526
"2007-01-23",20.0204
"2007-01-24",20.101
"2007-01-25",20.3178
"2007-01-26",22.2416
"2007-01-27",23.4594
"2007-01-28",23.6906
"2007-01-29",22.9425
"2007-01-30",21.7165
"2007-01-31",21.517
"2007-02-01",19.7852
"2007-02-02",21.4214
"2007-02-03",22.2306
"2007-02-04",21.383
"2007-02-05",19.6206
"2007-02-06",19.4396
"2007-02-07",20.1558
"2007-02-08",21.0389
"2007-02-09",22.6013
"2007-02-10",22.927
"2007-02-11",22.6299
"2007-02-12",23.31
"2007-02-13",23.3776
"2007-02-14",23.6485
"2007-02-15",22.7097
"2007-02-16",23.0458
"2007-02-17",22.9852
"2007-02-18",22.9554
"2007-02-19",21.402
"2007-02-20",19.8787
"2007-02-21",17.3428
"2007-02-22",17.8339
"2007-02-23",19.0306
"2007-02-24",21.7146
"2007-02-25",22.6512
"2007-02-26",23.8939
"2007-02-27",24.0771
"2007-02-28",23.0002
"2007-03-01",23.1146
"2007-03-02",22.8683
"2007-03-03",23.3517
"2007-03-04",21.5954
"2007-03-05",21.2497
"2007-03-06",20.8765
"2007-03-07",20.7931
"2007-03-08",20.3586
"2007-03-09",21.2198
"2007-03-10",21.3578
"2007-03-11",20.2159
"2007-03-12",22.8614
"2007-03-13",22.9748
"2007-03-14",22.2096
"2007-03-15",22.9389
"2007-03-16",23.803
"2007-03-17",23.4914
"2007-03-18",21.4925
"2007-03-19",20.5297
"2007-03-20",19.3482
"2007-03-21",20.0239
"2007-03-22",19.8869
"2007-03-23",20.1999
"2007-03-24",20.7653
"2007-03-25",21.9763
"2007-03-26",21.6771
"2007-03-27",21.2222
"2007-03-28",21.7776
"2007-03-29",21.7574
"2007-03-30",21.3763
"2007-03-31",23.432
"2007-04-01",24.3343
"2007-04-02",24.0087
"2007-04-03",23.9082
"2007-04-04",23.4212
"2007-04-05",24.2878
"2007-04-06",24.5977
"2007-04-07",24.5293
"2007-04-08",24.4427
"2007-04-09",24.4651
"2007-04-10",24.3411
"2007-04-11",24.3617
"2007-04-12",24.8408
"2007-04-13",24.8964
"2007-04-14",24.7856
"2007-04-15",24.3537
"2007-04-16",24.0919
"2007-04-17",24.2944
"2007-04-18",24.8162
"2007-04-19",25.2969
"2007-04-20",24.96
"2007-04-21",24.7576
"2007-04-22",24.75
"2007-04-23",25.0415
"2007-04-24",25.1473
"2007-04-25",24.831
"2007-04-26",24.3488
"2007-04-27",24.3174
"2007-04-28",24.5397
"2007-04-29",24.5055
"2007-04-30",25.0509
"2007-05-01",25.2654
"2007-05-02",25.3743
"2007-05-03",24.9667
"2007-05-04",25.1344
"2007-05-05",25.4553
"2007-05-06",25.565
"2007-05-07",25.2708
"2007-05-08",25.3198
"2007-05-09",25.0929
"2007-05-10",25.039
"2007-05-11",25.4672
"2007-05-12",24.0015
"2007-05-13",24.5286
"2007-05-14",24.6887
"2007-05-15",24.4054
"2007-05-16",24.3856
"2007-05-17",23.0664
"2007-05-18",24.2839
"2007-05-19",24.4755
"2007-05-20",24.4169
"2007-05-21",24.5014
"2007-05-22",24.698
"2007-05-23",24.8024
"2007-05-24",24.426
"2007-05-25",24.5738
"2007-05-26",24.273
"2007-05-27",24.4835
"2007-05-28",23.0375
"2007-05-29",22.3829
"2007-05-30",23.0086
"2007-05-31",22.8133
"2007-06-01",23.729
"2007-06-02",24.3429
"2007-06-03",24.2197
"2007-06-04",24.4014
"2007-06-05",24.638
"2007-06-06",25.3174
"2007-06-07",24.8005
"2007-06-08",24.1436
"2007-06-09",24.0722
"2007-06-10",24.5186
"2007-06-11",24.2821
"2007-06-12",24.2728
"2007-06-13",24.8633
"2007-06-14",24.8974
"2007-06-15",24.0949
"2007-06-16",24.2592
"2007-06-17",24.1756
