,"(deg C) Mean Dew Point Temperature (ERA5) at Nuwara Eliya, 2007-01-01 to 2025-12-31"
"2007-01-01",17.3198
"2007-01-02",18.4227
"2007-01-03",17.4877
"2007-01-04",16.5156
"2007-01-05",16.8858
"2007-01-06",17.3805
"2007-01-07",18.4067
"2007-01-08",20.3521
"2007-01-09",20.6443
"2007-01-10",21.2156
"2007-01-11",21.0615
"2007-01-12",20.587
"2007-01-13",20.591
"2007-01-14",20.9239
"2007-01-15",20.026
"2007-01-16",19.9481
"2007-01-17",19.3331
"2007-01-18",19.7312
"2007-01-19",18.6727
"2007-01-20",18.0865
"2007-01-21",16.7398
"2007-01-22",15.9856
"2007-01-23",15.5042
"2007-01-24",16.7154
"2007-01-25",19.1375
"2007-01-26",20.541
"2007-01-27",21.1763
"2007-01-28",20.9112
"2007-01-29",20.2568
"2007-01-30",19.3006
"2007-01-31",19.2264
"2007-02-01",17.937
"2007-02-02",18.5305
"2007-02-03",19.1291
"2007-02-04",18.6754
"2007-02-05",17.135
"2007-02-06",15.7395
"2007-02-07",17.6709
"2007-02-08",17.3139
"2007-02-09",18.0364
"2007-02-10",18.4481
"2007-02-11",19.3216
"2007-02-12",19.8067
"2007-02-13",19.4884
"2007-02-14",18.8661
"2007-02-15",18.8596
"2007-02-16",18.1655
"2007-02-17",18.908
"2007-02-18",18.8269
"2007-02-19",17.7678
"2007-02-20",17.4449
"2007-02-21",15.4944
"2007-02-22",16.6215
"2007-02-23",18.1142
"2007-02-24",19.7494
"2007-02-25",19.5318
"2007-02-26",19.9901
"2007-02-27",20.3919
"2007-02-28",19.7755
"2007-03-01",19.6433
"2007-03-02",19.8206
"2007-03-03",18.7179
"2007-03-04",16.3589
"2007-03-05",16.673
"2007-03-06",16.3157
"2007-03-07",18.36
"2007-03-08",16.5254
"2007-03-09",14.5152
"2007-03-10",16.1059
"2007-03-11",16.4799
"2007-03-12",19.1413
"2007-03-13",20.9571
"2007-03-14",20.1966
"2007-03-15",19.4805
"2007-03-16",20.9361
"2007-03-17",20.3059
"2007-03-18",17.474
"2007-03-19",15.2264
"2007-03-20",15.4376
"2007-03-21",16.6536
"2007-03-22",17.1835
"2007-03-23",16.8344
"2007-03-24",18.1338
"2007-03-25",16.6964
"2007-03-26",16.0169
"2007-03-27",15.0975
"2007-03-28",14.2242
"2007-03-29",14.4824
"2007-03-30",18.8679
"2007-03-31",19.9398
"2007-04-01",20.97
"2007-04-02",20.368
"2007-04-03",20.4092
"2007-04-04",20.1719
"2007-04-05",21.0887
"2007-04-06",21.3186
"2007-04-07",21.6639
"2007-04-08",21.6644
"2007-04-09",21.7675
"2007-04-10",21.6306
"2007-04-11",21.5361
"2007-04-12",22.1469
"2007-04-13",21.9127
"2007-04-14",21.8341
"2007-04-15",21.7613
"2007-04-16",21.3859
"2007-04-17",21.5944
"2007-04-18",21.6421
"2007-04-19",21.9427
"2007-04-20",21.6031
"2007-04-21",21.409
"2007-04-22",21.8027
"2007-04-23",22.0043
"2007-04-24",22.2136
"2007-04-25",21.9669
"2007-04-26",21.5027
"2007-04-27",21.3577
"2007-04-28",21.4799
"2007-04-29",21.6017
"2007-04-30",22.0376
"2007-05-01",22.0086
"2007-05-02",22.618
"2007-05-03",21.4599
"2007-05-04",21.9954
"2007-05-05",22.5858
"2007-05-06",22.6593
"2007-05-07",22.5166
"2007-05-08",22.65
"2007-05-09",22.0259
"2007-05-10",22.4511
"2007-05-11",23.0167
"2007-05-12",22.4623
"2007-05-13",21.7362
"2007-05-14",20.7082
"2007-05-15",19.201
"2007-05-16",19.1852
"2007-05-17",19.6343
"2007-05-18",21.5333
"2007-05-19",22.1176
"2007-05-20",22.1776
"2007-05-21",22.4603
"2007-05-22",22.4454
"2007-05-23",22.6602
"2007-05-24",22.231
"2007-05-25",22.0252
"2007-05-26",21.9672
"2007-05-27",22.457
"2007-05-28",21.0553
"2007-05-29",20.8188
"2007-05-30",21.573
"2007-05-31",21.2186
"2007-06-01",21.5897
"2007-06-02",21.9888
"2007-06-03",22.1088
"2007-06-04",21.7036
"2007-06-05",22.2436
"2007-06-06",22.3231
"2007-06-07",22.101
"2007-06-08",21.2803
"2007-06-09",21.2917
"2007-06-10",22.0475
"2007-06-11",22.0339
"2007-06-12",21.8215
"2007-06-13",22.0206
"2007-06-14",20.966
"2007-06-15",21.234
"2007-06-16",21.3594
"2007-06-17",20.8489
"2007-06-18",20.4273
"2007-06-19",21.1517
"2007-06-20",20.7684
"2007-06-21",20.9209
"2007-06-22",20.5647
"2007-06-23",21.0301
"2007-06-24",21.5801
"2007-06-25",21.4894
"2007-06-26",21.2693
"2007-06-27",21.4988
"2007-06-28",21.5236
"2007-06-29",21.5384
"2007-06-30",21.8107
"2007-07-01",21.712
"2007-07-02",21.113
"2007-07-03",21.4503
"2007-07-04",20.6821
"2007-07-05",21.2367
"2007-07-06",21.6366
"2007-07-07",20.9275
"2007-07-08",20.7265
"2007-07-09",20.9291
"2007-07-10",20.7213
"2007-07-11",21.3185
"2007-07-12",21.5649
"2007-07-13",21.7373
"2007-07-14",21.4481
"2007-07-15",21.0602
"2007-07-16",21.769
"2007-07-17",21.3368
"2007-07-18",21.4228
"2007-07-19",21.3903
"2007-07-20",20.59
"2007-07-21",19.9745
"2007-07-22",20.3623
"2007-07-23",20.8882
"2007-07-24",20.8676
"2007-07-25",19.5384
"2007-07-26",20.3178
"2007-07-27",20.0731
"2007-07-28",20.76
"2007-07-29",21.0646
"2007-07-30",20.8299
"2007-07-31",20.6501
"2007-08-01",20.1127
"2007-08-02",20.3351
"2007-08-03",20.4882
"2007-08-04",20.7664
"2007-08-05",20.8862
"2007-08-06",20.3332
"2007-08-07",20.5908
"2007-08-08",20.602
"2007-08-09",20.8267
"2007-08-10",21.3477
"2007-08-11",21.2312
"2007-08-12",21.0797
"2007-08-13",20.664
"2007-08-14",20.1904
"2007-08-15",20.5621
"2007-08-16",20.8182
"2007-08-17",20.6637
"2007-08-18",20.8551
"2007-08-19",20.7022
"2007-08-20",20.6933
"2007-08-21",20.9449
"2007-08-22",20.6583
"2007-08-23",21.1848
"2007-08-24",20.9942
"2007-08-25",21.0579
"2007-08-26",20.5893
"2007-08-27",20.4396
"2007-08-28",21.1256
"2007-08-29",20.8225
"2007-08-30",20.8294
"2007-08-31",19.9633
"2007-09-01",20.0139
"2007-09-02",20.8467
"2007-09-03",20.4475
"2007-09-04",21.0117
"2007-09-05",21.3984
"2007-09-06",20.7452
"2007-09-07",21.9553
"2007-09-08",21.8871
"2007-09-09",19.9966
"2007-09-10",20.3826
"2007-09-11",21.2114
"2007-09-12",20.9829
"2007-09-13",20.6905
"2007-09-14",21.0203
"2007-09-15",21.2457
"2007-09-16",21.5513
"2007-09-17",21.4812
"2007-09-18",21.2807
"2007-09-19",21.4253
"2007-09-20",21.4599
"2007-09-21",21.5544
"2007-09-22",21.2311
"2007-09-23",21.1345
"2007-09-24",20.9104
"2007-09-25",21.0179
"2007-09-26",21.0129
"2007-09-27",21.1112
"2007-09-28",21.3002
"2007-09-29",20.5162
"2007-09-30",20.0459
"2007-10-01",20.6835
"2007-10-02",20.9206
"2007-10-03",21.0492
"2007-10-04",21.1541
"2007-10-05",20.8677
"2007-10-06",20.5688
"2007-10-07",20.8469
"2007-10-08",20.6329
"2007-10-09",20.6903
"2007-10-10",21.1209
"2007-10-11",21.2185
"2007-10-12",20.896
"2007-10-13",21.0334
"2007-10-14",21.1457
"2007-10-15",21.1399
"2007-10-16",21.2496
"2007-10-17",20.8827
"2007-10-18",20.5543
"2007-10-19",20.7702
"2007-10-20",19.4762
"2007-10-21",19.6661
"2007-10-22",19.6992
"2007-10-23",20.3468
"2007-10-24",21.2115
"2007-10-25",21.3836
"2007-10-26",20.6903
"2007-10-27",20.3019
"2007-10-28",20.6997
"2007-10-29",20.3271
"2007-10-30",19.9993
"2007-10-31",20.1523
"2007-11-01",20.4984
"2007-11-02",20.7214
"2007-11-03",20.8902
"2007-11-04",20.9881
"2007-11-05",21.4556
"2007-11-06",20.87
"2007-11-07",20.7261
"2007-11-08",20.5678
"2007-11-09",20.358
"2007-11-10",19.5434
"2007-11-11",20.4751
"2007-11-12",20.51
"2007-11-13",20.3859
"2007-11-14",18.4365
"2007-11-15",17.7359
"2007-11-16",17.8504
"2007-11-17",16.6694
"2007-11-18",19.1779
"2007-11-19",20.2168
"2007-11-20",21.1958
"2007-11-21",20.8341
"2007-11-22",21.0707
"2007-11-23",21.3074
"2007-11-24",21.2032
"2007-11-25",19.8148
"2007-11-26",18.8213
"2007-11-27",19.4616
"2007-11-28",20.2078
"2007-11-29",19.4256
"2007-11-30",17.9239
"2007-12-01",18.6593
"2007-12-02",19.5639
"2007-12-03",18.5254
"2007-12-04",19.2921
"2007-12-05",18.4169
"2007-12-06",18.5742
"2007-12-07",19.8523
"2007-12-08",20.2974
"2007-12-09",20.0515
"2007-12-10",19.5582
"2007-12-11",18.95
"2007-12-12",20.0412
"2007-12-13",21.1995
"2007-12-14",21.5305
"2007-12-15",20.8606
"2007-12-16",20.7113
"2007-12-17",21.2044
"2007-12-18",21.5743
"2007-12-19",21.3914
"2007-12-20",21.2991
"2007-12-21",20.8042
