,"(deg C) Mean Dew Point Temperature (ERA5) at Polonnaruwa, 2007-01-01 to 2025-12-31"
"2007-01-01",19.4473
"2007-01-02",18.6258
"2007-01-03",18.0406
"2007-01-04",18.1299
"2007-01-05",19.1312
"2007-01-06",19.3372
"2007-01-07",20.4471
"2007-01-08",22.7364
"2007-01-09",23.26
"2007-01-10",22.7694
"2007-01-11",23.0665
"2007-01-12",22.8315
"2007-01-13",22.8773
"2007-01-14",22.8711
"2007-01-15",22.1913
"2007-01-16",21.9294
"2007-01-17",21.194
"2007-01-18",21.6517
"2007-01-19",20.6083
"2007-01-20",20.3024
"2007-01-21",19.5156
"2007-01-22",19.4526
"2007-01-23",19.7071
"2007-01-24",19.6479
"2007-01-25",21.0165
"2007-01-26",22.5696
"2007-01-27",22.9549
"2007-01-28",23.6374
"2007-01-29",23.0748
"2007-01-30",21.7045
"2007-01-31",21.9263
"2007-02-01",20.0408
"2007-02-02",21.5086
"2007-02-03",22.2439
"2007-02-04",21.3425
"2007-02-05",19.7694
"2007-02-06",19.1071
"2007-02-07",20.5542
"2007-02-08",20.1635
"2007-02-09",21.7765
"2007-02-10",22.5934
"2007-02-11",22.503
"2007-02-12",22.7982
"2007-02-13",22.4623
"2007-02-14",22.2774
"2007-02-15",22.1703
"2007-02-16",22.4186
"2007-02-17",22.2834
"2007-02-18",22.1816
"2007-02-19",20.7315
"2007-02-20",20.0921
"2007-02-21",17.481
"2007-02-22",18.2649
"2007-02-23",19.9364
"2007-02-24",22.1725
"2007-02-25",22.4641
"2007-02-26",22.8671
"2007-02-27",23.5481
"2007-02-28",23.08
"2007-03-01",22.7749
"2007-03-02",22.7322
"2007-03-03",22.5243
"2007-03-04",21.1376
"2007-03-05",20.8535
"2007-03-06",20.6402
"2007-03-07",20.347
"2007-03-08",20.1306
"2007-03-09",20.7149
"2007-03-10",21.0629
"2007-03-11",20.3368
"2007-03-12",22.7668
"2007-03-13",23.2013
"2007-03-14",22.3025
"2007-03-15",22.9644
"2007-03-16",23.7842
"2007-03-17",22.974
"2007-03-18",20.5563
"2007-03-19",19.0727
"2007-03-20",18.1331
"2007-03-21",19.6718
"2007-03-22",19.2972
"2007-03-23",19.2758
"2007-03-24",20.2447
"2007-03-25",20.1303
"2007-03-26",20.1069
"2007-03-27",19.7259
"2007-03-28",20.462
"2007-03-29",20.681
"2007-03-30",20.4938
"2007-03-31",22.2437
"2007-04-01",23.5951
"2007-04-02",22.9597
"2007-04-03",23.2328
"2007-04-04",23.1237
"2007-04-05",23.8767
"2007-04-06",23.8236
"2007-04-07",24.051
"2007-04-08",23.6017
"2007-04-09",24.0568
"2007-04-10",23.9818
"2007-04-11",24.0234
"2007-04-12",24.4797
"2007-04-13",24.2954
"2007-04-14",24.0346
"2007-04-15",23.9226
"2007-04-16",23.578
"2007-04-17",23.6864
"2007-04-18",23.693
"2007-04-19",24.3408
"2007-04-20",23.9155
"2007-04-21",23.853
"2007-04-22",24.1409
"2007-04-23",24.3974
"2007-04-24",24.3243
"2007-04-25",24.1346
"2007-04-26",23.5792
"2007-04-27",23.7216
"2007-04-28",23.9979
"2007-04-29",23.6802
"2007-04-30",24.2868
"2007-05-01",24.0744
"2007-05-02",24.766
"2007-05-03",23.4221
"2007-05-04",24.0176
"2007-05-05",24.4893
"2007-05-06",24.3937
"2007-05-07",24.1866
"2007-05-08",24.4354
"2007-05-09",24.0083
"2007-05-10",24.2787
"2007-05-11",24.6057
"2007-05-12",24.0277
"2007-05-13",22.4434
"2007-05-14",22.3824
"2007-05-15",21.3181
"2007-05-16",21.2631
"2007-05-17",21.0471
"2007-05-18",22.9363
"2007-05-19",23.3187
"2007-05-20",23.5963
"2007-05-21",23.7
"2007-05-22",23.6656
"2007-05-23",24.1137
"2007-05-24",23.736
"2007-05-25",23.4925
"2007-05-26",23.0769
"2007-05-27",23.614
"2007-05-28",22.2876
"2007-05-29",22.1256
"2007-05-30",22.6089
"2007-05-31",21.6559
"2007-06-01",22.8345
"2007-06-02",23.2027
"2007-06-03",23.079
"2007-06-04",23.2125
"2007-06-05",23.6756
"2007-06-06",23.9375
"2007-06-07",23.3625
"2007-06-08",22.5231
"2007-06-09",22.5832
"2007-06-10",23.5571
"2007-06-11",23.2992
"2007-06-12",22.8758
"2007-06-13",23.6861
"2007-06-14",23.0843
"2007-06-15",22.459
"2007-06-16",23.1063
"2007-06-17",22.9787
"2007-06-18",22.5456
"2007-06-19",22.4449
"2007-06-20",22.6083
"2007-06-21",22.7849
"2007-06-22",22.3014
"2007-06-23",23.0637
"2007-06-24",23.1174
"2007-06-25",23.2529
"2007-06-26",22.9105
"2007-06-27",23.0562
"2007-06-28",23.1684
"2007-06-29",22.8498
"2007-06-30",23.0807
"2007-07-01",22.8093
"2007-07-02",22.5688
"2007-07-03",22.9046
"2007-07-04",22.1108
"2007-07-05",22.537
"2007-07-06",22.1477
"2007-07-07",21.8964
"2007-07-08",21.9726
"2007-07-09",22.3333
"2007-07-10",21.8665
"2007-07-11",22.5083
"2007-07-12",22.7946
"2007-07-13",22.5171
"2007-07-14",22.5902
"2007-07-15",22.1625
"2007-07-16",22.7486
"2007-07-17",22.6108
"2007-07-18",22.6776
"2007-07-19",22.826
"2007-07-20",22.1571
"2007-07-21",21.6925
"2007-07-22",22.1883
"2007-07-23",22.7473
"2007-07-24",22.5186
"2007-07-25",21.2592
"2007-07-26",21.8908
"2007-07-27",21.752
"2007-07-28",22.1436
"2007-07-29",22.483
"2007-07-30",22.1661
"2007-07-31",21.9681
"2007-08-01",21.2917
"2007-08-02",21.4612
"2007-08-03",21.8414
"2007-08-04",21.9462
"2007-08-05",22.1646
"2007-08-06",21.7227
"2007-08-07",21.7351
"2007-08-08",22.0306
"2007-08-09",22.1677
"2007-08-10",22.8296
"2007-08-11",22.2144
"2007-08-12",22.3518
"2007-08-13",21.9473
"2007-08-14",21.4221
"2007-08-15",21.6987
"2007-08-16",21.7043
"2007-08-17",21.7232
"2007-08-18",21.9131
"2007-08-19",22.1674
"2007-08-20",21.844
"2007-08-21",22.2891
"2007-08-22",21.6209
"2007-08-23",22.5261
"2007-08-24",22.5054
"2007-08-25",22.1762
"2007-08-26",21.9723
"2007-08-27",21.4899
"2007-08-28",21.9465
"2007-08-29",22.24
"2007-08-30",22.392
"2007-08-31",22.019
"2007-09-01",21.5935
"2007-09-02",22.0444
"2007-09-03",21.7294
"2007-09-04",22.1839
"2007-09-05",22.6805
"2007-09-06",22.4058
"2007-09-07",23.273
"2007-09-08",23.2656
"2007-09-09",22.217
"2007-09-10",21.9607
"2007-09-11",22.5206
"2007-09-12",22.5139
"2007-09-13",22.547
"2007-09-14",22.7891
"2007-09-15",23.0825
"2007-09-16",23.2221
"2007-09-17",23.2186
"2007-09-18",22.8067
"2007-09-19",22.663
"2007-09-20",22.9607
"2007-09-21",23.0202
"2007-09-22",22.552
"2007-09-23",22.6307
"2007-09-24",22.4602
"2007-09-25",22.3703
"2007-09-26",22.3051
"2007-09-27",22.365
"2007-09-28",22.3558
"2007-09-29",22.0014
"2007-09-30",21.6424
"2007-10-01",21.3269
"2007-10-02",22.4375
"2007-10-03",22.3118
"2007-10-04",22.1415
"2007-10-05",22.0579
"2007-10-06",22.0532
"2007-10-07",22.2696
"2007-10-08",22.1476
"2007-10-09",21.6946
"2007-10-10",22.1789
"2007-10-11",23.0655
"2007-10-12",22.9247
"2007-10-13",22.744
"2007-10-14",23.2697
"2007-10-15",23.3975
"2007-10-16",23.5589
"2007-10-17",23.5278
"2007-10-18",23.0937
"2007-10-19",23.2111
"2007-10-20",22.1282
"2007-10-21",22.5044
"2007-10-22",22.7498
"2007-10-23",23.321
"2007-10-24",23.5907
"2007-10-25",23.6649
"2007-10-26",23.048
"2007-10-27",23.3404
"2007-10-28",23.1321
"2007-10-29",22.7378
"2007-10-30",22.4733
"2007-10-31",22.8589
"2007-11-01",23.3151
"2007-11-02",23.3187
"2007-11-03",23.2649
"2007-11-04",23.2528
"2007-11-05",23.8332
"2007-11-06",23.2202
"2007-11-07",23.2747
"2007-11-08",23.0786
"2007-11-09",22.609
"2007-11-10",22.4524
"2007-11-11",22.8896
"2007-11-12",23.2541
"2007-11-13",22.7669
"2007-11-14",20.2638
"2007-11-15",20.6259
"2007-11-16",19.0459
"2007-11-17",18.8984
"2007-11-18",22.4066
"2007-11-19",23.4797
"2007-11-20",22.9347
"2007-11-21",23.4552
"2007-11-22",23.2268
"2007-11-23",22.9181
"2007-11-24",22.8887
"2007-11-25",20.0356
"2007-11-26",21.0728
"2007-11-27",22.7241
"2007-11-28",22.8942
"2007-11-29",22.2319
"2007-11-30",20.5287
"2007-12-01",21.5912
"2007-12-02",21.6834
"2007-12-03",20.5127
"2007-12-04",22.3468
"2007-12-05",21.355
"2007-12-06",21.4673
"2007-12-07",22.3495
"2007-12-08",22.9837
"2007-12-09",22.8634
"2007-12-10",22.4621
"2007-12-11",21.7754
"2007-12-12",22.675
"2007-12-13",23.3361
"2007-12-14",23.3858
"2007-12-15",23.1072
"2007-12-16",22.6489
"2007-12-17",23.2472
"2007-12-18",23.7657
"2007-12-19",23.4704
"2007-12-20",23.4898
"2007-12-21",23.467
"2007-12-22",22.9836
"2007-12-23",22.6527
"2007-12-24",21.1569
"2007-12-25",19.9761
"2007-12-26",19.8921
"2007-12-27",20.3294
"2007-12-28",20.6824
"2007-12-29",20.0351
"2007-12-30",20.758
"2007-12-31",19.642
"2008-01-01",19.7354
"2008-01-02",21.1588
"2008-01-03",22.9791
"2008-01-04",22.7259
"2008-01-05",22.6746
"2008-01-06",22.2044
"2008-01-07",21.8
"2008-01-08",22.2641
"2008-01-09",22.8217
"2008-01-10",22.9335
"2008-01-11",22.6679
"2008-01-12",22.9499
"2008-01-13",22.4748
"2008-01-14",20.5557
"2008-01-15",19.8868
"2008-01-16",20.216
"2008-01-17",19.8417
"2008-01-18",18.8808
"2008-01-19",18.5085
"2008-01-20",21.701
"2008-01-21",23.3159
"2008-01-22",22.8095
"2008-01-23",20.2921
"2008-01-24",21.9545
"2008-01-25",22.9693
"2008-01-26",22.8506
"2008-01-27",22.3328
"2008-01-28",22.204
"2008-01-29",22.3356
"2008-01-30",21.6479
"2008-01-31",21.7575
"2008-02-01",21.9173
"2008-02-02",21.6483
"2008-02-03",21.0188
"2008-02-04",21.3183
"2008-02-05",22.2153
"2008-02-06",23.4671
"2008-02-07",23.2381
"2008-02-08",23.3067
"2008-02-09",23.4517
"2008-02-10",23.4922
"2008-02-11",22.9885
"2008-02-12",23.2894
"2008-02-13",23.2421
"2008-02-14",23.1067
"2008-02-15",22.6625
"2008-02-16",22.3049
"2008-02-17",21.018
"2008-02-18",20.4887
"2008-02-19",20.4191
"2008-02-20",22.6563
"2008-02-21",23.0223
"2008-02-22",20.7664
"2008-02-23",18.1751
"2008-02-24",18.0927
"2008-02-25",17.8591
"2008-02-26",21.4959
"2008-02-27",22.9047
"2008-02-28",22.8394
"2008-02-29",22.999
"2008-03-01",21.6962
"2008-03-02",22.997
"2008-03-03",22.7244
"2008-03-04",22.914
"2008-03-05",23.1801
"2008-03-06",22.6155
"2008-03-07",21.4327
"2008-03-08",20.533
"2008-03-09",22.64
"2008-03-10",22.8103
"2008-03-11",23.2024
"2008-03-12",23.2212
"2008-03-13",23.0493
"2008-03-14",23.3483
"2008-03-15",23.2095
"2008-03-16",23.5656
"2008-03-17",23.4399
"2008-03-18",23.525
"2008-03-19",23.4661
"2008-03-20",23.1073
"2008-03-21",23.5659
"2008-03-22",23.552
"2008-03-23",23.4319
"2008-03-24",23.2669
"2008-03-25",23.1395
"2008-03-26",22.7286
"2008-03-27",23.4256
"2008-03-28",23.437
"2008-03-29",23.4281
"2008-03-30",23.5924
"2008-03-31",23.5443
"2008-04-01",23.572
"2008-04-02",23.0385
"2008-04-03",22.9929
"2008-04-04",23.2628
"2008-04-05",23.4425
"2008-04-06",23.5803
"2008-04-07",23.5338
"2008-04-08",23.495
"2008-04-09",22.9411
"2008-04-10",23.609
"2008-04-11",23.8551
"2008-04-12",23.1385
"2008-04-13",23.9071
"2008-04-14",23.8276
"2008-04-15",23.4998
"2008-04-16",24.0405
"2008-04-17",23.532
"2008-04-18",23.9904
"2008-04-19",23.7605
"2008-04-20",23.416
"2008-04-21",23.9347
"2008-04-22",23.6745
"2008-04-23",24.0575
"2008-04-24",23.9229
"2008-04-25",23.3334
