,"(deg C) Mean Dew Point Temperature (ERA5) at Puttalam, 2007-01-01 to 2025-12-31"
"2007-01-01",19.657
"2007-01-02",18.5337
"2007-01-03",18.0834
"2007-01-04",17.7933
"2007-01-05",18.7727
"2007-01-06",19.4631
"2007-01-07",20.4044
"2007-01-08",22.4135
"2007-01-09",23.1071
"2007-01-10",22.4349
"2007-01-11",22.6791
"2007-01-12",22.6673
"2007-01-13",22.1694
"2007-01-14",22.9145
"2007-01-15",22.3921
"2007-01-16",22.1225
"2007-01-17",21.5323
"2007-01-18",21.4975
"2007-01-19",20.573
"2007-01-20",20.0861
"2007-01-21",19.4449
"2007-01-22",19.8314
"2007-01-23",19.8021
"2007-01-24",19.8097
"2007-01-25",20.7338
"2007-01-26",22.331
"2007-01-27",23.3917
"2007-01-28",23.2858
"2007-01-29",22.7973
"2007-01-30",21.8905
"2007-01-31",21.7247
"2007-02-01",20.4466
"2007-02-02",21.5025
"2007-02-03",22.0663
"2007-02-04",21.6895
"2007-02-05",20.2494
"2007-02-06",19.3643
"2007-02-07",20.502
"2007-02-08",20.3572
"2007-02-09",21.6538
"2007-02-10",22.0853
"2007-02-11",22.4589
"2007-02-12",23.0078
"2007-02-13",23.5026
"2007-02-14",23.2668
"2007-02-15",22.5142
"2007-02-16",21.8952
"2007-02-17",22.1908
"2007-02-18",22.3776
"2007-02-19",20.9761
"2007-02-20",20.0595
"2007-02-21",17.5197
"2007-02-22",17.879
"2007-02-23",19.4851
"2007-02-24",21.825
"2007-02-25",22.9524
"2007-02-26",23.1737
"2007-02-27",23.5973
"2007-02-28",23.3237
"2007-03-01",23.3265
"2007-03-02",23.7776
"2007-03-03",23.7304
"2007-03-04",21.2814
"2007-03-05",20.594
"2007-03-06",21.0058
"2007-03-07",20.9302
"2007-03-08",21.3505
"2007-03-09",20.7711
"2007-03-10",21.3424
"2007-03-11",20.6456
"2007-03-12",22.2652
"2007-03-13",23.1564
"2007-03-14",22.6682
"2007-03-15",23.0834
"2007-03-16",23.7571
"2007-03-17",23.678
"2007-03-18",21.7751
"2007-03-19",21.4514
"2007-03-20",22.0044
"2007-03-21",23.2899
"2007-03-22",22.9514
"2007-03-23",21.6084
"2007-03-24",22.3642
"2007-03-25",23.9618
"2007-03-26",23.9725
"2007-03-27",22.8601
"2007-03-28",22.8181
"2007-03-29",22.2395
