,"(deg C) Mean Dew Point Temperature (ERA5) at Ratnapura, 2007-01-01 to 2025-12-31"
"2007-01-01",19.1684
"2007-01-02",19.9684
"2007-01-03",19.616
"2007-01-04",19.0857
"2007-01-05",18.9343
"2007-01-06",18.8074
"2007-01-07",19.3927
"2007-01-08",21.1785
"2007-01-09",21.8369
"2007-01-10",22.3307
"2007-01-11",21.8427
"2007-01-12",21.4011
"2007-01-13",21.5655
"2007-01-14",21.9766
"2007-01-15",20.9768
"2007-01-16",20.8982
"2007-01-17",20.993
"2007-01-18",21.4083
"2007-01-19",20.3426
"2007-01-20",19.7398
"2007-01-21",18.9209
"2007-01-22",18.0702
"2007-01-23",18.1065
"2007-01-24",18.4521
"2007-01-25",20.0248
"2007-01-26",21.3954
"2007-01-27",21.922
"2007-01-28",21.9161
"2007-01-29",21.3531
"2007-01-30",20.3137
"2007-01-31",20.4256
"2007-02-01",19.9647
"2007-02-02",19.4602
"2007-02-03",20.0426
"2007-02-04",19.9258
"2007-02-05",18.8021
"2007-02-06",18.7106
"2007-02-07",19.6761
"2007-02-08",19.4889
"2007-02-09",19.4357
"2007-02-10",19.59
"2007-02-11",20.6578
"2007-02-12",21.2282
"2007-02-13",21.1686
"2007-02-14",20.609
"2007-02-15",20.5881
"2007-02-16",20.139
"2007-02-17",20.3773
"2007-02-18",20.3253
"2007-02-19",19.3288
"2007-02-20",18.934
"2007-02-21",18.2013
"2007-02-22",19.0229
"2007-02-23",19.792
"2007-02-24",20.9219
"2007-02-25",20.5449
"2007-02-26",21.4568
"2007-02-27",21.7488
"2007-02-28",20.9927
"2007-03-01",21.5856
"2007-03-02",21.4556
"2007-03-03",20.7087
"2007-03-04",19.3532
"2007-03-05",19.9283
"2007-03-06",20.7298
"2007-03-07",21.3961
"2007-03-08",20.1019
"2007-03-09",19.0749
"2007-03-10",19.5037
"2007-03-11",20.2398
"2007-03-12",20.8143
"2007-03-13",22.0272
"2007-03-14",21.8898
"2007-03-15",21.6523
"2007-03-16",22.059
"2007-03-17",21.7505
"2007-03-18",20.4584
"2007-03-19",20.3621
"2007-03-20",20.4398
"2007-03-21",20.7145
"2007-03-22",20.7584
"2007-03-23",20.8263
"2007-03-24",20.685
"2007-03-25",20.7034
"2007-03-26",20.717
"2007-03-27",19.8011
"2007-03-28",19.6291
"2007-03-29",20.6817
"2007-03-30",21.5357
"2007-03-31",21.4544
"2007-04-01",22.1449
"2007-04-02",21.9952
"2007-04-03",22.3836
"2007-04-04",22.2864
"2007-04-05",22.4136
"2007-04-06",22.5917
"2007-04-07",22.3701
"2007-04-08",22.2527
"2007-04-09",22.2747
"2007-04-10",22.2888
"2007-04-11",22.2378
"2007-04-12",22.8296
"2007-04-13",23.0588
"2007-04-14",22.7118
"2007-04-15",22.68
"2007-04-16",22.0659
"2007-04-17",22.2699
"2007-04-18",22.3605
"2007-04-19",22.7819
"2007-04-20",22.3556
"2007-04-21",21.9571
"2007-04-22",22.668
"2007-04-23",22.7187
"2007-04-24",22.9231
"2007-04-25",22.7869
"2007-04-26",22.4386
"2007-04-27",22.0222
"2007-04-28",22.1644
"2007-04-29",22.5396
"2007-04-30",22.5659
"2007-05-01",22.9652
"2007-05-02",23.5644
"2007-05-03",22.2415
"2007-05-04",22.9521
"2007-05-05",23.7348
"2007-05-06",23.6057
"2007-05-07",23.5818
"2007-05-08",23.7372
"2007-05-09",23.1349
"2007-05-10",23.73
"2007-05-11",23.7802
"2007-05-12",23.4109
"2007-05-13",23.1664
"2007-05-14",22.4542
"2007-05-15",21.7516
"2007-05-16",21.3398
"2007-05-17",21.4331
"2007-05-18",22.8619
"2007-05-19",23.4058
"2007-05-20",23.3916
"2007-05-21",23.7678
"2007-05-22",23.6966
"2007-05-23",23.5887
"2007-05-24",23.4805
"2007-05-25",23.1153
"2007-05-26",23.3095
"2007-05-27",23.2665
"2007-05-28",21.8526
"2007-05-29",21.8904
"2007-05-30",22.4406
"2007-05-31",22.4936
"2007-06-01",22.7058
"2007-06-02",22.95
"2007-06-03",23.1146
"2007-06-04",22.9477
"2007-06-05",23.331
"2007-06-06",23.4556
"2007-06-07",22.9359
"2007-06-08",22.5363
"2007-06-09",22.5422
"2007-06-10",23.0907
"2007-06-11",23.0075
"2007-06-12",22.8678
"2007-06-13",22.9662
"2007-06-14",21.7908
"2007-06-15",22.2271
"2007-06-16",22.2324
"2007-06-17",21.8654
"2007-06-18",21.4152
"2007-06-19",21.9566
"2007-06-20",21.7574
"2007-06-21",21.7473
"2007-06-22",21.4975
"2007-06-23",21.9269
"2007-06-24",22.6157
"2007-06-25",22.6635
"2007-06-26",22.4193
"2007-06-27",22.8827
"2007-06-28",22.7029
"2007-06-29",22.9872
"2007-06-30",23.0106
"2007-07-01",22.651
"2007-07-02",22.3557
"2007-07-03",22.4735
"2007-07-04",22.0187
"2007-07-05",22.4017
"2007-07-06",22.7205
"2007-07-07",22.2211
"2007-07-08",22.1291
"2007-07-09",22.4535
"2007-07-10",22.3218
"2007-07-11",22.3566
"2007-07-12",22.6272
"2007-07-13",22.7244
"2007-07-14",22.6884
"2007-07-15",22.537
"2007-07-16",22.4439
"2007-07-17",22.1119
"2007-07-18",22.0407
"2007-07-19",22.124
"2007-07-20",21.3656
"2007-07-21",21.0571
"2007-07-22",21.0586
"2007-07-23",21.5697
"2007-07-24",21.6328
"2007-07-25",20.5902
"2007-07-26",21.3325
"2007-07-27",21.4493
"2007-07-28",21.8072
"2007-07-29",22.2477
"2007-07-30",21.9776
"2007-07-31",21.8182
"2007-08-01",21.3016
"2007-08-02",21.6346
"2007-08-03",21.5811
"2007-08-04",21.9657
"2007-08-05",22.3094
"2007-08-06",21.8023
"2007-08-07",21.8417
"2007-08-08",22.054
"2007-08-09",22.0549
"2007-08-10",22.1574
"2007-08-11",22.1764
"2007-08-12",22.256
"2007-08-13",22.03
"2007-08-14",21.3629
"2007-08-15",21.6832
"2007-08-16",22.045
"2007-08-17",21.8981
"2007-08-18",22.1163
"2007-08-19",22.0422
"2007-08-20",22.0683
"2007-08-21",21.8514
"2007-08-22",21.802
"2007-08-23",22.2189
"2007-08-24",22.0174
"2007-08-25",22.1053
"2007-08-26",21.761
"2007-08-27",21.7307
"2007-08-28",22.3453
"2007-08-29",21.9542
"2007-08-30",21.6833
"2007-08-31",20.9714
"2007-09-01",21.4316
"2007-09-02",22.1551
"2007-09-03",21.9647
"2007-09-04",22.1032
"2007-09-05",22.3859
"2007-09-06",21.927
"2007-09-07",22.5483
"2007-09-08",22.5836
"2007-09-09",20.7003
"2007-09-10",21.4264
"2007-09-11",22.1868
"2007-09-12",21.8956
"2007-09-13",21.984
"2007-09-14",22.4293
"2007-09-15",22.2088
"2007-09-16",22.3814
"2007-09-17",22.2345
"2007-09-18",22.1392
"2007-09-19",22.2391
"2007-09-20",22.4111
"2007-09-21",22.5381
"2007-09-22",22.2025
"2007-09-23",22.1871
"2007-09-24",22.0039
"2007-09-25",22.2678
"2007-09-26",22.0979
"2007-09-27",22.3754
"2007-09-28",22.3336
"2007-09-29",21.8052
"2007-09-30",21.4017
"2007-10-01",22.201
"2007-10-02",21.8434
"2007-10-03",22.1162
"2007-10-04",22.3025
"2007-10-05",21.8867
"2007-10-06",21.6469
"2007-10-07",21.8347
"2007-10-08",21.5414
"2007-10-09",21.8421
"2007-10-10",22.118
"2007-10-11",21.906
"2007-10-12",21.7075
"2007-10-13",21.9323
"2007-10-14",21.8315
"2007-10-15",22.1972
"2007-10-16",21.9702
"2007-10-17",21.561
"2007-10-18",21.2818
"2007-10-19",21.5485
"2007-10-20",20.2604
"2007-10-21",20.7864
"2007-10-22",20.6417
"2007-10-23",21.5304
"2007-10-24",22.1387
"2007-10-25",22.1007
"2007-10-26",21.2891
"2007-10-27",20.9676
"2007-10-28",21.514
"2007-10-29",21.3831
"2007-10-30",20.971
"2007-10-31",21.1401
"2007-11-01",21.4167
"2007-11-02",21.6213
"2007-11-03",21.5346
"2007-11-04",21.8499
"2007-11-05",21.8981
"2007-11-06",21.5279
"2007-11-07",21.4882
"2007-11-08",21.6117
"2007-11-09",21.3475
"2007-11-10",20.8054
"2007-11-11",21.488
"2007-11-12",21.5709
"2007-11-13",21.3574
"2007-11-14",19.9591
"2007-11-15",19.2995
"2007-11-16",18.9364
"2007-11-17",18.862
"2007-11-18",20.3976
"2007-11-19",20.9972
"2007-11-20",21.9508
