,"(deg C) Mean Dew Point Temperature (ERA5) at Trincomalee, 2007-01-01 to 2025-12-31"
"2007-01-01",19.7769
"2007-01-02",18.4294
"2007-01-03",18.3159
"2007-01-04",18.3988
"2007-01-05",19.1324
"2007-01-06",19.6668
"2007-01-07",20.6595
"2007-01-08",23.0449
"2007-01-09",23.7047
"2007-01-10",22.5494
"2007-01-11",23.0035
"2007-01-12",23.3679
"2007-01-13",22.682
"2007-01-14",23.0887
"2007-01-15",22.3781
"2007-01-16",21.9978
"2007-01-17",21.4005
"2007-01-18",21.569
"2007-01-19",20.7794
"2007-01-20",20.3036
"2007-01-21",19.6997
"2007-01-22",20.0624
"2007-01-23",19.9022
"2007-01-24",20.0023
"2007-01-25",21.0066
"2007-01-26",22.7982
"2007-01-27",23.278
"2007-01-28",24.1353
"2007-01-29",23.0335
"2007-01-30",21.8849
"2007-01-31",21.9528
"2007-02-01",19.9698
"2007-02-02",21.7519
"2007-02-03",22.6803
"2007-02-04",21.6055
"2007-02-05",19.8686
"2007-02-06",19.4093
"2007-02-07",20.4386
"2007-02-08",20.8355
"2007-02-09",22.536
"2007-02-10",23.2505
"2007-02-11",22.8206
"2007-02-12",23.1791
"2007-02-13",23.2785
"2007-02-14",23.2298
"2007-02-15",22.8791
"2007-02-16",23.0435
"2007-02-17",22.8692
"2007-02-18",22.5924
"2007-02-19",21.18
"2007-02-20",20.0922
"2007-02-21",17.4331
"2007-02-22",18.3393
"2007-02-23",19.7626
"2007-02-24",22.1862
"2007-02-25",22.7473
"2007-02-26",23.5857
"2007-02-27",24.1238
"2007-02-28",23.156
"2007-03-01",23.1663
"2007-03-02",22.8938
"2007-03-03",23.0258
"2007-03-04",21.6716
"2007-03-05",21.4441
"2007-03-06",21.1448
"2007-03-07",20.9769
"2007-03-08",20.6468
"2007-03-09",21.3624
"2007-03-10",21.3681
"2007-03-11",20.6514
"2007-03-12",23.3614
"2007-03-13",23.2324
"2007-03-14",22.421
"2007-03-15",23.2261
"2007-03-16",23.9206
"2007-03-17",23.3933
"2007-03-18",21.2747
"2007-03-19",20.4878
"2007-03-20",19.339
"2007-03-21",20.2057
"2007-03-22",19.8236
"2007-03-23",20.032
"2007-03-24",20.932
"2007-03-25",21.2224
"2007-03-26",21.1476
"2007-03-27",20.9987
"2007-03-28",21.5165
"2007-03-29",21.6037
"2007-03-30",21.1212
"2007-03-31",23.2859
"2007-04-01",24.0241
"2007-04-02",23.5717
"2007-04-03",23.6842
"2007-04-04",23.4664
"2007-04-05",24.1304
"2007-04-06",24.2231
"2007-04-07",24.3273
"2007-04-08",24.2303
"2007-04-09",24.3804
"2007-04-10",24.3593
"2007-04-11",24.3153
"2007-04-12",24.6929
"2007-04-13",24.6777
"2007-04-14",24.5049
"2007-04-15",24.3969
"2007-04-16",23.8976
"2007-04-17",23.9991
"2007-04-18",24.2827
"2007-04-19",25.0218
"2007-04-20",24.3466
"2007-04-21",24.0959
"2007-04-22",24.5558
"2007-04-23",24.6024
"2007-04-24",24.4956
"2007-04-25",24.3864
"2007-04-26",23.9555
"2007-04-27",24.1403
"2007-04-28",24.1487
"2007-04-29",23.8784
"2007-04-30",24.3278
"2007-05-01",24.4388
"2007-05-02",24.6615
"2007-05-03",23.8981
"2007-05-04",24.4238
