,"(deg C) Mean Dew Point Temperature (ERA5) at Vavuniya, 2007-01-01 to 2025-12-31"
"2007-01-01",19.4257
"2007-01-02",17.8814
"2007-01-03",17.9423
"2007-01-04",17.9088
"2007-01-05",18.8696
"2007-01-06",19.2808
"2007-01-07",20.2371
"2007-01-08",22.5876
"2007-01-09",23.2816
"2007-01-10",21.9513
"2007-01-11",22.47
"2007-01-12",23.0062
"2007-01-13",21.8584
"2007-01-14",22.974
"2007-01-15",22.2093
"2007-01-16",21.7248
"2007-01-17",21.1999
"2007-01-18",21.0187
"2007-01-19",20.2049
"2007-01-20",19.838
"2007-01-21",19.4085
"2007-01-22",19.7469
"2007-01-23",19.6071
"2007-01-24",19.6554
"2007-01-25",20.1146
"2007-01-26",22.1553
"2007-01-27",23.3549
"2007-01-28",23.7874
"2007-01-29",22.6475
"2007-01-30",21.5086
"2007-01-31",21.4065
"2007-02-01",19.7502
"2007-02-02",21.34
"2007-02-03",22.1895
"2007-02-04",21.1375
"2007-02-05",19.3468
"2007-02-06",18.8876
"2007-02-07",19.8075
"2007-02-08",20.3956
"2007-02-09",22.0902
"2007-02-10",22.6148
"2007-02-11",22.2964
"2007-02-12",22.8166
"2007-02-13",22.8799
"2007-02-14",22.9638
"2007-02-15",22.047
"2007-02-16",22.3265
"2007-02-17",22.5338
"2007-02-18",22.4593
"2007-02-19",20.803
"2007-02-20",19.4183
"2007-02-21",16.7422
"2007-02-22",17.466
"2007-02-23",18.7208
"2007-02-24",21.5799
"2007-02-25",22.7366
"2007-02-26",23.6534
"2007-02-27",23.944
"2007-02-28",22.616
"2007-03-01",22.6478
"2007-03-02",22.4625
"2007-03-03",22.8193
"2007-03-04",20.6999
"2007-03-05",20.4901
"2007-03-06",20.2712
"2007-03-07",20.2319
"2007-03-08",19.3212
"2007-03-09",20.4873
"2007-03-10",20.6965
"2007-03-11",19.4767
"2007-03-12",22.4332
"2007-03-13",22.7628
"2007-03-14",21.8352
"2007-03-15",22.6477
"2007-03-16",23.5742
"2007-03-17",22.8937
"2007-03-18",20.3221
"2007-03-19",18.7946
"2007-03-20",17.216
"2007-03-21",18.9734
"2007-03-22",18.7462
"2007-03-23",18.6503
"2007-03-24",19.8384
"2007-03-25",20.469
"2007-03-26",19.7909
"2007-03-27",19.1646
"2007-03-28",20.264
"2007-03-29",20.4969
"2007-03-30",20.2012
"2007-03-31",22.3584
"2007-04-01",23.7073
"2007-04-02",23.2059
"2007-04-03",22.975
"2007-04-04",22.5572
"2007-04-05",23.8189
"2007-04-06",24.1
"2007-04-07",24.1349
"2007-04-08",24.137
"2007-04-09",24.3078
"2007-04-10",24.191
"2007-04-11",24.2322
"2007-04-12",24.8113
"2007-04-13",24.633
"2007-04-14",24.5545
"2007-04-15",24.13
"2007-04-16",23.7443
"2007-04-17",23.9
"2007-04-18",24.4148
"2007-04-19",24.8314
"2007-04-20",24.7171
"2007-04-21",24.5094
"2007-04-22",24.524
"2007-04-23",24.7162
"2007-04-24",24.7039
"2007-04-25",24.4174
"2007-04-26",24.0706
