,"(deg C) Mean Dew Point Temperature (ERA5) at Colombo, 2007-01-01 to 2025-12-31"
"2007-01-01",19.3451
"2007-01-02",19.3368
"2007-01-03",17.8917
"2007-01-04",17.2162
"2007-01-05",18.2488
"2007-01-06",19.122
"2007-01-07",19.8752
"2007-01-08",21.9978
"2007-01-09",22.5969
"2007-01-10",22.9692
"2007-01-11",23.2588
"2007-01-12",22.8285
"2007-01-13",22.8044
"2007-01-14",23.2266
"2007-01-15",22.2412
"2007-01-16",22.0093
"2007-01-17",21.5531
"2007-01-18",21.5504
"2007-01-19",20.3551
"2007-01-20",19.7611
"2007-01-21",18.9788
"2007-01-22",17.9902
"2007-01-23",17.9681
"2007-01-24",18.7712
"2007-01-25",20.244
"2007-01-26",22.209
"2007-01-27",23.5393
"2007-01-28",23.7056
"2007-01-29",23.124
"2007-01-30",21.6591
"2007-01-31",21.4663
"2007-02-01",20.0191
"2007-02-02",21.1878
"2007-02-03",21.5939
"2007-02-04",21.0326
"2007-02-05",19.5914
"2007-02-06",18.5474
"2007-02-07",19.8398
"2007-02-08",20.2925
"2007-02-09",20.6404
"2007-02-10",21.2942
"2007-02-11",22.1963
"2007-02-12",23.0973
"2007-02-13",23.1656
"2007-02-14",22.6334
"2007-02-15",22.0659
"2007-02-16",21.1715
"2007-02-17",21.2656
"2007-02-18",21.6714
"2007-02-19",21.0665
"2007-02-20",19.1348
"2007-02-21",16.7214
"2007-02-22",17.7003
"2007-02-23",19.9217
"2007-02-24",21.5463
"2007-02-25",20.8623
"2007-02-26",22.3878
"2007-02-27",23.317
"2007-02-28",22.7923
"2007-03-01",23.5883
"2007-03-02",23.3033
"2007-03-03",22.8388
"2007-03-04",21.1381
"2007-03-05",20.4102
"2007-03-06",20.9026
"2007-03-07",22.3768
"2007-03-08",22.0973
"2007-03-09",21.7079
"2007-03-10",20.5852
"2007-03-11",21.4492
"2007-03-12",22.299
"2007-03-13",23.3867
"2007-03-14",23.8079
"2007-03-15",24.045
"2007-03-16",23.9414
"2007-03-17",24.0083
"2007-03-18",23.1489
"2007-03-19",22.9997
"2007-03-20",22.5126
"2007-03-21",23.0852
"2007-03-22",23.1544
"2007-03-23",22.7557
"2007-03-24",22.6086
"2007-03-25",23.0479
"2007-03-26",23.2577
"2007-03-27",22.6887
"2007-03-28",22.1993
"2007-03-29",22.3253
"2007-03-30",22.9671
"2007-03-31",23.5577
"2007-04-01",23.8078
"2007-04-02",24.0095
"2007-04-03",24.787
"2007-04-04",24.1512
"2007-04-05",24.3914
"2007-04-06",24.8105
"2007-04-07",24.4633
"2007-04-08",24.2807
"2007-04-09",24.2903
"2007-04-10",24.2052
"2007-04-11",24.1629
"2007-04-12",24.6675
"2007-04-13",25.2266
"2007-04-14",24.7971
"2007-04-15",24.6889
"2007-04-16",24.4694
"2007-04-17",24.3112
"2007-04-18",24.8733
"2007-04-19",24.9564
"2007-04-20",24.8417
"2007-04-21",24.3758
"2007-04-22",24.6623
"2007-04-23",24.9882
"2007-04-24",24.9947
"2007-04-25",24.9398
"2007-04-26",24.7085
"2007-04-27",24.5717
"2007-04-28",24.6536
"2007-04-29",24.673
"2007-04-30",24.9469
"2007-05-01",25.6054
"2007-05-02",26.2334
"2007-05-03",24.6991
"2007-05-04",25.1036
"2007-05-05",25.874
"2007-05-06",25.7548
"2007-05-07",25.8856
"2007-05-08",25.8301
"2007-05-09",25.2956
"2007-05-10",25.7246
"2007-05-11",25.8679
"2007-05-12",25.6377
"2007-05-13",24.8062
"2007-05-14",24.58
"2007-05-15",24.3551
"2007-05-16",24.1539
"2007-05-17",24.2446
"2007-05-18",25.3121
"2007-05-19",25.3476
"2007-05-20",25.5871
"2007-05-21",25.779
"2007-05-22",25.5073
"2007-05-23",25.6405
"2007-05-24",25.2229
"2007-05-25",25.4383
"2007-05-26",25.4124
"2007-05-27",25.0929
"2007-05-28",24.0067
"2007-05-29",24.3013
"2007-05-30",24.9359
"2007-05-31",24.6584
"2007-06-01",25.3016
"2007-06-02",25.4369
"2007-06-03",25.3234
"2007-06-04",25.1722
"2007-06-05",25.554
"2007-06-06",25.5971
"2007-06-07",25.0392
"2007-06-08",24.6904
"2007-06-09",25.0861
"2007-06-10",25.1254
"2007-06-11",25.118
"2007-06-12",25.0049
"2007-06-13",25.214
"2007-06-14",24.588
"2007-06-15",24.5238
"2007-06-16",24.4264
"2007-06-17",24.6637
"2007-06-18",23.9605
"2007-06-19",24.4677
"2007-06-20",24.1263
"2007-06-21",24.19
"2007-06-22",23.9715
"2007-06-23",24.2153
"2007-06-24",25.4285
"2007-06-25",25.3402
"2007-06-26",24.7467
"2007-06-27",24.8556
"2007-06-28",25.1618
"2007-06-29",25.4091
"2007-06-30",25.3073
"2007-07-01",25.0052
"2007-07-02",24.8442
"2007-07-03",25.0075
"2007-07-04",25.0611
"2007-07-05",25.3051
"2007-07-06",25.1704
"2007-07-07",24.8876
"2007-07-08",24.9029
"2007-07-09",25.1982
"2007-07-10",24.6673
"2007-07-11",24.6241
"2007-07-12",25.0187
"2007-07-13",24.969
"2007-07-14",25.1116
"2007-07-15",25.0187
"2007-07-16",24.9887
"2007-07-17",24.66
"2007-07-18",24.5619
"2007-07-19",24.2246
"2007-07-20",23.8037
"2007-07-21",23.7958
"2007-07-22",23.4656
"2007-07-23",23.8741
"2007-07-24",23.619
"2007-07-25",23.3773
"2007-07-26",23.6679
"2007-07-27",24.3703
"2007-07-28",24.4077
"2007-07-29",24.5436
"2007-07-30",24.742
"2007-07-31",24.3501
"2007-08-01",23.9323
"2007-08-02",24.1547
"2007-08-03",24.2636
"2007-08-04",24.4239
"2007-08-05",24.7998
"2007-08-06",24.5963
"2007-08-07",24.4992
"2007-08-08",24.983
"2007-08-09",25.0636
"2007-08-10",24.44
"2007-08-11",24.486
"2007-08-12",24.9689
"2007-08-13",24.8694
"2007-08-14",24.4412
"2007-08-15",24.3806
"2007-08-16",24.7554
"2007-08-17",24.676
"2007-08-18",24.8111
"2007-08-19",24.5077
"2007-08-20",24.9345
"2007-08-21",24.3941
"2007-08-22",24.2227
"2007-08-23",24.6546
"2007-08-24",24.4885
"2007-08-25",24.0262
"2007-08-26",24.1356
"2007-08-27",24.2287
"2007-08-28",24.6902
"2007-08-29",24.4636
"2007-08-30",24.1201
"2007-08-31",23.634
"2007-09-01",24.0366
"2007-09-02",24.5221
"2007-09-03",24.7096
"2007-09-04",24.4105
"2007-09-05",24.2844
"2007-09-06",24.323
"2007-09-07",24.5695
"2007-09-08",24.4784
"2007-09-09",23.2677
"2007-09-10",23.9188
"2007-09-11",24.292
"2007-09-12",24.0521
"2007-09-13",24.5659
"2007-09-14",24.5644
"2007-09-15",24.6293
"2007-09-16",24.6888
"2007-09-17",24.8448
"2007-09-18",24.6065
"2007-09-19",24.5836
"2007-09-20",24.8193
"2007-09-21",24.9311
"2007-09-22",24.6063
"2007-09-23",24.5901
"2007-09-24",24.8245
"2007-09-25",24.6296
"2007-09-26",24.7249
"2007-09-27",24.823
"2007-09-28",24.4558
"2007-09-29",24.5225
"2007-09-30",24.0414
"2007-10-01",24.4708
"2007-10-02",24.5203
"2007-10-03",24.7494
"2007-10-04",24.5608
"2007-10-05",24.2676
"2007-10-06",24.0794
"2007-10-07",24.2599
"2007-10-08",23.9712
"2007-10-09",24.6098
"2007-10-10",24.2663
"2007-10-11",23.9802
"2007-10-12",24.1554
"2007-10-13",24.325
"2007-10-14",24.1357
"2007-10-15",24.2383
"2007-10-16",23.9278
"2007-10-17",23.7502
"2007-10-18",23.3387
"2007-10-19",23.7968
"2007-10-20",23.1254
"2007-10-21",23.6166
"2007-10-22",23.5305
"2007-10-23",24.0187
"2007-10-24",24.1813
"2007-10-25",24.071
"2007-10-26",23.7601
"2007-10-27",23.7987
"2007-10-28",24.2561
"2007-10-29",24.1751
"2007-10-30",23.9482
"2007-10-31",24.4901
"2007-11-01",24.3956
"2007-11-02",23.8241
"2007-11-03",23.6112
"2007-11-04",23.8429
"2007-11-05",23.7588
"2007-11-06",23.4691
"2007-11-07",23.7535
"2007-11-08",23.9248
"2007-11-09",23.9691
"2007-11-10",23.2503
"2007-11-11",23.6081
"2007-11-12",23.5406
"2007-11-13",23.398
"2007-11-14",21.306
"2007-11-15",20.5948
"2007-11-16",20.0393
"2007-11-17",18.9723
"2007-11-18",21.8999
"2007-11-19",23.044
"2007-11-20",23.8245
"2007-11-21",23.9979
"2007-11-22",23.8139
"2007-11-23",23.3881
"2007-11-24",23.3577
"2007-11-25",21.1366
"2007-11-26",21.3822
"2007-11-27",22.9883
"2007-11-28",23.1904
"2007-11-29",22.7496
"2007-11-30",20.943
"2007-12-01",21.6169
"2007-12-02",22.3368
"2007-12-03",20.8758
"2007-12-04",21.6925
"2007-12-05",21.1275
"2007-12-06",20.6265
"2007-12-07",22.4329
"2007-12-08",22.7402
"2007-12-09",22.7255
"2007-12-10",22.0921
"2007-12-11",21.1382
"2007-12-12",22.1453
"2007-12-13",23.286
"2007-12-14",23.8635
"2007-12-15",23.4727
"2007-12-16",23.0261
"2007-12-17",23.4572
"2007-12-18",23.8342
"2007-12-19",24.083
"2007-12-20",24.2264
"2007-12-21",23.8491
"2007-12-22",23.4867
"2007-12-23",23.338
"2007-12-24",23.3275
"2007-12-25",21.8979
"2007-12-26",19.841
"2007-12-27",20.8323
"2007-12-28",21.2888
"2007-12-29",21.3437
"2007-12-30",20.7022
"2007-12-31",20.0179
"2008-01-01",20.3065
"2008-01-02",21.2526
"2008-01-03",22.8325
"2008-01-04",23.556
"2008-01-05",23.2752
"2008-01-06",22.909
"2008-01-07",22.2412
"2008-01-08",22.7682
"2008-01-09",23.161
"2008-01-10",23.4214
"2008-01-11",23.4803
"2008-01-12",23.4731
"2008-01-13",23.2381
"2008-01-14",20.8632
"2008-01-15",20.1418
"2008-01-16",20.5176
"2008-01-17",20.0934
"2008-01-18",20.2071
"2008-01-19",19.7932
"2008-01-20",21.2268
"2008-01-21",23.5914
"2008-01-22",23.0748
"2008-01-23",21.361
"2008-01-24",22.3878
"2008-01-25",23.293
"2008-01-26",22.8419
"2008-01-27",23.3625
"2008-01-28",22.6867
"2008-01-29",22.9747
"2008-01-30",22.8915
"2008-01-31",22.9244
"2008-02-01",22.7557
"2008-02-02",22.3773
"2008-02-03",22.4638
"2008-02-04",22.3277
"2008-02-05",22.4348
"2008-02-06",23.6493
"2008-02-07",23.9737
"2008-02-08",23.4732
"2008-02-09",23.7214
"2008-02-10",23.7543
"2008-02-11",23.4464
"2008-02-12",23.1855
"2008-02-13",23.1502
"2008-02-14",22.979
"2008-02-15",23.0072
"2008-02-16",22.7584
"2008-02-17",21.2617
"2008-02-18",21.3879
"2008-02-19",22.5029
"2008-02-20",23.4358
"2008-02-21",22.7855
"2008-02-22",20.8033
"2008-02-23",18.0004
"2008-02-24",16.9598
"2008-02-25",17.6569
"2008-02-26",20.1869
"2008-02-27",23.1276
"2008-02-28",23.4698
"2008-02-29",23.4241
"2008-03-01",23.8915
"2008-03-02",23.318
"2008-03-03",23.5335
"2008-03-04",23.4101
"2008-03-05",23.3988
"2008-03-06",23.4524
"2008-03-07",22.5257
"2008-03-08",20.8758
"2008-03-09",23.1645
"2008-03-10",23.4389
"2008-03-11",23.4858
"2008-03-12",23.7251
"2008-03-13",23.4695
"2008-03-14",23.7505
"2008-03-15",23.4917
"2008-03-16",23.6982
"2008-03-17",23.6643
"2008-03-18",23.623
"2008-03-19",23.7519
"2008-03-20",23.5635
"2008-03-21",24.0273
"2008-03-22",24.2513
"2008-03-23",24.0413
"2008-03-24",24.1821
"2008-03-25",23.8834
"2008-03-26",24.3238
"2008-03-27",23.9489
"2008-03-28",23.887
"2008-03-29",24.3355
"2008-03-30",24.2071
"2008-03-31",24.2565
"2008-04-01",24.3165
"2008-04-02",23.9049
"2008-04-03",23.8517
"2008-04-04",24.1832
"2008-04-05",23.7956
"2008-04-06",23.6707
"2008-04-07",23.7409
"2008-04-08",23.6796
"2008-04-09",23.3637
"2008-04-10",23.7243
"2008-04-11",23.8825
"2008-04-12",23.6857
"2008-04-13",23.8469
"2008-04-14",24.2155
"2008-04-15",23.9482
"2008-04-16",24.2948
"2008-04-17",24.2866
"2008-04-18",24.7841
"2008-04-19",24.9241
"2008-04-20",25.149
"2008-04-21",25.6387
"2008-04-22",25.4219
"2008-04-23",25.8891
"2008-04-24",25.0142
"2008-04-25",24.1867
"2008-04-26",24.3067
"2008-04-27",24.6153
"2008-04-28",24.4248
"2008-04-29",25.1305
"2008-04-30",25.6353
"2008-05-01",25.7861
"2008-05-02",25.2918
"2008-05-03",25.3513
"2008-05-04",25.2759
"2008-05-05",25.0921
"2008-05-06",24.7774
"2008-05-07",24.6362
"2008-05-08",24.9619
"2008-05-09",24.2017
"2008-05-10",24.2806
"2008-05-11",25.3002
"2008-05-12",24.9404
"2008-05-13",25.1564
"2008-05-14",25.1151
"2008-05-15",25.0113
"2008-05-16",25.3434
"2008-05-17",25.243
"2008-05-18",25.7949
"2008-05-19",25.6454
"2008-05-20",25.2853
"2008-05-21",24.7519
"2008-05-22",25.1829
"2008-05-23",24.8253
"2008-05-24",24.4167
"2008-05-25",24.9075
"2008-05-26",24.7857
"2008-05-27",24.3028
"2008-05-28",24.8997
"2008-05-29",24.5355
"2008-05-30",24.6471
"2008-05-31",24.2958
"2008-06-01",24.1901
"2008-06-02",24.2259
"2008-06-03",23.8754
"2008-06-04",24.9287
"2008-06-05",24.9191
"2008-06-06",25.1909
"2008-06-07",25.1909
"2008-06-08",24.8841
"2008-06-09",24.9488
"2008-06-10",24.6294
"2008-06-11",24.5844
"2008-06-12",25.0348
"2008-06-13",24.9794
"2008-06-14",24.9354
"2008-06-15",24.7845
"2008-06-16",24.9509
"2008-06-17",24.4562
"2008-06-18",25.047
"2008-06-19",24.7705
"2008-06-20",24.5408
"2008-06-21",24.7793
"2008-06-22",24.5565
"2008-06-23",24.3932
"2008-06-24",24.2311
"2008-06-25",24.7489
"2008-06-26",24.4622
"2008-06-27",24.6399
"2008-06-28",24.0944
"2008-06-29",24.6128
"2008-06-30",24.8559
"2008-07-01",24.3647
"2008-07-02",23.5068
"2008-07-03",24.1543
"2008-07-04",24.7877
"2008-07-05",25.1998
"2008-07-06",24.9153
"2008-07-07",24.9812
"2008-07-08",24.5283
"2008-07-09",24.8154
"2008-07-10",25.0317
"2008-07-11",24.4291
"2008-07-12",24.2429
