,"(deg C) Mean Temperature (ERA5) at Ampara, 2007-01-01 to 2025-12-31"
"2007-01-01",24.098
"2007-01-02",24.0045
"2007-01-03",23.37
"2007-01-04",22.7571
"2007-01-05",23.7342
"2007-01-06",23.9807
"2007-01-07",24.1731
"2007-01-08",24.64
"2007-01-09",24.4731
"2007-01-10",24.4998
"2007-01-11",23.9835
"2007-01-12",24.0976
"2007-01-13",24.6629
"2007-01-14",24.9481
"2007-01-15",25.3112
"2007-01-16",24.8891
"2007-01-17",24.8888
"2007-01-18",25.1937
"2007-01-19",24.3506
"2007-01-20",24.1601
"2007-01-21",23.6909
"2007-01-22",23.3569
"2007-01-23",23.7029
"2007-01-24",24.7271
"2007-01-25",24.8055
"2007-01-26",24.0065
"2007-01-27",24.0643
"2007-01-28",24.9908
"2007-01-29",25.3534
"2007-01-30",25.1958
"2007-01-31",25.2065
"2007-02-01",24.9273
"2007-02-02",24.146
"2007-02-03",24.6127
"2007-02-04",24.3397
"2007-02-05",23.7991
"2007-02-06",23.3757
"2007-02-07",24.2158
"2007-02-08",24.4647
"2007-02-09",24.8109
"2007-02-10",24.9655
"2007-02-11",25.2348
"2007-02-12",25.846
"2007-02-13",26.2828
"2007-02-14",26.1554
"2007-02-15",26.3541
"2007-02-16",25.7239
"2007-02-17",25.7176
"2007-02-18",25.6016
"2007-02-19",25.0316
"2007-02-20",24.8749
"2007-02-21",24.3796
"2007-02-22",24.2632
"2007-02-23",24.8024
"2007-02-24",24.6918
"2007-02-25",24.0545
"2007-02-26",26.1751
"2007-02-27",26.2468
"2007-02-28",25.7746
"2007-03-01",26.5048
"2007-03-02",26.1196
"2007-03-03",26.2105
"2007-03-04",25.4177
"2007-03-05",24.686
"2007-03-06",25.112
"2007-03-07",25.5036
"2007-03-08",24.9703
"2007-03-09",25.2467
"2007-03-10",25.018
"2007-03-11",25.2635
"2007-03-12",24.8531
"2007-03-13",26.1895
"2007-03-14",26.3192
"2007-03-15",26.6276
"2007-03-16",26.3173
"2007-03-17",26.555
"2007-03-18",25.8418
"2007-03-19",25.3852
