,"(deg C) Mean Temperature (ERA5) at Anuradhapura, 2007-01-01 to 2025-12-31"
"2007-01-01",24.3109
"2007-01-02",24.3192
"2007-01-03",23.8438
"2007-01-04",23.802
"2007-01-05",24.8996
"2007-01-06",24.686
"2007-01-07",24.8584
"2007-01-08",25.2588
"2007-01-09",24.9116
"2007-01-10",25.7675
"2007-01-11",25.3331
"2007-01-12",24.9343
"2007-01-13",25.7778
"2007-01-14",25.696
"2007-01-15",25.6455
"2007-01-16",25.1745
"2007-01-17",25.1887
"2007-01-18",25.2496
"2007-01-19",24.5181
"2007-01-20",24.6271
"2007-01-21",24.6366
"2007-01-22",24.0593
"2007-01-23",24.6896
"2007-01-24",25.4321
"2007-01-25",25.3479
"2007-01-26",25.1087
"2007-01-27",24.4678
"2007-01-28",25.8242
"2007-01-29",26.3185
"2007-01-30",25.8734
"2007-01-31",25.9643
"2007-02-01",25.6111
"2007-02-02",25.1593
"2007-02-03",25.3003
"2007-02-04",25.3855
"2007-02-05",24.6706
"2007-02-06",24.2888
"2007-02-07",24.9695
"2007-02-08",25.4819
"2007-02-09",25.5503
"2007-02-10",25.6748
"2007-02-11",26.1352
"2007-02-12",26.815
"2007-02-13",26.9168
"2007-02-14",27.0611
"2007-02-15",27.0829
"2007-02-16",26.7069
"2007-02-17",26.4574
"2007-02-18",26.6562
"2007-02-19",26.4623
"2007-02-20",26.1943
"2007-02-21",25.4388
"2007-02-22",25.2081
"2007-02-23",25.463
"2007-02-24",25.8353
"2007-02-25",24.0204
"2007-02-26",25.8239
"2007-02-27",26.8461
"2007-02-28",26.6308
"2007-03-01",27.0386
"2007-03-02",26.9088
"2007-03-03",27.2225
"2007-03-04",26.4715
"2007-03-05",25.898
"2007-03-06",25.8852
"2007-03-07",26.0318
"2007-03-08",26.1661
"2007-03-09",26.3934
"2007-03-10",26.3465
"2007-03-11",25.9846
"2007-03-12",26.71
"2007-03-13",27.3415
"2007-03-14",27.6112
"2007-03-15",27.9338
"2007-03-16",27.7909
"2007-03-17",28.1667
"2007-03-18",27.454
"2007-03-19",27.3973
"2007-03-20",27.3727
"2007-03-21",28.057
"2007-03-22",27.6461
"2007-03-23",27.6233
"2007-03-24",27.6689
"2007-03-25",29.0301
"2007-03-26",29.136
"2007-03-27",28.4011
"2007-03-28",28.3332
"2007-03-29",27.9566
"2007-03-30",28.2029
"2007-03-31",28.7795
"2007-04-01",28.6236
"2007-04-02",29.4256
"2007-04-03",30.055
"2007-04-04",29.9032
"2007-04-05",27.973
"2007-04-06",27.8162
"2007-04-07",27.6373
"2007-04-08",26.5824
"2007-04-09",25.8749
"2007-04-10",25.8504
"2007-04-11",25.933
"2007-04-12",27.6176
"2007-04-13",27.9034
"2007-04-14",27.8041
"2007-04-15",27.5264
"2007-04-16",27.3812
"2007-04-17",28.246
"2007-04-18",29.0081
"2007-04-19",28.7291
"2007-04-20",28.6713
"2007-04-21",28.2406
"2007-04-22",28.1645
"2007-04-23",29.1492
"2007-04-24",29.4473
"2007-04-25",29.1439
"2007-04-26",27.9525
"2007-04-27",27.6257
"2007-04-28",28.2008
"2007-04-29",28.0211
"2007-04-30",28.7825
"2007-05-01",29.7424
"2007-05-02",30.1464
"2007-05-03",27.8072
"2007-05-04",27.7353
"2007-05-05",29.3375
"2007-05-06",29.382
"2007-05-07",29.499
"2007-05-08",29.4416
"2007-05-09",28.8931
"2007-05-10",29.7755
"2007-05-11",29.9547
"2007-05-12",30.127
"2007-05-13",29.6891
"2007-05-14",29.8056
"2007-05-15",29.7426
"2007-05-16",29.6729
"2007-05-17",29.3487
"2007-05-18",29.6365
"2007-05-19",29.815
"2007-05-20",29.7808
"2007-05-21",30.1116
"2007-05-22",29.9995
"2007-05-23",30.0531
"2007-05-24",29.8103
"2007-05-25",30.1479
"2007-05-26",30.3091
"2007-05-27",29.7392
"2007-05-28",28.2508
"2007-05-29",29.5088
"2007-05-30",29.9073
"2007-05-31",30.2137
"2007-06-01",30.3332
"2007-06-02",30.4328
"2007-06-03",30.3835
