,"(deg C) Mean Temperature (ERA5) at Badulla, 2007-01-01 to 2025-12-31"
"2007-01-01",20.4969
"2007-01-02",20.6746
"2007-01-03",20.3215
"2007-01-04",19.522
"2007-01-05",19.9439
"2007-01-06",20.2921
"2007-01-07",20.6767
"2007-01-08",21.5939
"2007-01-09",21.4846
"2007-01-10",21.6515
"2007-01-11",21.0099
"2007-01-12",21.2088
"2007-01-13",21.7923
"2007-01-14",21.6401
"2007-01-15",22.1097
"2007-01-16",21.674
"2007-01-17",21.5886
"2007-01-18",21.8987
"2007-01-19",20.8448
"2007-01-20",20.7725
"2007-01-21",20.4835
"2007-01-22",19.8257
"2007-01-23",20.0396
"2007-01-24",20.7209
"2007-01-25",21.2319
"2007-01-26",21.0987
"2007-01-27",21.3945
"2007-01-28",22.0882
"2007-01-29",22.1341
"2007-01-30",21.7822
"2007-01-31",21.932
"2007-02-01",21.1779
"2007-02-02",20.7191
"2007-02-03",21.4267
"2007-02-04",21.3485
"2007-02-05",21.0212
"2007-02-06",20.482
"2007-02-07",21.1535
"2007-02-08",21.082
"2007-02-09",21.445
"2007-02-10",21.9618
"2007-02-11",22.4468
"2007-02-12",22.6866
"2007-02-13",23.203
"2007-02-14",23.3562
"2007-02-15",23.5858
"2007-02-16",23.2303
"2007-02-17",22.6865
"2007-02-18",22.634
"2007-02-19",21.6117
"2007-02-20",21.4122
"2007-02-21",20.5828
"2007-02-22",20.3406
"2007-02-23",21.644
"2007-02-24",21.7613
"2007-02-25",20.717
"2007-02-26",23.1717
"2007-02-27",23.0621
"2007-02-28",22.4887
"2007-03-01",23.4966
"2007-03-02",23.1223
"2007-03-03",23.1042
"2007-03-04",22.2511
"2007-03-05",21.6662
"2007-03-06",22.0552
"2007-03-07",22.591
"2007-03-08",21.8617
"2007-03-09",22.0542
"2007-03-10",21.8631
"2007-03-11",22.3907
"2007-03-12",22.6567
"2007-03-13",23.197
"2007-03-14",23.4254
"2007-03-15",23.9173
"2007-03-16",23.6269
"2007-03-17",23.6312
"2007-03-18",23.3735
"2007-03-19",23.4997
"2007-03-20",23.3184
"2007-03-21",23.587
"2007-03-22",23.7027
"2007-03-23",24.2476
"2007-03-24",23.9698
"2007-03-25",24.6745
"2007-03-26",24.7148
"2007-03-27",24.2086
"2007-03-28",24.0796
"2007-03-29",24.3018
"2007-03-30",24.5345
"2007-03-31",24.6403
"2007-04-01",24.8946
"2007-04-02",25.3835
"2007-04-03",25.844
"2007-04-04",25.5718
"2007-04-05",23.6056
"2007-04-06",23.1068
"2007-04-07",23.061
"2007-04-08",22.6506
"2007-04-09",22.7678
"2007-04-10",22.434
"2007-04-11",22.6282
"2007-04-12",23.4834
"2007-04-13",23.8922
"2007-04-14",24.2148
"2007-04-15",23.6657
"2007-04-16",23.8944
"2007-04-17",24.3053
"2007-04-18",24.9622
"2007-04-19",25.062
"2007-04-20",24.685
"2007-04-21",24.0089
"2007-04-22",23.5311
"2007-04-23",24.5762
"2007-04-24",24.5556
"2007-04-25",24.5315
"2007-04-26",23.7029
"2007-04-27",23.4948
"2007-04-28",23.9032
"2007-04-29",23.8481
"2007-04-30",24.2287
"2007-05-01",25.4644
"2007-05-02",25.7033
"2007-05-03",24.1698
"2007-05-04",24.4858
"2007-05-05",25.7165
"2007-05-06",25.1856
"2007-05-07",25.5039
"2007-05-08",25.6697
"2007-05-09",25.1075
"2007-05-10",25.5293
"2007-05-11",25.963
"2007-05-12",25.7455
"2007-05-13",25.2259
"2007-05-14",25.0972
"2007-05-15",24.7782
"2007-05-16",24.6512
"2007-05-17",24.8145
"2007-05-18",25.6579
"2007-05-19",25.8471
"2007-05-20",25.9106
"2007-05-21",26.2803
"2007-05-22",26.1262
"2007-05-23",26.0251
"2007-05-24",25.7329
"2007-05-25",25.8384
"2007-05-26",26.0383
"2007-05-27",25.765
"2007-05-28",24.0868
"2007-05-29",24.9211
"2007-05-30",25.5511
"2007-05-31",25.3173
"2007-06-01",26.097
"2007-06-02",26.3059
"2007-06-03",26.1506
"2007-06-04",25.8955
"2007-06-05",26.0965
"2007-06-06",26.0772
"2007-06-07",25.8197
"2007-06-08",25.5066
"2007-06-09",25.8841
"2007-06-10",26.5394
"2007-06-11",26.4698
"2007-06-12",25.8775
"2007-06-13",25.7693
"2007-06-14",24.4021
"2007-06-15",24.1971
"2007-06-16",24.4327
"2007-06-17",24.4754
"2007-06-18",23.8911
"2007-06-19",24.5766
"2007-06-20",23.6855
"2007-06-21",23.6355
"2007-06-22",22.9063
"2007-06-23",23.7011
"2007-06-24",25.2049
"2007-06-25",24.9308
"2007-06-26",24.905
"2007-06-27",24.5888
"2007-06-28",25.145
"2007-06-29",25.9164
"2007-06-30",26.0847
"2007-07-01",26.2566
"2007-07-02",25.7889
"2007-07-03",25.9076
"2007-07-04",25.7056
"2007-07-05",25.6871
"2007-07-06",25.4374
"2007-07-07",25.74
"2007-07-08",25.3036
"2007-07-09",25.3894
"2007-07-10",25.3204
"2007-07-11",25.1726
"2007-07-12",25.3104
"2007-07-13",25.3963
"2007-07-14",25.6863
"2007-07-15",25.5436
"2007-07-16",25.2341
"2007-07-17",25.0056
"2007-07-18",24.4881
"2007-07-19",24.2303
"2007-07-20",23.6189
"2007-07-21",23.7494
"2007-07-22",23.4801
"2007-07-23",23.1922
"2007-07-24",23.4138
"2007-07-25",23.0866
"2007-07-26",24.1166
"2007-07-27",24.2342
"2007-07-28",24.5715
"2007-07-29",24.3484
"2007-07-30",24.3409
"2007-07-31",24.6717
"2007-08-01",24.6062
"2007-08-02",24.8138
"2007-08-03",24.5416
"2007-08-04",24.9334
"2007-08-05",25.2318
"2007-08-06",25.5336
"2007-08-07",25.6683
"2007-08-08",25.5598
"2007-08-09",25.4822
"2007-08-10",25.2339
"2007-08-11",24.6916
"2007-08-12",25.525
"2007-08-13",25.1364
"2007-08-14",25.0571
"2007-08-15",25.69
"2007-08-16",25.5837
"2007-08-17",25.8337
"2007-08-18",25.5758
"2007-08-19",25.2073
"2007-08-20",25.7082
"2007-08-21",24.8076
"2007-08-22",24.8078
"2007-08-23",25.3061
"2007-08-24",24.9229
"2007-08-25",25.0075
"2007-08-26",25.1533
"2007-08-27",25.0233
"2007-08-28",25.1028
"2007-08-29",24.3986
"2007-08-30",23.9976
"2007-08-31",22.336
"2007-09-01",23.9646
"2007-09-02",25.2183
"2007-09-03",24.7067
"2007-09-04",25.142
"2007-09-05",24.8388
"2007-09-06",24.2676
"2007-09-07",25.1294
"2007-09-08",24.5066
"2007-09-09",22.6591
"2007-09-10",24.6141
"2007-09-11",24.4396
"2007-09-12",23.7688
"2007-09-13",24.4206
"2007-09-14",24.3359
"2007-09-15",24.4162
"2007-09-16",24.6475
"2007-09-17",24.3933
"2007-09-18",24.8601
"2007-09-19",24.9466
"2007-09-20",24.787
"2007-09-21",25.2888
"2007-09-22",25.0196
"2007-09-23",24.5866
"2007-09-24",25.0553
"2007-09-25",25.3501
"2007-09-26",25.7513
"2007-09-27",25.3476
"2007-09-28",25.5509
"2007-09-29",24.9737
"2007-09-30",24.9572
"2007-10-01",25.0395
"2007-10-02",24.2322
"2007-10-03",24.8384
"2007-10-04",25.1811
"2007-10-05",24.86
"2007-10-06",24.6834
"2007-10-07",24.5295
"2007-10-08",24.0079
"2007-10-09",24.9269
"2007-10-10",24.5523
"2007-10-11",23.073
"2007-10-12",23.5989
"2007-10-13",23.9506
"2007-10-14",23.1146
"2007-10-15",23.1809
"2007-10-16",23.084
"2007-10-17",22.773
"2007-10-18",22.2212
"2007-10-19",23.0649
"2007-10-20",21.6095
"2007-10-21",22.2601
"2007-10-22",21.6955
"2007-10-23",22.7997
"2007-10-24",23.3195
"2007-10-25",23.3975
"2007-10-26",22.3133
"2007-10-27",22.3466
"2007-10-28",23.066
"2007-10-29",23.0126
"2007-10-30",23.1003
"2007-10-31",23.8446
"2007-11-01",23.0469
"2007-11-02",22.5432
"2007-11-03",22.4944
"2007-11-04",22.8733
"2007-11-05",23.6467
"2007-11-06",22.4681
"2007-11-07",22.365
"2007-11-08",22.8498
"2007-11-09",22.9718
"2007-11-10",23.3508
"2007-11-11",22.968
"2007-11-12",22.6506
"2007-11-13",22.5851
"2007-11-14",22.347
"2007-11-15",22.547
"2007-11-16",22.0197
"2007-11-17",20.8791
"2007-11-18",22.4553
"2007-11-19",21.8973
"2007-11-20",22.7629
"2007-11-21",22.3505
"2007-11-22",22.7232
"2007-11-23",22.7414
"2007-11-24",22.8046
"2007-11-25",22.1733
"2007-11-26",21.9409
"2007-11-27",23.1486
"2007-11-28",23.241
"2007-11-29",21.7535
"2007-11-30",21.3625
"2007-12-01",21.8922
"2007-12-02",21.2404
"2007-12-03",21.361
"2007-12-04",21.6392
"2007-12-05",21.2254
"2007-12-06",21.7478
"2007-12-07",21.0982
"2007-12-08",21.9082
"2007-12-09",21.4246
"2007-12-10",21.8617
"2007-12-11",21.9113
"2007-12-12",21.1879
"2007-12-13",21.5545
"2007-12-14",22.4221
"2007-12-15",21.4165
"2007-12-16",21.4493
"2007-12-17",21.9195
"2007-12-18",22.8648
"2007-12-19",22.1544
"2007-12-20",22.1341
"2007-12-21",22.0886
"2007-12-22",20.9178
"2007-12-23",20.8907
