,"(deg C) Mean Temperature (ERA5) at Batticaloa, 2007-01-01 to 2025-12-31"
"2007-01-01",24.9505
"2007-01-02",24.7827
"2007-01-03",24.1141
"2007-01-04",23.8484
"2007-01-05",24.8886
"2007-01-06",24.9059
"2007-01-07",25.0345
"2007-01-08",25.2465
"2007-01-09",25.1533
"2007-01-10",25.3914
"2007-01-11",24.703
"2007-01-12",24.653
"2007-01-13",25.4069
"2007-01-14",25.5843
"2007-01-15",25.8595
"2007-01-16",25.4635
"2007-01-17",25.4944
"2007-01-18",25.7372
"2007-01-19",24.9388
"2007-01-20",24.8824
"2007-01-21",24.4484
"2007-01-22",24.0362
"2007-01-23",24.5608
"2007-01-24",25.5261
"2007-01-25",25.5377
"2007-01-26",24.6812
"2007-01-27",24.4716
"2007-01-28",25.5881
"2007-01-29",26.0252
"2007-01-30",25.926
"2007-01-31",25.8007
"2007-02-01",25.7173
"2007-02-02",24.9272
"2007-02-03",25.0561
"2007-02-04",24.8278
"2007-02-05",24.2581
"2007-02-06",24.379
"2007-02-07",24.4601
"2007-02-08",25.0277
"2007-02-09",25.2468
"2007-02-10",25.3247
"2007-02-11",25.5968
"2007-02-12",26.2295
"2007-02-13",26.8059
"2007-02-14",26.7416
"2007-02-15",26.9328
"2007-02-16",26.1315
"2007-02-17",26.1946
"2007-02-18",26.1454
"2007-02-19",25.8225
"2007-02-20",25.7217
"2007-02-21",25.4249
"2007-02-22",25.4361
"2007-02-23",25.5278
"2007-02-24",25.2164
"2007-02-25",24.1592
"2007-02-26",26.2404
"2007-02-27",26.6283
"2007-02-28",26.2876
"2007-03-01",26.5832
"2007-03-02",26.3758
"2007-03-03",26.3135
"2007-03-04",25.571
"2007-03-05",25.1338
"2007-03-06",25.4607
"2007-03-07",25.2383
"2007-03-08",24.9575
"2007-03-09",25.4574
"2007-03-10",25.1495
"2007-03-11",25.3202
"2007-03-12",25.2324
"2007-03-13",26.6461
"2007-03-14",26.7104
"2007-03-15",26.9564
"2007-03-16",26.7652
"2007-03-17",26.9933
"2007-03-18",26.045
"2007-03-19",25.3083
"2007-03-20",25.0766
"2007-03-21",25.6249
"2007-03-22",25.5837
"2007-03-23",25.6529
"2007-03-24",26.0419
"2007-03-25",26.5163
"2007-03-26",26.216
"2007-03-27",26.3299
"2007-03-28",26.2224
"2007-03-29",26.3214
"2007-03-30",26.7577
"2007-03-31",26.9685
"2007-04-01",27.8258
"2007-04-02",28.043
"2007-04-03",28.3809
"2007-04-04",28.4557
"2007-04-05",26.5235
"2007-04-06",26.1464
"2007-04-07",26.4453
"2007-04-08",25.8125
"2007-04-09",25.8646
"2007-04-10",25.8286
"2007-04-11",26.086
"2007-04-12",26.9277
"2007-04-13",27.3892
"2007-04-14",27.5799
"2007-04-15",27.1912
"2007-04-16",27.2974
"2007-04-17",28.2893
"2007-04-18",28.7335
"2007-04-19",28.6596
"2007-04-20",28.4025
"2007-04-21",27.9771
"2007-04-22",27.4627
"2007-04-23",28.5844
"2007-04-24",28.7759
"2007-04-25",28.6539
"2007-04-26",27.878
"2007-04-27",27.5305
"2007-04-28",28.0879
"2007-04-29",27.98
"2007-04-30",28.417
"2007-05-01",29.5355
"2007-05-02",29.6971
"2007-05-03",28.5428
"2007-05-04",28.3006
"2007-05-05",29.6409
"2007-05-06",29.2612
"2007-05-07",29.8267
"2007-05-08",30.0768
"2007-05-09",29.5078
"2007-05-10",29.8447
"2007-05-11",30.3634
"2007-05-12",30.2584
"2007-05-13",29.9675
"2007-05-14",29.9622
"2007-05-15",29.903
"2007-05-16",29.9888
"2007-05-17",29.8257
"2007-05-18",30.39
"2007-05-19",30.516
"2007-05-20",30.4829
"2007-05-21",30.3075
"2007-05-22",30.1162
"2007-05-23",29.6819
"2007-05-24",29.676
"2007-05-25",29.8853
"2007-05-26",30.4728
"2007-05-27",30.169
"2007-05-28",28.926
"2007-05-29",29.6701
"2007-05-30",30.2576
"2007-05-31",30.4199
"2007-06-01",30.3948
"2007-06-02",30.5258
"2007-06-03",30.4809
"2007-06-04",29.5577
"2007-06-05",29.8946
"2007-06-06",30.1682
"2007-06-07",29.862
"2007-06-08",29.7954
"2007-06-09",30.2851
"2007-06-10",30.5659
"2007-06-11",30.3544
"2007-06-12",30.0962
"2007-06-13",29.5422
"2007-06-14",28.7743
"2007-06-15",28.1645
"2007-06-16",28.5517
"2007-06-17",29.0511
"2007-06-18",28.2837
"2007-06-19",29.5664
"2007-06-20",28.4227
"2007-06-21",28.4583
"2007-06-22",27.7878
"2007-06-23",27.9602
"2007-06-24",29.2311
"2007-06-25",28.9768
"2007-06-26",29.3127
"2007-06-27",28.9883
"2007-06-28",29.5814
"2007-06-29",30.3306
"2007-06-30",30.3666
"2007-07-01",30.4085
"2007-07-02",29.9076
"2007-07-03",30.1929
"2007-07-04",30.276
"2007-07-05",30.4506
"2007-07-06",30.5633
"2007-07-07",30.7574
"2007-07-08",30.3322
"2007-07-09",30.5437
"2007-07-10",30.2545
"2007-07-11",30.0203
"2007-07-12",30.136
"2007-07-13",30.3294
"2007-07-14",30.6187
"2007-07-15",30.4986
"2007-07-16",30.3006
"2007-07-17",29.567
"2007-07-18",28.7779
"2007-07-19",28.3217
"2007-07-20",28.0874
"2007-07-21",28.7873
"2007-07-22",28.1609
"2007-07-23",27.1468
"2007-07-24",27.5911
"2007-07-25",27.0407
"2007-07-26",28.3731
"2007-07-27",29.0184
"2007-07-28",29.2625
"2007-07-29",29.2064
"2007-07-30",28.5419
"2007-07-31",28.7689
"2007-08-01",29.4159
"2007-08-02",29.5787
"2007-08-03",29.6534
"2007-08-04",29.8487
"2007-08-05",30.0098
"2007-08-06",30.4681
"2007-08-07",30.7818
"2007-08-08",30.5648
"2007-08-09",30.5119
"2007-08-10",29.8716
"2007-08-11",29.7083
"2007-08-12",30.3938
"2007-08-13",30.2647
"2007-08-14",30.1845
"2007-08-15",30.0549
"2007-08-16",30.5148
"2007-08-17",30.5685
"2007-08-18",30.4585
"2007-08-19",30.001
"2007-08-20",30.7289
"2007-08-21",29.9555
"2007-08-22",30.1084
"2007-08-23",29.2414
"2007-08-24",28.6003
"2007-08-25",29.0617
"2007-08-26",29.5392
"2007-08-27",29.7292
"2007-08-28",29.9394
"2007-08-29",28.9948
"2007-08-30",28.8149
"2007-08-31",27.3716
"2007-09-01",29.0655
"2007-09-02",30.0171
"2007-09-03",30.0445
"2007-09-04",29.9311
"2007-09-05",29.5927
"2007-09-06",29.4161
"2007-09-07",29.1474
"2007-09-08",28.6005
"2007-09-09",26.6632
"2007-09-10",28.966
"2007-09-11",28.609
"2007-09-12",27.9933
"2007-09-13",29.1139
"2007-09-14",28.9658
"2007-09-15",29.141
"2007-09-16",28.966
"2007-09-17",29.0929
"2007-09-18",29.2513
"2007-09-19",29.6244
"2007-09-20",29.5239
"2007-09-21",29.9806
"2007-09-22",29.8037
"2007-09-23",29.1855
"2007-09-24",29.9795
"2007-09-25",30.2844
"2007-09-26",29.7727
"2007-09-27",28.9236
"2007-09-28",29.319
"2007-09-29",29.6338
"2007-09-30",29.6546
"2007-10-01",29.7255
"2007-10-02",29.1966
"2007-10-03",29.7201
"2007-10-04",29.9003
"2007-10-05",29.664
"2007-10-06",29.5981
"2007-10-07",29.5798
"2007-10-08",28.8549
"2007-10-09",29.8465
"2007-10-10",28.6838
"2007-10-11",26.9092
"2007-10-12",27.6555
"2007-10-13",27.8407
"2007-10-14",26.7823
"2007-10-15",26.8937
"2007-10-16",26.5999
"2007-10-17",26.2457
"2007-10-18",26.1477
"2007-10-19",26.9574
"2007-10-20",25.7317
"2007-10-21",26.6086
"2007-10-22",25.2822
"2007-10-23",26.3138
"2007-10-24",26.5124
"2007-10-25",26.8868
"2007-10-26",25.8545
"2007-10-27",25.5789
"2007-10-28",27.0407
"2007-10-29",27.6801
"2007-10-30",27.5938
"2007-10-31",28.2045
"2007-11-01",26.1584
"2007-11-02",25.9988
"2007-11-03",26.059
"2007-11-04",26.494
"2007-11-05",27.0707
"2007-11-06",25.8854
"2007-11-07",26.086
"2007-11-08",26.5628
"2007-11-09",26.5848
"2007-11-10",26.9569
"2007-11-11",26.2729
"2007-11-12",26.1245
"2007-11-13",26.6365
"2007-11-14",26.2922
"2007-11-15",26.3086
"2007-11-16",25.5752
"2007-11-17",24.9057
"2007-11-18",25.8831
"2007-11-19",25.3971
"2007-11-20",26.3068
"2007-11-21",25.6698
"2007-11-22",25.8368
"2007-11-23",26.1166
"2007-11-24",25.9139
"2007-11-25",25.4814
"2007-11-26",25.8706
"2007-11-27",26.2479
"2007-11-28",26.0926
"2007-11-29",25.5449
"2007-11-30",25.6179
"2007-12-01",26.0469
"2007-12-02",25.7292
"2007-12-03",26.0055
"2007-12-04",25.4311
"2007-12-05",25.9937
"2007-12-06",26.1765
"2007-12-07",25.2028
"2007-12-08",25.3941
"2007-12-09",24.7711
"2007-12-10",25.564
"2007-12-11",25.9936
"2007-12-12",24.6371
"2007-12-13",24.6563
"2007-12-14",25.6833
"2007-12-15",24.8209
"2007-12-16",24.8567
"2007-12-17",24.8625
"2007-12-18",26.0382
"2007-12-19",25.4204
"2007-12-20",25.0716
"2007-12-21",25.2707
"2007-12-22",24.5318
"2007-12-23",24.6333
"2007-12-24",24.6399
"2007-12-25",23.6886
"2007-12-26",24.2976
"2007-12-27",24.8109
"2007-12-28",24.5604
"2007-12-29",24.5876
"2007-12-30",24.8398
"2007-12-31",24.8052
"2008-01-01",25.2405
"2008-01-02",24.9141
"2008-01-03",24.5763
"2008-01-04",25.7915
"2008-01-05",24.7882
"2008-01-06",25.2029
"2008-01-07",24.9075
"2008-01-08",24.6587
"2008-01-09",24.679
"2008-01-10",25.2189
"2008-01-11",24.6148
"2008-01-12",24.6424
"2008-01-13",24.7133
"2008-01-14",25.1773
"2008-01-15",25.3207
"2008-01-16",25.6689
"2008-01-17",24.8858
"2008-01-18",24.2267
"2008-01-19",24.006
"2008-01-20",25.0039
"2008-01-21",25.3198
"2008-01-22",25.6728
"2008-01-23",25.1075
"2008-01-24",25.5629
"2008-01-25",25.7801
"2008-01-26",26.0384
"2008-01-27",26.4145
"2008-01-28",25.8982
"2008-01-29",26.1287
"2008-01-30",25.7924
"2008-01-31",25.8391
"2008-02-01",26.0367
"2008-02-02",26.4051
"2008-02-03",26.1121
"2008-02-04",25.8843
"2008-02-05",26.2189
"2008-02-06",25.5454
"2008-02-07",24.8299
"2008-02-08",25.7155
"2008-02-09",26.459
"2008-02-10",26.6763
"2008-02-11",26.6585
"2008-02-12",25.9012
"2008-02-13",25.7222
"2008-02-14",25.7695
"2008-02-15",25.677
"2008-02-16",26.3073
"2008-02-17",25.8832
"2008-02-18",25.2762
"2008-02-19",25.4802
"2008-02-20",25.9711
"2008-02-21",25.8356
"2008-02-22",25.8658
"2008-02-23",24.3581
"2008-02-24",23.7761
"2008-02-25",24.0213
"2008-02-26",25.0146
"2008-02-27",25.1196
"2008-02-28",25.3088
"2008-02-29",25.1772
"2008-03-01",26.1394
"2008-03-02",26.3584
"2008-03-03",26.0161
"2008-03-04",25.3118
"2008-03-05",25.6183
"2008-03-06",25.0256
"2008-03-07",25.9066
"2008-03-08",26.619
"2008-03-09",24.7609
"2008-03-10",24.869
"2008-03-11",25.2417
"2008-03-12",25.4406
"2008-03-13",26.345
"2008-03-14",25.8521
"2008-03-15",25.6492
"2008-03-16",25.0575
"2008-03-17",25.4475
"2008-03-18",25.5659
"2008-03-19",26.1655
"2008-03-20",27.0543
"2008-03-21",27.2585
"2008-03-22",27.4605
"2008-03-23",28.1158
"2008-03-24",26.697
"2008-03-25",27.4309
"2008-03-26",27.7673
"2008-03-27",27.6097
"2008-03-28",27.3881
"2008-03-29",27.8011
"2008-03-30",27.4307
"2008-03-31",27.2689
"2008-04-01",27.7331
"2008-04-02",26.8473
"2008-04-03",27.2273
"2008-04-04",27.7377
"2008-04-05",27.4165
"2008-04-06",26.5031
"2008-04-07",26.4248
"2008-04-08",25.8875
"2008-04-09",25.726
"2008-04-10",25.6573
"2008-04-11",27.0836
"2008-04-12",26.8306
"2008-04-13",27.7234
"2008-04-14",27.6947
"2008-04-15",27.2948
"2008-04-16",27.5548
"2008-04-17",27.7325
"2008-04-18",28.4379
"2008-04-19",28.4213
"2008-04-20",28.7447
"2008-04-21",28.7808
"2008-04-22",29.496
"2008-04-23",29.3524
"2008-04-24",27.9498
"2008-04-25",27.1526
"2008-04-26",27.3007
"2008-04-27",27.471
"2008-04-28",27.6294
"2008-04-29",29.1032
"2008-04-30",29.8738
"2008-05-01",29.8446
"2008-05-02",29.7347
"2008-05-03",29.6984
"2008-05-04",29.6331
"2008-05-05",29.3716
"2008-05-06",29.6001
"2008-05-07",29.2756
"2008-05-08",29.3017
"2008-05-09",28.7289
"2008-05-10",29.6313
"2008-05-11",30.1304
"2008-05-12",29.9608
"2008-05-13",29.7617
"2008-05-14",29.7612
"2008-05-15",30.0322
"2008-05-16",30.226
"2008-05-17",30.6258
"2008-05-18",30.7501
"2008-05-19",30.441
"2008-05-20",29.9485
"2008-05-21",30.1197
"2008-05-22",30.3009
"2008-05-23",30.0749
"2008-05-24",29.8529
"2008-05-25",29.8093
"2008-05-26",29.8483
"2008-05-27",29.2487
"2008-05-28",30.2134
"2008-05-29",29.5033
"2008-05-30",30.1362
"2008-05-31",29.7032
"2008-06-01",28.5839
"2008-06-02",28.9492
"2008-06-03",27.9584
"2008-06-04",29.1996
"2008-06-05",29.759
"2008-06-06",30.0693
"2008-06-07",29.2012
"2008-06-08",29.3024
"2008-06-09",28.7945
"2008-06-10",29.6586
"2008-06-11",29.7026
"2008-06-12",29.6779
"2008-06-13",30.2296
"2008-06-14",29.8886
"2008-06-15",30.1701
"2008-06-16",30.3156
"2008-06-17",30.4059
"2008-06-18",30.0508
"2008-06-19",30.4883
"2008-06-20",30.4037
"2008-06-21",29.8469
"2008-06-22",29.8036
"2008-06-23",29.7732
"2008-06-24",29.8473
"2008-06-25",29.5116
"2008-06-26",29.8479
"2008-06-27",30.2373
"2008-06-28",30.2701
"2008-06-29",30.5983
"2008-06-30",30.6603
"2008-07-01",29.0656
"2008-07-02",30.5786
"2008-07-03",30.774
"2008-07-04",30.6692
"2008-07-05",30.6215
"2008-07-06",30.3618
"2008-07-07",30.0825
"2008-07-08",30.4638
"2008-07-09",30.622
"2008-07-10",30.6767
"2008-07-11",30.1037
"2008-07-12",30.2246
"2008-07-13",30.148
"2008-07-14",29.8209
"2008-07-15",28.6784
"2008-07-16",29.4933
"2008-07-17",29.7634
"2008-07-18",29.4969
"2008-07-19",28.5719
"2008-07-20",28.8965
"2008-07-21",28.8987
"2008-07-22",28.2879
"2008-07-23",28.636
