,"(deg C) Mean Temperature (ERA5) at Colombo, 2007-01-01 to 2025-12-31"
"2007-01-01",25.8551
"2007-01-02",26.3537
"2007-01-03",26.0882
"2007-01-04",25.3327
"2007-01-05",25.7206
"2007-01-06",26.4777
"2007-01-07",26.4504
"2007-01-08",27.1335
"2007-01-09",27.051
"2007-01-10",26.4094
"2007-01-11",25.8252
"2007-01-12",26.3222
"2007-01-13",27.3046
"2007-01-14",26.835
"2007-01-15",27.4627
"2007-01-16",27.0791
"2007-01-17",27.3752
"2007-01-18",27.2977
"2007-01-19",26.645
"2007-01-20",26.6825
"2007-01-21",26.5774
"2007-01-22",26.2533
"2007-01-23",26.5213
"2007-01-24",27.1428
"2007-01-25",27.4504
"2007-01-26",26.3741
"2007-01-27",26.1653
"2007-01-28",27.3801
"2007-01-29",27.5362
"2007-01-30",27.7392
"2007-01-31",27.6886
"2007-02-01",27.3769
"2007-02-02",26.9993
"2007-02-03",27.399
"2007-02-04",27.4234
"2007-02-05",27.168
"2007-02-06",26.9177
"2007-02-07",27.4394
"2007-02-08",27.4525
"2007-02-09",27.6046
"2007-02-10",28.0265
"2007-02-11",28.1644
"2007-02-12",28.3309
"2007-02-13",28.0314
"2007-02-14",27.768
"2007-02-15",27.5689
"2007-02-16",27.4673
"2007-02-17",27.6312
"2007-02-18",27.789
"2007-02-19",27.7637
"2007-02-20",28.3852
"2007-02-21",27.9646
"2007-02-22",27.7226
"2007-02-23",27.6422
"2007-02-24",27.7724
"2007-02-25",26.2337
"2007-02-26",28.2629
"2007-02-27",28.5594
"2007-02-28",28.3729
"2007-03-01",28.755
"2007-03-02",27.6699
"2007-03-03",28.4454
"2007-03-04",28.8504
"2007-03-05",28.6458
"2007-03-06",28.5878
"2007-03-07",28.4253
"2007-03-08",28.3878
"2007-03-09",28.7098
"2007-03-10",28.891
"2007-03-11",28.2997
"2007-03-12",28.7246
"2007-03-13",28.2644
"2007-03-14",28.3783
"2007-03-15",28.0616
"2007-03-16",27.5612
"2007-03-17",28.3021
"2007-03-18",28.4629
"2007-03-19",28.6347
"2007-03-20",28.5919
"2007-03-21",28.371
"2007-03-22",28.6899
"2007-03-23",28.8028
"2007-03-24",28.2867
"2007-03-25",29.16
"2007-03-26",29.1813
"2007-03-27",29.1379
"2007-03-28",29.5122
"2007-03-29",29.4724
"2007-03-30",29.0478
"2007-03-31",28.2362
"2007-04-01",28.0269
"2007-04-02",28.8456
"2007-04-03",28.6533
"2007-04-04",28.4836
"2007-04-05",27.7544
"2007-04-06",27.0686
"2007-04-07",26.7924
"2007-04-08",26.3755
"2007-04-09",26.4085
"2007-04-10",25.8763
"2007-04-11",25.6345
"2007-04-12",27.0182
"2007-04-13",27.9529
"2007-04-14",27.9855
"2007-04-15",27.3845
"2007-04-16",27.9951
"2007-04-17",28.5175
"2007-04-18",28.9088
"2007-04-19",28.6169
"2007-04-20",28.0363
"2007-04-21",27.6432
"2007-04-22",27.5319
"2007-04-23",28.3892
"2007-04-24",28.4909
"2007-04-25",28.0245
"2007-04-26",27.1068
"2007-04-27",27.1985
"2007-04-28",27.3745
"2007-04-29",27.3026
"2007-04-30",27.9768
"2007-05-01",28.9711
"2007-05-02",28.9358
"2007-05-03",26.9135
"2007-05-04",27.2219
"2007-05-05",28.6651
"2007-05-06",28.2278
"2007-05-07",28.2614
"2007-05-08",27.9607
"2007-05-09",27.6594
"2007-05-10",28.1358
"2007-05-11",28.2498
"2007-05-12",28.1382
"2007-05-13",28.8119
"2007-05-14",29.0124
"2007-05-15",28.7635
"2007-05-16",28.4813
"2007-05-17",28.3735
"2007-05-18",28.3169
"2007-05-19",28.1195
"2007-05-20",28.2183
"2007-05-21",28.3865
"2007-05-22",28.2234
"2007-05-23",28.5937
"2007-05-24",28.3996
"2007-05-25",28.6054
"2007-05-26",28.5694
"2007-05-27",27.4889
"2007-05-28",26.1273
"2007-05-29",27.555
"2007-05-30",27.8349
"2007-05-31",28.0432
"2007-06-01",28.301
"2007-06-02",28.5756
"2007-06-03",28.4541
"2007-06-04",28.2262
"2007-06-05",28.1241
"2007-06-06",27.8675
"2007-06-07",27.4032
"2007-06-08",27.0641
"2007-06-09",27.6541
"2007-06-10",27.7706
"2007-06-11",27.6202
"2007-06-12",27.8075
"2007-06-13",28.0365
"2007-06-14",27.2615
"2007-06-15",26.4845
"2007-06-16",27.6029
"2007-06-17",27.2981
"2007-06-18",27.2258
"2007-06-19",27.175
"2007-06-20",26.5444
"2007-06-21",26.1581
"2007-06-22",26.371
"2007-06-23",26.1405
"2007-06-24",27.5631
"2007-06-25",27.7554
"2007-06-26",27.6909
"2007-06-27",27.6557
"2007-06-28",27.4318
"2007-06-29",27.5903
"2007-06-30",27.4672
"2007-07-01",27.6661
"2007-07-02",27.0638
"2007-07-03",27.2172
"2007-07-04",27.5566
"2007-07-05",27.7104
"2007-07-06",27.6963
"2007-07-07",28.1335
"2007-07-08",27.4803
"2007-07-09",27.4371
"2007-07-10",27.0164
"2007-07-11",26.5472
"2007-07-12",26.9006
"2007-07-13",27.5724
"2007-07-14",27.4598
"2007-07-15",27.7292
"2007-07-16",27.1681
"2007-07-17",26.9341
"2007-07-18",26.5986
"2007-07-19",26.0825
"2007-07-20",26.3066
"2007-07-21",26.6223
"2007-07-22",26.2783
"2007-07-23",26.1708
"2007-07-24",25.8078
"2007-07-25",26.0606
"2007-07-26",26.4419
"2007-07-27",26.9949
"2007-07-28",27.1105
"2007-07-29",26.9859
"2007-07-30",27.0239
"2007-07-31",26.5118
"2007-08-01",27.2008
"2007-08-02",26.3723
"2007-08-03",26.7251
"2007-08-04",27.2641
"2007-08-05",27.1728
"2007-08-06",27.8774
"2007-08-07",28.0598
"2007-08-08",27.7363
"2007-08-09",27.6025
"2007-08-10",27.0267
"2007-08-11",27.2434
"2007-08-12",27.4805
"2007-08-13",27.2209
"2007-08-14",27.1947
"2007-08-15",27.0593
"2007-08-16",27.2483
"2007-08-17",27.3347
"2007-08-18",27.2003
"2007-08-19",27.145
"2007-08-20",27.5727
"2007-08-21",26.9382
"2007-08-22",27.1763
"2007-08-23",27.2788
"2007-08-24",26.8066
"2007-08-25",26.3059
"2007-08-26",26.6424
"2007-08-27",26.9831
"2007-08-28",26.691
"2007-08-29",26.2135
"2007-08-30",25.7551
"2007-08-31",25.5664
"2007-09-01",26.8171
"2007-09-02",26.9576
"2007-09-03",27.332
"2007-09-04",27.2775
"2007-09-05",26.6598
"2007-09-06",26.9494
"2007-09-07",27.1001
"2007-09-08",26.5304
"2007-09-09",25.3887
"2007-09-10",27.152
"2007-09-11",27.0181
"2007-09-12",26.5096
"2007-09-13",27.1744
"2007-09-14",27.0784
"2007-09-15",27.3294
"2007-09-16",27.3156
"2007-09-17",26.537
"2007-09-18",26.8386
"2007-09-19",27.1204
"2007-09-20",27.1181
"2007-09-21",27.2809
"2007-09-22",26.9723
"2007-09-23",26.931
"2007-09-24",27.3583
"2007-09-25",27.1576
"2007-09-26",27.691
"2007-09-27",27.402
"2007-09-28",26.9444
"2007-09-29",27.6633
"2007-09-30",27.7083
"2007-10-01",27.5751
"2007-10-02",26.3051
"2007-10-03",26.7975
"2007-10-04",27.0208
"2007-10-05",26.3821
"2007-10-06",26.659
"2007-10-07",26.388
"2007-10-08",26.0923
"2007-10-09",26.8309
"2007-10-10",26.8345
"2007-10-11",26.1193
"2007-10-12",26.573
"2007-10-13",26.9144
"2007-10-14",26.4413
"2007-10-15",26.1391
"2007-10-16",26.2581
"2007-10-17",25.9264
"2007-10-18",25.521
"2007-10-19",26.5513
"2007-10-20",24.9253
"2007-10-21",26.5286
"2007-10-22",25.4755
"2007-10-23",26.3562
"2007-10-24",26.3707
"2007-10-25",26.6842
"2007-10-26",25.4643
"2007-10-27",26.2148
"2007-10-28",26.8236
"2007-10-29",26.6657
"2007-10-30",26.7711
"2007-10-31",27.6703
"2007-11-01",27.2764
"2007-11-02",26.245
"2007-11-03",26.0624
"2007-11-04",26.3754
"2007-11-05",27.0093
"2007-11-06",25.9841
"2007-11-07",25.9737
"2007-11-08",26.3929
"2007-11-09",26.9182
"2007-11-10",26.9522
"2007-11-11",26.7105
"2007-11-12",26.7364
"2007-11-13",27.0767
"2007-11-14",26.9311
"2007-11-15",26.8513
"2007-11-16",26.3962
"2007-11-17",25.8605
"2007-11-18",26.9514
"2007-11-19",26.5187
"2007-11-20",26.6616
"2007-11-21",26.3509
"2007-11-22",26.131
"2007-11-23",26.8589
"2007-11-24",27.2738
"2007-11-25",26.7326
"2007-11-26",26.352
"2007-11-27",27.0675
"2007-11-28",27.6407
"2007-11-29",27.1459
"2007-11-30",27.0224
"2007-12-01",27.29
"2007-12-02",26.5375
"2007-12-03",27.5814
"2007-12-04",27.5763
"2007-12-05",27.4115
"2007-12-06",27.7548
"2007-12-07",27.081
"2007-12-08",27.2806
"2007-12-09",27.2176
"2007-12-10",27.4924
"2007-12-11",27.7294
"2007-12-12",26.4321
"2007-12-13",25.4054
"2007-12-14",25.9143
"2007-12-15",26.0077
"2007-12-16",25.9448
"2007-12-17",26.3044
"2007-12-18",25.5918
"2007-12-19",26.042
"2007-12-20",26.0427
"2007-12-21",26.1971
"2007-12-22",25.5832
"2007-12-23",25.3441
"2007-12-24",26.5374
"2007-12-25",25.782
"2007-12-26",25.5434
"2007-12-27",25.7372
"2007-12-28",25.6805
"2007-12-29",25.8295
"2007-12-30",25.9261
"2007-12-31",26.0351
"2008-01-01",25.9223
"2008-01-02",26.0857
"2008-01-03",25.5484
"2008-01-04",26.4414
"2008-01-05",26.6324
"2008-01-06",26.273
"2008-01-07",26.0364
"2008-01-08",25.7497
"2008-01-09",25.9982
"2008-01-10",26.2108
"2008-01-11",26.2111
"2008-01-12",25.8849
"2008-01-13",25.7173
"2008-01-14",26.1391
"2008-01-15",25.8593
"2008-01-16",26.1886
"2008-01-17",25.9792
"2008-01-18",25.7252
"2008-01-19",25.7231
"2008-01-20",26.4499
"2008-01-21",26.3211
"2008-01-22",26.5259
"2008-01-23",26.9527
"2008-01-24",26.6393
"2008-01-25",26.7258
"2008-01-26",26.8646
"2008-01-27",26.6305
