,"(deg C) Mean Temperature (ERA5) at Galle, 2007-01-01 to 2025-12-31"
"2007-01-01",24.9617
"2007-01-02",25.5902
"2007-01-03",25.1804
"2007-01-04",25.1373
"2007-01-05",24.8236
"2007-01-06",25.0341
"2007-01-07",25.1601
"2007-01-08",25.8567
"2007-01-09",25.6211
"2007-01-10",25.856
"2007-01-11",24.7567
"2007-01-12",24.9742
"2007-01-13",25.5602
"2007-01-14",25.5813
"2007-01-15",25.8649
"2007-01-16",25.7526
"2007-01-17",26.1051
"2007-01-18",26.0678
"2007-01-19",25.534
"2007-01-20",25.7779
"2007-01-21",25.3997
"2007-01-22",25.1744
"2007-01-23",25.0482
"2007-01-24",25.4149
"2007-01-25",25.7956
"2007-01-26",25.4283
"2007-01-27",25.5769
"2007-01-28",26.5134
"2007-01-29",26.4675
"2007-01-30",26.5691
"2007-01-31",25.9119
"2007-02-01",25.7008
"2007-02-02",25.6233
"2007-02-03",25.7972
"2007-02-04",25.421
"2007-02-05",25.117
"2007-02-06",25.2456
"2007-02-07",25.6932
"2007-02-08",25.6948
"2007-02-09",25.9054
"2007-02-10",26.3389
"2007-02-11",26.55
"2007-02-12",26.6734
"2007-02-13",26.8281
"2007-02-14",26.5804
"2007-02-15",26.3486
"2007-02-16",26.1749
"2007-02-17",26.2554
"2007-02-18",26.2513
"2007-02-19",25.9255
"2007-02-20",26.1858
"2007-02-21",26.2447
"2007-02-22",26.7926
"2007-02-23",25.9857
"2007-02-24",26.1984
"2007-02-25",25.8675
"2007-02-26",26.5491
"2007-02-27",26.6624
"2007-02-28",25.9841
"2007-03-01",27.0363
"2007-03-02",25.8642
"2007-03-03",26.137
"2007-03-04",26.8471
"2007-03-05",26.4934
"2007-03-06",26.6905
"2007-03-07",26.7501
"2007-03-08",26.5927
"2007-03-09",26.4253
"2007-03-10",26.3098
"2007-03-11",26.2649
"2007-03-12",26.6507
"2007-03-13",26.6453
"2007-03-14",26.9459
"2007-03-15",26.6296
"2007-03-16",26.4141
"2007-03-17",26.6434
"2007-03-18",26.5865
"2007-03-19",27.0708
"2007-03-20",27.0941
"2007-03-21",26.9769
"2007-03-22",27.1847
"2007-03-23",27.2399
"2007-03-24",26.779
"2007-03-25",27.157
"2007-03-26",26.9299
"2007-03-27",27.2346
"2007-03-28",27.3429
"2007-03-29",27.1668
"2007-03-30",27.3534
"2007-03-31",27.3641
"2007-04-01",26.9555
"2007-04-02",27.2689
"2007-04-03",27.1162
"2007-04-04",26.7221
"2007-04-05",26.6021
"2007-04-06",26.2275
"2007-04-07",25.8928
"2007-04-08",25.6059
"2007-04-09",25.6186
"2007-04-10",25.5312
"2007-04-11",25.1898
"2007-04-12",26.0289
"2007-04-13",26.9037
"2007-04-14",26.9227
"2007-04-15",26.6139
"2007-04-16",27.0443
"2007-04-17",27.47
"2007-04-18",27.8216
"2007-04-19",27.4831
"2007-04-20",27.4781
"2007-04-21",27.2955
"2007-04-22",26.7843
"2007-04-23",27.1932
"2007-04-24",27.2743
"2007-04-25",26.9267
"2007-04-26",26.4817
"2007-04-27",26.502
"2007-04-28",26.4351
"2007-04-29",26.5432
"2007-04-30",26.6001
"2007-05-01",27.8419
"2007-05-02",27.9008
"2007-05-03",26.2512
"2007-05-04",26.6205
"2007-05-05",27.7193
"2007-05-06",27.4203
"2007-05-07",27.4808
"2007-05-08",27.1722
"2007-05-09",26.9211
"2007-05-10",27.4352
"2007-05-11",27.2206
"2007-05-12",27.0106
"2007-05-13",27.3482
"2007-05-14",27.5615
"2007-05-15",27.4026
"2007-05-16",27.1294
"2007-05-17",27.2194
"2007-05-18",27.2437
"2007-05-19",27.1252
"2007-05-20",27.2105
"2007-05-21",27.5008
"2007-05-22",27.2053
"2007-05-23",27.6955
"2007-05-24",27.5072
"2007-05-25",27.6898
"2007-05-26",27.5548
"2007-05-27",26.6034
"2007-05-28",25.4267
"2007-05-29",26.805
"2007-05-30",26.9094
"2007-05-31",27.2877
"2007-06-01",27.6573
"2007-06-02",27.4594
"2007-06-03",27.5419
"2007-06-04",27.3409
"2007-06-05",27.2101
"2007-06-06",26.9789
"2007-06-07",26.5142
"2007-06-08",26.2968
"2007-06-09",26.9628
"2007-06-10",26.8643
"2007-06-11",26.6449
"2007-06-12",26.4659
"2007-06-13",26.5164
"2007-06-14",26.1466
"2007-06-15",25.5981
"2007-06-16",26.6497
"2007-06-17",26.6872
"2007-06-18",26.4699
"2007-06-19",25.9035
"2007-06-20",25.7183
"2007-06-21",25.5612
"2007-06-22",25.6999
"2007-06-23",25.8363
"2007-06-24",26.9234
"2007-06-25",26.8858
"2007-06-26",26.921
"2007-06-27",27.0585
"2007-06-28",26.2361
"2007-06-29",26.7202
"2007-06-30",26.5889
"2007-07-01",26.8146
"2007-07-02",26.4067
"2007-07-03",26.2642
"2007-07-04",26.7429
"2007-07-05",26.6756
"2007-07-06",26.7971
"2007-07-07",27.1717
"2007-07-08",26.6344
"2007-07-09",26.2897
"2007-07-10",26.0211
"2007-07-11",25.5929
"2007-07-12",25.978
"2007-07-13",26.4292
"2007-07-14",26.3185
"2007-07-15",26.8186
"2007-07-16",25.9833
"2007-07-17",25.8849
"2007-07-18",25.7793
"2007-07-19",25.0686
"2007-07-20",25.5078
"2007-07-21",25.557
"2007-07-22",25.473
"2007-07-23",25.0427
"2007-07-24",25.1528
"2007-07-25",25.161
"2007-07-26",25.492
"2007-07-27",26.1654
"2007-07-28",26.1667
"2007-07-29",25.9608
"2007-07-30",26.2761
"2007-07-31",26.237
"2007-08-01",26.5373
"2007-08-02",25.7958
"2007-08-03",25.8378
"2007-08-04",26.5835
"2007-08-05",26.6958
"2007-08-06",27.1867
"2007-08-07",27.0016
"2007-08-08",26.717
"2007-08-09",26.5473
"2007-08-10",25.8172
"2007-08-11",26.2695
"2007-08-12",26.2507
"2007-08-13",26.1939
"2007-08-14",26.3841
"2007-08-15",26.2111
"2007-08-16",26.4153
"2007-08-17",26.4206
"2007-08-18",26.1189
"2007-08-19",26.3059
"2007-08-20",26.6521
"2007-08-21",25.7303
"2007-08-22",25.9889
"2007-08-23",26.0243
"2007-08-24",26.0035
"2007-08-25",25.5124
"2007-08-26",25.7827
"2007-08-27",26.1099
"2007-08-28",25.7007
"2007-08-29",25.4589
"2007-08-30",24.9337
"2007-08-31",25.0086
"2007-09-01",25.8164
"2007-09-02",26.2602
"2007-09-03",26.4442
"2007-09-04",26.6139
"2007-09-05",25.4803
"2007-09-06",25.5123
"2007-09-07",26.2347
"2007-09-08",25.6249
"2007-09-09",24.7604
"2007-09-10",26.4546
"2007-09-11",26.0903
"2007-09-12",25.7152
"2007-09-13",26.2356
"2007-09-14",26.2523
"2007-09-15",26.412
"2007-09-16",26.3421
"2007-09-17",25.7318
"2007-09-18",26.2435
"2007-09-19",26.2287
"2007-09-20",26.0447
"2007-09-21",26.1691
"2007-09-22",26.1468
"2007-09-23",26.0884
"2007-09-24",26.3083
"2007-09-25",26.2375
