,"(deg C) Mean Temperature (ERA5) at Gampaha, 2007-01-01 to 2025-12-31"
"2007-01-01",25.7606
"2007-01-02",26.119
"2007-01-03",25.8046
"2007-01-04",24.9538
"2007-01-05",25.5004
"2007-01-06",26.1013
"2007-01-07",26.1084
"2007-01-08",26.6822
"2007-01-09",26.6834
"2007-01-10",26.3856
"2007-01-11",26.0261
"2007-01-12",26.288
"2007-01-13",27.2047
"2007-01-14",26.7183
"2007-01-15",27.4047
"2007-01-16",26.8916
"2007-01-17",27.2013
"2007-01-18",27.0058
"2007-01-19",26.352
"2007-01-20",26.3743
"2007-01-21",26.3284
"2007-01-22",25.8241
"2007-01-23",26.1949
"2007-01-24",26.7378
"2007-01-25",26.9127
"2007-01-26",25.925
"2007-01-27",25.9353
"2007-01-28",27.3138
"2007-01-29",27.7147
"2007-01-30",27.5855
"2007-01-31",27.6035
"2007-02-01",27.2239
"2007-02-02",26.8987
"2007-02-03",27.1866
"2007-02-04",27.1736
"2007-02-05",27.0004
"2007-02-06",26.5563
"2007-02-07",27.2233
"2007-02-08",27.3125
"2007-02-09",27.5847
"2007-02-10",28.1034
"2007-02-11",28.0322
"2007-02-12",28.1273
"2007-02-13",27.7624
"2007-02-14",27.5385
"2007-02-15",27.3022
"2007-02-16",27.1757
"2007-02-17",27.2471
"2007-02-18",27.4907
"2007-02-19",28.0676
"2007-02-20",28.0111
"2007-02-21",27.5681
"2007-02-22",27.2393
"2007-02-23",27.6128
"2007-02-24",27.5227
"2007-02-25",25.6978
"2007-02-26",28.0761
"2007-02-27",28.5973
"2007-02-28",28.5846
"2007-03-01",28.8163
"2007-03-02",27.6692
"2007-03-03",28.3923
"2007-03-04",28.9074
"2007-03-05",28.856
"2007-03-06",28.6571
"2007-03-07",28.2652
"2007-03-08",28.1803
"2007-03-09",28.7172
"2007-03-10",29.1272
"2007-03-11",28.0926
"2007-03-12",28.6856
"2007-03-13",28.4447
"2007-03-14",28.814
"2007-03-15",28.3703
"2007-03-16",27.7288
"2007-03-17",28.5914
"2007-03-18",28.5431
"2007-03-19",28.6543
"2007-03-20",28.6442
"2007-03-21",28.3527
"2007-03-22",28.4917
"2007-03-23",28.82
"2007-03-24",28.1089
"2007-03-25",28.9132
"2007-03-26",28.9019
"2007-03-27",28.995
"2007-03-28",29.2647
"2007-03-29",29.2627
"2007-03-30",28.8035
"2007-03-31",27.9489
"2007-04-01",27.9498
"2007-04-02",28.7338
"2007-04-03",28.662
"2007-04-04",28.5048
"2007-04-05",27.7739
"2007-04-06",27.1487
"2007-04-07",26.9645
"2007-04-08",26.4837
"2007-04-09",26.485
"2007-04-10",26.0077
"2007-04-11",25.7089
"2007-04-12",27.0103
"2007-04-13",27.962
"2007-04-14",28.132
"2007-04-15",27.388
"2007-04-16",27.9918
"2007-04-17",28.5271
"2007-04-18",28.9766
"2007-04-19",28.6997
"2007-04-20",28.1384
"2007-04-21",27.5998
"2007-04-22",27.5484
"2007-04-23",28.4485
"2007-04-24",28.6173
"2007-04-25",28.1401
"2007-04-26",27.186
"2007-04-27",27.3271
"2007-04-28",27.4963
"2007-04-29",27.3823
"2007-04-30",28.091
"2007-05-01",28.9803
"2007-05-02",29.0322
"2007-05-03",26.8763
"2007-05-04",27.145
"2007-05-05",28.6356
"2007-05-06",28.2729
"2007-05-07",28.2838
"2007-05-08",27.9694
"2007-05-09",27.6202
"2007-05-10",28.1491
"2007-05-11",28.3038
"2007-05-12",28.2206
"2007-05-13",28.8377
"2007-05-14",29.0085
"2007-05-15",28.7271
"2007-05-16",28.516
"2007-05-17",28.3944
"2007-05-18",28.3467
"2007-05-19",28.1655
"2007-05-20",28.1873
"2007-05-21",28.3976
"2007-05-22",28.2333
"2007-05-23",28.556
"2007-05-24",28.4533
"2007-05-25",28.6748
"2007-05-26",28.572
"2007-05-27",27.6268
"2007-05-28",26.3343
"2007-05-29",27.534
"2007-05-30",27.9456
"2007-05-31",28.0423
"2007-06-01",28.2771
"2007-06-02",28.5438
"2007-06-03",28.4821
"2007-06-04",28.1961
"2007-06-05",28.092
"2007-06-06",27.8823
"2007-06-07",27.4869
"2007-06-08",27.0949
"2007-06-09",27.7022
"2007-06-10",27.8148
"2007-06-11",27.6411
"2007-06-12",27.9195
"2007-06-13",28.1494
"2007-06-14",27.4587
"2007-06-15",26.6704
"2007-06-16",27.6716
"2007-06-17",27.2562
"2007-06-18",27.298
"2007-06-19",27.3122
"2007-06-20",26.618
"2007-06-21",26.1909
"2007-06-22",26.3114
"2007-06-23",26.1112
"2007-06-24",27.5901
"2007-06-25",27.7603
"2007-06-26",27.6865
"2007-06-27",27.5972
"2007-06-28",27.4346
"2007-06-29",27.6501
"2007-06-30",27.4859
"2007-07-01",27.729
"2007-07-02",27.0434
"2007-07-03",27.1893
"2007-07-04",27.6085
"2007-07-05",27.767
"2007-07-06",27.8298
"2007-07-07",28.1904
"2007-07-08",27.5509
"2007-07-09",27.527
"2007-07-10",27.1253
"2007-07-11",26.6061
"2007-07-12",27.0521
"2007-07-13",27.6681
"2007-07-14",27.5557
"2007-07-15",27.7777
"2007-07-16",27.3011
"2007-07-17",26.9793
"2007-07-18",26.5819
"2007-07-19",26.1901
"2007-07-20",26.417
"2007-07-21",26.6461
"2007-07-22",26.3298
"2007-07-23",26.2608
"2007-07-24",25.9039
"2007-07-25",26.2171
"2007-07-26",26.5229
"2007-07-27",27.0225
"2007-07-28",27.1571
"2007-07-29",26.9961
"2007-07-30",27.0244
"2007-07-31",26.4671
"2007-08-01",27.1323
"2007-08-02",26.3999
"2007-08-03",26.7855
"2007-08-04",27.2605
"2007-08-05",27.1211
"2007-08-06",27.8762
"2007-08-07",28.0753
"2007-08-08",27.7262
"2007-08-09",27.6054
"2007-08-10",27.1527
"2007-08-11",27.2559
"2007-08-12",27.6071
"2007-08-13",27.3085
"2007-08-14",27.2579
"2007-08-15",27.0649
"2007-08-16",27.2733
"2007-08-17",27.3674
"2007-08-18",27.2389
"2007-08-19",27.1753
"2007-08-20",27.6125
"2007-08-21",26.99
"2007-08-22",27.3281
"2007-08-23",27.3072
"2007-08-24",26.7839
"2007-08-25",26.4705
"2007-08-26",26.7372
"2007-08-27",27.043
"2007-08-28",26.7747
"2007-08-29",26.2407
"2007-08-30",25.8213
"2007-08-31",25.6213
"2007-09-01",26.846
"2007-09-02",26.9628
"2007-09-03",27.3913
"2007-09-04",27.2659
"2007-09-05",26.8105
"2007-09-06",27.1312
"2007-09-07",27.2012
"2007-09-08",26.6701
"2007-09-09",25.3914
"2007-09-10",27.2462
"2007-09-11",27.1712
"2007-09-12",26.5556
"2007-09-13",27.2169
"2007-09-14",27.0539
"2007-09-15",27.3535
"2007-09-16",27.2735
"2007-09-17",26.5576
"2007-09-18",26.8774
"2007-09-19",27.1597
"2007-09-20",27.146
"2007-09-21",27.3234
"2007-09-22",26.9752
"2007-09-23",26.942
"2007-09-24",27.3348
"2007-09-25",27.1779
"2007-09-26",27.7228
"2007-09-27",27.4441
"2007-09-28",26.946
"2007-09-29",27.6189
"2007-09-30",27.7197
"2007-10-01",27.6589
"2007-10-02",26.3277
"2007-10-03",26.8332
"2007-10-04",27.126
"2007-10-05",26.4162
"2007-10-06",26.7452
"2007-10-07",26.4463
"2007-10-08",26.1566
"2007-10-09",26.8961
"2007-10-10",27.0207
"2007-10-11",26.1403
"2007-10-12",26.6347
"2007-10-13",26.9441
"2007-10-14",26.4278
"2007-10-15",26.1533
"2007-10-16",26.3493
"2007-10-17",26.0388
"2007-10-18",25.646
"2007-10-19",26.6136
"2007-10-20",24.973
"2007-10-21",26.5824
"2007-10-22",25.5212
"2007-10-23",26.3682
"2007-10-24",26.3914
"2007-10-25",26.7967
"2007-10-26",25.4124
"2007-10-27",26.1522
"2007-10-28",26.8899
"2007-10-29",26.7128
"2007-10-30",26.829
"2007-10-31",27.7093
"2007-11-01",27.3447
"2007-11-02",26.2143
"2007-11-03",26.1943
"2007-11-04",26.4572
"2007-11-05",27.0767
"2007-11-06",26.0702
"2007-11-07",26.0566
"2007-11-08",26.4506
"2007-11-09",26.9724
"2007-11-10",27.0625
"2007-11-11",26.7161
"2007-11-12",26.7555
"2007-11-13",27.0526
"2007-11-14",26.9605
"2007-11-15",26.9697
"2007-11-16",26.4152
"2007-11-17",25.7867
"2007-11-18",26.8536
"2007-11-19",26.3446
"2007-11-20",26.6888
"2007-11-21",26.4625
"2007-11-22",26.2602
"2007-11-23",26.8857
"2007-11-24",27.2133
"2007-11-25",26.6723
"2007-11-26",26.4861
"2007-11-27",27.0053
"2007-11-28",27.6589
"2007-11-29",27.3071
"2007-11-30",26.9122
"2007-12-01",27.244
"2007-12-02",26.7642
"2007-12-03",27.567
"2007-12-04",27.4188
"2007-12-05",27.3629
"2007-12-06",27.6504
"2007-12-07",27.0538
"2007-12-08",27.2701
"2007-12-09",27.0265
"2007-12-10",27.2747
"2007-12-11",27.4919
"2007-12-12",26.1118
"2007-12-13",25.2453
"2007-12-14",25.8462
"2007-12-15",25.9971
"2007-12-16",25.8311
"2007-12-17",26.2153
"2007-12-18",25.5808
"2007-12-19",25.9719
"2007-12-20",26.066
"2007-12-21",26.3942
"2007-12-22",25.6507
"2007-12-23",25.3604
"2007-12-24",26.4317
"2007-12-25",25.6892
"2007-12-26",25.5016
"2007-12-27",25.7505
"2007-12-28",25.6237
"2007-12-29",25.8698
"2007-12-30",25.8973
"2007-12-31",25.9817
"2008-01-01",25.8291
"2008-01-02",25.9296
"2008-01-03",25.4327
"2008-01-04",26.5899
"2008-01-05",26.7183
"2008-01-06",26.3079
"2008-01-07",26.0628
"2008-01-08",25.7111
"2008-01-09",25.9332
"2008-01-10",26.2085
"2008-01-11",26.4297
"2008-01-12",25.899
"2008-01-13",25.8078
"2008-01-14",26.1071
"2008-01-15",25.8812
"2008-01-16",26.3274
"2008-01-17",26.0217
"2008-01-18",25.7202
"2008-01-19",25.6953
"2008-01-20",26.428
"2008-01-21",26.3885
"2008-01-22",26.5775
"2008-01-23",26.8178
"2008-01-24",26.6223
"2008-01-25",26.7137
"2008-01-26",26.882
"2008-01-27",26.5751
"2008-01-28",26.5903
"2008-01-29",27.0489
"2008-01-30",27.291
"2008-01-31",27.3296
"2008-02-01",27.1673
"2008-02-02",27.4806
"2008-02-03",27.9482
"2008-02-04",28.0237
"2008-02-05",28.5647
"2008-02-06",26.7994
"2008-02-07",26.1407
"2008-02-08",26.6184
"2008-02-09",27.4077
"2008-02-10",27.5249
"2008-02-11",27.6279
"2008-02-12",27.2873
"2008-02-13",27.2007
"2008-02-14",27.6077
"2008-02-15",27.9992
"2008-02-16",27.9822
"2008-02-17",27.9153
"2008-02-18",27.6197
