,"(deg C) Mean Temperature (ERA5) at Hambantota, 2007-01-01 to 2025-12-31"
"2007-01-01",23.7032
"2007-01-02",24.6196
"2007-01-03",24.3141
"2007-01-04",23.7465
"2007-01-05",23.5941
"2007-01-06",23.6457
"2007-01-07",24.1464
"2007-01-08",25.3339
"2007-01-09",24.9218
"2007-01-10",25.0422
"2007-01-11",23.8565
"2007-01-12",24.2802
"2007-01-13",24.8183
"2007-01-14",24.9769
"2007-01-15",25.413
"2007-01-16",25.1886
"2007-01-17",25.4926
"2007-01-18",25.5609
"2007-01-19",25.106
"2007-01-20",24.9602
"2007-01-21",24.3133
"2007-01-22",23.9764
"2007-01-23",23.7854
"2007-01-24",24.5937
"2007-01-25",25.0525
"2007-01-26",24.3981
"2007-01-27",24.4212
"2007-01-28",25.4576
"2007-01-29",25.5785
"2007-01-30",25.3349
"2007-01-31",25.2667
"2007-02-01",24.6973
"2007-02-02",24.3541
"2007-02-03",25.0702
"2007-02-04",24.8219
"2007-02-05",24.8413
"2007-02-06",24.538
"2007-02-07",25.185
"2007-02-08",24.9889
"2007-02-09",25.1848
"2007-02-10",25.5492
"2007-02-11",25.9475
"2007-02-12",26.4475
"2007-02-13",26.3822
"2007-02-14",26.3343
"2007-02-15",26.4283
"2007-02-16",26.0175
"2007-02-17",25.7263
"2007-02-18",25.8132
"2007-02-19",25.4408
"2007-02-20",25.6092
"2007-02-21",25.4142
"2007-02-22",25.4744
"2007-02-23",25.7441
"2007-02-24",25.7673
"2007-02-25",24.8893
"2007-02-26",26.292
"2007-02-27",26.3004
"2007-02-28",25.5176
"2007-03-01",26.7398
"2007-03-02",25.3574
"2007-03-03",25.7872
"2007-03-04",25.8982
"2007-03-05",25.777
"2007-03-06",26.1526
"2007-03-07",26.3984
"2007-03-08",25.7617
"2007-03-09",25.4938
"2007-03-10",26.0488
"2007-03-11",26.0243
"2007-03-12",25.6452
"2007-03-13",26.6593
"2007-03-14",26.8374
"2007-03-15",27.2915
"2007-03-16",26.4334
"2007-03-17",26.5973
"2007-03-18",26.3067
"2007-03-19",26.1905
"2007-03-20",26.587
"2007-03-21",26.9
"2007-03-22",26.8765
"2007-03-23",26.9639
"2007-03-24",26.3097
"2007-03-25",27.3238
