,"(deg C) Mean Temperature (ERA5) at Jaffna, 2007-01-01 to 2025-12-31"
"2007-01-01",25.8334
"2007-01-02",25.9658
"2007-01-03",25.8299
"2007-01-04",25.8069
"2007-01-05",26.0673
"2007-01-06",25.4771
"2007-01-07",25.5946
"2007-01-08",25.9115
"2007-01-09",25.9211
"2007-01-10",25.9983
"2007-01-11",25.9708
"2007-01-12",25.7126
"2007-01-13",25.6146
"2007-01-14",25.8932
"2007-01-15",25.8224
"2007-01-16",25.634
"2007-01-17",25.2132
"2007-01-18",25.2123
"2007-01-19",25.5987
"2007-01-20",25.8901
"2007-01-21",25.8269
"2007-01-22",25.3744
"2007-01-23",25.6929
"2007-01-24",25.9427
"2007-01-25",25.6453
"2007-01-26",26.0028
"2007-01-27",25.3054
"2007-01-28",26.2175
"2007-01-29",26.1273
"2007-01-30",26.2007
"2007-01-31",25.9215
"2007-02-01",25.8903
"2007-02-02",26.2927
"2007-02-03",26.0448
"2007-02-04",25.7294
"2007-02-05",25.4333
"2007-02-06",25.3051
"2007-02-07",25.8958
"2007-02-08",25.9269
"2007-02-09",25.2351
"2007-02-10",25.2472
"2007-02-11",25.9217
"2007-02-12",26.4292
"2007-02-13",26.6935
"2007-02-14",26.8692
"2007-02-15",27.0539
"2007-02-16",26.6618
"2007-02-17",26.451
"2007-02-18",26.0864
"2007-02-19",26.8107
"2007-02-20",26.5668
"2007-02-21",26.2177
"2007-02-22",26.1247
"2007-02-23",26.2069
"2007-02-24",26.5801
"2007-02-25",26.2509
"2007-02-26",26.7672
"2007-02-27",27.0712
"2007-02-28",26.794
"2007-03-01",26.7792
"2007-03-02",27.0027
"2007-03-03",27.1461
"2007-03-04",26.6927
"2007-03-05",26.304
"2007-03-06",26.5805
"2007-03-07",26.2891
"2007-03-08",26.4026
"2007-03-09",26.7557
"2007-03-10",26.5626
"2007-03-11",26.0046
"2007-03-12",27.1421
"2007-03-13",26.9362
"2007-03-14",27.3074
"2007-03-15",27.4148
"2007-03-16",27.7078
"2007-03-17",27.3346
"2007-03-18",26.991
"2007-03-19",27.0745
"2007-03-20",27.1952
"2007-03-21",27.9463
"2007-03-22",27.5383
"2007-03-23",26.9676
"2007-03-24",27.1211
"2007-03-25",27.8889
"2007-03-26",28.2667
"2007-03-27",27.9213
"2007-03-28",27.6955
"2007-03-29",27.4228
"2007-03-30",27.6829
"2007-03-31",28.3933
"2007-04-01",28.3348
"2007-04-02",28.4943
"2007-04-03",28.7243
"2007-04-04",28.6901
"2007-04-05",28.2709
"2007-04-06",27.8999
"2007-04-07",27.7504
"2007-04-08",27.4476
"2007-04-09",27.0466
"2007-04-10",26.6775
"2007-04-11",27.2488
"2007-04-12",27.9746
"2007-04-13",28.4444
"2007-04-14",27.9585
"2007-04-15",27.2162
"2007-04-16",27.8511
"2007-04-17",28.6343
"2007-04-18",28.8979
"2007-04-19",28.563
"2007-04-20",28.5397
"2007-04-21",28.5573
"2007-04-22",29.068
"2007-04-23",29.6647
"2007-04-24",29.7812
"2007-04-25",29.6417
"2007-04-26",28.9156
"2007-04-27",28.7531
"2007-04-28",28.8766
"2007-04-29",29.2541
"2007-04-30",29.6241
"2007-05-01",29.9092
"2007-05-02",30.2562
"2007-05-03",29.7754
"2007-05-04",29.529
"2007-05-05",30.025
"2007-05-06",29.9776
"2007-05-07",29.7274
"2007-05-08",29.7923
"2007-05-09",29.7118
"2007-05-10",29.7823
"2007-05-11",29.7796
"2007-05-12",29.9155
"2007-05-13",29.733
"2007-05-14",29.6356
"2007-05-15",29.6142
"2007-05-16",29.5168
"2007-05-17",29.1935
"2007-05-18",29.4056
"2007-05-19",29.5407
"2007-05-20",29.7013
