,"(deg C) Mean Temperature (ERA5) at Kalutara, 2007-01-01 to 2025-12-31"
"2007-01-01",25.2727
"2007-01-02",26.036
"2007-01-03",25.6259
"2007-01-04",25.1746
"2007-01-05",25.0953
"2007-01-06",25.806
"2007-01-07",25.8361
"2007-01-08",26.6458
"2007-01-09",26.3513
"2007-01-10",25.9916
"2007-01-11",24.9066
"2007-01-12",25.4751
"2007-01-13",26.3794
"2007-01-14",26.2052
"2007-01-15",26.577
"2007-01-16",26.3704
"2007-01-17",26.7402
"2007-01-18",26.7686
"2007-01-19",26.0904
"2007-01-20",26.1974
"2007-01-21",25.9158
"2007-01-22",25.599
"2007-01-23",25.704
"2007-01-24",26.3136
"2007-01-25",26.7307
"2007-01-26",26.0155
"2007-01-27",25.8559
"2007-01-28",26.8982
"2007-01-29",26.7484
"2007-01-30",27.2002
"2007-01-31",26.8357
"2007-02-01",26.5186
"2007-02-02",26.2169
"2007-02-03",26.6887
"2007-02-04",26.5236
"2007-02-05",26.078
"2007-02-06",26.0827
"2007-02-07",26.5999
"2007-02-08",26.6742
"2007-02-09",26.6377
"2007-02-10",27.1044
"2007-02-11",27.3873
"2007-02-12",27.4786
"2007-02-13",27.5114
"2007-02-14",27.1348
"2007-02-15",26.9491
"2007-02-16",26.749
"2007-02-17",27.0214
"2007-02-18",27.0284
"2007-02-19",26.4007
"2007-02-20",27.3551
"2007-02-21",27.2684
"2007-02-22",27.5313
"2007-02-23",26.6103
"2007-02-24",27.003
"2007-02-25",26.0314
"2007-02-26",27.4811
"2007-02-27",27.6229
"2007-02-28",27.0164
"2007-03-01",27.9036
"2007-03-02",26.6826
"2007-03-03",27.2592
"2007-03-04",27.7385
"2007-03-05",27.4396
"2007-03-06",27.6508
"2007-03-07",27.6531
"2007-03-08",27.5417
"2007-03-09",27.5821
"2007-03-10",27.4372
"2007-03-11",27.3236
"2007-03-12",27.8873
"2007-03-13",27.3614
"2007-03-14",27.5036
"2007-03-15",27.1063
"2007-03-16",26.8117
"2007-03-17",27.185
"2007-03-18",27.3077
"2007-03-19",27.7898
"2007-03-20",27.7557
"2007-03-21",27.5001
"2007-03-22",27.9505
"2007-03-23",27.9844
"2007-03-24",27.4873
"2007-03-25",28.1067
"2007-03-26",28.0532
"2007-03-27",28.1914
"2007-03-28",28.4726
"2007-03-29",28.445
"2007-03-30",28.4568
"2007-03-31",27.9252
"2007-04-01",27.5226
"2007-04-02",28.0158
"2007-04-03",27.8574
"2007-04-04",27.4618
"2007-04-05",26.9616
"2007-04-06",26.4366
"2007-04-07",26.1168
"2007-04-08",25.8255
"2007-04-09",25.9467
"2007-04-10",25.4801
"2007-04-11",25.1882
"2007-04-12",26.5078
"2007-04-13",27.4714
"2007-04-14",27.3476
"2007-04-15",26.9503
"2007-04-16",27.4039
"2007-04-17",27.8132
"2007-04-18",28.2432
"2007-04-19",27.9912
"2007-04-20",27.612
"2007-04-21",27.2668
"2007-04-22",26.968
"2007-04-23",27.7397
"2007-04-24",27.7116
"2007-04-25",27.4101
"2007-04-26",26.5767
"2007-04-27",26.5795
"2007-04-28",26.7654
"2007-04-29",26.6616
"2007-04-30",27.0266
"2007-05-01",28.2639
"2007-05-02",28.367
"2007-05-03",26.3458
"2007-05-04",26.827
"2007-05-05",28.1605
"2007-05-06",27.7336
"2007-05-07",27.8308
"2007-05-08",27.5165
"2007-05-09",27.0657
"2007-05-10",27.5812
"2007-05-11",27.6658
"2007-05-12",27.4733
"2007-05-13",27.898
"2007-05-14",28.2705
"2007-05-15",27.9654
"2007-05-16",27.6431
"2007-05-17",27.5928
"2007-05-18",27.6778
"2007-05-19",27.5938
"2007-05-20",27.6663
"2007-05-21",27.932
"2007-05-22",27.7124
"2007-05-23",28.2073
"2007-05-24",27.9514
"2007-05-25",28.0619
"2007-05-26",28.0179
"2007-05-27",27.103
"2007-05-28",25.394
"2007-05-29",27.0692
"2007-05-30",27.2473
"2007-05-31",27.5139
"2007-06-01",27.8758
"2007-06-02",27.9382
"2007-06-03",27.8447
"2007-06-04",27.6267
"2007-06-05",27.6348
"2007-06-06",27.4809
"2007-06-07",26.9592
"2007-06-08",26.6213
"2007-06-09",27.1287
"2007-06-10",27.2833
"2007-06-11",27.1613
"2007-06-12",27.0668
"2007-06-13",27.2194
"2007-06-14",26.4578
"2007-06-15",25.7841
"2007-06-16",26.9969
"2007-06-17",26.874
"2007-06-18",26.5797
"2007-06-19",26.3252
"2007-06-20",25.9796
"2007-06-21",25.7642
"2007-06-22",25.9068
"2007-06-23",25.8059
"2007-06-24",27.2203
"2007-06-25",27.2496
"2007-06-26",27.1114
"2007-06-27",27.2181
"2007-06-28",26.8566
"2007-06-29",27.1547
"2007-06-30",27.0809
"2007-07-01",27.2318
"2007-07-02",26.687
"2007-07-03",26.753
"2007-07-04",26.9915
"2007-07-05",27.1067
"2007-07-06",27.1591
"2007-07-07",27.615
"2007-07-08",26.9329
"2007-07-09",26.8438
"2007-07-10",26.4612
"2007-07-11",26.0319
"2007-07-12",26.3658
"2007-07-13",27.0096
"2007-07-14",26.8721
"2007-07-15",27.2426
"2007-07-16",26.5344
"2007-07-17",26.3188
"2007-07-18",26.0443
"2007-07-19",25.4439
"2007-07-20",25.7119
"2007-07-21",25.917
"2007-07-22",25.5955
"2007-07-23",25.4315
"2007-07-24",25.4163
"2007-07-25",25.4121
"2007-07-26",25.851
"2007-07-27",26.4662
"2007-07-28",26.5926
"2007-07-29",26.4733
"2007-07-30",26.6345
"2007-07-31",26.3562
"2007-08-01",26.8094
"2007-08-02",25.9828
"2007-08-03",26.1203
"2007-08-04",26.8112
"2007-08-05",26.8741
"2007-08-06",27.4834
"2007-08-07",27.4497
"2007-08-08",27.2236
"2007-08-09",27.055
"2007-08-10",26.3614
"2007-08-11",26.5926
"2007-08-12",26.7962
"2007-08-13",26.5342
"2007-08-14",26.5726
"2007-08-15",26.5005
"2007-08-16",26.7613
"2007-08-17",26.8661
"2007-08-18",26.6326
"2007-08-19",26.6195
"2007-08-20",27.0239
"2007-08-21",26.1648
"2007-08-22",26.2995
"2007-08-23",26.5421
"2007-08-24",26.2844
"2007-08-25",25.7754
"2007-08-26",26.0192
"2007-08-27",26.3536
"2007-08-28",26.1095
"2007-08-29",25.6945
"2007-08-30",25.1357
"2007-08-31",25.0385
"2007-09-01",26.1928
"2007-09-02",26.5232
"2007-09-03",26.7243
"2007-09-04",26.809
"2007-09-05",25.9345
"2007-09-06",25.9765
"2007-09-07",26.5162
"2007-09-08",25.989
"2007-09-09",24.7188
"2007-09-10",26.7493
"2007-09-11",26.591
"2007-09-12",26.0129
"2007-09-13",26.6469
"2007-09-14",26.4902
"2007-09-15",26.7323
"2007-09-16",26.8222
"2007-09-17",26.1042
"2007-09-18",26.5408
"2007-09-19",26.702
"2007-09-20",26.601
"2007-09-21",26.7612
"2007-09-22",26.5074
"2007-09-23",26.3827
"2007-09-24",26.7833
"2007-09-25",26.7428
"2007-09-26",27.1134
"2007-09-27",26.8965
"2007-09-28",26.3733
"2007-09-29",27.1524
"2007-09-30",27.0839
"2007-10-01",26.8409
"2007-10-02",25.6916
"2007-10-03",26.315
"2007-10-04",26.2469
"2007-10-05",25.9747
"2007-10-06",26.0585
"2007-10-07",25.9084
"2007-10-08",25.5052
"2007-10-09",26.1952
"2007-10-10",26.2531
"2007-10-11",25.5594
"2007-10-12",26.0414
"2007-10-13",26.3331
"2007-10-14",25.9644
"2007-10-15",25.7297
"2007-10-16",25.8398
"2007-10-17",25.4843
"2007-10-18",25.0879
"2007-10-19",26.2414
"2007-10-20",24.2622
"2007-10-21",25.618
"2007-10-22",24.8137
"2007-10-23",25.8218
"2007-10-24",26.0092
"2007-10-25",26.2168
"2007-10-26",24.9824
"2007-10-27",25.7662
"2007-10-28",26.1438
"2007-10-29",26.0674
"2007-10-30",26.1422
"2007-10-31",27.1156
"2007-11-01",26.6626
"2007-11-02",25.8563
"2007-11-03",25.5124
"2007-11-04",25.9661
"2007-11-05",26.4794
"2007-11-06",25.3732
"2007-11-07",25.2916
"2007-11-08",25.947
"2007-11-09",26.3779
"2007-11-10",26.4142
"2007-11-11",26.2439
"2007-11-12",26.234
"2007-11-13",26.6319
"2007-11-14",26.2809
"2007-11-15",26.0623
"2007-11-16",25.5962
"2007-11-17",25.4706
"2007-11-18",26.5056
"2007-11-19",26.2129
"2007-11-20",26.1382
"2007-11-21",25.699
"2007-11-22",25.7306
"2007-11-23",26.3391
"2007-11-24",26.8224
"2007-11-25",26.5616
"2007-11-26",25.8498
"2007-11-27",26.7061
"2007-11-28",27.0566
"2007-11-29",26.2038
"2007-11-30",26.2417
"2007-12-01",26.5136
"2007-12-02",25.5907
"2007-12-03",26.72
"2007-12-04",26.8548
"2007-12-05",26.1663
"2007-12-06",26.6391
"2007-12-07",25.9474
"2007-12-08",26.3109
"2007-12-09",26.3786
"2007-12-10",26.5736
"2007-12-11",26.9924
"2007-12-12",26.186
"2007-12-13",25.1058
"2007-12-14",25.5751
"2007-12-15",25.5278
"2007-12-16",25.5341
"2007-12-17",25.9612
"2007-12-18",25.1508
"2007-12-19",25.6063
"2007-12-20",25.5842
"2007-12-21",25.507
"2007-12-22",25.0173
"2007-12-23",24.6615
"2007-12-24",26.2862
"2007-12-25",25.4707
"2007-12-26",25.2611
"2007-12-27",25.3376
"2007-12-28",25.3267
"2007-12-29",25.3954
"2007-12-30",25.5864
"2007-12-31",25.5855
"2008-01-01",25.5179
"2008-01-02",25.8296
"2008-01-03",25.2542
"2008-01-04",25.734
"2008-01-05",25.825
"2008-01-06",25.5017
"2008-01-07",25.459
"2008-01-08",25.3112
"2008-01-09",25.4461
"2008-01-10",25.5884
"2008-01-11",25.3126
"2008-01-12",25.2467
"2008-01-13",24.9482
"2008-01-14",25.6786
"2008-01-15",25.5431
"2008-01-16",25.2769
"2008-01-17",25.4157
"2008-01-18",25.268
"2008-01-19",25.5215
"2008-01-20",26.1587
"2008-01-21",25.8482
"2008-01-22",25.8195
"2008-01-23",26.5397
"2008-01-24",26.2952
"2008-01-25",26.429
"2008-01-26",26.36
"2008-01-27",26.2014
"2008-01-28",26.016
"2008-01-29",26.3132
"2008-01-30",26.8138
"2008-01-31",26.8617
"2008-02-01",26.5325
"2008-02-02",26.9497
"2008-02-03",26.9888
"2008-02-04",27.2978
"2008-02-05",27.4423
"2008-02-06",26.1801
"2008-02-07",25.5178
"2008-02-08",26.1522
"2008-02-09",26.8532
"2008-02-10",27.1531
"2008-02-11",26.842
"2008-02-12",26.3147
"2008-02-13",26.2936
"2008-02-14",26.0849
"2008-02-15",26.524
"2008-02-16",26.5097
"2008-02-17",26.7857
"2008-02-18",26.3541
"2008-02-19",26.4958
"2008-02-20",26.6381
"2008-02-21",26.4904
"2008-02-22",26.7611
"2008-02-23",26.1495
"2008-02-24",25.144
"2008-02-25",25.0296
"2008-02-26",26.43
"2008-02-27",26.0857
"2008-02-28",25.981
"2008-02-29",25.5841
"2008-03-01",26.337
"2008-03-02",26.8784
"2008-03-03",26.3297
"2008-03-04",26.5368
"2008-03-05",26.2326
"2008-03-06",25.4225
"2008-03-07",26.4036
"2008-03-08",26.7461
"2008-03-09",25.5458
"2008-03-10",25.4931
"2008-03-11",25.2528
"2008-03-12",25.8324
"2008-03-13",26.3289
"2008-03-14",26.1156
"2008-03-15",25.1258
"2008-03-16",25.2681
"2008-03-17",25.5589
"2008-03-18",25.1163
"2008-03-19",25.918
"2008-03-20",26.007
"2008-03-21",26.646
"2008-03-22",27.1786
"2008-03-23",27.7293
"2008-03-24",26.6237
"2008-03-25",27.0722
"2008-03-26",27.0872
"2008-03-27",27.0208
"2008-03-28",26.7054
"2008-03-29",26.8887
"2008-03-30",26.9529
"2008-03-31",26.4544
"2008-04-01",26.9079
"2008-04-02",25.8273
"2008-04-03",26.5007
"2008-04-04",26.5847
"2008-04-05",26.6498
"2008-04-06",26.1241
"2008-04-07",25.8349
"2008-04-08",25.6244
"2008-04-09",25.5951
"2008-04-10",25.6212
"2008-04-11",26.4556
"2008-04-12",25.7963
"2008-04-13",26.7355
"2008-04-14",27.041
"2008-04-15",26.5216
"2008-04-16",26.4576
"2008-04-17",26.4984
"2008-04-18",27.029
"2008-04-19",27.2633
"2008-04-20",26.969
"2008-04-21",27.8721
"2008-04-22",27.7472
"2008-04-23",27.9961
"2008-04-24",26.7007
"2008-04-25",25.7946
"2008-04-26",26.2371
"2008-04-27",26.163
"2008-04-28",25.3607
"2008-04-29",27.2997
"2008-04-30",27.8178
"2008-05-01",27.7469
"2008-05-02",27.5474
"2008-05-03",27.6606
"2008-05-04",27.4926
"2008-05-05",27.2991
"2008-05-06",27.0958
"2008-05-07",26.8182
"2008-05-08",26.9154
"2008-05-09",26.1998
"2008-05-10",27.7736
"2008-05-11",27.5801
"2008-05-12",26.9398
"2008-05-13",27.347
"2008-05-14",27.1205
"2008-05-15",27.1325
"2008-05-16",27.4546
"2008-05-17",27.531
"2008-05-18",27.6826
"2008-05-19",27.77
"2008-05-20",27.5654
"2008-05-21",27.8232
"2008-05-22",27.2726
"2008-05-23",27.125
"2008-05-24",27.2327
"2008-05-25",27.2599
"2008-05-26",26.8821
"2008-05-27",26.1992
"2008-05-28",27.0308
"2008-05-29",26.348
"2008-05-30",26.4157
"2008-05-31",26.1594
"2008-06-01",25.4721
"2008-06-02",25.6334
"2008-06-03",25.3315
"2008-06-04",26.9269
"2008-06-05",27.0325
"2008-06-06",27.4661
"2008-06-07",26.5793
"2008-06-08",26.7395
"2008-06-09",26.5312
"2008-06-10",27.3426
"2008-06-11",27.3441
"2008-06-12",27.2668
"2008-06-13",27.4923
"2008-06-14",27.2598
"2008-06-15",27.1614
"2008-06-16",27.6198
"2008-06-17",27.2155
"2008-06-18",26.4074
"2008-06-19",26.963
"2008-06-20",27.0063
"2008-06-21",26.3561
"2008-06-22",26.1944
"2008-06-23",26.3415
"2008-06-24",26.6121
"2008-06-25",26.5009
"2008-06-26",26.8155
"2008-06-27",27.3677
"2008-06-28",26.8269
"2008-06-29",26.7376
"2008-06-30",26.8277
"2008-07-01",25.3993
"2008-07-02",27.2931
"2008-07-03",27.1363
"2008-07-04",27.0094
"2008-07-05",27.273
"2008-07-06",26.68
"2008-07-07",26.5806
"2008-07-08",26.6663
"2008-07-09",27.2747
"2008-07-10",26.2507
"2008-07-11",25.6743
"2008-07-12",26.7609
"2008-07-13",26.4687
"2008-07-14",26.1159
"2008-07-15",25.0264
"2008-07-16",25.9857
"2008-07-17",26.35
"2008-07-18",26.0021
"2008-07-19",25.6678
"2008-07-20",26.1519
"2008-07-21",26.327
"2008-07-22",26.1574
"2008-07-23",25.4714
"2008-07-24",26.025
"2008-07-25",26.4966
"2008-07-26",26.0881
"2008-07-27",26.0046
"2008-07-28",25.3327
"2008-07-29",25.857
"2008-07-30",25.8727
"2008-07-31",25.9993
"2008-08-01",26.3029
"2008-08-02",26.7738
"2008-08-03",26.2957
"2008-08-04",26.6331
"2008-08-05",26.4832
"2008-08-06",26.5481
"2008-08-07",26.6041
"2008-08-08",26.7106
"2008-08-09",26.61
"2008-08-10",26.6509
"2008-08-11",26.6024
"2008-08-12",25.9887
"2008-08-13",26.5938
"2008-08-14",26.2552
"2008-08-15",26.6702
"2008-08-16",26.5396
"2008-08-17",26.2342
"2008-08-18",26.5899
"2008-08-19",26.8008
"2008-08-20",26.4583
"2008-08-21",25.9438
"2008-08-22",26.5217
"2008-08-23",26.2129
"2008-08-24",26.1751
"2008-08-25",26.1606
"2008-08-26",25.4474
"2008-08-27",25.7499
"2008-08-28",25.7029
"2008-08-29",25.251
"2008-08-30",24.5379
"2008-08-31",25.3136
"2008-09-01",26.6171
"2008-09-02",26.8724
"2008-09-03",27.0032
"2008-09-04",25.3991
"2008-09-05",25.5359
"2008-09-06",25.1308
"2008-09-07",25.2103
"2008-09-08",25.6038
"2008-09-09",27.0875
"2008-09-10",27.3244
"2008-09-11",26.1638
"2008-09-12",26.9507
"2008-09-13",27.1932
"2008-09-14",27.0486
"2008-09-15",26.4405
"2008-09-16",27.2457
"2008-09-17",27.5423
"2008-09-18",27.2172
"2008-09-19",26.7932
"2008-09-20",27.0821
"2008-09-21",26.7834
"2008-09-22",27.0563
"2008-09-23",26.8502
"2008-09-24",26.956
"2008-09-25",26.9192
"2008-09-26",27.0633
"2008-09-27",27.2579
"2008-09-28",27.0666
"2008-09-29",26.3945
"2008-09-30",27.1015
"2008-10-01",26.8803
"2008-10-02",26.7042
"2008-10-03",27.2283
"2008-10-04",26.6175
"2008-10-05",27.0268
"2008-10-06",27.1393
"2008-10-07",26.7034
"2008-10-08",26.311
"2008-10-09",26.3331
"2008-10-10",26.7551
"2008-10-11",25.8438
"2008-10-12",25.4998
"2008-10-13",25.9031
"2008-10-14",25.9785
"2008-10-15",26.6476
"2008-10-16",26.1578
"2008-10-17",26.4875
"2008-10-18",26.1588
"2008-10-19",25.9665
"2008-10-20",25.5096
"2008-10-21",25.0802
"2008-10-22",25.4582
"2008-10-23",26.0559
"2008-10-24",25.3424
"2008-10-25",26.3627
"2008-10-26",26.1194
"2008-10-27",26.7983
"2008-10-28",26.7414
"2008-10-29",26.324
"2008-10-30",26.4312
"2008-10-31",25.8154
"2008-11-01",25.885
"2008-11-02",25.7948
"2008-11-03",26.1006
"2008-11-04",26.1056
"2008-11-05",26.203
"2008-11-06",26.675
"2008-11-07",27.2973
"2008-11-08",26.7677
"2008-11-09",26.5143
"2008-11-10",26.1229
"2008-11-11",26.0464
"2008-11-12",26.1652
"2008-11-13",26.7117
"2008-11-14",26.5098
"2008-11-15",26.844
"2008-11-16",26.5021
"2008-11-17",26.8091
"2008-11-18",26.4659
"2008-11-19",26.7202
"2008-11-20",25.5364
"2008-11-21",25.7771
"2008-11-22",25.8137
"2008-11-23",25.4464
"2008-11-24",25.4548
"2008-11-25",25.6268
"2008-11-26",26.2325
"2008-11-27",26.0216
"2008-11-28",26.5325
"2008-11-29",24.8105
"2008-11-30",26.5437
"2008-12-01",26.4464
"2008-12-02",25.8036
"2008-12-03",26.4264
"2008-12-04",26.2082
"2008-12-05",26.2157
"2008-12-06",25.3631
"2008-12-07",25.2872
"2008-12-08",26.1516
"2008-12-09",25.9182
"2008-12-10",26.1682
"2008-12-11",25.5506
"2008-12-12",26.1009
"2008-12-13",25.9641
"2008-12-14",26.0977
"2008-12-15",25.9635
"2008-12-16",25.3001
"2008-12-17",25.5622
"2008-12-18",25.3878
"2008-12-19",25.9692
"2008-12-20",26.4137
"2008-12-21",26.0088
"2008-12-22",25.8695
"2008-12-23",26.2056
"2008-12-24",26.2486
"2008-12-25",26.4752
"2008-12-26",26.5272
"2008-12-27",25.8291
"2008-12-28",25.5195
"2008-12-29",26.0442
"2008-12-30",25.5411
"2008-12-31",25.3254
"2009-01-01",25.5285
"2009-01-02",25.7829
"2009-01-03",25.671
"2009-01-04",26.4715
"2009-01-05",26.7042
"2009-01-06",25.1725
"2009-01-07",26.9405
"2009-01-08",27.0539
"2009-01-09",25.2616
"2009-01-10",25.9746
"2009-01-11",26.3776
"2009-01-12",26.9221
"2009-01-13",26.6876
"2009-01-14",26.1219
"2009-01-15",26.509
"2009-01-16",26.5812
"2009-01-17",26.4105
"2009-01-18",27.2196
"2009-01-19",27.5539
"2009-01-20",27.6493
"2009-01-21",27.1209
"2009-01-22",26.9678
"2009-01-23",26.8881
"2009-01-24",26.33
"2009-01-25",25.9826
"2009-01-26",26.3743
"2009-01-27",26.4455
"2009-01-28",26.3266
"2009-01-29",26.8961
"2009-01-30",25.7296
"2009-01-31",26.0578
"2009-02-01",26.3103
"2009-02-02",26.0817
"2009-02-03",26.2794
"2009-02-04",26.162
"2009-02-05",25.9776
"2009-02-06",26.0977
"2009-02-07",26.4286
"2009-02-08",26.6224
"2009-02-09",26.6577
"2009-02-10",26.5979
"2009-02-11",27.1116
"2009-02-12",26.1551
