,"(deg C) Mean Temperature (ERA5) at Kandy, 2007-01-01 to 2025-12-31"
"2007-01-01",21.9
"2007-01-02",22.0579
"2007-01-03",21.6379
"2007-01-04",20.7004
"2007-01-05",21.297
"2007-01-06",21.8277
"2007-01-07",22.1146
"2007-01-08",23.0702
"2007-01-09",23.2778
"2007-01-10",23.1333
"2007-01-11",22.4725
"2007-01-12",22.7954
"2007-01-13",23.5532
"2007-01-14",23.2233
"2007-01-15",23.8306
"2007-01-16",23.2713
"2007-01-17",23.3285
"2007-01-18",23.3972
"2007-01-19",22.3729
"2007-01-20",22.2367
"2007-01-21",22.0655
"2007-01-22",21.3664
"2007-01-23",21.7724
"2007-01-24",22.4377
"2007-01-25",22.882
"2007-01-26",22.3491
"2007-01-27",22.9993
"2007-01-28",24.013
"2007-01-29",24.1721
"2007-01-30",23.7799
"2007-01-31",23.8199
"2007-02-01",23.1435
"2007-02-02",22.7622
"2007-02-03",23.219
"2007-02-04",23.2972
"2007-02-05",22.9531
"2007-02-06",22.1482
"2007-02-07",23.2058
"2007-02-08",23.1595
"2007-02-09",23.4625
"2007-02-10",24.2355
"2007-02-11",24.662
"2007-02-12",24.989
"2007-02-13",25.0511
"2007-02-14",25.2112
"2007-02-15",25.0612
"2007-02-16",25.0684
"2007-02-17",24.4415
"2007-02-18",24.7687
"2007-02-19",23.9366
"2007-02-20",23.7127
"2007-02-21",22.8583
"2007-02-22",22.6419
"2007-02-23",23.8512
"2007-02-24",23.9424
"2007-02-25",21.6303
"2007-02-26",24.8951
"2007-02-27",24.9963
"2007-02-28",24.4594
"2007-03-01",25.7565
"2007-03-02",24.7376
"2007-03-03",25.531
"2007-03-04",24.73
"2007-03-05",24.2161
"2007-03-06",24.583
"2007-03-07",24.9807
"2007-03-08",24.5362
"2007-03-09",24.8954
"2007-03-10",24.3662
"2007-03-11",24.967
"2007-03-12",25.3933
"2007-03-13",25.2435
"2007-03-14",25.7656
"2007-03-15",26.2778
"2007-03-16",25.4903
"2007-03-17",25.8699
"2007-03-18",25.8533
"2007-03-19",25.9791
"2007-03-20",25.7957
"2007-03-21",25.8877
"2007-03-22",26.0445
"2007-03-23",26.5863
"2007-03-24",25.7957
"2007-03-25",26.7571
"2007-03-26",27.0232
"2007-03-27",26.6775
"2007-03-28",26.7869
"2007-03-29",27.0017
"2007-03-30",27.1336
"2007-03-31",26.4202
"2007-04-01",26.0029
"2007-04-02",26.6708
"2007-04-03",27.2346
"2007-04-04",27.4093
"2007-04-05",25.6639
"2007-04-06",24.8701
"2007-04-07",24.4999
"2007-04-08",23.6815
"2007-04-09",23.5878
"2007-04-10",23.2532
"2007-04-11",23.1199
"2007-04-12",24.2658
"2007-04-13",24.9187
"2007-04-14",25.2646
"2007-04-15",24.4766
"2007-04-16",24.9068
"2007-04-17",25.2302
"2007-04-18",26.053
"2007-04-19",26.0582
"2007-04-20",25.4538
"2007-04-21",24.7678
"2007-04-22",24.2665
"2007-04-23",25.3785
"2007-04-24",25.379
"2007-04-25",25.2576
"2007-04-26",24.1979
"2007-04-27",24.2495
"2007-04-28",24.4539
"2007-04-29",24.3487
"2007-04-30",24.9227
"2007-05-01",25.8572
"2007-05-02",26.2802
