,"(deg C) Mean Temperature (ERA5) at Kegalle, 2007-01-01 to 2025-12-31"
"2007-01-01",23.931
"2007-01-02",24.4192
"2007-01-03",24.002
"2007-01-04",22.9279
"2007-01-05",23.3838
"2007-01-06",24.071
"2007-01-07",24.3593
"2007-01-08",25.366
"2007-01-09",25.6205
"2007-01-10",25.1452
"2007-01-11",24.4265
"2007-01-12",25.0021
"2007-01-13",25.9997
"2007-01-14",25.3983
"2007-01-15",26.2006
"2007-01-16",25.5958
"2007-01-17",25.8314
"2007-01-18",25.7353
"2007-01-19",24.8433
"2007-01-20",24.7143
"2007-01-21",24.5297
"2007-01-22",23.8533
"2007-01-23",24.2744
"2007-01-24",24.9483
"2007-01-25",25.4213
"2007-01-26",24.4167
"2007-01-27",24.9406
"2007-01-28",26.2192
"2007-01-29",26.491
"2007-01-30",26.3741
"2007-01-31",26.3512
"2007-02-01",25.7712
"2007-02-02",25.3866
"2007-02-03",25.8496
"2007-02-04",25.8015
"2007-02-05",25.6657
"2007-02-06",24.8405
"2007-02-07",25.9714
"2007-02-08",26.0421
"2007-02-09",26.0564
"2007-02-10",26.8646
"2007-02-11",27.1433
"2007-02-12",27.4333
"2007-02-13",27.0846
"2007-02-14",26.9988
"2007-02-15",26.8405
"2007-02-16",26.6515
"2007-02-17",26.5774
"2007-02-18",27.0617
"2007-02-19",26.5897
"2007-02-20",26.5481
"2007-02-21",25.896
"2007-02-22",25.6331
"2007-02-23",26.4167
"2007-02-24",26.5937
"2007-02-25",23.9206
"2007-02-26",27.4046
"2007-02-27",27.6829
"2007-02-28",27.2542
"2007-03-01",28.4132
"2007-03-02",26.6602
"2007-03-03",28.0538
"2007-03-04",27.9637
"2007-03-05",27.7441
"2007-03-06",27.733
"2007-03-07",27.6353
"2007-03-08",27.5337
"2007-03-09",27.9691
"2007-03-10",27.7401
"2007-03-11",27.512
"2007-03-12",28.1177
"2007-03-13",27.3883
"2007-03-14",27.9634
"2007-03-15",28.0278
"2007-03-16",27.1006
"2007-03-17",27.9533
"2007-03-18",28.0754
"2007-03-19",28.2023
"2007-03-20",28.2869
"2007-03-21",27.821
"2007-03-22",28.037
"2007-03-23",28.4105
"2007-03-24",27.2854
"2007-03-25",28.4593
"2007-03-26",28.5927
"2007-03-27",28.6633
"2007-03-28",29.1617
"2007-03-29",29.2063
"2007-03-30",28.8742
"2007-03-31",27.8899
"2007-04-01",27.3918
"2007-04-02",28.0872
"2007-04-03",28.3303
"2007-04-04",28.5224
"2007-04-05",27.2326
"2007-04-06",26.3446
"2007-04-07",25.8949
"2007-04-08",24.9775
"2007-04-09",24.8984
"2007-04-10",24.5519
"2007-04-11",24.0879
"2007-04-12",25.5333
"2007-04-13",26.5854
"2007-04-14",26.7986
"2007-04-15",25.9391
"2007-04-16",26.4633
"2007-04-17",26.7732
"2007-04-18",27.4766
"2007-04-19",27.4444
"2007-04-20",26.7053
"2007-04-21",26.0989
"2007-04-22",25.7297
"2007-04-23",26.9069
"2007-04-24",26.8979
"2007-04-25",26.6389
"2007-04-26",25.4669
"2007-04-27",25.7053
"2007-04-28",25.8291
"2007-04-29",25.6868
"2007-04-30",26.2274
"2007-05-01",27.4057
"2007-05-02",27.5792
"2007-05-03",25.3016
"2007-05-04",25.7606
"2007-05-05",27.2953
"2007-05-06",27.1493
"2007-05-07",27.178
"2007-05-08",26.8176
"2007-05-09",26.0313
"2007-05-10",26.5714
"2007-05-11",26.8998
"2007-05-12",26.7013
"2007-05-13",26.8553
"2007-05-14",27.1354
"2007-05-15",26.9211
"2007-05-16",26.7376
"2007-05-17",26.7214
"2007-05-18",27.0322
"2007-05-19",27.0426
"2007-05-20",27.1078
"2007-05-21",27.3577
"2007-05-22",27.1907
"2007-05-23",27.52
"2007-05-24",27.1907
"2007-05-25",27.372
"2007-05-26",27.2865
"2007-05-27",26.5612
"2007-05-28",24.3321
"2007-05-29",26.1424
"2007-05-30",26.3263
"2007-05-31",26.3787
"2007-06-01",26.8196
"2007-06-02",26.9289
"2007-06-03",26.8379
"2007-06-04",26.5593
"2007-06-05",26.8902
"2007-06-06",26.8939
"2007-06-07",26.3435
"2007-06-08",25.9019
"2007-06-09",26.3106
"2007-06-10",26.4976
"2007-06-11",26.4054
"2007-06-12",26.2316
"2007-06-13",26.2382
"2007-06-14",25.2273
"2007-06-15",24.7468
"2007-06-16",25.7789
"2007-06-17",25.3339
"2007-06-18",25.0102
"2007-06-19",25.2123
"2007-06-20",24.6834
"2007-06-21",24.5346
"2007-06-22",24.3765
"2007-06-23",24.6179
"2007-06-24",26.5244
"2007-06-25",26.3589
"2007-06-26",26.0508
"2007-06-27",25.7255
"2007-06-28",25.9876
"2007-06-29",26.5857
"2007-06-30",26.456
"2007-07-01",26.6885
"2007-07-02",26.0293
"2007-07-03",25.866
"2007-07-04",26.1404
"2007-07-05",25.9962
"2007-07-06",25.9049
"2007-07-07",26.6244
"2007-07-08",26.0523
"2007-07-09",26.1478
"2007-07-10",25.6932
"2007-07-11",25.3333
"2007-07-12",25.4446
"2007-07-13",26.0804
"2007-07-14",25.9014
"2007-07-15",26.1324
"2007-07-16",25.5515
"2007-07-17",25.2861
"2007-07-18",24.6969
"2007-07-19",24.5005
"2007-07-20",24.4668
"2007-07-21",24.6624
"2007-07-22",24.1952
"2007-07-23",24.6206
"2007-07-24",24.3578
"2007-07-25",24.3862
"2007-07-26",25.0406
"2007-07-27",25.5299
"2007-07-28",25.7548
"2007-07-29",25.3943
"2007-07-30",25.4419
"2007-07-31",25.2937
"2007-08-01",25.6812
"2007-08-02",25.2499
"2007-08-03",25.3925
"2007-08-04",25.8202
"2007-08-05",25.7212
"2007-08-06",26.3643
"2007-08-07",26.5597
"2007-08-08",26.0702
"2007-08-09",25.9132
"2007-08-10",25.2311
"2007-08-11",25.3406
"2007-08-12",25.9322
"2007-08-13",25.6074
"2007-08-14",25.6389
"2007-08-15",25.7018
"2007-08-16",25.8711
"2007-08-17",25.9005
"2007-08-18",25.7682
"2007-08-19",25.3921
"2007-08-20",26.1103
"2007-08-21",24.9724
"2007-08-22",25.3069
"2007-08-23",25.7088
"2007-08-24",25.0467
"2007-08-25",25.1921
"2007-08-26",25.2704
"2007-08-27",25.4351
"2007-08-28",25.6179
"2007-08-29",24.9436
"2007-08-30",24.1622
"2007-08-31",23.61
"2007-09-01",25.2161
"2007-09-02",25.6947
"2007-09-03",25.9358
"2007-09-04",26.0155
"2007-09-05",25.0677
"2007-09-06",25.1792
"2007-09-07",25.7419
"2007-09-08",25.5277
"2007-09-09",23.8252
"2007-09-10",26.1356
"2007-09-11",26.274
"2007-09-12",25.3445
"2007-09-13",25.7397
"2007-09-14",25.275
"2007-09-15",25.3804
"2007-09-16",25.6016
"2007-09-17",24.9779
"2007-09-18",25.4462
"2007-09-19",25.6014
"2007-09-20",25.3697
"2007-09-21",25.7402
"2007-09-22",25.3613
"2007-09-23",25.1535
"2007-09-24",25.8512
"2007-09-25",26.0794
"2007-09-26",26.3468
"2007-09-27",26.0237
"2007-09-28",25.7077
"2007-09-29",25.8977
"2007-09-30",25.8184
"2007-10-01",25.5984
"2007-10-02",24.6502
"2007-10-03",25.2283
"2007-10-04",25.4394
"2007-10-05",25.0185
"2007-10-06",24.8156
"2007-10-07",24.8113
"2007-10-08",24.2744
"2007-10-09",25.2866
"2007-10-10",25.807
"2007-10-11",24.5761
"2007-10-12",25.1123
"2007-10-13",25.4989
"2007-10-14",24.8139
"2007-10-15",24.7581
"2007-10-16",24.9881
"2007-10-17",24.7313
"2007-10-18",24.0686
"2007-10-19",25.2922
"2007-10-20",22.828
"2007-10-21",24.3884
"2007-10-22",23.4698
"2007-10-23",24.6104
"2007-10-24",25.2238
"2007-10-25",25.5503
"2007-10-26",23.789
"2007-10-27",24.2221
"2007-10-28",24.7668
"2007-10-29",24.6501
"2007-10-30",24.946
"2007-10-31",26.0676
"2007-11-01",25.595
"2007-11-02",24.948
"2007-11-03",24.7743
"2007-11-04",24.9946
"2007-11-05",25.5791
"2007-11-06",24.5406
"2007-11-07",24.2902
"2007-11-08",25.015
"2007-11-09",25.2368
"2007-11-10",25.5301
"2007-11-11",25.0942
"2007-11-12",25.2432
"2007-11-13",25.341
"2007-11-14",25.0802
"2007-11-15",25.1838
"2007-11-16",24.5194
"2007-11-17",23.6551
"2007-11-18",25.3191
"2007-11-19",24.8372
"2007-11-20",25.5749
"2007-11-21",25.1834
"2007-11-22",25.0474
"2007-11-23",25.3386
"2007-11-24",25.8375
"2007-11-25",25.1593
