,"(deg C) Mean Temperature (ERA5) at Kilinochchi, 2007-01-01 to 2025-12-31"
"2007-01-01",25.6728
"2007-01-02",25.7726
"2007-01-03",25.5592
"2007-01-04",25.4688
"2007-01-05",25.8594
"2007-01-06",25.3591
"2007-01-07",25.775
"2007-01-08",25.7551
"2007-01-09",25.9854
"2007-01-10",26.2481
"2007-01-11",26.0241
"2007-01-12",25.7554
"2007-01-13",26.0355
"2007-01-14",26.0805
"2007-01-15",26.106
"2007-01-16",25.9946
"2007-01-17",25.7099
"2007-01-18",25.7908
"2007-01-19",25.5649
"2007-01-20",25.9965
"2007-01-21",25.9346
"2007-01-22",25.6998
"2007-01-23",25.8897
"2007-01-24",26.1836
"2007-01-25",25.7358
"2007-01-26",26.2595
"2007-01-27",25.2016
"2007-01-28",26.5347
"2007-01-29",26.5648
"2007-01-30",26.4984
"2007-01-31",26.3584
"2007-02-01",26.2587
"2007-02-02",26.2147
"2007-02-03",26.2625
"2007-02-04",25.9916
"2007-02-05",25.4902
"2007-02-06",25.5401
"2007-02-07",26.1873
"2007-02-08",26.2443
"2007-02-09",25.8032
"2007-02-10",25.6096
"2007-02-11",26.2353
"2007-02-12",27.0294
"2007-02-13",27.2234
"2007-02-14",27.3105
"2007-02-15",27.6217
"2007-02-16",27.1355
"2007-02-17",26.7091
"2007-02-18",26.7525
"2007-02-19",26.8918
"2007-02-20",26.6326
"2007-02-21",26.1952
"2007-02-22",25.8632
"2007-02-23",25.7784
"2007-02-24",26.2087
"2007-02-25",25.5546
"2007-02-26",26.6619
"2007-02-27",27.4339
"2007-02-28",27.2104
"2007-03-01",27.2348
"2007-03-02",27.7243
"2007-03-03",27.8456
"2007-03-04",27.3061
"2007-03-05",26.8762
"2007-03-06",27.1166
"2007-03-07",26.7782
"2007-03-08",26.8044
"2007-03-09",27.2322
"2007-03-10",27.0153
"2007-03-11",26.4645
"2007-03-12",27.6269
"2007-03-13",27.5911
"2007-03-14",27.8638
"2007-03-15",28.007
"2007-03-16",28.1207
"2007-03-17",28.0111
"2007-03-18",27.6369
"2007-03-19",27.5648
"2007-03-20",27.8426
"2007-03-21",28.3173
"2007-03-22",27.7953
"2007-03-23",27.4396
"2007-03-24",27.3253
"2007-03-25",28.4643
"2007-03-26",28.7903
"2007-03-27",28.4192
"2007-03-28",28.1795
"2007-03-29",27.8731
"2007-03-30",28.0088
"2007-03-31",28.6061
"2007-04-01",28.8589
"2007-04-02",29.0424
"2007-04-03",29.3066
"2007-04-04",29.4308
"2007-04-05",28.5053
"2007-04-06",27.9268
"2007-04-07",27.9329
"2007-04-08",27.6611
"2007-04-09",26.9052
"2007-04-10",26.5555
"2007-04-11",27.149
"2007-04-12",28.5763
"2007-04-13",28.9304
"2007-04-14",28.324
"2007-04-15",27.7422
"2007-04-16",28.2548
"2007-04-17",29.0267
"2007-04-18",29.3993
"2007-04-19",29.2334
"2007-04-20",28.8177
"2007-04-21",28.9334
"2007-04-22",29.1528
"2007-04-23",30.0352
"2007-04-24",30.1093
"2007-04-25",29.6356
"2007-04-26",28.8041
"2007-04-27",28.7112
"2007-04-28",29.2482
"2007-04-29",29.1251
"2007-04-30",29.6274
"2007-05-01",30.1588
"2007-05-02",30.812
"2007-05-03",29.141
"2007-05-04",29.308
"2007-05-05",30.0198
"2007-05-06",30.2472
"2007-05-07",30.0109
"2007-05-08",30.0673
"2007-05-09",29.7381
"2007-05-10",30.1215
"2007-05-11",30.4135
"2007-05-12",30.4835
"2007-05-13",29.7636
"2007-05-14",29.871
"2007-05-15",29.8433
"2007-05-16",29.8248
"2007-05-17",29.3524
"2007-05-18",29.7219
"2007-05-19",29.9627
"2007-05-20",30.0763
"2007-05-21",30.2686
"2007-05-22",30.1901
"2007-05-23",30.0109
"2007-05-24",29.7816
"2007-05-25",30.0501
"2007-05-26",29.9494
"2007-05-27",29.8626
"2007-05-28",29.026
"2007-05-29",29.5549
"2007-05-30",29.8606
"2007-05-31",29.8805
"2007-06-01",29.9152
"2007-06-02",30.2762
"2007-06-03",30.4326
"2007-06-04",30.1603
"2007-06-05",30.2524
"2007-06-06",30.0577
"2007-06-07",29.2432
"2007-06-08",29.0218
"2007-06-09",29.4605
"2007-06-10",29.9192
"2007-06-11",29.8858
"2007-06-12",29.9142
"2007-06-13",30.1227
"2007-06-14",29.6016
"2007-06-15",28.8448
"2007-06-16",28.7874
"2007-06-17",28.8357
"2007-06-18",28.4677
"2007-06-19",28.2049
"2007-06-20",28.314
"2007-06-21",28.0268
"2007-06-22",27.8676
"2007-06-23",27.4207
"2007-06-24",28.3215
"2007-06-25",29.0716
"2007-06-26",29.1872
"2007-06-27",28.7289
"2007-06-28",29.0614
"2007-06-29",29.0854
"2007-06-30",28.7874
"2007-07-01",28.9891
"2007-07-02",28.7317
"2007-07-03",28.9064
"2007-07-04",28.7856
"2007-07-05",29.1015
"2007-07-06",29.3912
"2007-07-07",29.3366
"2007-07-08",29.0875
"2007-07-09",29.0119
"2007-07-10",28.7365
"2007-07-11",28.551
"2007-07-12",28.7897
"2007-07-13",28.7465
"2007-07-14",28.9559
"2007-07-15",28.9103
"2007-07-16",29.2852
"2007-07-17",29.0683
"2007-07-18",29.2717
"2007-07-19",28.5842
"2007-07-20",28.2114
"2007-07-21",28.343
"2007-07-22",28.198
"2007-07-23",27.871
"2007-07-24",27.1279
"2007-07-25",27.7763
"2007-07-26",27.8526
"2007-07-27",28.0142
"2007-07-28",28.0598
"2007-07-29",27.6135
"2007-07-30",27.5241
"2007-07-31",27.6722
"2007-08-01",27.6141
"2007-08-02",27.672
"2007-08-03",27.6765
"2007-08-04",28.4851
"2007-08-05",28.5455
"2007-08-06",28.8361
"2007-08-07",29.1497
"2007-08-08",29.2854
"2007-08-09",29.3293
"2007-08-10",29.2236
"2007-08-11",28.9572
"2007-08-12",29.1624
"2007-08-13",28.9025
"2007-08-14",29.0642
"2007-08-15",28.7469
"2007-08-16",28.7299
"2007-08-17",28.5803
"2007-08-18",28.6301
"2007-08-19",28.7689
"2007-08-20",29.1133
"2007-08-21",28.6293
"2007-08-22",28.311
"2007-08-23",28.703
"2007-08-24",28.2194
"2007-08-25",28.01
"2007-08-26",28.4073
"2007-08-27",28.4186
"2007-08-28",28.5432
"2007-08-29",28.2316
"2007-08-30",27.7325
"2007-08-31",28.0126
"2007-09-01",28.398
"2007-09-02",28.3898
"2007-09-03",28.3922
"2007-09-04",28.6391
"2007-09-05",28.7427
"2007-09-06",28.4598
"2007-09-07",29.2833
"2007-09-08",28.9167
"2007-09-09",27.3173
"2007-09-10",28.337
"2007-09-11",28.4019
"2007-09-12",28.176
"2007-09-13",28.9096
"2007-09-14",27.825
"2007-09-15",28.6836
"2007-09-16",28.7361
"2007-09-17",28.8447
"2007-09-18",29.2939
"2007-09-19",29.2023
"2007-09-20",28.8979
"2007-09-21",29.0497
"2007-09-22",28.9518
"2007-09-23",28.7768
"2007-09-24",29.0624
"2007-09-25",29.2104
"2007-09-26",29.0385
"2007-09-27",28.7591
"2007-09-28",28.1884
"2007-09-29",28.8591
"2007-09-30",28.6342
"2007-10-01",28.5575
"2007-10-02",28.3724
"2007-10-03",28.8474
"2007-10-04",29.0185
"2007-10-05",28.705
"2007-10-06",29.0065
"2007-10-07",28.8147
"2007-10-08",28.461
"2007-10-09",28.7435
"2007-10-10",28.876
"2007-10-11",27.7468
"2007-10-12",28.0449
"2007-10-13",28.0543
"2007-10-14",27.3033
"2007-10-15",27.3776
"2007-10-16",27.3863
"2007-10-17",26.737
"2007-10-18",26.0933
"2007-10-19",27.1172
"2007-10-20",25.8516
"2007-10-21",26.0091
"2007-10-22",25.5538
"2007-10-23",25.6091
"2007-10-24",26.4087
"2007-10-25",26.8575
"2007-10-26",26.1645
"2007-10-27",26.2546
"2007-10-28",27.0252
"2007-10-29",27.3757
"2007-10-30",27.7459
"2007-10-31",28.3379
"2007-11-01",26.7574
"2007-11-02",27.0309
"2007-11-03",26.6771
"2007-11-04",26.7222
"2007-11-05",27.8464
"2007-11-06",26.9519
"2007-11-07",27.2809
"2007-11-08",27.3715
"2007-11-09",27.7692
"2007-11-10",27.1685
"2007-11-11",26.601
"2007-11-12",26.706
"2007-11-13",27.4992
"2007-11-14",27.5686
"2007-11-15",27.1979
"2007-11-16",26.8249
"2007-11-17",26.4363
"2007-11-18",26.4203
"2007-11-19",26.1081
"2007-11-20",26.4774
"2007-11-21",25.9487
"2007-11-22",26.0364
"2007-11-23",26.1252
"2007-11-24",26.459
"2007-11-25",26.1182
"2007-11-26",26.4305
"2007-11-27",26.8917
"2007-11-28",26.404
"2007-11-29",26.8281
"2007-11-30",26.5288
"2007-12-01",26.212
"2007-12-02",26.607
"2007-12-03",26.8332
"2007-12-04",26.3744
"2007-12-05",26.5615
"2007-12-06",26.4368
"2007-12-07",26.232
"2007-12-08",25.9851
"2007-12-09",26.5723
"2007-12-10",26.7588
"2007-12-11",26.6508
"2007-12-12",25.7476
"2007-12-13",25.1435
"2007-12-14",25.8893
"2007-12-15",25.7594
"2007-12-16",26.3094
"2007-12-17",25.739
"2007-12-18",26.0214
"2007-12-19",25.663
"2007-12-20",25.5824
"2007-12-21",26.2356
"2007-12-22",26.405
"2007-12-23",25.8844
"2007-12-24",25.6248
"2007-12-25",25.4753
"2007-12-26",25.5202
"2007-12-27",25.9925
"2007-12-28",25.8274
"2007-12-29",25.9294
"2007-12-30",26.0601
"2007-12-31",25.8645
"2008-01-01",25.8677
"2008-01-02",25.9047
"2008-01-03",25.4024
"2008-01-04",25.7569
"2008-01-05",25.6828
"2008-01-06",25.7025
"2008-01-07",25.8079
"2008-01-08",25.739
"2008-01-09",25.7122
"2008-01-10",25.8354
"2008-01-11",25.9216
"2008-01-12",26.0433
"2008-01-13",25.5314
"2008-01-14",25.6847
"2008-01-15",25.7762
"2008-01-16",25.7933
"2008-01-17",25.2331
"2008-01-18",24.9326
"2008-01-19",25.1517
"2008-01-20",25.9551
"2008-01-21",26.2445
"2008-01-22",26.1201
"2008-01-23",26.1263
"2008-01-24",26.041
"2008-01-25",26.4939
"2008-01-26",26.5565
"2008-01-27",26.8325
"2008-01-28",26.7585
"2008-01-29",26.7068
"2008-01-30",26.5307
"2008-01-31",26.9694
"2008-02-01",26.9174
"2008-02-02",26.9862
"2008-02-03",27.1302
"2008-02-04",26.903
"2008-02-05",26.9545
"2008-02-06",26.6486
"2008-02-07",25.9454
"2008-02-08",26.3833
"2008-02-09",27.0459
"2008-02-10",27.3158
"2008-02-11",27.49
"2008-02-12",27.2634
"2008-02-13",26.7232
"2008-02-14",27.2607
"2008-02-15",27.2921
"2008-02-16",27.4578
"2008-02-17",26.7192
"2008-02-18",25.9058
"2008-02-19",25.8827
"2008-02-20",27.3397
"2008-02-21",27.3968
"2008-02-22",27.1071
"2008-02-23",26.3876
"2008-02-24",25.9181
"2008-02-25",25.8091
"2008-02-26",27.3941
"2008-02-27",26.3532
"2008-02-28",26.7425
"2008-02-29",25.6732
"2008-03-01",26.7665
"2008-03-02",27.4877
"2008-03-03",26.9282
"2008-03-04",26.7514
"2008-03-05",26.8143
"2008-03-06",26.7498
"2008-03-07",26.9777
"2008-03-08",27.0666
"2008-03-09",27.0692
"2008-03-10",26.1271
"2008-03-11",24.9719
"2008-03-12",25.4663
"2008-03-13",26.2589
"2008-03-14",26.6
"2008-03-15",26.3829
"2008-03-16",26.3213
"2008-03-17",26.2479
"2008-03-18",26.3583
"2008-03-19",26.5425
"2008-03-20",26.4988
"2008-03-21",26.7388
"2008-03-22",27.0299
"2008-03-23",27.7391
"2008-03-24",27.5849
"2008-03-25",28.1893
"2008-03-26",28.4634
"2008-03-27",28.5465
"2008-03-28",28.6764
"2008-03-29",28.6508
"2008-03-30",28.1056
"2008-03-31",28.4971
"2008-04-01",28.6035
"2008-04-02",27.4937
"2008-04-03",28.5194
"2008-04-04",28.6768
"2008-04-05",28.563
"2008-04-06",28.6881
"2008-04-07",27.5073
"2008-04-08",27.0267
"2008-04-09",26.7901
"2008-04-10",27.0531
"2008-04-11",27.757
"2008-04-12",27.7234
"2008-04-13",28.4892
"2008-04-14",29.0396
"2008-04-15",28.8644
"2008-04-16",28.8563
"2008-04-17",29.0702
"2008-04-18",29.2556
"2008-04-19",29.3812
"2008-04-20",29.3232
"2008-04-21",29.7871
"2008-04-22",29.7913
"2008-04-23",29.8111
"2008-04-24",29.5567
"2008-04-25",28.61
"2008-04-26",28.0583
"2008-04-27",29.0646
"2008-04-28",29.4577
"2008-04-29",29.9109
"2008-04-30",29.7531
"2008-05-01",29.8278
"2008-05-02",29.7227
"2008-05-03",29.3083
"2008-05-04",29.4783
"2008-05-05",29.5259
"2008-05-06",29.5893
"2008-05-07",29.3785
"2008-05-08",29.6033
"2008-05-09",29.1708
"2008-05-10",29.1839
"2008-05-11",29.797
"2008-05-12",29.2717
"2008-05-13",29.4366
"2008-05-14",29.6154
"2008-05-15",29.7021
"2008-05-16",29.8213
"2008-05-17",29.8834
"2008-05-18",30.0493
"2008-05-19",29.8035
"2008-05-20",29.618
"2008-05-21",29.5315
"2008-05-22",29.6863
"2008-05-23",29.3899
"2008-05-24",29.3393
"2008-05-25",29.3029
"2008-05-26",29.0437
"2008-05-27",29.0595
"2008-05-28",29.4133
"2008-05-29",29.1842
"2008-05-30",29.1786
"2008-05-31",29.6763
"2008-06-01",28.8529
"2008-06-02",29.0451
"2008-06-03",28.6523
"2008-06-04",29.7368
"2008-06-05",30.0713
"2008-06-06",29.8558
"2008-06-07",29.4038
"2008-06-08",29.1144
"2008-06-09",29.4358
"2008-06-10",29.1823
"2008-06-11",29.3545
"2008-06-12",29.1503
"2008-06-13",29.7678
"2008-06-14",29.5674
"2008-06-15",29.6341
"2008-06-16",29.2918
"2008-06-17",29.204
"2008-06-18",29.0878
"2008-06-19",29.0705
"2008-06-20",29.3817
"2008-06-21",28.7098
"2008-06-22",28.9756
"2008-06-23",28.869
"2008-06-24",29.2178
"2008-06-25",29.0216
"2008-06-26",29.1322
"2008-06-27",28.9001
"2008-06-28",29.0109
"2008-06-29",28.8802
"2008-06-30",29.3982
"2008-07-01",28.0075
"2008-07-02",29.0581
"2008-07-03",29.7208
"2008-07-04",29.3751
"2008-07-05",28.9651
"2008-07-06",29.1488
"2008-07-07",29.089
"2008-07-08",29.3437
"2008-07-09",29.2673
"2008-07-10",29.0426
"2008-07-11",28.9794
"2008-07-12",28.8477
"2008-07-13",29.2367
"2008-07-14",29.2246
"2008-07-15",28.2982
"2008-07-16",28.8469
"2008-07-17",28.7388
"2008-07-18",29.3918
"2008-07-19",28.1497
"2008-07-20",28.4579
"2008-07-21",28.4707
"2008-07-22",28.4864
"2008-07-23",28.563
"2008-07-24",28.6464
"2008-07-25",28.8247
"2008-07-26",28.414
"2008-07-27",28.3319
"2008-07-28",27.558
"2008-07-29",27.9177
"2008-07-30",27.9772
"2008-07-31",28.5675
"2008-08-01",28.9542
"2008-08-02",28.6275
"2008-08-03",28.8931
"2008-08-04",28.8558
"2008-08-05",28.7044
"2008-08-06",28.3689
"2008-08-07",28.5187
"2008-08-08",28.1833
"2008-08-09",28.5634
"2008-08-10",28.8411
"2008-08-11",28.6569
"2008-08-12",28.4611
"2008-08-13",28.8375
"2008-08-14",28.383
"2008-08-15",28.4113
"2008-08-16",28.3793
"2008-08-17",28.4507
"2008-08-18",28.3387
"2008-08-19",28.419
"2008-08-20",28.5856
"2008-08-21",28.4864
"2008-08-22",28.5266
"2008-08-23",28.6269
"2008-08-24",28.8912
"2008-08-25",28.3878
"2008-08-26",27.8212
"2008-08-27",27.7093
"2008-08-28",27.7937
"2008-08-29",27.5635
"2008-08-30",27.363
"2008-08-31",27.4648
"2008-09-01",28.393
"2008-09-02",28.4473
"2008-09-03",28.9084
"2008-09-04",28.1545
"2008-09-05",28.3386
"2008-09-06",27.9515
"2008-09-07",27.9353
"2008-09-08",28.4921
"2008-09-09",28.9236
"2008-09-10",29.0651
"2008-09-11",29.0513
"2008-09-12",29.2571
"2008-09-13",29.2161
"2008-09-14",28.9326
"2008-09-15",28.7805
"2008-09-16",28.8773
"2008-09-17",29.1811
"2008-09-18",29.207
"2008-09-19",28.7124
"2008-09-20",28.7022
"2008-09-21",28.3512
"2008-09-22",28.6017
"2008-09-23",28.5529
"2008-09-24",28.5663
"2008-09-25",28.6103
"2008-09-26",28.9777
"2008-09-27",29.0043
"2008-09-28",28.5656
"2008-09-29",28.129
"2008-09-30",28.4007
"2008-10-01",28.6354
"2008-10-02",28.4781
"2008-10-03",28.9059
"2008-10-04",28.2831
"2008-10-05",29.0524
"2008-10-06",29.061
"2008-10-07",28.5422
"2008-10-08",29.0704
"2008-10-09",28.5077
"2008-10-10",29.1033
"2008-10-11",27.8751
"2008-10-12",26.8161
"2008-10-13",26.5115
"2008-10-14",26.4472
"2008-10-15",27.2818
"2008-10-16",27.4076
"2008-10-17",27.0447
"2008-10-18",27.1895
"2008-10-19",27.2609
"2008-10-20",26.9452
"2008-10-21",26.1007
"2008-10-22",26.762
"2008-10-23",26.7821
"2008-10-24",26.5094
"2008-10-25",27.7881
"2008-10-26",27.244
"2008-10-27",27.7751
"2008-10-28",28.1439
"2008-10-29",28.0276
"2008-10-30",27.7289
"2008-10-31",27.5115
"2008-11-01",27.0583
"2008-11-02",27.8371
"2008-11-03",27.9609
"2008-11-04",27.4621
"2008-11-05",27.1885
"2008-11-06",27.358
"2008-11-07",27.214
"2008-11-08",27.1866
"2008-11-09",27.4807
"2008-11-10",27.1945
"2008-11-11",26.2615
"2008-11-12",26.0843
"2008-11-13",26.5561
"2008-11-14",26.8531
"2008-11-15",27.3072
"2008-11-16",27.637
"2008-11-17",27.4124
"2008-11-18",27.6066
"2008-11-19",26.4649
"2008-11-20",26.5815
"2008-11-21",26.3555
"2008-11-22",26.295
"2008-11-23",25.8527
"2008-11-24",25.4515
"2008-11-25",25.8193
"2008-11-26",25.6616
"2008-11-27",26.4745
"2008-11-28",27.0612
"2008-11-29",26.154
"2008-11-30",27.1277
"2008-12-01",27.2779
"2008-12-02",26.6235
"2008-12-03",26.7644
"2008-12-04",26.8979
"2008-12-05",27.0044
"2008-12-06",25.5831
"2008-12-07",25.636
"2008-12-08",26.0555
"2008-12-09",25.979
"2008-12-10",26.2174
"2008-12-11",26.6776
"2008-12-12",26.376
"2008-12-13",25.9675
"2008-12-14",25.6238
"2008-12-15",25.3996
"2008-12-16",26.1546
"2008-12-17",25.872
"2008-12-18",25.5543
"2008-12-19",26.4967
"2008-12-20",26.2624
"2008-12-21",25.7401
"2008-12-22",26.4743
"2008-12-23",25.7015
"2008-12-24",26.6172
"2008-12-25",26.8366
"2008-12-26",26.7945
"2008-12-27",26.3083
"2008-12-28",26.3249
"2008-12-29",26.1973
"2008-12-30",25.8913
"2008-12-31",25.7371
"2009-01-01",25.9918
"2009-01-02",26.023
"2009-01-03",26.1394
"2009-01-04",25.7956
"2009-01-05",25.777
"2009-01-06",25.3148
"2009-01-07",26.0192
"2009-01-08",26.2315
"2009-01-09",25.0708
"2009-01-10",25.6826
"2009-01-11",25.9469
"2009-01-12",25.771
"2009-01-13",26.0672
"2009-01-14",25.1719
"2009-01-15",25.8379
"2009-01-16",25.582
"2009-01-17",26.0872
"2009-01-18",26.1777
"2009-01-19",25.3688
"2009-01-20",25.8431
"2009-01-21",25.506
"2009-01-22",25.7661
"2009-01-23",25.2856
"2009-01-24",25.6377
"2009-01-25",25.623
"2009-01-26",25.5278
"2009-01-27",25.9904
"2009-01-28",26.4812
"2009-01-29",26.0358
"2009-01-30",25.9639
"2009-01-31",26.1522
"2009-02-01",25.7005
"2009-02-02",25.6294
"2009-02-03",26.4286
"2009-02-04",26.415
"2009-02-05",25.9688
"2009-02-06",25.6275
"2009-02-07",26.1787
"2009-02-08",26.2755
"2009-02-09",25.9213
"2009-02-10",25.6002
"2009-02-11",25.9508
"2009-02-12",25.6338
"2009-02-13",25.5509
"2009-02-14",25.9202
"2009-02-15",25.6044
"2009-02-16",25.8994
"2009-02-17",26.4278
"2009-02-18",26.2173
"2009-02-19",26.3934
"2009-02-20",27.1701
"2009-02-21",27.4786
"2009-02-22",27.2987
"2009-02-23",27.3845
"2009-02-24",28.0167
"2009-02-25",28.1594
"2009-02-26",28.3192
"2009-02-27",27.8776
"2009-02-28",28.0218
"2009-03-01",28.0458
"2009-03-02",27.6025
"2009-03-03",27.608
"2009-03-04",27.7886
"2009-03-05",28.1372
"2009-03-06",28.2646
"2009-03-07",27.7712
"2009-03-08",27.4902
"2009-03-09",25.7404
"2009-03-10",25.7789
"2009-03-11",26.81
"2009-03-12",27.7039
"2009-03-13",27.689
"2009-03-14",27.8925
"2009-03-15",27.8572
"2009-03-16",27.7233
"2009-03-17",27.7001
"2009-03-18",28.2791
"2009-03-19",28.5447
"2009-03-20",28.7149
"2009-03-21",28.5419
"2009-03-22",28.7147
"2009-03-23",28.755
"2009-03-24",28.0109
"2009-03-25",28.4017
"2009-03-26",28.5507
"2009-03-27",28.5392
"2009-03-28",28.8704
"2009-03-29",28.7295
"2009-03-30",28.6721
"2009-03-31",29.1716
"2009-04-01",29.0314
"2009-04-02",29.0129
"2009-04-03",28.9904
"2009-04-04",28.6556
"2009-04-05",28.9826
"2009-04-06",29.3857
"2009-04-07",29.7513
"2009-04-08",28.6855
"2009-04-09",28.2933
"2009-04-10",27.2241
"2009-04-11",26.3727
