,"(deg C) Mean Temperature (ERA5) at Kurunegala, 2007-01-01 to 2025-12-31"
"2007-01-01",24.9206
"2007-01-02",24.9826
"2007-01-03",24.5912
"2007-01-04",23.7296
"2007-01-05",24.7921
"2007-01-06",25.2637
"2007-01-07",25.2169
"2007-01-08",25.7053
"2007-01-09",25.5705
"2007-01-10",25.8
"2007-01-11",25.3788
"2007-01-12",25.3805
"2007-01-13",26.3039
"2007-01-14",25.9424
"2007-01-15",26.488
"2007-01-16",25.9335
"2007-01-17",26.2422
"2007-01-18",25.9921
"2007-01-19",25.2728
"2007-01-20",25.2951
"2007-01-21",25.3556
"2007-01-22",24.6603
"2007-01-23",25.2438
"2007-01-24",25.8077
"2007-01-25",25.8607
"2007-01-26",24.9834
"2007-01-27",25.147
"2007-01-28",26.49
"2007-01-29",26.9228
"2007-01-30",26.5295
"2007-01-31",26.7985
"2007-02-01",26.2929
"2007-02-02",25.6861
"2007-02-03",25.993
"2007-02-04",26.3015
"2007-02-05",25.8407
"2007-02-06",25.1832
"2007-02-07",25.9951
"2007-02-08",26.4658
"2007-02-09",26.5573
"2007-02-10",27.2427
"2007-02-11",27.4664
"2007-02-12",27.989
"2007-02-13",27.4636
"2007-02-14",27.4248
"2007-02-15",27.0346
"2007-02-16",27.2568
"2007-02-17",27.0211
"2007-02-18",27.204
"2007-02-19",27.2364
"2007-02-20",26.9731
"2007-02-21",26.4399
"2007-02-22",26.0876
"2007-02-23",26.6667
"2007-02-24",26.5622
"2007-02-25",23.9878
"2007-02-26",26.9726
"2007-02-27",27.7748
"2007-02-28",27.4476
"2007-03-01",28.368
"2007-03-02",27.2245
"2007-03-03",28.0185
"2007-03-04",27.7388
"2007-03-05",27.3601
"2007-03-06",27.3466
"2007-03-07",27.7107
"2007-03-08",27.511
"2007-03-09",27.859
"2007-03-10",27.7757
"2007-03-11",27.4323
"2007-03-12",28.1621
"2007-03-13",28.3578
"2007-03-14",28.8247
"2007-03-15",29.1118
"2007-03-16",28.1887
"2007-03-17",29.0244
"2007-03-18",28.7029
"2007-03-19",28.6263
"2007-03-20",28.6931
"2007-03-21",28.9243
"2007-03-22",28.8386
"2007-03-23",29.1382
"2007-03-24",28.3164
"2007-03-25",29.6303
"2007-03-26",29.8006
"2007-03-27",29.5342
"2007-03-28",29.6153
"2007-03-29",29.5163
"2007-03-30",29.4388
"2007-03-31",28.7467
"2007-04-01",28.3931
"2007-04-02",29.144
"2007-04-03",29.5636
"2007-04-04",29.7591
"2007-04-05",27.9638
"2007-04-06",27.9755
"2007-04-07",27.3384
"2007-04-08",26.2474
"2007-04-09",25.9177
"2007-04-10",25.6696
"2007-04-11",25.1254
"2007-04-12",26.9104
"2007-04-13",27.5694
"2007-04-14",28.0504
"2007-04-15",27.2779
"2007-04-16",27.5842
"2007-04-17",28.1527
"2007-04-18",28.8097
"2007-04-19",28.7316
"2007-04-20",28.0717
"2007-04-21",27.5861
"2007-04-22",27.3104
"2007-04-23",28.3258
"2007-04-24",28.5928
"2007-04-25",28.1372
"2007-04-26",26.9246
"2007-04-27",27.0644
"2007-04-28",27.3243
"2007-04-29",27.1851
"2007-04-30",27.8316
"2007-05-01",28.9773
"2007-05-02",29.2411
"2007-05-03",26.6422
"2007-05-04",26.8167
"2007-05-05",28.4625
"2007-05-06",28.4231
"2007-05-07",28.511
"2007-05-08",28.1019
"2007-05-09",27.4164
"2007-05-10",28.282
"2007-05-11",28.498
"2007-05-12",28.447
"2007-05-13",28.6385
"2007-05-14",28.6976
"2007-05-15",28.5916
"2007-05-16",28.4879
"2007-05-17",28.3151
"2007-05-18",28.5385
"2007-05-19",28.493
"2007-05-20",28.3972
"2007-05-21",28.724
"2007-05-22",28.5851
"2007-05-23",28.8299
"2007-05-24",28.6319
"2007-05-25",28.9252
"2007-05-26",28.9002
"2007-05-27",28.0474
"2007-05-28",26.3685
"2007-05-29",27.6852
"2007-05-30",28.0391
"2007-05-31",28.1878
"2007-06-01",28.6191
"2007-06-02",28.8076
"2007-06-03",28.6887
"2007-06-04",28.3963
"2007-06-05",28.4317
"2007-06-06",28.1507
"2007-06-07",27.7974
"2007-06-08",27.4973
"2007-06-09",27.9844
"2007-06-10",28.085
"2007-06-11",27.8022
"2007-06-12",27.8643
"2007-06-13",28.128
"2007-06-14",26.9916
"2007-06-15",26.6415
"2007-06-16",27.5113
"2007-06-17",26.9521
"2007-06-18",26.549
"2007-06-19",27.3549
"2007-06-20",26.4441
"2007-06-21",26.0464
"2007-06-22",25.8329
"2007-06-23",25.6877
"2007-06-24",27.6868
"2007-06-25",27.7952
"2007-06-26",27.7696
"2007-06-27",27.432
"2007-06-28",27.5055
"2007-06-29",27.7785
"2007-06-30",27.6698
"2007-07-01",28.0159
"2007-07-02",27.2743
"2007-07-03",27.3207
"2007-07-04",27.7075
"2007-07-05",27.9946
"2007-07-06",28.1756
"2007-07-07",28.3759
"2007-07-08",27.7397
"2007-07-09",27.7778
"2007-07-10",27.321
"2007-07-11",26.8077
"2007-07-12",27.2981
"2007-07-13",27.7359
"2007-07-14",27.8134
"2007-07-15",27.9781
"2007-07-16",27.5482
"2007-07-17",27.2367
"2007-07-18",26.6428
"2007-07-19",26.3216
"2007-07-20",26.0721
"2007-07-21",26.5212
"2007-07-22",26.1093
"2007-07-23",26.0526
"2007-07-24",25.4185
"2007-07-25",25.8677
"2007-07-26",26.5714
"2007-07-27",27.0039
"2007-07-28",27.2238
"2007-07-29",27.0476
"2007-07-30",26.7968
"2007-07-31",26.5175
"2007-08-01",26.8076
"2007-08-02",26.4983
"2007-08-03",26.702
"2007-08-04",27.2922
"2007-08-05",27.0624
"2007-08-06",27.9029
"2007-08-07",28.2033
"2007-08-08",27.9651
"2007-08-09",27.7543
"2007-08-10",27.3128
"2007-08-11",27.3935
"2007-08-12",27.8469
"2007-08-13",27.4279
"2007-08-14",27.4535
"2007-08-15",27.3515
"2007-08-16",27.5357
"2007-08-17",27.454
"2007-08-18",27.5624
"2007-08-19",27.2705
"2007-08-20",27.8393
"2007-08-21",27.0244
"2007-08-22",27.4662
"2007-08-23",27.4951
"2007-08-24",26.3072
"2007-08-25",26.6157
"2007-08-26",26.7652
"2007-08-27",27.1977
"2007-08-28",27.2026
"2007-08-29",26.2882
"2007-08-30",25.7324
"2007-08-31",25.2806
"2007-09-01",26.9453
"2007-09-02",27.0846
"2007-09-03",27.5037
"2007-09-04",27.371
"2007-09-05",26.8923
"2007-09-06",27.2561
"2007-09-07",27.619
"2007-09-08",26.9594
"2007-09-09",25.4006
"2007-09-10",27.4113
"2007-09-11",27.615
"2007-09-12",26.5625
"2007-09-13",27.1808
"2007-09-14",26.7777
"2007-09-15",27.1859
"2007-09-16",27.021
"2007-09-17",26.3926
"2007-09-18",26.7747
"2007-09-19",27.1741
"2007-09-20",27.0636
"2007-09-21",27.4654
"2007-09-22",26.8584
"2007-09-23",26.6223
"2007-09-24",27.2272
"2007-09-25",27.3386
"2007-09-26",27.7729
"2007-09-27",27.4203
"2007-09-28",26.9315
"2007-09-29",27.4003
"2007-09-30",27.4865
"2007-10-01",27.4085
"2007-10-02",26.2618
"2007-10-03",26.865
"2007-10-04",27.3031
"2007-10-05",26.3619
"2007-10-06",26.6414
"2007-10-07",26.3294
"2007-10-08",25.9065
"2007-10-09",26.8993
"2007-10-10",27.1071
"2007-10-11",25.8485
"2007-10-12",26.5564
"2007-10-13",26.9002
"2007-10-14",25.9493
"2007-10-15",25.8321
"2007-10-16",26.2114
"2007-10-17",25.7585
"2007-10-18",25.1102
"2007-10-19",26.209
"2007-10-20",24.3805
"2007-10-21",26.034
"2007-10-22",24.736
"2007-10-23",25.7031
"2007-10-24",26.1598
"2007-10-25",26.4373
"2007-10-26",24.7196
"2007-10-27",24.943
"2007-10-28",26.333
"2007-10-29",26.329
"2007-10-30",26.5477
"2007-10-31",27.6171
"2007-11-01",26.6287
"2007-11-02",25.7915
"2007-11-03",26.0717
"2007-11-04",26.022
"2007-11-05",26.7276
"2007-11-06",25.6579
"2007-11-07",25.5924
"2007-11-08",26.1203
"2007-11-09",26.4923
"2007-11-10",26.6772
"2007-11-11",26.1977
"2007-11-12",26.2494
"2007-11-13",26.3481
"2007-11-14",26.2348
"2007-11-15",26.3328
"2007-11-16",25.6161
"2007-11-17",24.7522
"2007-11-18",26.1991
"2007-11-19",25.656
"2007-11-20",26.89
"2007-11-21",26.0587
"2007-11-22",26.0109
"2007-11-23",26.3293
"2007-11-24",26.5567
"2007-11-25",25.6818
"2007-11-26",25.949
"2007-11-27",26.4921
"2007-11-28",27.0669
"2007-11-29",26.4725
"2007-11-30",26.1418
"2007-12-01",26.5286
"2007-12-02",25.9689
"2007-12-03",26.5884
"2007-12-04",26.3647
"2007-12-05",26.5274
"2007-12-06",26.7992
"2007-12-07",26.1515
"2007-12-08",26.3662
"2007-12-09",25.9656
"2007-12-10",26.461
"2007-12-11",26.7975
"2007-12-12",25.1087
"2007-12-13",24.4382
"2007-12-14",25.6432
"2007-12-15",25.0622
"2007-12-16",24.9623
"2007-12-17",25.3651
"2007-12-18",25.0934
"2007-12-19",25.352
"2007-12-20",25.7779
"2007-12-21",26.0596
"2007-12-22",24.8835
"2007-12-23",24.7635
"2007-12-24",25.3887
"2007-12-25",24.2963
"2007-12-26",24.3108
"2007-12-27",25.0202
"2007-12-28",24.8435
"2007-12-29",25.0395
"2007-12-30",25.3402
"2007-12-31",25.0398
"2008-01-01",24.9188
"2008-01-02",25.0925
"2008-01-03",24.7091
"2008-01-04",26.2405
"2008-01-05",25.7026
"2008-01-06",25.3966
"2008-01-07",25.2815
"2008-01-08",25.0004
"2008-01-09",25.0257
"2008-01-10",25.5662
"2008-01-11",25.6233
"2008-01-12",25.157
"2008-01-13",25.1168
"2008-01-14",25.2571
"2008-01-15",25.2458
"2008-01-16",25.6244
"2008-01-17",25.0957
"2008-01-18",24.8298
"2008-01-19",24.7743
"2008-01-20",25.8151
"2008-01-21",25.9961
"2008-01-22",26.1873
"2008-01-23",26.0657
"2008-01-24",26.5172
"2008-01-25",26.8102
"2008-01-26",26.7333
"2008-01-27",26.4376
"2008-01-28",26.4154
"2008-01-29",26.9542
"2008-01-30",27.1453
"2008-01-31",27.2343
"2008-02-01",27.1473
"2008-02-02",27.0167
"2008-02-03",27.4557
"2008-02-04",27.2492
"2008-02-05",28.0845
"2008-02-06",26.361
"2008-02-07",25.3755
"2008-02-08",26.0276
"2008-02-09",26.753
"2008-02-10",27.0814
"2008-02-11",27.4567
"2008-02-12",26.7463
"2008-02-13",26.7501
"2008-02-14",26.888
"2008-02-15",27.2251
"2008-02-16",27.2465
"2008-02-17",26.8803
"2008-02-18",26.6286
"2008-02-19",26.8943
"2008-02-20",27.5832
"2008-02-21",27.3518
"2008-02-22",27.4818
"2008-02-23",26.2521
"2008-02-24",25.3747
"2008-02-25",25.466
"2008-02-26",26.4161
"2008-02-27",25.8801
"2008-02-28",26.3159
"2008-02-29",25.395
"2008-03-01",26.9706
"2008-03-02",27.1045
"2008-03-03",26.8542
"2008-03-04",26.8225
"2008-03-05",26.5374
"2008-03-06",25.6757
"2008-03-07",26.6771
"2008-03-08",27.0514
"2008-03-09",25.4203
"2008-03-10",25.2476
"2008-03-11",24.8931
"2008-03-12",25.4971
"2008-03-13",26.1793
"2008-03-14",26.0956
"2008-03-15",25.598
"2008-03-16",24.9192
"2008-03-17",25.9257
"2008-03-18",25.2155
"2008-03-19",25.7227
"2008-03-20",26.0409
"2008-03-21",27.1124
"2008-03-22",27.0316
"2008-03-23",27.6093
"2008-03-24",26.3783
