,"(deg C) Mean Temperature (ERA5) at Mannar, 2007-01-01 to 2025-12-31"
"2007-01-01",25.2916
"2007-01-02",25.2264
"2007-01-03",25.0477
"2007-01-04",25.0074
"2007-01-05",25.7648
"2007-01-06",25.3325
"2007-01-07",25.5322
"2007-01-08",25.7703
"2007-01-09",25.6371
"2007-01-10",26.1758
"2007-01-11",26.0406
"2007-01-12",25.541
"2007-01-13",25.938
"2007-01-14",26.0714
"2007-01-15",25.9889
"2007-01-16",25.8005
"2007-01-17",25.4966
"2007-01-18",25.675
"2007-01-19",25.3285
"2007-01-20",25.6541
"2007-01-21",25.6286
"2007-01-22",25.4254
"2007-01-23",25.592
"2007-01-24",26.1448
"2007-01-25",25.8706
"2007-01-26",26.0474
"2007-01-27",24.9782
"2007-01-28",26.1623
"2007-01-29",26.6022
"2007-01-30",26.3026
"2007-01-31",26.2294
"2007-02-01",26.1347
"2007-02-02",26.0109
"2007-02-03",25.9856
"2007-02-04",25.9169
"2007-02-05",25.3928
"2007-02-06",25.3141
"2007-02-07",26
"2007-02-08",26.1098
"2007-02-09",25.9433
"2007-02-10",25.9212
"2007-02-11",26.3418
"2007-02-12",26.7802
"2007-02-13",26.6702
"2007-02-14",26.929
"2007-02-15",26.9204
"2007-02-16",26.9596
"2007-02-17",26.602
"2007-02-18",26.7067
"2007-02-19",27.0799
"2007-02-20",26.8167
"2007-02-21",26.3061
"2007-02-22",26.0408
"2007-02-23",26.1587
"2007-02-24",26.4361
"2007-02-25",25.3804
"2007-02-26",26.3477
"2007-02-27",27.0785
"2007-02-28",27.0561
"2007-03-01",27.1254
"2007-03-02",27.0742
"2007-03-03",27.324
"2007-03-04",26.9615
"2007-03-05",26.6064
"2007-03-06",27.034
"2007-03-07",26.7053
"2007-03-08",26.731
"2007-03-09",27.3466
"2007-03-10",27.397
"2007-03-11",26.6501
"2007-03-12",27.5681
"2007-03-13",27.7674
"2007-03-14",28.0048
"2007-03-15",28.0594
"2007-03-16",27.99
"2007-03-17",28.2044
"2007-03-18",27.7198
"2007-03-19",27.7331
"2007-03-20",27.8895
"2007-03-21",28.3781
"2007-03-22",28.0886
"2007-03-23",27.9356
"2007-03-24",27.6377
"2007-03-25",28.8772
"2007-03-26",29.2872
"2007-03-27",28.6929
"2007-03-28",28.4784
"2007-03-29",27.9433
"2007-03-30",28.2959
"2007-03-31",29.0937
"2007-04-01",28.706
"2007-04-02",28.9678
"2007-04-03",29.5415
"2007-04-04",29.7918
"2007-04-05",28.9416
"2007-04-06",28.2935
"2007-04-07",28.1803
"2007-04-08",27.0357
"2007-04-09",26.3929
"2007-04-10",26.2625
"2007-04-11",26.6675
"2007-04-12",27.8437
"2007-04-13",28.232
"2007-04-14",28.1362
"2007-04-15",27.4528
"2007-04-16",27.7808
"2007-04-17",28.4894
"2007-04-18",28.9565
"2007-04-19",28.5769
"2007-04-20",28.4055
"2007-04-21",28.3116
"2007-04-22",28.77
"2007-04-23",29.4152
"2007-04-24",29.4295
"2007-04-25",29.2216
"2007-04-26",28.3314
"2007-04-27",28.0759
