,"(deg C) Mean Temperature (ERA5) at Matale, 2007-01-01 to 2025-12-31"
"2007-01-01",23.4896
"2007-01-02",23.3289
"2007-01-03",22.9018
"2007-01-04",22.1427
"2007-01-05",23.3099
"2007-01-06",23.6294
"2007-01-07",23.7523
"2007-01-08",24.2328
"2007-01-09",24.1424
"2007-01-10",24.3233
"2007-01-11",23.8122
"2007-01-12",23.9842
"2007-01-13",24.7512
"2007-01-14",24.5544
"2007-01-15",25.0779
"2007-01-16",24.4819
"2007-01-17",24.6974
"2007-01-18",24.6168
"2007-01-19",23.6533
"2007-01-20",23.6433
"2007-01-21",23.5181
"2007-01-22",22.8057
"2007-01-23",23.4165
"2007-01-24",24.0846
"2007-01-25",24.3472
"2007-01-26",23.5142
"2007-01-27",23.8591
"2007-01-28",24.9535
"2007-01-29",25.3858
"2007-01-30",25.0519
"2007-01-31",25.2675
"2007-02-01",24.7584
"2007-02-02",24.0526
"2007-02-03",24.3535
"2007-02-04",24.5265
"2007-02-05",23.9432
"2007-02-06",23.1354
"2007-02-07",24.0806
"2007-02-08",24.5808
"2007-02-09",24.8298
"2007-02-10",25.3964
"2007-02-11",25.6266
"2007-02-12",26.2238
"2007-02-13",26.3369
"2007-02-14",26.3757
"2007-02-15",26.2177
"2007-02-16",26.3113
"2007-02-17",25.7987
"2007-02-18",25.7945
"2007-02-19",25.3661
"2007-02-20",25.105
"2007-02-21",24.2443
"2007-02-22",24.0568
"2007-02-23",24.7899
"2007-02-24",24.718
"2007-02-25",22.6962
"2007-02-26",25.5505
"2007-02-27",26.2548
"2007-02-28",25.7905
"2007-03-01",26.7061
"2007-03-02",26.1503
"2007-03-03",26.5277
"2007-03-04",25.7004
"2007-03-05",25.1524
"2007-03-06",25.0567
"2007-03-07",25.5102
"2007-03-08",25.3231
"2007-03-09",25.403
"2007-03-10",25.2534
"2007-03-11",25.4398
"2007-03-12",25.8021
"2007-03-13",26.7277
"2007-03-14",27.0536
"2007-03-15",27.6877
"2007-03-16",27.1218
"2007-03-17",27.4678
"2007-03-18",26.8703
"2007-03-19",26.8526
"2007-03-20",26.6045
"2007-03-21",27.5312
"2007-03-22",27.0995
"2007-03-23",27.3091
"2007-03-24",27.3507
"2007-03-25",28.3241
"2007-03-26",28.0937
"2007-03-27",27.4018
"2007-03-28",27.4003
"2007-03-29",27.4668
"2007-03-30",27.8225
"2007-03-31",27.9173
"2007-04-01",27.4884
"2007-04-02",28.4929
"2007-04-03",29.0544
"2007-04-04",28.9092
"2007-04-05",26.5893
"2007-04-06",26.6549
"2007-04-07",26.1844
"2007-04-08",25.2146
"2007-04-09",24.9808
"2007-04-10",24.8133
"2007-04-11",24.3175
"2007-04-12",25.9073
"2007-04-13",26.6572
"2007-04-14",27.006
"2007-04-15",26.3684
"2007-04-16",26.5933
"2007-04-17",27.1624
"2007-04-18",28.049
"2007-04-19",28.027
"2007-04-20",27.3699
"2007-04-21",26.7068
"2007-04-22",26.1916
"2007-04-23",27.3099
"2007-04-24",27.505
"2007-04-25",27.3644
"2007-04-26",26.0306
"2007-04-27",26.1899
"2007-04-28",26.3806
"2007-04-29",26.2793
"2007-04-30",26.8563
"2007-05-01",28.0794
"2007-05-02",28.3012
"2007-05-03",25.9586
"2007-05-04",26.1872
"2007-05-05",27.8346
"2007-05-06",27.7462
"2007-05-07",27.9774
"2007-05-08",27.6338
"2007-05-09",26.8634
"2007-05-10",27.49
"2007-05-11",27.8263
"2007-05-12",27.6325
"2007-05-13",27.6433
"2007-05-14",27.7713
"2007-05-15",27.7559
"2007-05-16",27.645
"2007-05-17",27.4806
"2007-05-18",27.9938
"2007-05-19",28.1042
"2007-05-20",27.9955
"2007-05-21",28.2973
"2007-05-22",28.2552
"2007-05-23",28.4688
"2007-05-24",28.1485
"2007-05-25",28.4737
"2007-05-26",28.4776
"2007-05-27",27.6897
"2007-05-28",25.6126
"2007-05-29",27.1716
"2007-05-30",27.55
"2007-05-31",27.6828
"2007-06-01",28.125
"2007-06-02",28.3273
"2007-06-03",28.1304
"2007-06-04",27.7908
"2007-06-05",27.969
"2007-06-06",27.9242
"2007-06-07",27.5848
"2007-06-08",27.3076
"2007-06-09",27.6113
"2007-06-10",27.6517
"2007-06-11",27.4808
"2007-06-12",27.2626
"2007-06-13",27.2387
"2007-06-14",25.9938
"2007-06-15",25.8012
"2007-06-16",26.5012
"2007-06-17",25.9013
"2007-06-18",25.3953
"2007-06-19",26.4334
"2007-06-20",25.3466
"2007-06-21",25.1054
"2007-06-22",24.9156
"2007-06-23",25.0388
"2007-06-24",27.2722
"2007-06-25",26.9933
"2007-06-26",27.0287
"2007-06-27",26.5931
"2007-06-28",26.8187
"2007-06-29",27.4154
"2007-06-30",27.3725
"2007-07-01",27.7442
"2007-07-02",27.0714
"2007-07-03",26.9281
"2007-07-04",27.1383
"2007-07-05",27.2629
"2007-07-06",27.3073
"2007-07-07",27.7069
"2007-07-08",27.0456
"2007-07-09",27.269
"2007-07-10",26.8051
"2007-07-11",26.3157
"2007-07-12",26.5944
"2007-07-13",26.999
"2007-07-14",27.1746
"2007-07-15",27.3393
"2007-07-16",26.796
"2007-07-17",26.5554
"2007-07-18",25.9917
"2007-07-19",25.7004
"2007-07-20",25.176
"2007-07-21",25.7299
"2007-07-22",25.0939
"2007-07-23",25.2297
"2007-07-24",24.9996
"2007-07-25",24.921
"2007-07-26",25.9039
"2007-07-27",26.2645
"2007-07-28",26.5428
"2007-07-29",26.3815
