,"(deg C) Mean Temperature (ERA5) at Matara, 2007-01-01 to 2025-12-31"
"2007-01-01",24.0437
"2007-01-02",24.7669
"2007-01-03",24.4877
"2007-01-04",24.3065
"2007-01-05",23.7816
"2007-01-06",24.0536
"2007-01-07",24.3964
"2007-01-08",25.2144
"2007-01-09",25.0515
"2007-01-10",25.3767
"2007-01-11",23.9722
"2007-01-12",24.2546
"2007-01-13",25.0004
"2007-01-14",24.9923
"2007-01-15",25.4802
"2007-01-16",25.1617
"2007-01-17",25.6481
"2007-01-18",25.438
"2007-01-19",24.828
"2007-01-20",25.0825
"2007-01-21",24.7815
"2007-01-22",24.432
"2007-01-23",24.1339
"2007-01-24",24.8189
"2007-01-25",25.1563
"2007-01-26",24.711
"2007-01-27",24.7101
"2007-01-28",25.7367
"2007-01-29",25.7342
"2007-01-30",25.713
"2007-01-31",25.2733
"2007-02-01",24.8918
"2007-02-02",24.8833
"2007-02-03",25.2339
"2007-02-04",24.8532
"2007-02-05",24.6959
"2007-02-06",24.7774
"2007-02-07",25.3495
"2007-02-08",25.1005
"2007-02-09",25.5065
"2007-02-10",26.0782
"2007-02-11",26.227
"2007-02-12",26.4906
"2007-02-13",26.4719
"2007-02-14",26.1904
"2007-02-15",26.1298
"2007-02-16",26.0142
"2007-02-17",25.7605
"2007-02-18",25.9268
"2007-02-19",25.5054
"2007-02-20",25.7592
"2007-02-21",25.5804
"2007-02-22",26.0299
"2007-02-23",25.7548
"2007-02-24",25.6822
"2007-02-25",24.7284
"2007-02-26",25.8628
"2007-02-27",26.0686
"2007-02-28",25.2003
"2007-03-01",26.6106
"2007-03-02",24.9918
"2007-03-03",25.4534
"2007-03-04",26.0179
"2007-03-05",25.6599
"2007-03-06",25.8871
"2007-03-07",26.0231
"2007-03-08",25.7436
"2007-03-09",25.3101
"2007-03-10",25.4509
"2007-03-11",25.538
"2007-03-12",25.5695
"2007-03-13",25.9711
"2007-03-14",26.3494
"2007-03-15",26.3999
"2007-03-16",25.7402
"2007-03-17",26.008
