,"(deg C) Mean Temperature (ERA5) at Monaragala, 2007-01-01 to 2025-12-31"
"2007-01-01",21.8659
"2007-01-02",22.3902
"2007-01-03",21.9464
"2007-01-04",21.0908
"2007-01-05",21.5145
"2007-01-06",21.7285
"2007-01-07",22.228
"2007-01-08",23.2579
"2007-01-09",23.0597
"2007-01-10",23.138
"2007-01-11",22.3292
"2007-01-12",22.585
"2007-01-13",23.0677
"2007-01-14",23.1875
"2007-01-15",23.6259
"2007-01-16",23.2655
"2007-01-17",23.2832
"2007-01-18",23.5363
"2007-01-19",22.8275
"2007-01-20",22.4588
"2007-01-21",21.8935
"2007-01-22",21.4329
"2007-01-23",21.5935
"2007-01-24",22.5261
"2007-01-25",22.9855
"2007-01-26",22.5794
"2007-01-27",22.759
"2007-01-28",23.5758
"2007-01-29",23.609
"2007-01-30",23.2968
"2007-01-31",23.363
"2007-02-01",22.7163
"2007-02-02",22.1493
"2007-02-03",22.9337
"2007-02-04",22.6941
"2007-02-05",22.4347
"2007-02-06",21.9165
"2007-02-07",22.7089
"2007-02-08",22.6742
"2007-02-09",22.9404
"2007-02-10",23.28
"2007-02-11",23.6577
"2007-02-12",24.3206
"2007-02-13",24.4409
"2007-02-14",24.4055
"2007-02-15",24.7813
"2007-02-16",24.3983
"2007-02-17",24.0893
"2007-02-18",23.8613
"2007-02-19",23.0695
"2007-02-20",22.9976
"2007-02-21",22.3566
"2007-02-22",22.2423
"2007-02-23",23.1063
"2007-02-24",23.2966
"2007-02-25",22.7534
"2007-02-26",24.6963
"2007-02-27",24.4719
"2007-02-28",23.8289
"2007-03-01",24.9638
"2007-03-02",24.1123
"2007-03-03",24.3541
"2007-03-04",23.7408
"2007-03-05",23.1513
"2007-03-06",23.6415
"2007-03-07",24.1776
"2007-03-08",23.4205
"2007-03-09",23.4578
"2007-03-10",23.5483
"2007-03-11",23.8203
"2007-03-12",23.5849
"2007-03-13",24.6518
"2007-03-14",24.7594
"2007-03-15",25.3337
"2007-03-16",24.8238
"2007-03-17",24.9113
"2007-03-18",24.5289
"2007-03-19",24.3061
"2007-03-20",24.2586
"2007-03-21",24.5349
"2007-03-22",24.791
"2007-03-23",25.0615
"2007-03-24",24.9291
"2007-03-25",25.6627
"2007-03-26",25.5828
"2007-03-27",25.2967
"2007-03-28",25.0646
"2007-03-29",25.3369
"2007-03-30",25.5157
"2007-03-31",25.4421
"2007-04-01",25.6881
"2007-04-02",26.0194
"2007-04-03",26.6375
"2007-04-04",26.3719
"2007-04-05",24.4725
"2007-04-06",24.2539
"2007-04-07",24.2369
"2007-04-08",23.7143
"2007-04-09",23.8933
"2007-04-10",23.7233
"2007-04-11",24.1211
"2007-04-12",24.602
"2007-04-13",24.9717
"2007-04-14",25.3803
"2007-04-15",25.0374
"2007-04-16",25.0763
"2007-04-17",25.6259
"2007-04-18",26.0082
"2007-04-19",25.7976
"2007-04-20",25.5869
"2007-04-21",25.191
"2007-04-22",24.8095
"2007-04-23",25.7683
"2007-04-24",25.7611
"2007-04-25",25.6809
"2007-04-26",24.891
"2007-04-27",24.7248
"2007-04-28",25.0272
"2007-04-29",25.0601
"2007-04-30",25.1103
"2007-05-01",26.5874
"2007-05-02",27.1253
"2007-05-03",25.8114
"2007-05-04",25.9256
"2007-05-05",27.0593
"2007-05-06",26.4964
"2007-05-07",26.8275
"2007-05-08",27.3011
"2007-05-09",26.9405
"2007-05-10",27.2853
"2007-05-11",27.7721
"2007-05-12",27.6149
"2007-05-13",27.0545
"2007-05-14",27.0589
"2007-05-15",26.7837
"2007-05-16",26.6816
"2007-05-17",26.6341
"2007-05-18",27.21
"2007-05-19",27.1783
"2007-05-20",27.1767
"2007-05-21",27.4418
"2007-05-22",27.0598
"2007-05-23",27.1108
"2007-05-24",26.9339
"2007-05-25",27.1314
"2007-05-26",27.3141
"2007-05-27",27.2651
"2007-05-28",25.8997
"2007-05-29",26.3753
"2007-05-30",27.1732
"2007-05-31",27.111
"2007-06-01",27.6327
"2007-06-02",27.6504
"2007-06-03",27.5974
"2007-06-04",27.0623
"2007-06-05",27.2227
"2007-06-06",27.2187
"2007-06-07",26.9922
"2007-06-08",26.5736
"2007-06-09",27.2041
"2007-06-10",27.8915
"2007-06-11",27.6164
"2007-06-12",27.2781
"2007-06-13",27.1682
"2007-06-14",25.743
"2007-06-15",25.4463
"2007-06-16",26.1271
"2007-06-17",26.4579
"2007-06-18",25.6605
"2007-06-19",26.6684
"2007-06-20",25.3532
"2007-06-21",25.3063
"2007-06-22",24.3691
"2007-06-23",25.2639
"2007-06-24",26.1158
"2007-06-25",26.3979
"2007-06-26",26.3181
"2007-06-27",26.4759
"2007-06-28",26.6527
"2007-06-29",26.9452
"2007-06-30",27.0522
"2007-07-01",26.9213
"2007-07-02",26.5797
"2007-07-03",27.1481
"2007-07-04",27.4492
"2007-07-05",27.7328
"2007-07-06",27.6935
"2007-07-07",27.6327
"2007-07-08",27.1906
"2007-07-09",27.1773
"2007-07-10",27.2558
"2007-07-11",26.5107
"2007-07-12",27.2685
"2007-07-13",27.4988
"2007-07-14",27.7207
"2007-07-15",27.669
"2007-07-16",27.3469
"2007-07-17",27.278
"2007-07-18",26.1
"2007-07-19",25.9091
"2007-07-20",25.7209
"2007-07-21",25.9481
"2007-07-22",25.8292
"2007-07-23",24.5509
"2007-07-24",25.1526
"2007-07-25",24.8868
"2007-07-26",26.0482
"2007-07-27",26.3477
"2007-07-28",26.6859
"2007-07-29",26.3027
"2007-07-30",26.2
"2007-07-31",26.3948
"2007-08-01",26.3397
"2007-08-02",26.2375
"2007-08-03",26.1039
"2007-08-04",26.34
"2007-08-05",26.9748
"2007-08-06",27.4534
"2007-08-07",27.6318
"2007-08-08",27.7505
"2007-08-09",27.8246
"2007-08-10",27.5472
"2007-08-11",27.0192
"2007-08-12",27.539
"2007-08-13",27.08
"2007-08-14",27.4729
"2007-08-15",27.6684
"2007-08-16",27.8145
"2007-08-17",27.8535
"2007-08-18",27.8886
"2007-08-19",27.2962
"2007-08-20",28.1818
"2007-08-21",27.2089
"2007-08-22",27.0828
"2007-08-23",27.1556
"2007-08-24",26.4816
"2007-08-25",26.3595
"2007-08-26",26.6628
"2007-08-27",26.4696
"2007-08-28",26.3014
"2007-08-29",25.7718
"2007-08-30",25.4508
"2007-08-31",23.9154
"2007-09-01",25.6429
"2007-09-02",26.7976
"2007-09-03",26.1869
"2007-09-04",26.2128
"2007-09-05",26.1626
"2007-09-06",26.0615
"2007-09-07",26.6716
"2007-09-08",25.7777
"2007-09-09",23.8805
"2007-09-10",25.9072
"2007-09-11",25.677
"2007-09-12",25.0998
"2007-09-13",25.9051
"2007-09-14",26.3638
"2007-09-15",26.207
"2007-09-16",26.3936
"2007-09-17",26.2218
"2007-09-18",26.6964
"2007-09-19",26.8064
"2007-09-20",26.672
"2007-09-21",27.2959
"2007-09-22",27.0571
"2007-09-23",26.7138
"2007-09-24",26.8973
"2007-09-25",27.1773
"2007-09-26",26.981
"2007-09-27",26.6977
"2007-09-28",26.7582
"2007-09-29",26.5303
"2007-09-30",26.7736
"2007-10-01",26.809
"2007-10-02",26.0276
"2007-10-03",26.6865
"2007-10-04",27.0661
"2007-10-05",26.437
"2007-10-06",25.8456
"2007-10-07",26.0059
"2007-10-08",26.1316
"2007-10-09",26.6273
"2007-10-10",26.1609
"2007-10-11",24.8225
"2007-10-12",25.3197
"2007-10-13",25.8
"2007-10-14",24.7529
"2007-10-15",24.768
"2007-10-16",24.4818
"2007-10-17",23.8539
"2007-10-18",23.646
"2007-10-19",24.3151
"2007-10-20",23.1651
"2007-10-21",23.8456
"2007-10-22",23.4613
"2007-10-23",24.2442
