,"(deg C) Mean Temperature (ERA5) at Mullaitivu, 2007-01-01 to 2025-12-31"
"2007-01-01",24.8428
"2007-01-02",25.0287
"2007-01-03",24.6315
"2007-01-04",24.8509
"2007-01-05",25.5105
"2007-01-06",24.9727
"2007-01-07",25.4274
"2007-01-08",25.4166
"2007-01-09",25.4652
"2007-01-10",26.1343
"2007-01-11",25.762
"2007-01-12",25.3901
"2007-01-13",25.892
"2007-01-14",25.9634
"2007-01-15",25.7824
"2007-01-16",25.5253
"2007-01-17",25.2115
"2007-01-18",25.5007
"2007-01-19",24.9487
"2007-01-20",25.3215
"2007-01-21",25.2676
"2007-01-22",24.9617
"2007-01-23",25.3054
"2007-01-24",25.9701
"2007-01-25",25.5724
"2007-01-26",25.9486
"2007-01-27",24.7521
"2007-01-28",26.2663
"2007-01-29",26.4658
"2007-01-30",26.2194
"2007-01-31",26.0977
"2007-02-01",25.9904
"2007-02-02",25.7809
"2007-02-03",25.8396
"2007-02-04",25.4179
"2007-02-05",24.6834
"2007-02-06",24.7678
"2007-02-07",25.405
"2007-02-08",25.787
"2007-02-09",25.6541
"2007-02-10",25.4402
"2007-02-11",26.0211
"2007-02-12",26.7075
"2007-02-13",26.9877
"2007-02-14",26.8529
"2007-02-15",27.409
"2007-02-16",26.5552
"2007-02-17",26.2911
"2007-02-18",26.5888
"2007-02-19",26.5542
"2007-02-20",26.3386
"2007-02-21",25.8013
"2007-02-22",25.5492
"2007-02-23",25.5167
"2007-02-24",26.1237
"2007-02-25",24.8555
"2007-02-26",26.358
"2007-02-27",27.0973
"2007-02-28",26.7562
"2007-03-01",26.8958
"2007-03-02",27.2516
"2007-03-03",27.4171
"2007-03-04",26.6536
"2007-03-05",26.1082
"2007-03-06",26.3391
"2007-03-07",26.0632
"2007-03-08",26.3222
"2007-03-09",26.7277
"2007-03-10",26.6178
"2007-03-11",26.0201
"2007-03-12",27.0956
"2007-03-13",27.3075
"2007-03-14",27.6228
"2007-03-15",27.8427
"2007-03-16",27.9396
"2007-03-17",27.8061
"2007-03-18",27.2366
"2007-03-19",27.1275
"2007-03-20",27.3867
"2007-03-21",27.7547
"2007-03-22",27.2615
"2007-03-23",26.9743
"2007-03-24",26.9994
"2007-03-25",28.2098
"2007-03-26",28.568
"2007-03-27",28.1487
"2007-03-28",27.8468
"2007-03-29",27.5146
"2007-03-30",27.7917
"2007-03-31",28.4778
"2007-04-01",28.6427
"2007-04-02",28.9235
"2007-04-03",29.2981
"2007-04-04",29.3633
"2007-04-05",28.3094
"2007-04-06",27.7115
"2007-04-07",27.84
"2007-04-08",27.3038
"2007-04-09",26.2703
"2007-04-10",26.213
"2007-04-11",26.6899
"2007-04-12",27.9686
"2007-04-13",28.4739
"2007-04-14",27.8236
"2007-04-15",27.44
"2007-04-16",27.5848
"2007-04-17",28.4266
"2007-04-18",28.973
"2007-04-19",28.788
"2007-04-20",28.6517
"2007-04-21",28.5048
"2007-04-22",28.719
"2007-04-23",29.5933
"2007-04-24",29.7382
"2007-04-25",29.5209
"2007-04-26",28.6519
"2007-04-27",28.1819
"2007-04-28",28.9521
