,"(deg C) Mean Temperature (ERA5) at Nuwara Eliya, 2007-01-01 to 2025-12-31"
"2007-01-01",21.2378
"2007-01-02",21.6096
"2007-01-03",21.1728
"2007-01-04",20.3802
"2007-01-05",20.6548
"2007-01-06",21.2182
"2007-01-07",21.4949
"2007-01-08",22.672
"2007-01-09",22.8288
"2007-01-10",22.7344
"2007-01-11",21.9039
"2007-01-12",22.2614
"2007-01-13",23.0605
"2007-01-14",22.6828
"2007-01-15",23.1742
"2007-01-16",22.7212
"2007-01-17",22.7722
"2007-01-18",22.8765
"2007-01-19",21.8921
"2007-01-20",21.7053
"2007-01-21",21.5659
"2007-01-22",20.8651
"2007-01-23",21.0915
"2007-01-24",21.7814
"2007-01-25",22.3139
"2007-01-26",22.0479
"2007-01-27",22.6514
"2007-01-28",23.5403
"2007-01-29",23.5617
"2007-01-30",23.1934
"2007-01-31",23.1515
"2007-02-01",22.4651
"2007-02-02",22.1542
"2007-02-03",22.7315
"2007-02-04",22.6971
"2007-02-05",22.4872
"2007-02-06",21.7806
"2007-02-07",22.6754
"2007-02-08",22.458
"2007-02-09",22.7001
"2007-02-10",23.4681
"2007-02-11",23.9331
"2007-02-12",24.0796
"2007-02-13",24.1948
"2007-02-14",24.2526
"2007-02-15",24.0961
"2007-02-16",24.081
"2007-02-17",23.6093
"2007-02-18",23.9242
"2007-02-19",23.0382
"2007-02-20",23.0455
"2007-02-21",22.3011
"2007-02-22",22.1767
"2007-02-23",23.0949
"2007-02-24",23.3288
"2007-02-25",21.2288
"2007-02-26",24.1889
"2007-02-27",24.2223
"2007-02-28",23.6663
"2007-03-01",25.0019
"2007-03-02",23.8292
"2007-03-03",24.7041
"2007-03-04",24.0001
"2007-03-05",23.6056
"2007-03-06",24.0993
"2007-03-07",24.242
"2007-03-08",23.8906
"2007-03-09",24.191
"2007-03-10",23.6665
"2007-03-11",24.1889
"2007-03-12",24.6651
"2007-03-13",24.3293
"2007-03-14",24.7869
"2007-03-15",25.0773
"2007-03-16",24.5164
"2007-03-17",24.8435
"2007-03-18",24.7011
"2007-03-19",24.9875
