,"(deg C) Mean Temperature (ERA5) at Polonnaruwa, 2007-01-01 to 2025-12-31"
"2007-01-01",23.9472
"2007-01-02",23.8777
"2007-01-03",23.412
"2007-01-04",23.278
"2007-01-05",24.251
"2007-01-06",24.1409
"2007-01-07",24.3318
"2007-01-08",24.7207
"2007-01-09",24.5371
"2007-01-10",25.0586
"2007-01-11",24.4342
"2007-01-12",24.3802
"2007-01-13",25.1679
"2007-01-14",25.0313
"2007-01-15",25.2613
"2007-01-16",24.6987
"2007-01-17",24.9046
"2007-01-18",24.9244
"2007-01-19",24.0092
"2007-01-20",23.9745
"2007-01-21",23.9074
"2007-01-22",23.1996
"2007-01-23",23.7749
"2007-01-24",24.5974
"2007-01-25",24.917
"2007-01-26",24.1815
"2007-01-27",24.0188
"2007-01-28",25.1872
"2007-01-29",25.6548
"2007-01-30",25.3393
"2007-01-31",25.495
"2007-02-01",24.9751
"2007-02-02",24.3507
"2007-02-03",24.6018
"2007-02-04",24.4638
"2007-02-05",23.766
"2007-02-06",23.4902
"2007-02-07",24.0142
"2007-02-08",24.6688
"2007-02-09",24.8629
"2007-02-10",25.0982
"2007-02-11",25.4204
"2007-02-12",26.0977
"2007-02-13",26.7007
"2007-02-14",26.7208
"2007-02-15",26.8099
"2007-02-16",26.1953
"2007-02-17",25.9879
"2007-02-18",25.97
"2007-02-19",25.4851
"2007-02-20",25.2886
"2007-02-21",24.4948
"2007-02-22",24.5205
"2007-02-23",24.8437
"2007-02-24",24.8722
"2007-02-25",23.3169
"2007-02-26",25.3973
"2007-02-27",26.2351
"2007-02-28",25.8652
"2007-03-01",26.3005
"2007-03-02",26.4736
"2007-03-03",26.1811
"2007-03-04",25.4737
"2007-03-05",24.8205
"2007-03-06",24.7852
"2007-03-07",24.8731
"2007-03-08",24.6839
"2007-03-09",24.969
"2007-03-10",24.8707
"2007-03-11",24.9134
"2007-03-12",25.1134
"2007-03-13",26.3535
"2007-03-14",26.4824
"2007-03-15",27.0449
"2007-03-16",26.9534
"2007-03-17",27.198
"2007-03-18",26.0286
"2007-03-19",25.6378
"2007-03-20",25.4732
"2007-03-21",26.1628
"2007-03-22",25.8868
"2007-03-23",25.9647
"2007-03-24",26.5725
"2007-03-25",27.311
"2007-03-26",26.9876
"2007-03-27",26.4529
"2007-03-28",26.6433
"2007-03-29",26.5112
"2007-03-30",26.8962
"2007-03-31",27.4098
"2007-04-01",27.9753
"2007-04-02",28.7736
"2007-04-03",28.9655
"2007-04-04",28.8104
"2007-04-05",26.5939
"2007-04-06",26.6481
"2007-04-07",26.5747
"2007-04-08",25.6975
