,"(deg C) Mean Temperature (ERA5) at Puttalam, 2007-01-01 to 2025-12-31"
"2007-01-01",25.7278
"2007-01-02",25.7455
"2007-01-03",25.5527
"2007-01-04",25.0427
"2007-01-05",25.8434
"2007-01-06",26.0075
"2007-01-07",25.8974
"2007-01-08",26.1474
"2007-01-09",25.9905
"2007-01-10",26.378
"2007-01-11",26.1259
"2007-01-12",25.8371
"2007-01-13",26.4752
"2007-01-14",26.2979
"2007-01-15",26.5126
"2007-01-16",26.2676
"2007-01-17",26.2407
"2007-01-18",26.2311
"2007-01-19",25.8697
"2007-01-20",25.991
"2007-01-21",26.0714
"2007-01-22",25.8072
"2007-01-23",26.0135
"2007-01-24",26.4871
"2007-01-25",26.3116
"2007-01-26",25.8629
"2007-01-27",25.5003
"2007-01-28",26.5833
"2007-01-29",27.034
"2007-01-30",26.6913
"2007-01-31",26.7912
"2007-02-01",26.5933
"2007-02-02",26.2106
"2007-02-03",26.2483
"2007-02-04",26.3798
"2007-02-05",26.0273
"2007-02-06",25.7667
"2007-02-07",26.4805
"2007-02-08",26.517
"2007-02-09",26.6402
"2007-02-10",26.9409
"2007-02-11",27.0927
"2007-02-12",27.3274
"2007-02-13",27.0003
"2007-02-14",27.043
"2007-02-15",26.8274
"2007-02-16",26.9253
"2007-02-17",26.7943
"2007-02-18",26.8736
"2007-02-19",27.59
"2007-02-20",27.3171
"2007-02-21",26.9621
"2007-02-22",26.6967
"2007-02-23",26.8363
"2007-02-24",26.6993
"2007-02-25",25.2438
"2007-02-26",26.561
"2007-02-27",27.2768
"2007-02-28",27.3409
"2007-03-01",27.5015
"2007-03-02",27.0757
"2007-03-03",27.3726
"2007-03-04",27.2794
"2007-03-05",27.0209
"2007-03-06",27.3304
"2007-03-07",27.1818
"2007-03-08",26.891
"2007-03-09",27.6541
"2007-03-10",27.7476
"2007-03-11",26.8474
"2007-03-12",27.726
"2007-03-13",27.9877
"2007-03-14",28.2516
"2007-03-15",28.2625
"2007-03-16",27.8419
"2007-03-17",28.4829
"2007-03-18",27.9887
"2007-03-19",27.9706
"2007-03-20",28.1232
"2007-03-21",28.4319
"2007-03-22",28.3585
"2007-03-23",28.3565
"2007-03-24",28.0084
"2007-03-25",28.8748
"2007-03-26",29.1368
"2007-03-27",28.9801
"2007-03-28",28.9289
"2007-03-29",28.5276
"2007-03-30",28.5651
"2007-03-31",28.2666
"2007-04-01",28.0935
"2007-04-02",28.6594
"2007-04-03",28.9394
"2007-04-04",28.9627
"2007-04-05",28.1961
"2007-04-06",28.1008
"2007-04-07",27.7154
"2007-04-08",26.8104
"2007-04-09",26.6141
"2007-04-10",26.3563
"2007-04-11",26.3682
"2007-04-12",27.6522
"2007-04-13",28.0062
"2007-04-14",28.3659
"2007-04-15",27.5809
"2007-04-16",27.9445
"2007-04-17",28.6829
"2007-04-18",29.0947
"2007-04-19",28.7181
"2007-04-20",28.2793
"2007-04-21",28.026
"2007-04-22",28.3769
"2007-04-23",29.0427
"2007-04-24",29.088
"2007-04-25",28.7129
"2007-04-26",27.8758
"2007-04-27",27.8519
"2007-04-28",28.0575
"2007-04-29",28.0873
"2007-04-30",28.8779
"2007-05-01",29.4529
"2007-05-02",29.8252
"2007-05-03",28.1796
"2007-05-04",27.999
"2007-05-05",29.1022
"2007-05-06",28.9187
"2007-05-07",28.8444
"2007-05-08",28.6351
"2007-05-09",28.4553
"2007-05-10",29.1548
"2007-05-11",29.0535
"2007-05-12",29.1623
"2007-05-13",29.2034
"2007-05-14",29.1862
"2007-05-15",29.0004
"2007-05-16",28.8774
"2007-05-17",28.6814
"2007-05-18",28.6573
"2007-05-19",28.6314
"2007-05-20",28.9011
"2007-05-21",28.914
"2007-05-22",28.7297
"2007-05-23",28.8216
"2007-05-24",28.7767
"2007-05-25",29.0403
"2007-05-26",29.0099
"2007-05-27",28.0215
"2007-05-28",27.6589
"2007-05-29",28.3892
"2007-05-30",28.4226
"2007-05-31",28.6316
"2007-06-01",28.8456
"2007-06-02",29.0233
"2007-06-03",28.9849
"2007-06-04",28.8652
"2007-06-05",28.7263
"2007-06-06",28.1995
"2007-06-07",27.9242
"2007-06-08",27.8513
"2007-06-09",28.1761
"2007-06-10",28.4829
"2007-06-11",28.2949
"2007-06-12",28.5231
"2007-06-13",28.8287
"2007-06-14",28.292
"2007-06-15",28.0162
"2007-06-16",28.3298
"2007-06-17",28.0838
"2007-06-18",27.7353
"2007-06-19",27.8526
"2007-06-20",27.233
"2007-06-21",26.8829
"2007-06-22",26.7548
"2007-06-23",26.4887
"2007-06-24",27.455
"2007-06-25",27.765
"2007-06-26",27.8822
"2007-06-27",27.7613
"2007-06-28",27.845
"2007-06-29",27.6462
"2007-06-30",27.5193
"2007-07-01",27.6412
"2007-07-02",27.27
"2007-07-03",27.454
"2007-07-04",27.6602
"2007-07-05",27.927
"2007-07-06",28.0561
"2007-07-07",28.0851
"2007-07-08",27.744
"2007-07-09",27.6739
"2007-07-10",27.4764
"2007-07-11",27.1734
"2007-07-12",27.4398
"2007-07-13",27.5593
"2007-07-14",27.6098
"2007-07-15",27.6945
"2007-07-16",27.5882
"2007-07-17",27.4254
"2007-07-18",27.249
"2007-07-19",26.9172
"2007-07-20",26.7607
"2007-07-21",27.0818
"2007-07-22",26.9254
"2007-07-23",26.7492
"2007-07-24",26.1039
"2007-07-25",26.5231
"2007-07-26",26.6267
"2007-07-27",26.8066
"2007-07-28",26.8262
"2007-07-29",26.7624
"2007-07-30",26.6905
"2007-07-31",26.5276
"2007-08-01",26.6555
"2007-08-02",26.5703
"2007-08-03",26.9293
"2007-08-04",27.2244
"2007-08-05",27.0356
"2007-08-06",27.6692
"2007-08-07",27.8278
"2007-08-08",27.8166
"2007-08-09",27.6868
"2007-08-10",27.6203
"2007-08-11",27.5044
"2007-08-12",27.6753
"2007-08-13",27.4714
"2007-08-14",27.408
"2007-08-15",27.3565
"2007-08-16",27.478
"2007-08-17",27.4706
"2007-08-18",27.5361
"2007-08-19",27.4642
"2007-08-20",27.6677
"2007-08-21",27.3921
"2007-08-22",27.5792
"2007-08-23",27.5914
"2007-08-24",27.0415
"2007-08-25",26.861
"2007-08-26",27.2585
"2007-08-27",27.6014
"2007-08-28",27.3514
"2007-08-29",26.9519
"2007-08-30",26.6215
"2007-08-31",26.616
"2007-09-01",27.5201
"2007-09-02",27.4209
"2007-09-03",27.7636
"2007-09-04",27.5371
"2007-09-05",27.5781
"2007-09-06",27.8733
"2007-09-07",27.97
"2007-09-08",27.345
"2007-09-09",26.4255
"2007-09-10",27.3169
"2007-09-11",27.2988
"2007-09-12",26.9695
"2007-09-13",27.6004
"2007-09-14",27.4929
"2007-09-15",27.8348
"2007-09-16",27.6832
"2007-09-17",27.4075
"2007-09-18",27.4453
"2007-09-19",27.6264
"2007-09-20",27.6432
"2007-09-21",27.8501
"2007-09-22",27.4437
"2007-09-23",27.2957
"2007-09-24",27.5393
"2007-09-25",27.5828
"2007-09-26",27.9219
"2007-09-27",27.7684
"2007-09-28",27.4801
"2007-09-29",27.8612
"2007-09-30",27.8746
"2007-10-01",27.8553
"2007-10-02",27.2925
"2007-10-03",27.662
"2007-10-04",27.7849
"2007-10-05",27.0912
"2007-10-06",27.4322
"2007-10-07",27.2205
"2007-10-08",27.1369
"2007-10-09",27.5435
"2007-10-10",27.3718
"2007-10-11",26.6256
"2007-10-12",27.111
"2007-10-13",27.3202
"2007-10-14",26.5786
"2007-10-15",26.4478
"2007-10-16",26.6816
"2007-10-17",26.2372
"2007-10-18",25.8726
"2007-10-19",26.4968
"2007-10-20",25.849
"2007-10-21",27.2774
"2007-10-22",26.0586
"2007-10-23",26.2058
"2007-10-24",26.344
"2007-10-25",26.5055
"2007-10-26",25.7506
"2007-10-27",26.025
"2007-10-28",27.3651
"2007-10-29",27.4922
"2007-10-30",27.594
"2007-10-31",28.0249
"2007-11-01",27.2326
"2007-11-02",26.3167
"2007-11-03",26.4302
"2007-11-04",26.449
"2007-11-05",26.9412
"2007-11-06",26.1754
"2007-11-07",26.4539
"2007-11-08",26.482
"2007-11-09",26.983
"2007-11-10",26.885
"2007-11-11",26.5546
"2007-11-12",26.6883
"2007-11-13",27.0639
"2007-11-14",27.248
"2007-11-15",27.0424
"2007-11-16",26.5191
"2007-11-17",26.1043
"2007-11-18",26.8641
"2007-11-19",26.2507
"2007-11-20",26.9872
"2007-11-21",26.4819
"2007-11-22",26.2177
"2007-11-23",26.6233
"2007-11-24",26.9202
"2007-11-25",26.259
"2007-11-26",26.6306
"2007-11-27",26.7229
"2007-11-28",26.8932
"2007-11-29",26.9105
"2007-11-30",26.8849
"2007-12-01",26.8458
"2007-12-02",26.6596
"2007-12-03",27.2627
"2007-12-04",26.8798
"2007-12-05",27.1965
"2007-12-06",27.1351
"2007-12-07",27.0145
"2007-12-08",26.6183
"2007-12-09",26.3993
"2007-12-10",26.8616
"2007-12-11",27.1022
"2007-12-12",26.0505
"2007-12-13",25.3276
"2007-12-14",25.7303
"2007-12-15",25.6771
"2007-12-16",26.0832
"2007-12-17",25.9115
"2007-12-18",25.9875
"2007-12-19",25.9871
"2007-12-20",26.2171
"2007-12-21",26.3029
"2007-12-22",25.7477
"2007-12-23",25.59
"2007-12-24",25.6495
"2007-12-25",24.9466
"2007-12-26",24.9278
"2007-12-27",25.6512
"2007-12-28",25.3647
"2007-12-29",25.4516
"2007-12-30",25.84
"2007-12-31",25.8356
"2008-01-01",25.7371
"2008-01-02",25.8635
"2008-01-03",25.6283
"2008-01-04",26.1519
"2008-01-05",26.009
"2008-01-06",25.7676
"2008-01-07",25.9961
"2008-01-08",25.9213
"2008-01-09",25.8235
"2008-01-10",26.0272
"2008-01-11",26.1221
"2008-01-12",25.8891
"2008-01-13",25.7388
"2008-01-14",25.7471
"2008-01-15",25.8525
"2008-01-16",26.2671
"2008-01-17",25.7219
"2008-01-18",25.1878
"2008-01-19",25.2188
"2008-01-20",25.8725
"2008-01-21",26.4052
"2008-01-22",26.5066
"2008-01-23",26.3912
"2008-01-24",26.1754
"2008-01-25",26.458
"2008-01-26",26.5123
"2008-01-27",26.6371
"2008-01-28",26.5403
"2008-01-29",26.8345
"2008-01-30",26.7685
"2008-01-31",27.1957
"2008-02-01",27.1082
"2008-02-02",26.8712
"2008-02-03",27.4549
"2008-02-04",27.4314
"2008-02-05",27.7729
"2008-02-06",26.676
"2008-02-07",25.7554
"2008-02-08",26.3495
"2008-02-09",27.0309
"2008-02-10",27.2092
"2008-02-11",27.3732
"2008-02-12",27.0536
"2008-02-13",26.9697
"2008-02-14",27.245
"2008-02-15",27.6207
"2008-02-16",27.6573
"2008-02-17",27.2949
"2008-02-18",26.7072
"2008-02-19",26.5596
"2008-02-20",27.2402
"2008-02-21",27.407
"2008-02-22",27.4821
"2008-02-23",26.8409
"2008-02-24",26.2213
"2008-02-25",25.8274
"2008-02-26",26.8645
"2008-02-27",26.0751
"2008-02-28",26.8546
"2008-02-29",25.9199
"2008-03-01",26.8978
"2008-03-02",27.1361
"2008-03-03",27.147
"2008-03-04",26.9073
"2008-03-05",26.8506
"2008-03-06",26.1201
"2008-03-07",27.0671
"2008-03-08",27.4219
"2008-03-09",26.0847
"2008-03-10",25.7212
"2008-03-11",25.3359
"2008-03-12",26.0942
"2008-03-13",26.543
"2008-03-14",26.4532
"2008-03-15",26.0379
"2008-03-16",25.8686
"2008-03-17",26.2309
"2008-03-18",26.054
"2008-03-19",26.2876
"2008-03-20",26.4203
"2008-03-21",27.0682
"2008-03-22",27.0432
"2008-03-23",27.5114
"2008-03-24",27.2367
"2008-03-25",27.8272
"2008-03-26",27.709
"2008-03-27",27.9218
"2008-03-28",27.8183
"2008-03-29",27.8075
"2008-03-30",27.6668
"2008-03-31",27.2782
"2008-04-01",27.9683
"2008-04-02",26.8557
"2008-04-03",27.6932
"2008-04-04",27.3472
"2008-04-05",27.4539
"2008-04-06",27.3269
"2008-04-07",27.2213
"2008-04-08",26.4014
"2008-04-09",26.5094
"2008-04-10",26.2397
"2008-04-11",26.6688
"2008-04-12",26.9383
"2008-04-13",27.8518
"2008-04-14",28.0397
"2008-04-15",27.6706
"2008-04-16",27.7147
"2008-04-17",27.8298
"2008-04-18",28.2306
"2008-04-19",28.6055
"2008-04-20",28.404
"2008-04-21",29.1508
"2008-04-22",29.2344
"2008-04-23",29.1514
"2008-04-24",28.2832
"2008-04-25",27.4185
"2008-04-26",27.1208
"2008-04-27",27.5248
"2008-04-28",28.1392
"2008-04-29",28.7612
"2008-04-30",29.035
