,"(deg C) Mean Temperature (ERA5) at Ratnapura, 2007-01-01 to 2025-12-31"
"2007-01-01",22.3449
"2007-01-02",23.1369
"2007-01-03",22.7996
"2007-01-04",22.4209
"2007-01-05",21.9727
"2007-01-06",22.4448
"2007-01-07",22.6358
"2007-01-08",23.8491
"2007-01-09",23.7602
"2007-01-10",23.8635
"2007-01-11",22.5708
"2007-01-12",23.0016
"2007-01-13",23.8676
"2007-01-14",23.6031
"2007-01-15",23.9663
"2007-01-16",23.6882
"2007-01-17",24.0175
"2007-01-18",24.0689
"2007-01-19",23.2644
"2007-01-20",23.1908
"2007-01-21",22.9041
"2007-01-22",22.3641
"2007-01-23",22.2411
"2007-01-24",23.03
"2007-01-25",23.5064
"2007-01-26",23.3502
"2007-01-27",23.6268
"2007-01-28",24.4255
"2007-01-29",24.255
"2007-01-30",24.2297
"2007-01-31",23.8258
"2007-02-01",23.3415
"2007-02-02",22.9797
"2007-02-03",23.7523
"2007-02-04",23.4002
"2007-02-05",23.2584
"2007-02-06",22.9846
"2007-02-07",23.5426
"2007-02-08",23.3374
"2007-02-09",23.4438
"2007-02-10",24.0194
"2007-02-11",24.3922
"2007-02-12",24.5357
"2007-02-13",24.6639
"2007-02-14",24.4097
"2007-02-15",24.331
"2007-02-16",24.0849
"2007-02-17",24.0258
"2007-02-18",24.0247
"2007-02-19",23.2428
"2007-02-20",23.8721
"2007-02-21",23.56
"2007-02-22",23.8393
"2007-02-23",23.4252
"2007-02-24",23.8364
"2007-02-25",22.7683
"2007-02-26",24.4688
"2007-02-27",24.6214
"2007-02-28",23.8956
"2007-03-01",25.3469
"2007-03-02",23.7361
"2007-03-03",24.409
"2007-03-04",24.4529
"2007-03-05",24.2779
"2007-03-06",24.6175
"2007-03-07",24.5251
"2007-03-08",24.2913
"2007-03-09",24.0307
"2007-03-10",23.956
"2007-03-11",24.1275
"2007-03-12",24.5629
"2007-03-13",24.5959
"2007-03-14",24.8671
"2007-03-15",24.7873
"2007-03-16",24.3684
"2007-03-17",24.5927
"2007-03-18",24.3168
"2007-03-19",24.7469
"2007-03-20",25.015
"2007-03-21",24.5698
"2007-03-22",24.8033
"2007-03-23",25.2098
"2007-03-24",24.2202
"2007-03-25",24.8335
"2007-03-26",24.8803
"2007-03-27",24.8796
"2007-03-28",25.1557
"2007-03-29",25.2357
"2007-03-30",25.3442
"2007-03-31",25.03
"2007-04-01",24.9057
"2007-04-02",25.06
"2007-04-03",25.3336
"2007-04-04",25.1552
"2007-04-05",24.4698
"2007-04-06",24.0574
"2007-04-07",23.8639
"2007-04-08",23.7328
"2007-04-09",23.8725
"2007-04-10",23.4593
"2007-04-11",23.121
"2007-04-12",24.2516
"2007-04-13",25.1037
"2007-04-14",25.0199
"2007-04-15",24.6377
"2007-04-16",24.8589
"2007-04-17",25.1017
"2007-04-18",25.7683
"2007-04-19",25.572
"2007-04-20",25.2516
"2007-04-21",24.685
"2007-04-22",24.369
"2007-04-23",25.351
"2007-04-24",25.1599
"2007-04-25",24.9731
"2007-04-26",24.1692
"2007-04-27",24.2757
"2007-04-28",24.3681
"2007-04-29",24.2762
"2007-04-30",24.4522
"2007-05-01",25.6947
"2007-05-02",26.0984
"2007-05-03",23.9736
"2007-05-04",24.5491
"2007-05-05",25.7593
"2007-05-06",25.5929
"2007-05-07",25.6087
"2007-05-08",25.2846
"2007-05-09",24.5872
"2007-05-10",25.104
"2007-05-11",25.367
"2007-05-12",25.0828
"2007-05-13",24.9519
"2007-05-14",25.3612
"2007-05-15",24.9701
"2007-05-16",24.6978
"2007-05-17",24.6983
"2007-05-18",25.1178
"2007-05-19",25.2732
"2007-05-20",25.3743
"2007-05-21",25.668
"2007-05-22",25.4356
"2007-05-23",25.8527
"2007-05-24",25.6243
"2007-05-25",25.6531
"2007-05-26",25.551
"2007-05-27",25.1356
"2007-05-28",23.0977
"2007-05-29",24.7983
"2007-05-30",24.9348
"2007-05-31",25.0386
"2007-06-01",25.365
"2007-06-02",25.4471
"2007-06-03",25.2971
"2007-06-04",25.1097
"2007-06-05",25.3941
"2007-06-06",25.333
"2007-06-07",24.8364
"2007-06-08",24.4071
"2007-06-09",24.6587
"2007-06-10",25.0156
"2007-06-11",24.9121
"2007-06-12",24.6153
"2007-06-13",24.6677
"2007-06-14",23.8337
"2007-06-15",23.4639
"2007-06-16",24.351
"2007-06-17",24.3894
"2007-06-18",23.7703
"2007-06-19",23.7997
"2007-06-20",23.3916
"2007-06-21",23.2812
"2007-06-22",23.0241
"2007-06-23",23.6788
"2007-06-24",25.1436
"2007-06-25",24.8705
"2007-06-26",24.365
"2007-06-27",24.269
"2007-06-28",24.3
"2007-06-29",24.9094
"2007-06-30",24.8669
"2007-07-01",25.0346
"2007-07-02",24.5632
"2007-07-03",24.5592
"2007-07-04",24.6416
"2007-07-05",24.5827
"2007-07-06",24.459
"2007-07-07",24.9925
"2007-07-08",24.4158
"2007-07-09",24.435
"2007-07-10",24.1059
"2007-07-11",23.6917
"2007-07-12",23.9968
"2007-07-13",24.4422
"2007-07-14",24.4219
"2007-07-15",24.5687
"2007-07-16",24.0808
"2007-07-17",23.83
"2007-07-18",23.4835
"2007-07-19",23.0998
"2007-07-20",23.2909
"2007-07-21",23.1478
"2007-07-22",22.8444
"2007-07-23",23.1101
"2007-07-24",23.2727
"2007-07-25",23.0972
"2007-07-26",23.5965
"2007-07-27",23.8404
"2007-07-28",24.133
"2007-07-29",23.7849
"2007-07-30",24.0587
"2007-07-31",23.8777
"2007-08-01",23.9878
"2007-08-02",23.6899
"2007-08-03",23.5927
"2007-08-04",24.0614
"2007-08-05",24.2008
"2007-08-06",24.7664
"2007-08-07",24.8191
"2007-08-08",24.5804
"2007-08-09",24.3704
"2007-08-10",23.8982
"2007-08-11",23.6341
"2007-08-12",24.2802
"2007-08-13",23.7456
"2007-08-14",23.9353
"2007-08-15",24.0745
"2007-08-16",24.2531
"2007-08-17",24.3594
"2007-08-18",24.135
"2007-08-19",23.7979
"2007-08-20",24.4317
"2007-08-21",23.4752
"2007-08-22",23.4979
"2007-08-23",23.9925
"2007-08-24",23.7192
"2007-08-25",23.6647
"2007-08-26",23.6094
"2007-08-27",23.7434
"2007-08-28",23.8401
"2007-08-29",23.3729
"2007-08-30",22.6383
"2007-08-31",22.3255
"2007-09-01",23.5887
"2007-09-02",24.215
"2007-09-03",24.0585
"2007-09-04",24.2596
"2007-09-05",23.5984
"2007-09-06",23.275
"2007-09-07",24.457
"2007-09-08",24.1056
"2007-09-09",22.3631
"2007-09-10",24.5688
"2007-09-11",24.5205
"2007-09-12",23.7374
"2007-09-13",24.1578
"2007-09-14",23.8774
"2007-09-15",23.9246
"2007-09-16",24.0921
"2007-09-17",23.5836
"2007-09-18",24.0967
"2007-09-19",24.1652
"2007-09-20",23.9597
"2007-09-21",24.2324
"2007-09-22",23.9196
"2007-09-23",23.8911
"2007-09-24",24.2913
"2007-09-25",24.461
"2007-09-26",24.6141
"2007-09-27",24.4594
"2007-09-28",23.9569
"2007-09-29",24.2217
"2007-09-30",24.0615
"2007-10-01",23.8827
"2007-10-02",23.0847
"2007-10-03",23.6562
"2007-10-04",23.7689
"2007-10-05",23.5762
"2007-10-06",23.371
"2007-10-07",23.3494
"2007-10-08",23.1247
"2007-10-09",23.7216
"2007-10-10",24.1515
"2007-10-11",23.1714
"2007-10-12",23.6331
"2007-10-13",23.9213
"2007-10-14",23.495
"2007-10-15",23.5944
"2007-10-16",23.6277
"2007-10-17",23.4107
"2007-10-18",22.8684
"2007-10-19",24.0311
"2007-10-20",21.6215
"2007-10-21",22.9333
"2007-10-22",22.2284
"2007-10-23",23.3518
"2007-10-24",23.878
"2007-10-25",24.137
"2007-10-26",22.6983
"2007-10-27",23.3001
"2007-10-28",23.5637
"2007-10-29",23.475
"2007-10-30",23.6486
"2007-10-31",24.6901
"2007-11-01",24.1762
"2007-11-02",23.6038
"2007-11-03",23.3525
"2007-11-04",23.6532
"2007-11-05",24.2349
"2007-11-06",23.126
"2007-11-07",22.9248
"2007-11-08",23.6153
"2007-11-09",23.7937
"2007-11-10",24.0567
"2007-11-11",23.9016
"2007-11-12",23.8857
"2007-11-13",24.0181
"2007-11-14",23.7609
"2007-11-15",23.4788
"2007-11-16",23.0977
"2007-11-17",22.888
"2007-11-18",23.9216
"2007-11-19",23.5297
"2007-11-20",23.9329
"2007-11-21",23.4432
"2007-11-22",23.5906
"2007-11-23",23.9296
"2007-11-24",24.3959
"2007-11-25",24.2996
"2007-11-26",23.419
"2007-11-27",23.9838
"2007-11-28",24.3727
"2007-11-29",23.5032
"2007-11-30",23.2031
"2007-12-01",23.6248
"2007-12-02",22.8813
"2007-12-03",23.7772
"2007-12-04",23.9912
"2007-12-05",23.1419
"2007-12-06",23.5839
"2007-12-07",23.0044
"2007-12-08",23.5688
"2007-12-09",23.4839
"2007-12-10",23.538
"2007-12-11",23.8332
"2007-12-12",23.4608
"2007-12-13",23.0296
"2007-12-14",23.5791
"2007-12-15",23.3469
"2007-12-16",23.1854
"2007-12-17",23.6144
"2007-12-18",23.15
"2007-12-19",23.384
"2007-12-20",23.5205
"2007-12-21",23.4544
"2007-12-22",22.705
"2007-12-23",22.1935
"2007-12-24",24.0373
"2007-12-25",23.279
"2007-12-26",23.1095
"2007-12-27",22.7896
"2007-12-28",23.1524
"2007-12-29",23.0164
"2007-12-30",22.9502
"2007-12-31",22.8043
"2008-01-01",22.8916
"2008-01-02",23.4391
"2008-01-03",23.1167
"2008-01-04",23.3359
"2008-01-05",23.5507
"2008-01-06",23.1569
"2008-01-07",23.0632
"2008-01-08",22.9828
"2008-01-09",23.2951
"2008-01-10",23.297
"2008-01-11",23.1739
"2008-01-12",23.186
"2008-01-13",22.5831
"2008-01-14",23.133
"2008-01-15",22.8352
"2008-01-16",22.5257
"2008-01-17",22.7837
"2008-01-18",22.4697
"2008-01-19",22.9927
"2008-01-20",23.964
"2008-01-21",23.7178
"2008-01-22",23.2909
"2008-01-23",23.876
"2008-01-24",24.1412
"2008-01-25",24.1572
"2008-01-26",23.9919
"2008-01-27",23.979
"2008-01-28",23.7041
"2008-01-29",24.0293
"2008-01-30",24.4363
"2008-01-31",24.4636
"2008-02-01",24.1197
"2008-02-02",24.6276
"2008-02-03",24.5767
"2008-02-04",24.5925
"2008-02-05",25.0443
