,"(deg C) Mean Temperature (ERA5) at Trincomalee, 2007-01-01 to 2025-12-31"
"2007-01-01",24.8354
"2007-01-02",24.8982
"2007-01-03",24.4086
"2007-01-04",24.3778
"2007-01-05",25.2041
"2007-01-06",24.8929
"2007-01-07",25.2242
"2007-01-08",25.238
"2007-01-09",25.1218
"2007-01-10",25.8843
"2007-01-11",25.0932
"2007-01-12",24.9445
"2007-01-13",25.6503
"2007-01-14",25.6686
"2007-01-15",25.6343
"2007-01-16",25.2721
"2007-01-17",25.3298
"2007-01-18",25.4693
"2007-01-19",24.7923
"2007-01-20",24.9221
"2007-01-21",24.8894
"2007-01-22",24.4245
"2007-01-23",24.867
"2007-01-24",25.5771
"2007-01-25",25.2918
"2007-01-26",25.0562
"2007-01-27",24.3641
"2007-01-28",25.8967
"2007-01-29",26.1244
"2007-01-30",25.9732
"2007-01-31",25.9362
"2007-02-01",25.6793
"2007-02-02",25.2092
"2007-02-03",25.2558
"2007-02-04",25.0933
"2007-02-05",24.3732
"2007-02-06",24.531
"2007-02-07",25.0693
"2007-02-08",25.4102
"2007-02-09",25.3723
"2007-02-10",25.2046
"2007-02-11",25.6914
"2007-02-12",26.3809
"2007-02-13",26.872
"2007-02-14",26.8048
"2007-02-15",27.0406
"2007-02-16",26.1129
"2007-02-17",26.2131
"2007-02-18",26.3007
"2007-02-19",26.0907
"2007-02-20",25.8223
"2007-02-21",25.3056
"2007-02-22",25.3119
"2007-02-23",25.4387
"2007-02-24",25.5294
"2007-02-25",24.0964
"2007-02-26",25.9889
"2007-02-27",26.6147
"2007-02-28",26.3496
"2007-03-01",26.4328
"2007-03-02",26.52
"2007-03-03",26.6736
"2007-03-04",26.0035
"2007-03-05",25.4909
"2007-03-06",25.6459
"2007-03-07",25.4576
"2007-03-08",25.4369
"2007-03-09",25.8287
"2007-03-10",25.6639
"2007-03-11",25.5034
"2007-03-12",25.6937
"2007-03-13",26.8027
"2007-03-14",26.9595
"2007-03-15",27.1271
"2007-03-16",27.3162
"2007-03-17",27.5037
"2007-03-18",26.5201
"2007-03-19",26.2105
"2007-03-20",26.3859
"2007-03-21",26.5602
"2007-03-22",26.3012
"2007-03-23",26.0874
"2007-03-24",26.5475
"2007-03-25",27.4748
"2007-03-26",27.6414
"2007-03-27",27.1823
"2007-03-28",27.0039
"2007-03-29",26.9187
"2007-03-30",27.3399
"2007-03-31",27.7029
"2007-04-01",28.108
"2007-04-02",28.5799
"2007-04-03",28.7791
"2007-04-04",28.9574
"2007-04-05",27.244
"2007-04-06",27.0405
"2007-04-07",27.1756
"2007-04-08",26.6404
"2007-04-09",25.955
"2007-04-10",25.8439
"2007-04-11",26.1737
"2007-04-12",27.6676
"2007-04-13",27.9583
"2007-04-14",27.7327
"2007-04-15",27.287
"2007-04-16",27.3126
"2007-04-17",28.5386
"2007-04-18",29.1318
"2007-04-19",28.8289
"2007-04-20",28.7288
"2007-04-21",28.4983
"2007-04-22",28.2639
"2007-04-23",29.3148
"2007-04-24",29.7731
"2007-04-25",29.2536
"2007-04-26",28.3829
"2007-04-27",27.9785
"2007-04-28",28.6474
"2007-04-29",28.5427
"2007-04-30",29.2406
"2007-05-01",30.1015
"2007-05-02",30.2428
"2007-05-03",28.3201
"2007-05-04",28.0736
"2007-05-05",29.6882
"2007-05-06",29.8088
"2007-05-07",29.8934
"2007-05-08",30.0728
"2007-05-09",29.462
"2007-05-10",30.2942
"2007-05-11",30.558
"2007-05-12",30.6988
"2007-05-13",30.2794
"2007-05-14",30.5144
"2007-05-15",30.5173
"2007-05-16",30.3569
"2007-05-17",30.0854
"2007-05-18",30.3466
"2007-05-19",30.5301
"2007-05-20",30.5137
"2007-05-21",30.6503
"2007-05-22",30.5949
"2007-05-23",30.1279
"2007-05-24",29.869
"2007-05-25",30.4032
"2007-05-26",30.7071
"2007-05-27",30.4596
"2007-05-28",28.9987
"2007-05-29",30.1813
"2007-05-30",30.6208
"2007-05-31",31.0586
"2007-06-01",31.034
"2007-06-02",30.9035
"2007-06-03",30.3472
"2007-06-04",29.8804
"2007-06-05",29.5944
"2007-06-06",29.6559
"2007-06-07",29.4701
"2007-06-08",29.4114
"2007-06-09",29.9029
"2007-06-10",30.1106
"2007-06-11",30.0177
"2007-06-12",30.1616
"2007-06-13",29.2678
"2007-06-14",28.4362
"2007-06-15",28.6238
"2007-06-16",28.8198
"2007-06-17",28.8846
"2007-06-18",27.9678
"2007-06-19",28.8633
"2007-06-20",28.4457
"2007-06-21",28.3648
"2007-06-22",27.6909
"2007-06-23",27.2638
"2007-06-24",29.5978
"2007-06-25",29.2195
"2007-06-26",29.239
"2007-06-27",28.6197
"2007-06-28",29.2093
"2007-06-29",29.6236
"2007-06-30",29.5878
"2007-07-01",30.2408
"2007-07-02",29.6889
"2007-07-03",29.7037
"2007-07-04",30.2349
"2007-07-05",30.4138
"2007-07-06",30.7272
"2007-07-07",30.703
"2007-07-08",30.2923
"2007-07-09",30.4638
"2007-07-10",29.8282
"2007-07-11",29.4599
"2007-07-12",29.9593
"2007-07-13",30.1269
"2007-07-14",30.3463
"2007-07-15",30.3155
"2007-07-16",30.385
"2007-07-17",29.5023
"2007-07-18",28.3679
"2007-07-19",27.9188
"2007-07-20",27.6955
"2007-07-21",28.3279
"2007-07-22",27.4602
"2007-07-23",26.8489
"2007-07-24",27.1121
"2007-07-25",27.1562
"2007-07-26",28.1208
"2007-07-27",28.4675
"2007-07-28",28.8456
"2007-07-29",28.5656
"2007-07-30",28.1331
"2007-07-31",28.2062
"2007-08-01",28.2445
"2007-08-02",28.6061
"2007-08-03",28.6084
"2007-08-04",29.3427
"2007-08-05",29.2607
"2007-08-06",29.8275
"2007-08-07",30.5196
"2007-08-08",30.3709
"2007-08-09",30.337
"2007-08-10",29.3152
"2007-08-11",29.1225
"2007-08-12",29.5459
"2007-08-13",29.3846
"2007-08-14",29.5751
"2007-08-15",29.4214
"2007-08-16",29.811
"2007-08-17",29.6775
"2007-08-18",29.7985
"2007-08-19",28.8576
"2007-08-20",29.8687
"2007-08-21",29.1004
"2007-08-22",29.0734
"2007-08-23",28.2703
"2007-08-24",27.3798
"2007-08-25",27.6128
"2007-08-26",28.6255
"2007-08-27",28.8975
"2007-08-28",29.2993
"2007-08-29",28.3537
"2007-08-30",27.7358
"2007-08-31",27.5126
"2007-09-01",28.8633
"2007-09-02",29.2096
"2007-09-03",29.2837
"2007-09-04",29.5149
"2007-09-05",29.0959
"2007-09-06",28.8971
"2007-09-07",28.8039
"2007-09-08",28.4796
"2007-09-09",26.6205
"2007-09-10",28.7107
"2007-09-11",28.9466
"2007-09-12",27.9907
"2007-09-13",28.9874
"2007-09-14",28.2205
"2007-09-15",28.7655
"2007-09-16",28.4171
"2007-09-17",28.2596
"2007-09-18",28.4526
"2007-09-19",29.2641
"2007-09-20",29.0113
"2007-09-21",29.344
"2007-09-22",29.1727
"2007-09-23",28.8577
"2007-09-24",29.4033
"2007-09-25",29.6889
"2007-09-26",29.7931
"2007-09-27",28.9489
"2007-09-28",28.4468
"2007-09-29",29.2555
"2007-09-30",29.1566
"2007-10-01",29.261
"2007-10-02",28.5979
"2007-10-03",29.2656
"2007-10-04",29.5694
"2007-10-05",28.8782
"2007-10-06",28.7574
"2007-10-07",28.7636
"2007-10-08",28.2733
"2007-10-09",29.3967
"2007-10-10",28.8117
"2007-10-11",27.1522
"2007-10-12",27.7678
"2007-10-13",27.9934
"2007-10-14",26.8365
"2007-10-15",26.7524
"2007-10-16",26.7432
"2007-10-17",26.162
"2007-10-18",25.9101
"2007-10-19",26.9419
"2007-10-20",24.9653
"2007-10-21",25.4563
"2007-10-22",24.5821
"2007-10-23",25.2148
"2007-10-24",26.1581
"2007-10-25",26.7175
"2007-10-26",25.3773
"2007-10-27",25.2027
"2007-10-28",26.6404
"2007-10-29",27.6757
"2007-10-30",27.5636
"2007-10-31",28.0876
"2007-11-01",26.281
"2007-11-02",26.2299
"2007-11-03",26.3211
"2007-11-04",26.3402
"2007-11-05",27.3054
"2007-11-06",25.8733
"2007-11-07",25.9873
"2007-11-08",26.6668
"2007-11-09",26.7465
"2007-11-10",26.4327
"2007-11-11",25.8899
"2007-11-12",26.0677
"2007-11-13",26.3652
"2007-11-14",26.4006
"2007-11-15",26.0808
"2007-11-16",25.3157
"2007-11-17",24.8041
"2007-11-18",25.6074
"2007-11-19",25.7007
"2007-11-20",26.3165
"2007-11-21",25.5308
"2007-11-22",25.6193
"2007-11-23",25.8385
"2007-11-24",26.0657
"2007-11-25",25.4005
"2007-11-26",26.173
