,"(deg C) Mean Temperature (ERA5) at Vavuniya, 2007-01-01 to 2025-12-31"
"2007-01-01",24.2344
"2007-01-02",24.3991
"2007-01-03",23.8797
"2007-01-04",24.0875
"2007-01-05",25.0867
"2007-01-06",24.6392
"2007-01-07",25.0003
"2007-01-08",25.2647
"2007-01-09",24.9865
"2007-01-10",25.9773
"2007-01-11",25.525
"2007-01-12",25.0322
"2007-01-13",25.8114
"2007-01-14",25.8451
"2007-01-15",25.6443
"2007-01-16",25.2032
"2007-01-17",25.0452
"2007-01-18",25.2882
"2007-01-19",24.5086
"2007-01-20",24.7406
"2007-01-21",24.7357
"2007-01-22",24.3046
"2007-01-23",24.7964
"2007-01-24",25.6755
"2007-01-25",25.4004
"2007-01-26",25.5267
"2007-01-27",24.4634
"2007-01-28",26.0171
"2007-01-29",26.4576
"2007-01-30",26.004
"2007-01-31",25.9289
"2007-02-01",25.6634
"2007-02-02",25.396
"2007-02-03",25.5006
"2007-02-04",25.3176
"2007-02-05",24.4621
"2007-02-06",24.3159
"2007-02-07",25.025
"2007-02-08",25.5876
"2007-02-09",25.5869
"2007-02-10",25.5337
"2007-02-11",26.0952
"2007-02-12",26.7332
"2007-02-13",26.9569
"2007-02-14",26.9221
"2007-02-15",27.3162
"2007-02-16",26.6006
"2007-02-17",26.3426
"2007-02-18",26.6512
"2007-02-19",26.4507
"2007-02-20",26.2011
"2007-02-21",25.4157
"2007-02-22",25.1773
"2007-02-23",25.3179
"2007-02-24",25.9566
"2007-02-25",24.1689
"2007-02-26",26.0046
"2007-02-27",26.9962
"2007-02-28",26.6652
"2007-03-01",27.0596
"2007-03-02",27.1103
"2007-03-03",27.3953
"2007-03-04",26.5705
"2007-03-05",25.9413
"2007-03-06",26.0426
"2007-03-07",26.0213
"2007-03-08",26.2995
"2007-03-09",26.6335
"2007-03-10",26.5569
"2007-03-11",26.0476
"2007-03-12",26.981
"2007-03-13",27.3935
"2007-03-14",27.7117
"2007-03-15",27.9432
"2007-03-16",27.9802
"2007-03-17",28.1131
"2007-03-18",27.4996
"2007-03-19",27.415
"2007-03-20",27.5553
"2007-03-21",28.0423
"2007-03-22",27.5455
"2007-03-23",27.511
"2007-03-24",27.4741
"2007-03-25",28.9009
"2007-03-26",29.2369
"2007-03-27",28.5632
"2007-03-28",28.3245
"2007-03-29",27.8733
"2007-03-30",28.1266
"2007-03-31",28.9158
"2007-04-01",28.8578
"2007-04-02",29.4311
"2007-04-03",30.0104
"2007-04-04",29.9522
"2007-04-05",28.4314
"2007-04-06",27.8625
"2007-04-07",27.9326
"2007-04-08",26.9658
"2007-04-09",25.9104
"2007-04-10",25.8846
"2007-04-11",26.2778
"2007-04-12",27.8585
"2007-04-13",28.2359
"2007-04-14",27.7416
"2007-04-15",27.5201
"2007-04-16",27.3608
"2007-04-17",28.2466
"2007-04-18",28.9174
"2007-04-19",28.6303
"2007-04-20",28.6884
"2007-04-21",28.3273
"2007-04-22",28.4469
"2007-04-23",29.4639
"2007-04-24",29.6563
"2007-04-25",29.3942
"2007-04-26",28.2984
"2007-04-27",27.7704
"2007-04-28",28.6161
"2007-04-29",28.3588
"2007-04-30",29.1577
"2007-05-01",29.892
"2007-05-02",30.6437
"2007-05-03",28.313
"2007-05-04",28.2564
"2007-05-05",29.7253
"2007-05-06",29.9023
"2007-05-07",29.9644
"2007-05-08",30.083
"2007-05-09",29.5629
"2007-05-10",30.5059
"2007-05-11",30.761
"2007-05-12",31.0014
"2007-05-13",30.2218
"2007-05-14",30.3937
"2007-05-15",30.3762
"2007-05-16",30.3566
"2007-05-17",29.9471
"2007-05-18",30.2281
"2007-05-19",30.4363
"2007-05-20",30.4967
"2007-05-21",30.862
"2007-05-22",30.7052
"2007-05-23",30.6089
"2007-05-24",30.4627
"2007-05-25",30.7987
"2007-05-26",30.8578
"2007-05-27",30.5294
"2007-05-28",28.9878
"2007-05-29",30.2561
"2007-05-30",30.712
"2007-05-31",30.9565
"2007-06-01",30.9994
"2007-06-02",31.1012
"2007-06-03",31.2111
"2007-06-04",30.6043
"2007-06-05",30.3041
"2007-06-06",30.063
"2007-06-07",29.7697
"2007-06-08",29.4594
"2007-06-09",29.9642
"2007-06-10",30.4435
"2007-06-11",30.4026
"2007-06-12",30.4492
"2007-06-13",30.3664
"2007-06-14",28.61
"2007-06-15",28.6625
"2007-06-16",29.0134
"2007-06-17",29.0185
"2007-06-18",28.1159
"2007-06-19",28.7539
"2007-06-20",28.465
"2007-06-21",28.2296
