,"(mm) Precipitation (CHIRPS) at Colombo, 2007-01-01 to 2025-12-31"
1/1/2007,0
1/2/2007,0
1/3/2007,0
1/4/2007,0
1/5/2007,0
1/6/2007,0
1/7/2007,0
1/8/2007,0
1/9/2007,22.9032
1/10/2007,12.2081
1/11/2007,33.2355
1/12/2007,0
1/13/2007,2.9356
1/14/2007,5.1314
1/15/2007,0
1/16/2007,0.0893
1/17/2007,3.5284
1/18/2007,0
1/19/2007,14.9902
1/20/2007,0
1/21/2007,1.5087
1/22/2007,0.0028
1/23/2007,0
1/24/2007,0
1/25/2007,0
1/26/2007,0.3824
1/27/2007,26.4523
1/28/2007,0
1/29/2007,7.7683
1/30/2007,0
1/31/2007,0
2/1/2007,0
2/2/2007,0
2/3/2007,0
2/4/2007,0.278
2/5/2007,0
2/6/2007,0
2/7/2007,0.3936
2/8/2007,0
2/9/2007,0
2/10/2007,0
2/11/2007,0.4638
2/12/2007,0
2/13/2007,0
2/14/2007,0
2/15/2007,0
2/16/2007,0
2/17/2007,0.3733
2/18/2007,1.4539
2/19/2007,0.8359
2/20/2007,0
2/21/2007,0
2/22/2007,0
2/23/2007,0
2/24/2007,5.4555
2/25/2007,23.3983
2/26/2007,0.135
2/27/2007,11.2558
2/28/2007,0.4009
3/1/2007,0
3/2/2007,3.5761
3/3/2007,14.2242
3/4/2007,0
3/5/2007,0
3/6/2007,0
3/7/2007,0
3/8/2007,0
3/9/2007,0
3/10/2007,0
3/11/2007,0
3/12/2007,7.1002
3/13/2007,10.6977
3/14/2007,0
3/15/2007,11.1056
3/16/2007,7.6124
3/17/2007,9.9804
3/18/2007,0
3/19/2007,0
3/20/2007,0
3/21/2007,0
3/22/2007,0
3/23/2007,0
3/24/2007,0.1136
3/25/2007,0
3/26/2007,0
3/27/2007,0
3/28/2007,0
3/29/2007,0
3/30/2007,4.6071
3/31/2007,23.5266
4/1/2007,18.2182
4/2/2007,12.4863
4/3/2007,21.8822
4/4/2007,23.4138
4/5/2007,32.9263
4/6/2007,36.4331
4/7/2007,43.6651
4/8/2007,50.157
4/9/2007,35.2508
4/10/2007,45.6885
4/11/2007,38.165
4/12/2007,12.8801
4/13/2007,23.6344
4/14/2007,0.3159
4/15/2007,0
4/16/2007,0
4/17/2007,0
4/18/2007,0
4/19/2007,4.9781
4/20/2007,2.4202
4/21/2007,12.4958
4/22/2007,21.1509
4/23/2007,21.9972
4/24/2007,18.0098
4/25/2007,21.9972
4/26/2007,25.2149
4/27/2007,22.5254
4/28/2007,22.1535
4/29/2007,21.3442
4/30/2007,14.7708
5/1/2007,0
5/2/2007,0.5671
5/3/2007,33.6966
5/4/2007,33.8129
5/5/2007,9.9845
5/6/2007,10.0505
5/7/2007,19.7191
5/8/2007,11.2188
5/9/2007,29.7825
5/10/2007,18.1871
5/11/2007,1.3626
5/12/2007,47
5/13/2007,0
5/14/2007,0
5/15/2007,0
5/16/2007,0
5/17/2007,0
5/18/2007,0
5/19/2007,0
5/20/2007,0
5/21/2007,0.6245
5/22/2007,0
5/23/2007,5.9775
5/24/2007,10.0163
5/25/2007,0
5/26/2007,0
5/27/2007,3.4221
5/28/2007,66.902
5/29/2007,13.7971
5/30/2007,0
5/31/2007,12.2415
6/1/2007,0.0039
6/2/2007,0
6/3/2007,0
6/4/2007,22.1871
6/5/2007,2.8509
6/6/2007,19.3428
6/7/2007,20.4417
6/8/2007,3.8621
6/9/2007,0
6/10/2007,0
6/11/2007,2.7885
6/12/2007,10.0323
6/13/2007,24.725
6/14/2007,56.1352
6/15/2007,32.0915
6/16/2007,8.2073
6/17/2007,0
6/18/2007,22.9689
6/19/2007,33.6849
6/20/2007,0
6/21/2007,56.646
6/22/2007,79.3884
6/23/2007,17.2149
6/24/2007,14.3227
6/25/2007,0.7729
6/26/2007,22.7706
6/27/2007,0
6/28/2007,5.3856
6/29/2007,0
6/30/2007,0
7/1/2007,0
7/2/2007,12.0468
7/3/2007,33.532
7/4/2007,14.3603
7/5/2007,0
7/6/2007,5.2319
7/7/2007,0
7/8/2007,0
7/9/2007,0
7/10/2007,0.1785
7/11/2007,9.5909
7/12/2007,18.9226
7/13/2007,0
7/14/2007,0
7/15/2007,0.4929
7/16/2007,5.0017
7/17/2007,14.8541
7/18/2007,2.2146
7/19/2007,26.6737
