,"(mm) Precipitation (CHIRPS) at Jaffna, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",0
"2007-01-10",0
"2007-01-11",0.3139
"2007-01-12",1.3069
"2007-01-13",0
"2007-01-14",0
"2007-01-15",0
"2007-01-16",0.0414
"2007-01-17",3.3776
"2007-01-18",0
"2007-01-19",8.8947
"2007-01-20",1.5238
"2007-01-21",0.0026
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",9.1671
"2007-01-27",40.152
"2007-01-28",2.159
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0.8761
"2007-02-11",0
"2007-02-12",0
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",3.1277
"2007-02-18",0
"2007-02-19",0
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",0.7666
"2007-02-25",6.721
"2007-02-26",0
"2007-02-27",0
"2007-02-28",0
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",0
"2007-03-13",0
"2007-03-14",0
"2007-03-15",0
"2007-03-16",0.733
"2007-03-17",0
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",0
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0
"2007-03-31",13.6973
"2007-04-01",5.619
"2007-04-02",0
"2007-04-03",0
"2007-04-04",0.2607
"2007-04-05",6.9526
"2007-04-06",5.9431
"2007-04-07",12.614
"2007-04-08",0
"2007-04-09",3.6229
"2007-04-10",6.7879
"2007-04-11",1.3882
"2007-04-12",0.1146
"2007-04-13",0
"2007-04-14",0
"2007-04-15",0.3941
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0.5167
"2007-04-19",0.4843
"2007-04-20",7.5199
"2007-04-21",7.3167
"2007-04-22",5.5432
"2007-04-23",0.3789
"2007-04-24",1.3075
"2007-04-25",0.0167
"2007-04-26",0.398
"2007-04-27",0
"2007-04-28",0
"2007-04-29",3.1037
"2007-04-30",0
"2007-05-01",0
"2007-05-02",0
"2007-05-03",4.1469
"2007-05-04",2.2291
"2007-05-05",0.0649
"2007-05-06",0.0014
"2007-05-07",0
"2007-05-08",0
"2007-05-09",0
"2007-05-10",0
"2007-05-11",0
"2007-05-12",0
"2007-05-13",0.3238
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0
"2007-05-21",0
"2007-05-22",0
"2007-05-23",0.0021
"2007-05-24",0.0014
"2007-05-25",0
"2007-05-26",0
"2007-05-27",0
"2007-05-28",3.4821
"2007-05-29",5.3881
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0
"2007-06-02",0.0019
"2007-06-03",0
"2007-06-04",0.0456
"2007-06-05",0
"2007-06-06",0
"2007-06-07",0.513
"2007-06-08",0.2351
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",0
"2007-06-13",0
"2007-06-14",0
"2007-06-15",0
"2007-06-16",0
"2007-06-17",0
"2007-06-18",0
"2007-06-19",0
"2007-06-20",0
"2007-06-21",0
"2007-06-22",0
"2007-06-23",0
"2007-06-24",0
"2007-06-25",0
"2007-06-26",0
"2007-06-27",0
"2007-06-28",0
"2007-06-29",0
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0
"2007-07-03",0
"2007-07-04",0
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",0
"2007-07-12",0
"2007-07-13",0
"2007-07-14",0
"2007-07-15",0
"2007-07-16",0
"2007-07-17",0
"2007-07-18",0
"2007-07-19",0
"2007-07-20",0
"2007-07-21",0.0037
"2007-07-22",0.0007
"2007-07-23",0.0191
"2007-07-24",0.005
"2007-07-25",0.0102
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0
"2007-07-29",0.1352
"2007-07-30",0.6362
"2007-07-31",0.1262
"2007-08-01",1.885
"2007-08-02",0.2409
"2007-08-03",0.0255
"2007-08-04",0.0086
"2007-08-05",0
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",1.3754
"2007-08-11",0.6617
"2007-08-12",0
"2007-08-13",0
"2007-08-14",0
"2007-08-15",0
"2007-08-16",0
"2007-08-17",0
"2007-08-18",0
"2007-08-19",0.0087
"2007-08-20",0.0255
"2007-08-21",1.7336
"2007-08-22",0
"2007-08-23",0.6933
"2007-08-24",0.2435
"2007-08-25",0.7617
"2007-08-26",1.0546
"2007-08-27",0
"2007-08-28",0
"2007-08-29",0.022
"2007-08-30",0.0865
"2007-08-31",0
"2007-09-01",0.1574
"2007-09-02",0.5551
"2007-09-03",0.225
"2007-09-04",0
"2007-09-05",0
"2007-09-06",0
"2007-09-07",0.038
"2007-09-08",0
"2007-09-09",1.587
"2007-09-10",2.9266
"2007-09-11",2.6805
"2007-09-12",0.7098
"2007-09-13",0.0394
"2007-09-14",2.4627
"2007-09-15",0
"2007-09-16",1.6409
"2007-09-17",2.406
"2007-09-18",1.3807
"2007-09-19",0.1776
"2007-09-20",0.0342
"2007-09-21",0
"2007-09-22",0
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",0
"2007-09-27",3.6207
"2007-09-28",1.3367
"2007-09-29",0.016
"2007-09-30",0
"2007-10-01",0
"2007-10-02",0
"2007-10-03",0
"2007-10-04",0
"2007-10-05",0
"2007-10-06",0
"2007-10-07",0
"2007-10-08",4.6749
"2007-10-09",0
"2007-10-10",0.1803
"2007-10-11",7.2351
"2007-10-12",14.1265
"2007-10-13",0.9008
"2007-10-14",17.8613
"2007-10-15",11.8673
"2007-10-16",16.2201
"2007-10-17",37.3558
"2007-10-18",36.0813
"2007-10-19",4.9276
"2007-10-20",23.7026
"2007-10-21",13.7491
"2007-10-22",20.8111
"2007-10-23",35.4128
"2007-10-24",11.0117
"2007-10-25",11.8961
"2007-10-26",20.9196
"2007-10-27",30.5351
"2007-10-28",40.1714
"2007-10-29",7.1459
"2007-10-30",8.12
"2007-10-31",0
"2007-11-01",19.8394
"2007-11-02",0
"2007-11-03",11.6319
"2007-11-04",9.3573
"2007-11-05",3.8716
"2007-11-06",4.5653
"2007-11-07",18.3687
"2007-11-08",0.7413
"2007-11-09",0
"2007-11-10",0
"2007-11-11",0
"2007-11-12",0
"2007-11-13",0.1102
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",15.2031
"2007-11-20",18.5
"2007-11-21",22.6418
"2007-11-22",30.9439
"2007-11-23",2.0808
"2007-11-24",0
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",0
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0
"2007-12-08",4.7685
"2007-12-09",0
"2007-12-10",5.6672
"2007-12-11",0
"2007-12-12",40.2962
"2007-12-13",51.9635
"2007-12-14",15.1417
"2007-12-15",24.3217
"2007-12-16",12.8385
"2007-12-17",27.8664
"2007-12-18",71.9386
"2007-12-19",43.9809
"2007-12-20",34.6925
"2007-12-21",0.4246
"2007-12-22",0
"2007-12-23",12.3293
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",4.1609
"2008-01-04",8.5486
"2008-01-05",5.9517
"2008-01-06",0
"2008-01-07",0
"2008-01-08",0
"2008-01-09",0
"2008-01-10",0
"2008-01-11",0
"2008-01-12",0
"2008-01-13",0
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",1.2277
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",0
"2008-01-26",0.6965
"2008-01-27",0
"2008-01-28",0
"2008-01-29",0.1335
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0
"2008-02-06",0.2133
"2008-02-07",17.4669
"2008-02-08",7.8319
"2008-02-09",3.7947
"2008-02-10",2.3288
"2008-02-11",0
"2008-02-12",0
"2008-02-13",0.5079
"2008-02-14",0
"2008-02-15",0
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0
"2008-02-21",0
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0
"2008-02-25",0
"2008-02-26",0
"2008-02-27",9.9968
"2008-02-28",0
"2008-02-29",15.1179
"2008-03-01",0.0873
"2008-03-02",0
"2008-03-03",0
"2008-03-04",0
"2008-03-05",0
"2008-03-06",0.0933
"2008-03-07",0.3658
"2008-03-08",0
"2008-03-09",20.1383
"2008-03-10",14.3029
"2008-03-11",3.2358
"2008-03-12",18.5775
"2008-03-13",2.3771
"2008-03-14",3.0097
"2008-03-15",3.9761
"2008-03-16",4.2793
"2008-03-17",5.7718
"2008-03-18",2.8946
"2008-03-19",5.9566
"2008-03-20",4.3255
"2008-03-21",16.0098
"2008-03-22",5.6851
"2008-03-23",10.1395
"2008-03-24",4.8484
"2008-03-25",1.7917
"2008-03-26",8.7052
"2008-03-27",2.943
"2008-03-28",1.765
"2008-03-29",0
"2008-03-30",2.2244
"2008-03-31",0
"2008-04-01",3.1912
"2008-04-02",3.8134
"2008-04-03",0
"2008-04-04",0.0287
"2008-04-05",2.4087
"2008-04-06",0
"2008-04-07",7.8947
"2008-04-08",9.2214
"2008-04-09",2.2585
"2008-04-10",0
"2008-04-11",0
"2008-04-12",7.8606
"2008-04-13",0
"2008-04-14",0.0027
"2008-04-15",0
"2008-04-16",3.6288
"2008-04-17",0.1441
"2008-04-18",0.7936
"2008-04-19",0
"2008-04-20",1.2727
"2008-04-21",0
"2008-04-22",0
"2008-04-23",0
"2008-04-24",0.4527
"2008-04-25",2.5349
"2008-04-26",3.1709
"2008-04-27",0.2168
"2008-04-28",1.3147
"2008-04-29",0
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0.0195
"2008-05-05",0
"2008-05-06",0
"2008-05-07",0
"2008-05-08",0
"2008-05-09",0.129
"2008-05-10",0
"2008-05-11",0.7868
"2008-05-12",0
"2008-05-13",0
"2008-05-14",0.2948
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0
"2008-05-21",0.7901
"2008-05-22",0
"2008-05-23",1.0482
"2008-05-24",0.0588
"2008-05-25",0.5938
"2008-05-26",1.0801
"2008-05-27",0
"2008-05-28",0
"2008-05-29",0.7717
"2008-05-30",0
"2008-05-31",0.0852
"2008-06-01",0.8256
"2008-06-02",0.1395
"2008-06-03",0.0301
"2008-06-04",0
"2008-06-05",0
"2008-06-06",0
"2008-06-07",0
"2008-06-08",0.1425
"2008-06-09",0.0547
"2008-06-10",0.0051
"2008-06-11",0
"2008-06-12",0
"2008-06-13",0
"2008-06-14",0
"2008-06-15",0
"2008-06-16",0
"2008-06-17",0
"2008-06-18",0
"2008-06-19",0
"2008-06-20",0
"2008-06-21",0
"2008-06-22",0
"2008-06-23",0
"2008-06-24",0
"2008-06-25",0
"2008-06-26",0
"2008-06-27",0
"2008-06-28",0
"2008-06-29",0
"2008-06-30",0
"2008-07-01",0
"2008-07-02",0
"2008-07-03",0
"2008-07-04",0
"2008-07-05",0
"2008-07-06",0
"2008-07-07",0
"2008-07-08",0
"2008-07-09",0
"2008-07-10",0
"2008-07-11",0
"2008-07-12",0
"2008-07-13",0
"2008-07-14",0
"2008-07-15",0
"2008-07-16",0
"2008-07-17",0
"2008-07-18",0
"2008-07-19",0
"2008-07-20",0
"2008-07-21",0.0096
"2008-07-22",0.0266
"2008-07-23",0
"2008-07-24",0
