,"(mm) Precipitation (CHIRPS) at Kalutara, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",27.9385
"2007-01-10",10.7905
"2007-01-11",35.7166
"2007-01-12",3.1731
"2007-01-13",0.1257
"2007-01-14",8.9452
"2007-01-15",0
"2007-01-16",0.9963
"2007-01-17",0.6476
"2007-01-18",0.687
"2007-01-19",19.8804
"2007-01-20",0
"2007-01-21",9.9776
"2007-01-22",3.7912
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",5.4356
"2007-01-27",29.4564
"2007-01-28",0
"2007-01-29",9.4679
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0.0185
"2007-02-04",0.9644
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0.0013
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0
"2007-02-11",0.0015
"2007-02-12",0
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",0.0012
"2007-02-18",1.3978
"2007-02-19",2.1785
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",13.4185
"2007-02-25",28.8293
"2007-02-26",3.9229
"2007-02-27",13.8574
"2007-02-28",0.1034
"2007-03-01",0
"2007-03-02",0.6666
"2007-03-03",15.0128
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",8.3796
"2007-03-13",9.6758
"2007-03-14",0
"2007-03-15",17.1473
"2007-03-16",9.4761
"2007-03-17",8.7937
"2007-03-18",0.6913
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",5.1237
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",13.1207
"2007-03-30",10.7816
"2007-03-31",9.8587
"2007-04-01",15.5863
"2007-04-02",10.2229
"2007-04-03",30.6885
"2007-04-04",21.8981
"2007-04-05",30.8298
"2007-04-06",38.0474
"2007-04-07",43.6123
"2007-04-08",50.3961
"2007-04-09",46.4436
"2007-04-10",43.6354
"2007-04-11",33.3014
"2007-04-12",19.6779
"2007-04-13",18.4377
"2007-04-14",9.9708
"2007-04-15",0.0298
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0
"2007-04-19",4.9167
"2007-04-20",5.0694
"2007-04-21",10.8942
"2007-04-22",22.4212
"2007-04-23",22.6756
"2007-04-24",12.9001
"2007-04-25",21.9484
"2007-04-26",28.2713
"2007-04-27",24.0368
"2007-04-28",19.9016
"2007-04-29",14.6326
"2007-04-30",14.8132
"2007-05-01",0
"2007-05-02",4.8987
"2007-05-03",43.1888
"2007-05-04",31.5315
"2007-05-05",18.1488
"2007-05-06",18.1101
"2007-05-07",34.4671
"2007-05-08",5.7387
"2007-05-09",18.221
"2007-05-10",18.1888
"2007-05-11",0
"2007-05-12",43.3141
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0
"2007-05-21",0
"2007-05-22",0
"2007-05-23",12.5655
"2007-05-24",4.2742
"2007-05-25",0
"2007-05-26",0
"2007-05-27",3.4389
"2007-05-28",82.0687
"2007-05-29",13.1807
"2007-05-30",0.1037
"2007-05-31",5.3749
"2007-06-01",1.5388
"2007-06-02",0
"2007-06-03",1.1041
"2007-06-04",3.8293
"2007-06-05",13.8215
"2007-06-06",21.5211
"2007-06-07",1.0727
"2007-06-08",11.8451
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0.337
"2007-06-12",4.4603
"2007-06-13",33.6569
"2007-06-14",53.0459
"2007-06-15",43.8575
"2007-06-16",11.9573
"2007-06-17",4.5996
"2007-06-18",16.187
"2007-06-19",41.0318
"2007-06-20",10.0239
"2007-06-21",58.1167
"2007-06-22",64.2699
"2007-06-23",17.2748
"2007-06-24",7.8193
"2007-06-25",3.0988
"2007-06-26",22.5674
"2007-06-27",0
"2007-06-28",6.9831
"2007-06-29",0.1073
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0.4622
"2007-07-03",27.5682
"2007-07-04",21.3161
"2007-07-05",0
"2007-07-06",5.2519
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",2.2563
"2007-07-11",0.0355
"2007-07-12",18.9188
"2007-07-13",0
"2007-07-14",1.6781
"2007-07-15",1.3824
"2007-07-16",21.1862
"2007-07-17",11.543
"2007-07-18",1.2467
"2007-07-19",24.6183
"2007-07-20",2.294
"2007-07-21",1.1337
"2007-07-22",0.923
"2007-07-23",35.7939
"2007-07-24",16.4481
"2007-07-25",0.1616
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0
"2007-07-29",17.2871
"2007-07-30",11.5278
"2007-07-31",2.1522
"2007-08-01",9.097
"2007-08-02",5.1547
"2007-08-03",9.9179
"2007-08-04",0.2318
"2007-08-05",0
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",1.7201
"2007-08-10",9.0646
"2007-08-11",10.4057
"2007-08-12",4.3358
"2007-08-13",3.086
"2007-08-14",0
"2007-08-15",2.172
"2007-08-16",0
"2007-08-17",1.8105
"2007-08-18",0.3866
"2007-08-19",12.6235
"2007-08-20",0
"2007-08-21",21.5053
"2007-08-22",0.5785
"2007-08-23",17.5334
"2007-08-24",14.5498
"2007-08-25",17.5002
"2007-08-26",2.2953
"2007-08-27",18.0665
"2007-08-28",4.7062
"2007-08-29",25.7599
"2007-08-30",97.1207
"2007-08-31",46.3821
"2007-09-01",9.7383
"2007-09-02",0
"2007-09-03",0
"2007-09-04",0.6226
"2007-09-05",4.9798
"2007-09-06",3.3209
"2007-09-07",55.186
"2007-09-08",50.8728
"2007-09-09",47.8233
"2007-09-10",0
"2007-09-11",9.0493
"2007-09-12",0.5072
"2007-09-13",23.6073
"2007-09-14",10.6179
"2007-09-15",18.6017
"2007-09-16",9.5512
"2007-09-17",52.437
"2007-09-18",7.1179
"2007-09-19",8.9818
"2007-09-20",8.6623
"2007-09-21",13.1911
"2007-09-22",25.001
"2007-09-23",0.0885
"2007-09-24",5.2019
"2007-09-25",0
"2007-09-26",4.5912
"2007-09-27",5.3135
"2007-09-28",8.7232
"2007-09-29",0
"2007-09-30",0
"2007-10-01",0
"2007-10-02",33.2973
"2007-10-03",17.2307
"2007-10-04",0.2927
"2007-10-05",11.3075
"2007-10-06",32.4177
"2007-10-07",13.9199
"2007-10-08",15.4389
"2007-10-09",13.5849
"2007-10-10",13.3943
"2007-10-11",8.8192
"2007-10-12",0.5508
"2007-10-13",4.5498
"2007-10-14",47.0943
"2007-10-15",41.603
"2007-10-16",24.6266
"2007-10-17",32.6841
"2007-10-18",24.4839
"2007-10-19",10.9052
"2007-10-20",9.7855
"2007-10-21",21.2959
"2007-10-22",25.3262
"2007-10-23",8.7349
"2007-10-24",4.3601
"2007-10-25",23.2226
"2007-10-26",56.6227
"2007-10-27",0.4985
"2007-10-28",9.9069
"2007-10-29",0.1321
"2007-10-30",0
"2007-10-31",0.8628
"2007-11-01",15.9984
"2007-11-02",18.5819
"2007-11-03",9.0698
"2007-11-04",17.9163
"2007-11-05",21.4853
"2007-11-06",23.7078
"2007-11-07",8.2704
"2007-11-08",13.0434
"2007-11-09",2.7872
"2007-11-10",3.0483
"2007-11-11",3.5212
"2007-11-12",24.586
"2007-11-13",0
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",15.0126
"2007-11-20",21.1048
"2007-11-21",11.9901
"2007-11-22",23.1767
"2007-11-23",6.0592
"2007-11-24",25.2901
"2007-11-25",1.6259
"2007-11-26",6.0759
"2007-11-27",0
"2007-11-28",0
"2007-11-29",4.5154
"2007-11-30",0
"2007-12-01",0
"2007-12-02",13.9792
"2007-12-03",3.659
"2007-12-04",0.0031
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0.4615
"2007-12-08",4.3421
"2007-12-09",2.9155
"2007-12-10",8.0532
"2007-12-11",1.0386
"2007-12-12",20.2409
"2007-12-13",11.3674
"2007-12-14",27.3823
"2007-12-15",10.182
"2007-12-16",14.4332
"2007-12-17",3.603
"2007-12-18",8.8102
"2007-12-19",7.5907
"2007-12-20",9.9203
"2007-12-21",22.1418
"2007-12-22",12.5457
"2007-12-23",11.5511
"2007-12-24",0
"2007-12-25",0.5185
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0.1014
"2008-01-03",8.4219
"2008-01-04",3.8982
"2008-01-05",0.0108
"2008-01-06",14.0778
"2008-01-07",7.5664
"2008-01-08",1.0674
"2008-01-09",16.3872
"2008-01-10",16.9289
"2008-01-11",1.763
"2008-01-12",5.9302
"2008-01-13",12.8722
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",9.9708
"2008-01-22",2.1993
"2008-01-23",0
"2008-01-24",0.19
"2008-01-25",1.2054
"2008-01-26",2.7088
"2008-01-27",3.5337
"2008-01-28",0.1007
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",5.1741
"2008-02-05",0
"2008-02-06",6.4715
"2008-02-07",12.4837
"2008-02-08",9.398
"2008-02-09",2.4493
"2008-02-10",0.611
"2008-02-11",23.5726
"2008-02-12",26.749
"2008-02-13",6.9747
"2008-02-14",15.2064
"2008-02-15",8.858
"2008-02-16",0.0369
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0.991
"2008-02-20",11.0037
"2008-02-21",17.4339
"2008-02-22",0.0466
"2008-02-23",0
"2008-02-24",0.4789
"2008-02-25",0
"2008-02-26",0
"2008-02-27",10.7583
"2008-02-28",3.0791
"2008-02-29",0.1813
"2008-03-01",12.2206
"2008-03-02",12.9962
"2008-03-03",21.1287
"2008-03-04",9.2944
"2008-03-05",27.4932
"2008-03-06",22.3536
"2008-03-07",0.4623
"2008-03-08",0
"2008-03-09",19.7537
"2008-03-10",21.4864
"2008-03-11",49.8187
"2008-03-12",70.4005
"2008-03-13",30.0812
"2008-03-14",46.2142
"2008-03-15",74.0844
"2008-03-16",36.2134
"2008-03-17",50.2435
"2008-03-18",4.2809
"2008-03-19",14.7062
"2008-03-20",0.9686
"2008-03-21",5.6017
"2008-03-22",0.1159
"2008-03-23",5.3257
"2008-03-24",26.9645
"2008-03-25",0
"2008-03-26",6.1153
"2008-03-27",15.6899
"2008-03-28",24.4665
"2008-03-29",11.1533
"2008-03-30",8.3592
"2008-03-31",0.3353
"2008-04-01",5.0058
"2008-04-02",15.2728
"2008-04-03",0
"2008-04-04",0.696
"2008-04-05",20.7804
"2008-04-06",20.6591
"2008-04-07",30.5733
"2008-04-08",25.2056
"2008-04-09",18.9499
"2008-04-10",41.923
"2008-04-11",13.3788
"2008-04-12",17.3535
"2008-04-13",12.1427
"2008-04-14",12.6405
"2008-04-15",10.6803
"2008-04-16",27.8099
"2008-04-17",8.5183
"2008-04-18",21.3486
"2008-04-19",20.8745
"2008-04-20",3.8432
"2008-04-21",0.1593
"2008-04-22",4.7691
"2008-04-23",14.906
"2008-04-24",20.0626
"2008-04-25",9.2089
"2008-04-26",12.8067
"2008-04-27",36.9543
"2008-04-28",60.0206
"2008-04-29",7.9492
"2008-04-30",1.2791
"2008-05-01",0.0092
"2008-05-02",0
"2008-05-03",0.1809
"2008-05-04",21.1182
"2008-05-05",13.5608
"2008-05-06",9.2822
"2008-05-07",14.1849
"2008-05-08",0.9971
"2008-05-09",15.7064
"2008-05-10",0
"2008-05-11",0
"2008-05-12",32.1105
"2008-05-13",2.1971
"2008-05-14",13.4202
"2008-05-15",0
"2008-05-16",0.3377
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0
"2008-05-21",0
"2008-05-22",33.1213
"2008-05-23",8.0795
"2008-05-24",0
"2008-05-25",7.9096
"2008-05-26",8.5354
"2008-05-27",20.3461
"2008-05-28",27.5493
"2008-05-29",23.5289
"2008-05-30",14.6125
"2008-05-31",32.0938
"2008-06-01",73.7413
"2008-06-02",60.3
"2008-06-03",30.6191
"2008-06-04",0
"2008-06-05",0.0168
"2008-06-06",7.8343
"2008-06-07",43.2536
