,"(mm) Precipitation (CHIRPS) at Kandy, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",1.3668
"2007-01-10",43.0525
"2007-01-11",83.5438
"2007-01-12",35.7981
"2007-01-13",0
"2007-01-14",0
"2007-01-15",0
"2007-01-16",3.9497
"2007-01-17",9.9436
"2007-01-18",4.3415
"2007-01-19",33.1078
"2007-01-20",0
"2007-01-21",1.2059
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",42.3862
"2007-01-27",29.5644
"2007-01-28",0
"2007-01-29",0.9441
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0.1169
"2007-02-11",0.2177
"2007-02-12",0.2266
"2007-02-13",0.0821
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",0.9305
"2007-02-18",0
"2007-02-19",0.6601
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",9.9273
"2007-02-25",27.552
"2007-02-26",1.8922
"2007-02-27",0.2326
"2007-02-28",0
"2007-03-01",0
"2007-03-02",0.3948
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",3.3929
"2007-03-13",0.133
"2007-03-14",0.0436
"2007-03-15",3.7514
"2007-03-16",4.7989
"2007-03-17",1.2714
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",4.3375
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0.3199
"2007-03-31",24.5893
"2007-04-01",11.3259
"2007-04-02",6.9055
"2007-04-03",9.2112
"2007-04-04",18.3098
"2007-04-05",23.1198
"2007-04-06",45.0271
"2007-04-07",38.704
"2007-04-08",41.4948
"2007-04-09",22.2108
"2007-04-10",29.6877
"2007-04-11",12.0123
"2007-04-12",24.1219
"2007-04-13",14.0509
"2007-04-14",0
"2007-04-15",6.2423
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0
"2007-04-19",10.5375
"2007-04-20",3.4906
"2007-04-21",12.089
"2007-04-22",11.1666
"2007-04-23",4.4606
"2007-04-24",6.9317
"2007-04-25",3.7015
"2007-04-26",11.9451
"2007-04-27",16.0017
"2007-04-28",4.1586
"2007-04-29",13.5448
"2007-04-30",3.134
"2007-05-01",0
"2007-05-02",3.1962
"2007-05-03",1.3787
"2007-05-04",6.4071
"2007-05-05",5.2221
"2007-05-06",8.1347
"2007-05-07",6.4351
"2007-05-08",0.1591
"2007-05-09",0.1812
"2007-05-10",0.8117
"2007-05-11",0.2889
"2007-05-12",4.1627
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",1.3615
"2007-05-20",3.5938
"2007-05-21",2.4122
"2007-05-22",0.21
"2007-05-23",8.1583
"2007-05-24",7.7014
"2007-05-25",10.377
"2007-05-26",0.1316
"2007-05-27",16.0068
"2007-05-28",42.6778
"2007-05-29",7.592
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0
"2007-06-02",0.1007
"2007-06-03",0.9294
"2007-06-04",15.0932
"2007-06-05",2.8886
"2007-06-06",14.283
"2007-06-07",15.3795
"2007-06-08",1.3415
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",11.7366
"2007-06-13",22.9378
"2007-06-14",47.5845
"2007-06-15",47.0108
"2007-06-16",12.2355
"2007-06-17",4.1882
"2007-06-18",14.0339
"2007-06-19",28.5851
"2007-06-20",8.0169
"2007-06-21",38.6349
"2007-06-22",39.1421
"2007-06-23",10.181
"2007-06-24",1.8743
"2007-06-25",4.3855
"2007-06-26",9.3151
"2007-06-27",8.1737
"2007-06-28",17.5579
"2007-06-29",2.5252
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0
"2007-07-03",18.8415
"2007-07-04",1.488
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",14.0547
"2007-07-12",1.4089
"2007-07-13",0.393
"2007-07-14",0
"2007-07-15",0
"2007-07-16",3.7066
"2007-07-17",0.3815
"2007-07-18",7.8054
"2007-07-19",24.9379
"2007-07-20",15.4413
"2007-07-21",3.8285
"2007-07-22",11.3064
"2007-07-23",33.4199
"2007-07-24",16.7354
"2007-07-25",3.5259
"2007-07-26",0
"2007-07-27",0
"2007-07-28",1.2671
"2007-07-29",25.2112
"2007-07-30",13.7875
"2007-07-31",7.4148
"2007-08-01",4.2238
"2007-08-02",6.8177
"2007-08-03",0
"2007-08-04",0
"2007-08-05",0.7641
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0.1925
"2007-08-10",3.5807
"2007-08-11",8.832
"2007-08-12",1.5669
"2007-08-13",2.1477
"2007-08-14",0
"2007-08-15",2.5116
"2007-08-16",3.6277
"2007-08-17",2.4871
"2007-08-18",0.4824
"2007-08-19",6.5642
"2007-08-20",0.1662
"2007-08-21",2.5537
"2007-08-22",6.3136
"2007-08-23",14.9646
"2007-08-24",13.6209
"2007-08-25",7.489
"2007-08-26",0.0717
"2007-08-27",13.1759
"2007-08-28",10.6164
"2007-08-29",11.5224
"2007-08-30",14.679
"2007-08-31",8.6149
"2007-09-01",1.9991
"2007-09-02",0.4414
"2007-09-03",0.9329
"2007-09-04",8.2748
"2007-09-05",9.7509
"2007-09-06",0.0047
"2007-09-07",23.4922
"2007-09-08",8.6096
"2007-09-09",27.5692
"2007-09-10",0
"2007-09-11",12.861
"2007-09-12",11.7188
"2007-09-13",4.3526
"2007-09-14",4.7655
"2007-09-15",7.5904
"2007-09-16",4.2484
"2007-09-17",11.1556
"2007-09-18",3.2171
"2007-09-19",0.0229
"2007-09-20",0
"2007-09-21",0.0048
"2007-09-22",0.3374
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",2.0975
"2007-09-27",6.696
"2007-09-28",7.657
"2007-09-29",2.0128
"2007-09-30",0.2115
"2007-10-01",9.9521
"2007-10-02",8.5511
"2007-10-03",2.654
"2007-10-04",1.398
"2007-10-05",0.2584
"2007-10-06",3.7276
"2007-10-07",0.1053
"2007-10-08",0.3185
"2007-10-09",2.8832
"2007-10-10",26.0191
"2007-10-11",19.0109
"2007-10-12",9.5055
"2007-10-13",8.0959
"2007-10-14",21.2235
"2007-10-15",24.6039
"2007-10-16",16.7487
"2007-10-17",13.6681
"2007-10-18",2.1644
"2007-10-19",8.0706
"2007-10-20",4.3702
"2007-10-21",6.4874
"2007-10-22",11.3936
"2007-10-23",11.7791
"2007-10-24",21.9421
"2007-10-25",21.7903
"2007-10-26",34.8603
"2007-10-27",20.4153
"2007-10-28",0
"2007-10-29",0
"2007-10-30",0
"2007-10-31",0
"2007-11-01",16.029
"2007-11-02",12.11
"2007-11-03",2.2544
"2007-11-04",16.8131
"2007-11-05",16.268
"2007-11-06",15.1896
"2007-11-07",14.3968
"2007-11-08",5.1211
"2007-11-09",0.9109
"2007-11-10",6.1357
"2007-11-11",13.2097
"2007-11-12",8.885
"2007-11-13",0.2343
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",10.8708
"2007-11-20",7.2543
"2007-11-21",1.0219
"2007-11-22",11.7415
"2007-11-23",28.7669
"2007-11-24",5.4657
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",1.3879
"2007-11-30",0
"2007-12-01",0
"2007-12-02",16.5675
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0
"2007-12-08",0.9011
"2007-12-09",18.4725
"2007-12-10",3.303
"2007-12-11",6.8396
"2007-12-12",30.4605
"2007-12-13",17.0668
"2007-12-14",28.6608
"2007-12-15",46.3808
"2007-12-16",23.1803
"2007-12-17",2.8113
"2007-12-18",6.1932
"2007-12-19",24.5018
"2007-12-20",26.1065
"2007-12-21",21.6167
"2007-12-22",30.7074
"2007-12-23",25.7841
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",1.3722
"2008-01-04",7.3013
"2008-01-05",0
"2008-01-06",0
"2008-01-07",0.4867
"2008-01-08",24.9795
"2008-01-09",30.4897
"2008-01-10",17.7686
"2008-01-11",0.294
"2008-01-12",20.3154
"2008-01-13",17.0318
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",0.6744
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",8.4925
"2008-01-26",2.1577
"2008-01-27",6.8191
"2008-01-28",3.2735
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0.0039
"2008-02-05",0.3943
"2008-02-06",18.0358
"2008-02-07",13.6054
"2008-02-08",14.0085
"2008-02-09",5.0359
"2008-02-10",4.8875
"2008-02-11",0.0357
"2008-02-12",6.0221
"2008-02-13",0
"2008-02-14",0
"2008-02-15",0.221
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0.9019
"2008-02-21",0
"2008-02-22",0
"2008-02-23",0
"2008-02-24",1.1534
"2008-02-25",0
"2008-02-26",0.7604
"2008-02-27",20.8627
"2008-02-28",4.5039
"2008-02-29",15.9587
"2008-03-01",0.464
"2008-03-02",6.3634
"2008-03-03",7.0684
"2008-03-04",23.4313
"2008-03-05",22.1914
"2008-03-06",32.887
"2008-03-07",0
"2008-03-08",13.4464
"2008-03-09",29.0335
"2008-03-10",4.0815
"2008-03-11",35.8792
"2008-03-12",59.6833
"2008-03-13",26.8435
"2008-03-14",6.0324
"2008-03-15",55.2787
"2008-03-16",27.5227
"2008-03-17",30.5171
"2008-03-18",16.8223
"2008-03-19",5.5532
"2008-03-20",0.6205
"2008-03-21",13.1942
"2008-03-22",0.6495
"2008-03-23",0
"2008-03-24",30.0663
"2008-03-25",0.1726
"2008-03-26",7.5595
"2008-03-27",2.1145
"2008-03-28",8.9821
"2008-03-29",9.7475
"2008-03-30",21.0197
"2008-03-31",4.2722
"2008-04-01",7.8165
"2008-04-02",17.0792
"2008-04-03",8.287
"2008-04-04",8.9925
"2008-04-05",9.468
"2008-04-06",20.1378
"2008-04-07",14.1885
"2008-04-08",17.3502
"2008-04-09",18.4466
"2008-04-10",24.3448
"2008-04-11",23.1818
"2008-04-12",18.3988
"2008-04-13",13.8705
"2008-04-14",10.0349
"2008-04-15",5.876
"2008-04-16",9.3553
"2008-04-17",4.1732
"2008-04-18",5.179
"2008-04-19",15.621
"2008-04-20",9.719
"2008-04-21",0
"2008-04-22",0
"2008-04-23",3.8201
"2008-04-24",15.8028
"2008-04-25",1.1973
"2008-04-26",8.6306
"2008-04-27",16.7207
"2008-04-28",46.8422
"2008-04-29",7.1484
"2008-04-30",0
"2008-05-01",0.0275
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0.6801
"2008-05-05",0
"2008-05-06",1.1078
"2008-05-07",0.0821
"2008-05-08",0.0172
"2008-05-09",0.5622
"2008-05-10",0
"2008-05-11",0
"2008-05-12",5.2992
"2008-05-13",0.2765
"2008-05-14",0
"2008-05-15",1.0564
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0.6252
"2008-05-20",4.2373
"2008-05-21",3.0998
"2008-05-22",14.6158
"2008-05-23",9.9228
"2008-05-24",0.2439
"2008-05-25",3.1913
"2008-05-26",7.8303
"2008-05-27",8.8886
"2008-05-28",11.0333
"2008-05-29",5.1167
"2008-05-30",1.6479
"2008-05-31",1.828
"2008-06-01",25.9464
"2008-06-02",10.3135
"2008-06-03",1.6048
"2008-06-04",3.7888
"2008-06-05",1.5047
"2008-06-06",7.026
"2008-06-07",23.949
"2008-06-08",18.1087
"2008-06-09",25.2583
"2008-06-10",0
"2008-06-11",0
"2008-06-12",3.9192
"2008-06-13",0
