,"(mm) Precipitation (CHIRPS) at Kegalle, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",15.7106
"2007-01-10",6.0691
"2007-01-11",45.2425
"2007-01-12",7.8915
"2007-01-13",0
"2007-01-14",7.2948
"2007-01-15",0
"2007-01-16",4.496
"2007-01-17",3.2537
"2007-01-18",0.2248
"2007-01-19",17.8404
"2007-01-20",0
"2007-01-21",0
"2007-01-22",0.074
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",3.6176
"2007-01-27",28.7044
"2007-01-28",0
"2007-01-29",7.4008
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0
"2007-02-11",0.1236
"2007-02-12",0.1852
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",2.2213
"2007-02-18",0
"2007-02-19",0
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",4.7214
"2007-02-25",25.6904
"2007-02-26",0.5439
"2007-02-27",3.3184
"2007-02-28",1.6456
"2007-03-01",0
"2007-03-02",6.6398
"2007-03-03",2.094
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",5.7719
"2007-03-13",6.2661
"2007-03-14",1.8615
"2007-03-15",14.3396
"2007-03-16",7.8671
"2007-03-17",5.7386
"2007-03-18",0.0132
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",7.2225
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0.6403
"2007-03-31",23.6487
"2007-04-01",22.2017
"2007-04-02",15.2492
"2007-04-03",20.2317
"2007-04-04",31.7597
"2007-04-05",26.5324
"2007-04-06",50.4721
"2007-04-07",48.1287
"2007-04-08",51.0614
"2007-04-09",15.1587
"2007-04-10",35.395
"2007-04-11",36.3689
"2007-04-12",24.1619
"2007-04-13",14.1606
"2007-04-14",0
"2007-04-15",0
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0
"2007-04-19",9.3072
"2007-04-20",6.3917
"2007-04-21",17.5556
"2007-04-22",22.3903
"2007-04-23",16.4413
"2007-04-24",13.9429
"2007-04-25",17.2672
"2007-04-26",23.3633
"2007-04-27",23.5199
"2007-04-28",20.9237
"2007-04-29",24.7766
"2007-04-30",13.5636
"2007-05-01",0
"2007-05-02",0.7698
"2007-05-03",4.9984
"2007-05-04",14.8052
"2007-05-05",9.9223
"2007-05-06",5.6898
"2007-05-07",16.9933
"2007-05-08",3.751
"2007-05-09",17.2821
"2007-05-10",11.0975
"2007-05-11",1.8271
"2007-05-12",35.9311
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0.1781
"2007-05-19",0.0362
"2007-05-20",0
"2007-05-21",2.1359
"2007-05-22",1.8053
"2007-05-23",8.826
"2007-05-24",16.2477
"2007-05-25",8.5007
"2007-05-26",0
"2007-05-27",12.6066
"2007-05-28",67.9045
"2007-05-29",10.0389
"2007-05-30",0
"2007-05-31",2.9059
"2007-06-01",0.1572
"2007-06-02",0
"2007-06-03",3.5668
"2007-06-04",23.9316
"2007-06-05",4.2094
"2007-06-06",17.5253
"2007-06-07",21.8144
"2007-06-08",0.653
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",5.707
"2007-06-13",48.3756
"2007-06-14",76.3867
"2007-06-15",50.6589
"2007-06-16",12.4204
"2007-06-17",2.6816
"2007-06-18",19.3881
"2007-06-19",36.6917
"2007-06-20",0.8318
"2007-06-21",54.1352
"2007-06-22",80.815
"2007-06-23",19.5204
"2007-06-24",8.7408
"2007-06-25",11.3942
"2007-06-26",18.8529
"2007-06-27",5.5898
"2007-06-28",20.004
"2007-06-29",3.5293
"2007-06-30",0
"2007-07-01",0
"2007-07-02",4.4301
"2007-07-03",28.7312
"2007-07-04",14.465
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0.023
"2007-07-11",20.5968
"2007-07-12",6.3859
"2007-07-13",0
"2007-07-14",0
"2007-07-15",0.106
"2007-07-16",4.7997
"2007-07-17",2.7804
"2007-07-18",11.2151
"2007-07-19",36.838
"2007-07-20",5.9349
"2007-07-21",7.3483
"2007-07-22",13.5408
"2007-07-23",26.2673
"2007-07-24",11.1364
"2007-07-25",1.2587
"2007-07-26",0
"2007-07-27",0
"2007-07-28",2.4799
"2007-07-29",21.7729
"2007-07-30",11.0505
"2007-07-31",5.901
"2007-08-01",2.7098
"2007-08-02",17.2809
"2007-08-03",0.0016
"2007-08-04",0
"2007-08-05",0.8822
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",5.908
"2007-08-11",10.2858
"2007-08-12",4.0401
"2007-08-13",0.0308
"2007-08-14",0
"2007-08-15",1.863
"2007-08-16",0.7998
"2007-08-17",3.8115
"2007-08-18",0.6331
"2007-08-19",9.7889
"2007-08-20",0.5924
"2007-08-21",1.0195
"2007-08-22",1.572
"2007-08-23",22.7536
"2007-08-24",20.678
"2007-08-25",12.1204
"2007-08-26",5.5449
"2007-08-27",24.4623
"2007-08-28",15.886
"2007-08-29",19.6153
"2007-08-30",26.0695
"2007-08-31",25.1175
"2007-09-01",0.0165
"2007-09-02",0
"2007-09-03",0
"2007-09-04",7.8857
"2007-09-05",15.5446
"2007-09-06",0
"2007-09-07",42.215
"2007-09-08",27.3155
"2007-09-09",24.6947
"2007-09-10",0
"2007-09-11",14.963
"2007-09-12",6.9517
"2007-09-13",14.686
"2007-09-14",6.1239
"2007-09-15",3.2389
"2007-09-16",13.4359
"2007-09-17",22.0158
"2007-09-18",5.8198
"2007-09-19",0.1289
"2007-09-20",0
"2007-09-21",0
"2007-09-22",0.6547
"2007-09-23",0.5758
"2007-09-24",0
"2007-09-25",0
"2007-09-26",4.004
"2007-09-27",6.4609
"2007-09-28",6.974
"2007-09-29",0.5386
"2007-09-30",0
"2007-10-01",8.1027
"2007-10-02",3.9323
"2007-10-03",12.8549
"2007-10-04",0.2705
"2007-10-05",4.8287
"2007-10-06",14.4539
"2007-10-07",2.7742
"2007-10-08",4.3322
"2007-10-09",11.0307
"2007-10-10",22.0615
"2007-10-11",21.5697
"2007-10-12",14.1562
"2007-10-13",11.6383
"2007-10-14",30.0136
"2007-10-15",25.7221
"2007-10-16",27.0541
"2007-10-17",19.2921
"2007-10-18",5.9098
"2007-10-19",9.4414
"2007-10-20",4.2293
"2007-10-21",7.8025
"2007-10-22",18.4749
"2007-10-23",15.3387
"2007-10-24",29.8733
"2007-10-25",33.2753
"2007-10-26",33.9124
"2007-10-27",17.2779
"2007-10-28",0
"2007-10-29",0
"2007-10-30",0
"2007-10-31",0
"2007-11-01",9.7394
"2007-11-02",16.4422
"2007-11-03",4.8084
"2007-11-04",20.8283
"2007-11-05",21.6286
"2007-11-06",13.1705
"2007-11-07",12.4609
"2007-11-08",7.7542
"2007-11-09",0.2299
"2007-11-10",0.5546
"2007-11-11",0.0868
"2007-11-12",18.8504
"2007-11-13",0
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",12.4033
"2007-11-20",18.6514
"2007-11-21",11.75
"2007-11-22",18.7112
"2007-11-23",15.8881
"2007-11-24",11.0355
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",8.2433
"2007-11-30",0
"2007-12-01",0
"2007-12-02",15.6298
"2007-12-03",0.2501
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0
"2007-12-08",0.9265
"2007-12-09",9.631
"2007-12-10",1.29
"2007-12-11",0.7849
"2007-12-12",19.5824
"2007-12-13",9.083
"2007-12-14",20.8329
"2007-12-15",25.4104
"2007-12-16",6.3584
"2007-12-17",3.7391
"2007-12-18",6.8882
"2007-12-19",7.6338
"2007-12-20",17.4058
"2007-12-21",13.6089
"2007-12-22",14.2438
"2007-12-23",9.6938
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",3.1938
"2008-01-04",8.0218
"2008-01-05",0
"2008-01-06",0
"2008-01-07",0
"2008-01-08",3.1707
"2008-01-09",14.0597
"2008-01-10",23.0719
"2008-01-11",0
"2008-01-12",10.4064
"2008-01-13",4.8937
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",4.2376
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",6.0881
"2008-01-26",1.7522
"2008-01-27",6.3275
"2008-01-28",0.3324
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0.2724
"2008-02-05",0
"2008-02-06",9.5158
"2008-02-07",15.2583
"2008-02-08",10.9708
"2008-02-09",4.2128
"2008-02-10",3.0365
"2008-02-11",11.0916
"2008-02-12",21.9905
"2008-02-13",1.1195
"2008-02-14",0
"2008-02-15",1.0427
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",3.4985
"2008-02-21",0.1933
"2008-02-22",0
"2008-02-23",0
"2008-02-24",5.7796
"2008-02-25",0
"2008-02-26",0.0873
"2008-02-27",14.9169
"2008-02-28",0.1466
"2008-02-29",9.5988
"2008-03-01",5.7607
"2008-03-02",27.15
"2008-03-03",27.4788
"2008-03-04",29.8142
"2008-03-05",20.3481
"2008-03-06",27.9025
"2008-03-07",2.3999
"2008-03-08",1.1455
"2008-03-09",25.3511
"2008-03-10",15.1016
"2008-03-11",49.6559
"2008-03-12",71.97
"2008-03-13",35.864
"2008-03-14",20.4957
"2008-03-15",65.6937
"2008-03-16",36.6149
"2008-03-17",38.9432
"2008-03-18",20.8078
"2008-03-19",10.8953
"2008-03-20",0.8358
"2008-03-21",7.8993
"2008-03-22",8.2247
"2008-03-23",1.2432
"2008-03-24",38.7444
"2008-03-25",0
"2008-03-26",4.0145
"2008-03-27",15.3205
"2008-03-28",17.0517
"2008-03-29",15.8952
"2008-03-30",16.5253
"2008-03-31",7.0977
"2008-04-01",3.0499
"2008-04-02",19.9633
"2008-04-03",1.4586
"2008-04-04",8.9127
"2008-04-05",22.6956
"2008-04-06",25.4384
"2008-04-07",30.8576
"2008-04-08",21.2685
"2008-04-09",25.4384
"2008-04-10",32.4412
"2008-04-11",20.4122
"2008-04-12",25.4709
"2008-04-13",17.261
"2008-04-14",17.9379
"2008-04-15",12.3442
"2008-04-16",14.2598
"2008-04-17",19.8935
"2008-04-18",18.183
"2008-04-19",20.2679
"2008-04-20",7.131
"2008-04-21",0
"2008-04-22",0.327
"2008-04-23",5.3616
"2008-04-24",15.8497
"2008-04-25",6.6823
"2008-04-26",11.2871
"2008-04-27",32.6343
"2008-04-28",60.9432
"2008-04-29",6.9956
"2008-04-30",0
"2008-05-01",4.8106
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",9.0388
"2008-05-07",2.6565
"2008-05-08",0.7236
"2008-05-09",4.3112
"2008-05-10",0
"2008-05-11",0
"2008-05-12",21.1646
"2008-05-13",5.7036
"2008-05-14",2.6398
"2008-05-15",0.02
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0.7358
"2008-05-19",2.3667
"2008-05-20",1.8504
"2008-05-21",0
"2008-05-22",31.1328
"2008-05-23",5.5477
"2008-05-24",0
"2008-05-25",10.9707
"2008-05-26",8.4212
"2008-05-27",15.4652
"2008-05-28",9.3516
"2008-05-29",7.6948
"2008-05-30",11.3667
"2008-05-31",13.5245
"2008-06-01",42.8158
"2008-06-02",26.7279
"2008-06-03",3.6944
"2008-06-04",3.6229
"2008-06-05",0
"2008-06-06",9.6589
"2008-06-07",30.6424
"2008-06-08",32.8481
"2008-06-09",20.4046
"2008-06-10",0
"2008-06-11",0.4501
"2008-06-12",3.7513
"2008-06-13",0
