,"(mm) Precipitation (CHIRPS) at Kilinochchi, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",0.1745
"2007-01-10",0
"2007-01-11",1.1126
"2007-01-12",0
"2007-01-13",0
"2007-01-14",0
"2007-01-15",0
"2007-01-16",0.7151
"2007-01-17",8.0374
"2007-01-18",0.0875
"2007-01-19",10.9532
"2007-01-20",2.3794
"2007-01-21",2.345
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",10.3672
"2007-01-27",42.6655
"2007-01-28",0
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0.1536
"2007-02-11",0
"2007-02-12",0
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",3.2959
"2007-02-18",0
"2007-02-19",0
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",2.7429
"2007-02-25",7.5085
"2007-02-26",0
"2007-02-27",0
"2007-02-28",0
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",0
"2007-03-13",0
"2007-03-14",0
"2007-03-15",0
"2007-03-16",0.8075
"2007-03-17",0
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",0
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0
"2007-03-31",17.8701
"2007-04-01",7.6387
"2007-04-02",0
"2007-04-03",0
"2007-04-04",0.0239
"2007-04-05",14.211
"2007-04-06",21.2854
"2007-04-07",18.0339
"2007-04-08",0
"2007-04-09",1.4584
"2007-04-10",11.0993
"2007-04-11",10.782
"2007-04-12",0
"2007-04-13",0
"2007-04-14",0
"2007-04-15",0.2566
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0
"2007-04-19",0
"2007-04-20",12.5193
"2007-04-21",10.7274
"2007-04-22",5.1936
"2007-04-23",0
"2007-04-24",0.3044
"2007-04-25",1.5394
"2007-04-26",2.8685
"2007-04-27",2.7102
"2007-04-28",0
"2007-04-29",8.6592
"2007-04-30",0
"2007-05-01",0
"2007-05-02",0
"2007-05-03",2.4844
"2007-05-04",0.6961
"2007-05-05",1.8229
"2007-05-06",0.0125
"2007-05-07",0
"2007-05-08",0
"2007-05-09",0
"2007-05-10",0
"2007-05-11",0
"2007-05-12",0
"2007-05-13",0.0359
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0
"2007-05-21",0
"2007-05-22",0
"2007-05-23",0
"2007-05-24",1.0696
"2007-05-25",0.0463
"2007-05-26",0
"2007-05-27",0
"2007-05-28",2.3553
"2007-05-29",1.5447
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0
"2007-06-02",0.3346
"2007-06-03",0.0262
"2007-06-04",0.2864
"2007-06-05",0.1397
"2007-06-06",0.013
"2007-06-07",0.304
"2007-06-08",0.0088
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",0
"2007-06-13",0
"2007-06-14",0
"2007-06-15",0
"2007-06-16",0
"2007-06-17",0
"2007-06-18",0
"2007-06-19",0
"2007-06-20",0
"2007-06-21",0
"2007-06-22",0
"2007-06-23",0
"2007-06-24",0
"2007-06-25",0
"2007-06-26",0
"2007-06-27",0.0001
"2007-06-28",0
"2007-06-29",0
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0
"2007-07-03",0
"2007-07-04",0
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",0.0008
"2007-07-12",0
"2007-07-13",0
"2007-07-14",0
"2007-07-15",0
"2007-07-16",0
"2007-07-17",0
"2007-07-18",0
"2007-07-19",0
"2007-07-20",0.0008
"2007-07-21",0.0021
"2007-07-22",0.0036
"2007-07-23",0.004
"2007-07-24",0.003
"2007-07-25",0.0036
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0.0087
"2007-07-29",0.0401
"2007-07-30",0.0927
"2007-07-31",0.0216
"2007-08-01",0.0983
"2007-08-02",0.0516
"2007-08-03",0.0133
"2007-08-04",0.0047
"2007-08-05",0
"2007-08-06",0.0052
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",0.1215
"2007-08-11",0.0876
"2007-08-12",0.017
"2007-08-13",0
"2007-08-14",0
"2007-08-15",0
"2007-08-16",0.015
"2007-08-17",0
"2007-08-18",0
"2007-08-19",0.0106
"2007-08-20",0.1089
"2007-08-21",0.5335
"2007-08-22",0.0978
"2007-08-23",0.0733
"2007-08-24",0.2854
"2007-08-25",0.5327
"2007-08-26",0.089
"2007-08-27",0
"2007-08-28",0.0028
"2007-08-29",0.0117
"2007-08-30",0.0094
"2007-08-31",0
"2007-09-01",0.2402
"2007-09-02",0.5592
"2007-09-03",0.141
"2007-09-04",0
"2007-09-05",0
"2007-09-06",0.6994
"2007-09-07",0.0143
"2007-09-08",1.4599
"2007-09-09",3.6095
"2007-09-10",2.1657
"2007-09-11",5.4067
"2007-09-12",0
"2007-09-13",0.911
"2007-09-14",2.6803
"2007-09-15",0.2492
"2007-09-16",1.1712
"2007-09-17",1.3856
"2007-09-18",0.5465
"2007-09-19",0.5774
"2007-09-20",0
"2007-09-21",0
"2007-09-22",0
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",0
"2007-09-27",3.8815
"2007-09-28",3.3016
"2007-09-29",0
"2007-09-30",0.104
"2007-10-01",0
"2007-10-02",0.0034
"2007-10-03",0
"2007-10-04",0.0303
"2007-10-05",0.0062
"2007-10-06",0
"2007-10-07",0
"2007-10-08",3.6843
"2007-10-09",0.5832
"2007-10-10",8.1246
"2007-10-11",13.5768
"2007-10-12",17.9442
"2007-10-13",1.2607
"2007-10-14",13.6034
"2007-10-15",16.0262
"2007-10-16",18.5159
"2007-10-17",27.7235
"2007-10-18",31.9979
"2007-10-19",10.1014
"2007-10-20",9.9168
"2007-10-21",11.3136
"2007-10-22",29.1926
"2007-10-23",25.8571
"2007-10-24",6.2756
"2007-10-25",12.1369
"2007-10-26",15.2572
"2007-10-27",35.4577
"2007-10-28",29.8365
"2007-10-29",1.0227
"2007-10-30",4.1323
"2007-10-31",0
"2007-11-01",5.205
"2007-11-02",0.9593
"2007-11-03",11.5187
"2007-11-04",6.533
"2007-11-05",0.5935
"2007-11-06",7.6352
"2007-11-07",19.9661
"2007-11-08",0
"2007-11-09",0
"2007-11-10",0
"2007-11-11",0
"2007-11-12",0
"2007-11-13",0.0783
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",7.6676
"2007-11-20",3.6695
"2007-11-21",12.271
"2007-11-22",56.5991
"2007-11-23",8.4838
"2007-11-24",0
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",0
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0
"2007-12-08",0.672
"2007-12-09",0.3989
"2007-12-10",8.1123
"2007-12-11",0
"2007-12-12",36.2602
"2007-12-13",50.9002
"2007-12-14",12.395
"2007-12-15",35.3532
"2007-12-16",38.9226
"2007-12-17",24.1411
"2007-12-18",58.6118
"2007-12-19",40.8466
"2007-12-20",26.6258
"2007-12-21",1.5818
"2007-12-22",0
"2007-12-23",9.8405
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",5.5854
"2008-01-04",7.7354
"2008-01-05",2.9274
"2008-01-06",0
"2008-01-07",0
"2008-01-08",0
"2008-01-09",0
"2008-01-10",0
"2008-01-11",0
"2008-01-12",0
"2008-01-13",0
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",0.0102
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",0.0188
"2008-01-26",0.635
"2008-01-27",0
"2008-01-28",0
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0
"2008-02-06",0.5481
"2008-02-07",18.7554
"2008-02-08",10.1287
"2008-02-09",3.7318
"2008-02-10",10.8462
"2008-02-11",0
"2008-02-12",0
"2008-02-13",3.3173
"2008-02-14",0
"2008-02-15",0
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0
"2008-02-21",0
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0
"2008-02-25",0
"2008-02-26",0
"2008-02-27",9.5097
"2008-02-28",0.0467
"2008-02-29",18.5157
"2008-03-01",0.3934
"2008-03-02",0
"2008-03-03",0
"2008-03-04",0
"2008-03-05",0
"2008-03-06",0
"2008-03-07",2.9224
"2008-03-08",0
"2008-03-09",23.0703
"2008-03-10",23.0858
"2008-03-11",10.6168
"2008-03-12",14.6296
"2008-03-13",4.2508
"2008-03-14",4.2023
"2008-03-15",7.1361
"2008-03-16",5.866
"2008-03-17",5.6182
"2008-03-18",2.5424
"2008-03-19",5.9179
"2008-03-20",3.8854
"2008-03-21",15.6364
"2008-03-22",9.8675
"2008-03-23",13.4478
"2008-03-24",11.2711
"2008-03-25",0.1805
"2008-03-26",9.7731
"2008-03-27",1.3923
"2008-03-28",0.8556
"2008-03-29",1.7012
"2008-03-30",12.0641
"2008-03-31",0
"2008-04-01",0.4417
"2008-04-02",9.2583
"2008-04-03",0
"2008-04-04",0
"2008-04-05",0
"2008-04-06",0
"2008-04-07",9.8188
"2008-04-08",8.202
"2008-04-09",8.4085
"2008-04-10",0.6247
"2008-04-11",0.0231
"2008-04-12",10.6609
"2008-04-13",0
"2008-04-14",0.0411
"2008-04-15",1.0492
"2008-04-16",5.0051
"2008-04-17",0
"2008-04-18",0.3846
"2008-04-19",0
"2008-04-20",1.7194
"2008-04-21",0
"2008-04-22",0
"2008-04-23",0.0071
"2008-04-24",3.3701
"2008-04-25",5.497
"2008-04-26",1.6553
"2008-04-27",1.8402
"2008-04-28",1.5397
"2008-04-29",0
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",0
"2008-05-07",0
"2008-05-08",0
"2008-05-09",0
"2008-05-10",0
"2008-05-11",0
"2008-05-12",0
"2008-05-13",0
"2008-05-14",0
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0
"2008-05-21",0.1955
"2008-05-22",0.0736
"2008-05-23",0.1118
"2008-05-24",0
"2008-05-25",0.7788
"2008-05-26",0.292
"2008-05-27",0
"2008-05-28",0.0008
"2008-05-29",0
"2008-05-30",0.0027
"2008-05-31",1.3515
"2008-06-01",0.3399
"2008-06-02",0
"2008-06-03",0.0069
"2008-06-04",0
"2008-06-05",0
"2008-06-06",0
"2008-06-07",0
"2008-06-08",0.1039
"2008-06-09",0.0041
"2008-06-10",0.0677
"2008-06-11",0
"2008-06-12",0
"2008-06-13",0
"2008-06-14",0
"2008-06-15",0
"2008-06-16",0
"2008-06-17",0
"2008-06-18",0
"2008-06-19",0
"2008-06-20",0
"2008-06-21",0
"2008-06-22",0
"2008-06-23",0
"2008-06-24",0
"2008-06-25",0
"2008-06-26",0
"2008-06-27",0
"2008-06-28",0
"2008-06-29",0
"2008-06-30",0
"2008-07-01",0
"2008-07-02",0
"2008-07-03",0
"2008-07-04",0
"2008-07-05",0
"2008-07-06",0
"2008-07-07",0
"2008-07-08",0
"2008-07-09",0
"2008-07-10",0
"2008-07-11",0.0008
"2008-07-12",0
"2008-07-13",0
"2008-07-14",0.0008
"2008-07-15",0
"2008-07-16",0
"2008-07-17",0
"2008-07-18",0
"2008-07-19",0
"2008-07-20",0.0013
