,"(mm) Precipitation (CHIRPS) at Kurunegala, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",10.7189
"2007-01-10",1.3803
"2007-01-11",11.705
"2007-01-12",3.3453
"2007-01-13",0.0432
"2007-01-14",0
"2007-01-15",0
"2007-01-16",1.2339
"2007-01-17",3.0757
"2007-01-18",3.3813
"2007-01-19",24.8027
"2007-01-20",0
"2007-01-21",0.3899
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",4.6891
"2007-01-27",6.1705
"2007-01-28",0
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0
"2007-02-11",0
"2007-02-12",0
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",0.0007
"2007-02-18",0.0218
"2007-02-19",0
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",0.2218
"2007-02-25",21.3122
"2007-02-26",0.0713
"2007-02-27",0
"2007-02-28",0
"2007-03-01",0
"2007-03-02",0.2117
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",1.567
"2007-03-13",2.6948
"2007-03-14",0.1625
"2007-03-15",8.2605
"2007-03-16",5.0667
"2007-03-17",0.5524
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",5.5539
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0.0005
"2007-03-31",22.4189
"2007-04-01",17.17
"2007-04-02",1.9497
"2007-04-03",10.9086
"2007-04-04",22.7435
"2007-04-05",20.8331
"2007-04-06",42.6814
"2007-04-07",33.4611
"2007-04-08",37.1068
"2007-04-09",14.8171
"2007-04-10",22.8789
"2007-04-11",39.6418
"2007-04-12",9.4031
"2007-04-13",13.7641
"2007-04-14",1.111
"2007-04-15",0
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0
"2007-04-19",3.1428
"2007-04-20",10.4291
"2007-04-21",15.3027
"2007-04-22",14.8319
"2007-04-23",2.844
"2007-04-24",3.1021
"2007-04-25",9.7131
"2007-04-26",20.8439
"2007-04-27",20.5615
"2007-04-28",14.6294
"2007-04-29",20.7544
"2007-04-30",0.3508
"2007-05-01",0
"2007-05-02",4.6426
"2007-05-03",1.3295
"2007-05-04",6.1604
"2007-05-05",1.143
"2007-05-06",1.9691
"2007-05-07",2.7825
"2007-05-08",0.3278
"2007-05-09",13.7941
"2007-05-10",3.242
"2007-05-11",0
"2007-05-12",2.4984
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",3.7482
"2007-05-20",1.0105
"2007-05-21",0.0106
"2007-05-22",0
"2007-05-23",3.0381
"2007-05-24",18.8734
"2007-05-25",6.528
"2007-05-26",0
"2007-05-27",1.3616
"2007-05-28",38.3302
"2007-05-29",8.0099
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0
"2007-06-02",0.0861
"2007-06-03",0.1833
"2007-06-04",8.3827
"2007-06-05",6.4339
"2007-06-06",5.8416
"2007-06-07",7.494
"2007-06-08",0.7014
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",1.8881
"2007-06-13",16.1202
"2007-06-14",26.7748
"2007-06-15",39.0926
"2007-06-16",9.3286
"2007-06-17",0.3303
"2007-06-18",12.6011
"2007-06-19",14.5519
"2007-06-20",5.1134
"2007-06-21",30.6014
"2007-06-22",34.5179
"2007-06-23",9.3498
"2007-06-24",0
"2007-06-25",0
"2007-06-26",1.3035
"2007-06-27",6.6354
"2007-06-28",16.8442
"2007-06-29",0.1445
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0
"2007-07-03",2.7166
"2007-07-04",0
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",5.0929
"2007-07-12",0.1991
"2007-07-13",0.0342
"2007-07-14",0
"2007-07-15",0.0236
"2007-07-16",1.3876
"2007-07-17",0
"2007-07-18",1.4672
"2007-07-19",11.4777
"2007-07-20",2.844
"2007-07-21",0.2948
"2007-07-22",1.3905
"2007-07-23",16.1945
"2007-07-24",5.412
"2007-07-25",3.125
"2007-07-26",0
"2007-07-27",0
"2007-07-28",4.098
"2007-07-29",8.4214
"2007-07-30",6.2528
"2007-07-31",1.3166
"2007-08-01",1.4347
"2007-08-02",4.0659
"2007-08-03",2.0894
"2007-08-04",0.2948
"2007-08-05",6.7328
"2007-08-06",0.0007
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",0.1315
"2007-08-11",3.4037
"2007-08-12",0.5761
"2007-08-13",0.2033
"2007-08-14",0
"2007-08-15",0.7524
"2007-08-16",1.1543
"2007-08-17",1.8913
"2007-08-18",0.2664
"2007-08-19",1.5958
"2007-08-20",0.24
"2007-08-21",0.2768
"2007-08-22",2.8245
"2007-08-23",6.0342
"2007-08-24",6.0677
"2007-08-25",2.5526
"2007-08-26",0
"2007-08-27",0.0709
"2007-08-28",2.3931
"2007-08-29",3.6749
"2007-08-30",7.5251
"2007-08-31",2.2158
"2007-09-01",0
"2007-09-02",0.5055
"2007-09-03",0.0138
"2007-09-04",2.7471
"2007-09-05",2.7932
"2007-09-06",0
"2007-09-07",15.6555
"2007-09-08",12.6774
"2007-09-09",13.5837
"2007-09-10",0
"2007-09-11",4.7575
"2007-09-12",3.7438
"2007-09-13",1.4503
"2007-09-14",3.7237
"2007-09-15",0.3231
"2007-09-16",3.8062
"2007-09-17",0.8749
"2007-09-18",0.2877
"2007-09-19",0
"2007-09-20",0.0384
"2007-09-21",0.0325
"2007-09-22",0.0052
"2007-09-23",0.2687
"2007-09-24",0
"2007-09-25",0
"2007-09-26",0
"2007-09-27",0.2289
"2007-09-28",3.9403
"2007-09-29",0.1554
"2007-09-30",0.1112
"2007-10-01",1.9118
"2007-10-02",5.0859
"2007-10-03",5.0356
"2007-10-04",0.1804
"2007-10-05",0.4955
"2007-10-06",0.0024
"2007-10-07",0.1557
"2007-10-08",7.4956
"2007-10-09",0.6427
"2007-10-10",40.383
"2007-10-11",20.3519
"2007-10-12",5.1587
"2007-10-13",19.6684
"2007-10-14",22.1627
"2007-10-15",14.5208
"2007-10-16",26.9557
"2007-10-17",23.6334
"2007-10-18",11.0924
"2007-10-19",14.3886
"2007-10-20",2.0144
"2007-10-21",4.7912
"2007-10-22",12.1589
"2007-10-23",5.4182
"2007-10-24",26.2588
"2007-10-25",21.2467
"2007-10-26",30.7692
"2007-10-27",15.8445
"2007-10-28",2.0848
"2007-10-29",0.3506
"2007-10-30",0
"2007-10-31",0
"2007-11-01",8.4154
"2007-11-02",11.4184
"2007-11-03",2.558
"2007-11-04",17.4502
"2007-11-05",7.54
"2007-11-06",12.7016
"2007-11-07",14.1355
"2007-11-08",6.7276
"2007-11-09",0.0942
"2007-11-10",1.3608
"2007-11-11",5.1584
"2007-11-12",3.4604
"2007-11-13",0
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",15.6884
"2007-11-20",7.0492
"2007-11-21",6.85
"2007-11-22",15.3105
"2007-11-23",14.1697
"2007-11-24",0.1364
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",5.213
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0.1252
"2007-12-08",0.9015
"2007-12-09",6.2006
"2007-12-10",0.9968
"2007-12-11",1.0626
"2007-12-12",16.2179
"2007-12-13",11.652
"2007-12-14",13.645
"2007-12-15",20.3768
"2007-12-16",11.4399
"2007-12-17",8.1587
"2007-12-18",13.5338
"2007-12-19",8.5462
"2007-12-20",12.5529
"2007-12-21",17.3626
"2007-12-22",33.1358
"2007-12-23",17.3696
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",2.9812
"2008-01-04",0.9041
"2008-01-05",0
"2008-01-06",0
"2008-01-07",0
"2008-01-08",1.6446
"2008-01-09",3.3489
"2008-01-10",2.3893
"2008-01-11",0
"2008-01-12",6.0514
"2008-01-13",16.6723
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",0
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",2.8778
"2008-01-26",5.4676
"2008-01-27",1.0635
"2008-01-28",0
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0.0006
"2008-02-05",0.186
"2008-02-06",8.7736
"2008-02-07",15.025
"2008-02-08",13.1179
"2008-02-09",2.6174
"2008-02-10",5.6633
"2008-02-11",7.0062
"2008-02-12",6.519
"2008-02-13",6.2417
"2008-02-14",0
"2008-02-15",0.0015
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0.0463
"2008-02-21",0.3566
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0
"2008-02-25",0
"2008-02-26",0.6878
"2008-02-27",6.5688
"2008-02-28",1.3614
"2008-02-29",19.7302
"2008-03-01",1.5682
"2008-03-02",12.5641
"2008-03-03",5.6931
"2008-03-04",16.5168
"2008-03-05",5.9195
"2008-03-06",17.9707
"2008-03-07",0
"2008-03-08",1.6399
"2008-03-09",47.0988
"2008-03-10",29.6664
"2008-03-11",30.4654
"2008-03-12",41.7895
"2008-03-13",21.6657
"2008-03-14",12.4163
"2008-03-15",30.4908
"2008-03-16",18.9747
"2008-03-17",16.0524
"2008-03-18",9.0401
"2008-03-19",8.4947
"2008-03-20",6.422
"2008-03-21",19.245
"2008-03-22",15.9631
"2008-03-23",2.3274
"2008-03-24",58.3723
"2008-03-25",0
"2008-03-26",9.5455
"2008-03-27",5.9849
"2008-03-28",10.7624
"2008-03-29",11.7407
"2008-03-30",10.2346
"2008-03-31",5.7161
"2008-04-01",3.1021
"2008-04-02",5.9444
"2008-04-03",0.614
"2008-04-04",4.189
"2008-04-05",8.6274
"2008-04-06",21.1784
"2008-04-07",19.363
"2008-04-08",15.9304
"2008-04-09",18.2772
"2008-04-10",18.6376
"2008-04-11",15.84
"2008-04-12",16.7084
"2008-04-13",16.4053
"2008-04-14",12.9751
"2008-04-15",16.7085
"2008-04-16",7.8691
"2008-04-17",6.0025
"2008-04-18",8.3489
"2008-04-19",11.3042
"2008-04-20",1.5345
"2008-04-21",0
"2008-04-22",0.0407
"2008-04-23",0.1362
"2008-04-24",10.7022
"2008-04-25",3.9353
"2008-04-26",18.8966
"2008-04-27",27.2498
"2008-04-28",42.6149
"2008-04-29",4.5871
"2008-04-30",0
"2008-05-01",0.5502
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",0.002
"2008-05-07",0.1671
"2008-05-08",0
"2008-05-09",1.156
"2008-05-10",0
"2008-05-11",0
"2008-05-12",3.0707
"2008-05-13",0.9184
"2008-05-14",0.0157
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0.4004
"2008-05-20",1.2318
"2008-05-21",0
"2008-05-22",10.7096
"2008-05-23",7.7278
"2008-05-24",0
"2008-05-25",3.4981
"2008-05-26",2.133
"2008-05-27",9.7955
"2008-05-28",7.395
"2008-05-29",5.6931
"2008-05-30",0.8324
"2008-05-31",3.4328
"2008-06-01",16.9961
"2008-06-02",5.2775
"2008-06-03",2.6632
"2008-06-04",0
"2008-06-05",0
"2008-06-06",3.7172
"2008-06-07",9.2482
"2008-06-08",11.0271
"2008-06-09",9.4258
"2008-06-10",2.1333
"2008-06-11",0.5545
"2008-06-12",3.5723
"2008-06-13",0.1843
"2008-06-14",0.6245
"2008-06-15",0
"2008-06-16",0.0017
