,"(mm) Precipitation (CHIRPS) at Mannar, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0.0137
"2007-01-09",1.4796
"2007-01-10",3.4976
"2007-01-11",0.0156
"2007-01-12",0.4866
"2007-01-13",0
"2007-01-14",0
"2007-01-15",0
"2007-01-16",0.8393
"2007-01-17",3.6847
"2007-01-18",0
"2007-01-19",11.0936
"2007-01-20",1.5915
"2007-01-21",1.1772
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",13.7872
"2007-01-27",27.9855
"2007-01-28",1.4116
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0.1729
"2007-02-11",0
"2007-02-12",0
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0.0931
"2007-02-17",1.377
"2007-02-18",0
"2007-02-19",0
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",2.9276
"2007-02-25",9.365
"2007-02-26",0
"2007-02-27",0
"2007-02-28",0
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",1.5365
"2007-03-13",0
"2007-03-14",0
"2007-03-15",0
"2007-03-16",1.5086
"2007-03-17",0
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",0
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0
"2007-03-31",22.6823
"2007-04-01",21.5008
"2007-04-02",3.5221
"2007-04-03",0.775
"2007-04-04",1.4568
"2007-04-05",19.768
"2007-04-06",28.6812
"2007-04-07",21.3771
"2007-04-08",4.1596
"2007-04-09",3.5856
"2007-04-10",22.342
"2007-04-11",21.0748
"2007-04-12",0
"2007-04-13",0
"2007-04-14",0
"2007-04-15",0.785
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0
"2007-04-19",0.6979
"2007-04-20",4.9297
"2007-04-21",9.8097
"2007-04-22",8.1856
"2007-04-23",3.5749
"2007-04-24",0.0059
"2007-04-25",4.5371
"2007-04-26",10.1395
"2007-04-27",8.7695
"2007-04-28",1.1168
"2007-04-29",13.9488
"2007-04-30",0
"2007-05-01",0
"2007-05-02",0.0131
"2007-05-03",3.7579
"2007-05-04",0.3308
"2007-05-05",0.1057
"2007-05-06",0
"2007-05-07",0
"2007-05-08",0
"2007-05-09",0
"2007-05-10",0
"2007-05-11",0
"2007-05-12",0
"2007-05-13",0.0502
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0
"2007-05-21",0
"2007-05-22",0
"2007-05-23",2.9642
"2007-05-24",5.0608
"2007-05-25",2.6326
"2007-05-26",0
"2007-05-27",0.0344
"2007-05-28",6.7665
"2007-05-29",5.7939
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0
"2007-06-02",1.3478
"2007-06-03",0.3674
"2007-06-04",1.8154
"2007-06-05",0.9923
"2007-06-06",0.2461
"2007-06-07",0.3793
"2007-06-08",0.0287
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",0
"2007-06-13",0
"2007-06-14",0
"2007-06-15",0
"2007-06-16",0
"2007-06-17",0
"2007-06-18",0
"2007-06-19",0
"2007-06-20",0
"2007-06-21",0.0021
"2007-06-22",0.0012
"2007-06-23",0.0012
"2007-06-24",0
"2007-06-25",0
"2007-06-26",0.0879
"2007-06-27",0.2646
"2007-06-28",0.0894
"2007-06-29",0.0201
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0
"2007-07-03",0
"2007-07-04",0
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",0.4089
"2007-07-12",0
"2007-07-13",0.7538
"2007-07-14",0.0092
"2007-07-15",0
"2007-07-16",0
"2007-07-17",0.038
"2007-07-18",0.5888
"2007-07-19",0.6895
"2007-07-20",0.6723
"2007-07-21",0.5846
"2007-07-22",0.6819
"2007-07-23",1.167
"2007-07-24",0.9898
"2007-07-25",0.6413
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0
"2007-07-29",1.5097
"2007-07-30",2.5887
"2007-07-31",0.7234
"2007-08-01",0.459
"2007-08-02",0.2082
"2007-08-03",0.1434
"2007-08-04",0.2059
"2007-08-05",0.5355
"2007-08-06",0.1774
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",0.8329
"2007-08-11",0.6082
"2007-08-12",0.5467
"2007-08-13",0
"2007-08-14",0
"2007-08-15",0.7475
"2007-08-16",0.0187
"2007-08-17",0
"2007-08-18",0.2584
"2007-08-19",1.0836
"2007-08-20",0.5717
"2007-08-21",1.819
"2007-08-22",1.998
"2007-08-23",1.1554
"2007-08-24",1.9797
"2007-08-25",1.4539
"2007-08-26",0
"2007-08-27",0
"2007-08-28",0
"2007-08-29",0.0014
"2007-08-30",0.3498
"2007-08-31",0
"2007-09-01",0.4067
"2007-09-02",0.3906
"2007-09-03",0.5051
"2007-09-04",0.7431
"2007-09-05",0
"2007-09-06",8.5698
"2007-09-07",14.1733
"2007-09-08",5.8888
"2007-09-09",9.1764
"2007-09-10",0
"2007-09-11",3.6475
"2007-09-12",0.0412
"2007-09-13",2.0618
"2007-09-14",3.9429
"2007-09-15",6.5828
"2007-09-16",2.2843
"2007-09-17",0.5703
"2007-09-18",1.3695
"2007-09-19",0.4236
"2007-09-20",0.0174
"2007-09-21",0.236
"2007-09-22",0
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",0
"2007-09-27",2.2399
"2007-09-28",3.1204
"2007-09-29",0
"2007-09-30",0
"2007-10-01",0
"2007-10-02",0.1464
"2007-10-03",0.0748
"2007-10-04",0.5025
"2007-10-05",0
"2007-10-06",0
"2007-10-07",0
"2007-10-08",0
"2007-10-09",5.7834
"2007-10-10",25.0798
"2007-10-11",12.5669
"2007-10-12",17.3632
"2007-10-13",11.75
"2007-10-14",16.0657
"2007-10-15",19.5697
"2007-10-16",28.4088
"2007-10-17",20.574
"2007-10-18",21.4533
"2007-10-19",19.0149
"2007-10-20",0.4047
"2007-10-21",7.4836
"2007-10-22",18.6382
"2007-10-23",12.7806
"2007-10-24",10.0988
"2007-10-25",13.2137
"2007-10-26",18.784
"2007-10-27",23.625
"2007-10-28",12.2347
"2007-10-29",0
"2007-10-30",6.1296
"2007-10-31",0
"2007-11-01",18.6635
"2007-11-02",1.3658
"2007-11-03",1.7567
"2007-11-04",13.7646
"2007-11-05",0.8456
"2007-11-06",9.5736
"2007-11-07",19.3869
"2007-11-08",2.747
"2007-11-09",0.9367
"2007-11-10",5.2203
"2007-11-11",8.468
"2007-11-12",0.036
"2007-11-13",0
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",9.9483
"2007-11-20",3.4907
"2007-11-21",43.5411
"2007-11-22",26.4591
"2007-11-23",1.0408
"2007-11-24",0
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",0
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0
"2007-12-08",4.4671
"2007-12-09",0
"2007-12-10",5.5901
"2007-12-11",1.7566
"2007-12-12",24.9437
"2007-12-13",38.2057
"2007-12-14",7.2813
"2007-12-15",29.387
"2007-12-16",23.9441
"2007-12-17",18.4697
"2007-12-18",48.975
"2007-12-19",18.4065
"2007-12-20",20.6369
"2007-12-21",2.4367
"2007-12-22",18.0444
"2007-12-23",60.8943
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",6.8682
"2008-01-04",2.9322
"2008-01-05",2.9995
"2008-01-06",0
"2008-01-07",0
"2008-01-08",0
"2008-01-09",0
"2008-01-10",0
"2008-01-11",0
"2008-01-12",0
"2008-01-13",0
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",0.1601
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",1.6415
"2008-01-26",2.5511
"2008-01-27",0
"2008-01-28",0
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0.6756
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0.0972
"2008-02-06",1.7638
"2008-02-07",28.7541
"2008-02-08",5.6813
"2008-02-09",8.8618
"2008-02-10",7.1623
"2008-02-11",0
"2008-02-12",0
"2008-02-13",6.3126
"2008-02-14",0
"2008-02-15",0
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0
"2008-02-21",0
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0
"2008-02-25",0
"2008-02-26",1.4161
"2008-02-27",7.8786
"2008-02-28",0
"2008-02-29",22.4143
"2008-03-01",0.2179
"2008-03-02",10.9076
"2008-03-03",0
"2008-03-04",0
"2008-03-05",0.8796
"2008-03-06",13.0959
"2008-03-07",1.4986
"2008-03-08",0
"2008-03-09",44.0705
"2008-03-10",30.8723
"2008-03-11",8.0748
"2008-03-12",23.9181
"2008-03-13",15.3763
"2008-03-14",17.1248
"2008-03-15",12.9603
"2008-03-16",9.235
"2008-03-17",8.2631
"2008-03-18",6.1129
"2008-03-19",6.232
"2008-03-20",4.0245
"2008-03-21",21.5511
"2008-03-22",13.7968
"2008-03-23",13.2783
"2008-03-24",34.5504
"2008-03-25",7.7493
"2008-03-26",4.5334
"2008-03-27",5.6634
"2008-03-28",9.9509
"2008-03-29",1.4484
"2008-03-30",7.6455
"2008-03-31",0
"2008-04-01",0
"2008-04-02",8.3362
"2008-04-03",0.461
"2008-04-04",3.3459
"2008-04-05",0
"2008-04-06",0
"2008-04-07",15.879
"2008-04-08",7.4039
"2008-04-09",12.7275
"2008-04-10",1.2311
"2008-04-11",8.2787
"2008-04-12",11.2574
"2008-04-13",2.4768
"2008-04-14",5.3062
"2008-04-15",6.373
"2008-04-16",5.4032
"2008-04-17",2.0225
"2008-04-18",1.0994
"2008-04-19",0.0087
"2008-04-20",0.0239
"2008-04-21",0
"2008-04-22",0
"2008-04-23",0.9535
"2008-04-24",7.3996
"2008-04-25",7.892
"2008-04-26",9.0392
"2008-04-27",3.4818
"2008-04-28",0.3088
"2008-04-29",0.1342
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",0
"2008-05-07",0
"2008-05-08",0
"2008-05-09",0.0167
"2008-05-10",0
"2008-05-11",0
"2008-05-12",0
"2008-05-13",0
"2008-05-14",0
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0
"2008-05-21",0.4382
"2008-05-22",0.9881
"2008-05-23",0.1701
"2008-05-24",0
"2008-05-25",1.2901
"2008-05-26",0.591
"2008-05-27",0.0806
"2008-05-28",0.4179
"2008-05-29",0
"2008-05-30",0
"2008-05-31",0.4252
"2008-06-01",0.7642
"2008-06-02",0
"2008-06-03",0
"2008-06-04",0
"2008-06-05",0
"2008-06-06",0.005
"2008-06-07",0.1075
"2008-06-08",0.2247
"2008-06-09",0.1114
"2008-06-10",0.0753
"2008-06-11",0
"2008-06-12",0
"2008-06-13",0
"2008-06-14",0
"2008-06-15",0
"2008-06-16",0
"2008-06-17",0
"2008-06-18",0
"2008-06-19",0
"2008-06-20",0
"2008-06-21",0
"2008-06-22",0
"2008-06-23",0
"2008-06-24",0
"2008-06-25",0
"2008-06-26",0
"2008-06-27",0.0034
"2008-06-28",0
"2008-06-29",0
"2008-06-30",0
"2008-07-01",0
"2008-07-02",0
"2008-07-03",0.0693
"2008-07-04",0
"2008-07-05",0
"2008-07-06",0
"2008-07-07",0
"2008-07-08",0
"2008-07-09",0
