,"(mm) Precipitation (CHIRPS) at Matale, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",7.8907
"2007-01-09",15.9601
"2007-01-10",13.6022
"2007-01-11",7.2859
"2007-01-12",21.1974
"2007-01-13",0
"2007-01-14",0
"2007-01-15",0
"2007-01-16",0.3847
"2007-01-17",1.1416
"2007-01-18",0.5299
"2007-01-19",55.5952
"2007-01-20",0.5697
"2007-01-21",0.0011
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",51.9533
"2007-01-27",20.4097
"2007-01-28",0
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0
"2007-02-11",0
"2007-02-12",0
"2007-02-13",0.5513
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",0
"2007-02-18",0
"2007-02-19",0.4499
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",1.6524
"2007-02-25",41.1795
"2007-02-26",0
"2007-02-27",0
"2007-02-28",0
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",1.2636
"2007-03-13",0.1133
"2007-03-14",0
"2007-03-15",0.3829
"2007-03-16",1.7826
"2007-03-17",0.0008
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",2.6583
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0.0071
"2007-03-31",21.0103
"2007-04-01",5.917
"2007-04-02",2.9461
"2007-04-03",9.0508
"2007-04-04",18.5186
"2007-04-05",17.2783
"2007-04-06",37.3802
"2007-04-07",32.2158
"2007-04-08",35.3063
"2007-04-09",18.0099
"2007-04-10",23.7654
"2007-04-11",15.8689
"2007-04-12",29.1978
"2007-04-13",4.8187
"2007-04-14",0
"2007-04-15",2.0605
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0
"2007-04-19",8.7975
"2007-04-20",2.1951
"2007-04-21",12
"2007-04-22",8.5619
"2007-04-23",0.0189
"2007-04-24",0.74
"2007-04-25",0.0853
"2007-04-26",12.4905
"2007-04-27",12.6892
"2007-04-28",4.6416
"2007-04-29",12.4071
"2007-04-30",0
"2007-05-01",0
"2007-05-02",7.831
"2007-05-03",0.5003
"2007-05-04",5.7026
"2007-05-05",0.6462
"2007-05-06",5.6973
"2007-05-07",1.8641
"2007-05-08",0
"2007-05-09",0.1234
"2007-05-10",0.0381
"2007-05-11",0
"2007-05-12",0
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",5.1173
"2007-05-20",3.7806
"2007-05-21",0.837
"2007-05-22",0
"2007-05-23",3.7184
"2007-05-24",18.9328
"2007-05-25",8.0551
"2007-05-26",0
"2007-05-27",4.5503
"2007-05-28",32.5942
"2007-05-29",13.2665
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0.4245
"2007-06-02",0.3283
"2007-06-03",0
"2007-06-04",6.7862
"2007-06-05",1.7299
"2007-06-06",1.5601
"2007-06-07",8.7317
"2007-06-08",0.8896
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",1.3965
"2007-06-13",9.3018
"2007-06-14",16.9656
"2007-06-15",19.3963
"2007-06-16",6.1113
"2007-06-17",2.4978
"2007-06-18",7.4486
"2007-06-19",14.4233
"2007-06-20",3.672
"2007-06-21",23.1349
"2007-06-22",9.6576
"2007-06-23",5.9243
"2007-06-24",0
"2007-06-25",0
"2007-06-26",1.7343
"2007-06-27",7.3021
"2007-06-28",6.2176
"2007-06-29",0.1511
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0
"2007-07-03",1.3052
"2007-07-04",0
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",5.4817
"2007-07-12",0.3223
"2007-07-13",0
"2007-07-14",0
"2007-07-15",0
"2007-07-16",5.2118
"2007-07-17",0
"2007-07-18",1.76
"2007-07-19",13.5149
"2007-07-20",3.8568
"2007-07-21",1.0983
"2007-07-22",2.8348
"2007-07-23",22.5056
"2007-07-24",7.2141
"2007-07-25",8.4559
"2007-07-26",0
"2007-07-27",0
"2007-07-28",6.4771
"2007-07-29",15.4138
"2007-07-30",10.2334
"2007-07-31",5.278
"2007-08-01",1.9375
"2007-08-02",7.1378
"2007-08-03",0.2164
"2007-08-04",0.1124
"2007-08-05",2.9336
"2007-08-06",0.0835
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",0.6416
"2007-08-11",4.6066
"2007-08-12",1.8908
"2007-08-13",1.0447
"2007-08-14",0
"2007-08-15",0.6387
"2007-08-16",1.9048
"2007-08-17",1.4304
"2007-08-18",0.2723
"2007-08-19",3.9289
"2007-08-20",0.7834
"2007-08-21",0
"2007-08-22",3.4435
"2007-08-23",9.4578
"2007-08-24",7.9974
"2007-08-25",4.898
"2007-08-26",0
"2007-08-27",2.1963
"2007-08-28",2.569
"2007-08-29",2.2902
"2007-08-30",7.4171
"2007-08-31",3.5513
"2007-09-01",0
"2007-09-02",1.2366
"2007-09-03",0.2834
"2007-09-04",3.9018
"2007-09-05",4.1469
"2007-09-06",0
"2007-09-07",17.027
"2007-09-08",1.3924
"2007-09-09",21.1534
"2007-09-10",0
"2007-09-11",6.7182
"2007-09-12",8.3441
"2007-09-13",4.9252
"2007-09-14",2.9661
"2007-09-15",2.4337
"2007-09-16",2.6405
"2007-09-17",0.8369
"2007-09-18",0.7848
"2007-09-19",0
"2007-09-20",0
"2007-09-21",0.0578
"2007-09-22",0
"2007-09-23",0.031
"2007-09-24",0
"2007-09-25",0
"2007-09-26",0
"2007-09-27",2.432
"2007-09-28",6.3398
"2007-09-29",0.2816
"2007-09-30",0.566
"2007-10-01",6.581
"2007-10-02",0.514
"2007-10-03",2.0169
"2007-10-04",0
"2007-10-05",0
"2007-10-06",0
"2007-10-07",0
"2007-10-08",0
"2007-10-09",0
"2007-10-10",28.5022
"2007-10-11",20.7411
"2007-10-12",3.0003
"2007-10-13",14.812
"2007-10-14",19.8157
"2007-10-15",22.366
"2007-10-16",26.0216
"2007-10-17",20.9098
"2007-10-18",7.3773
"2007-10-19",11.2275
"2007-10-20",3.0457
"2007-10-21",9.5674
"2007-10-22",9.3127
"2007-10-23",8.9798
"2007-10-24",21.7109
"2007-10-25",18.045
"2007-10-26",33.9406
"2007-10-27",22.3408
"2007-10-28",0
"2007-10-29",0
"2007-10-30",0
"2007-10-31",0
"2007-11-01",14.8954
"2007-11-02",4.2477
"2007-11-03",2.3113
"2007-11-04",14.6464
"2007-11-05",4.9513
"2007-11-06",13.9325
"2007-11-07",15.4669
"2007-11-08",7.0391
"2007-11-09",1.8974
"2007-11-10",3.8444
"2007-11-11",14.4095
"2007-11-12",0.4402
"2007-11-13",0
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",20.194
"2007-11-20",16.3986
"2007-11-21",0.8935
"2007-11-22",28.6872
"2007-11-23",10.6919
"2007-11-24",7.8195
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",4.4715
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0
"2007-12-08",3.7833
"2007-12-09",17.8515
"2007-12-10",4.8826
"2007-12-11",7.9487
"2007-12-12",45.1564
"2007-12-13",30.5932
"2007-12-14",30.1134
"2007-12-15",55.0409
"2007-12-16",34.9111
"2007-12-17",23.9466
"2007-12-18",17.1916
"2007-12-19",24.6512
"2007-12-20",30.947
"2007-12-21",51.3883
"2007-12-22",57.1728
"2007-12-23",46.7796
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",9.8376
"2008-01-04",0.2953
"2008-01-05",0.7691
"2008-01-06",0
"2008-01-07",0
"2008-01-08",6.0949
"2008-01-09",25.3123
"2008-01-10",23.4094
"2008-01-11",0.793
"2008-01-12",13.3486
"2008-01-13",26.5563
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",1.4007
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0.1115
"2008-01-25",3.1957
"2008-01-26",10.8666
"2008-01-27",3.8443
"2008-01-28",0
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0.0488
"2008-02-06",20.9165
"2008-02-07",20.5946
"2008-02-08",21.6011
"2008-02-09",4.1005
"2008-02-10",4.5955
"2008-02-11",0.0423
"2008-02-12",0.9204
"2008-02-13",0.4872
"2008-02-14",0
"2008-02-15",0.115
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0
"2008-02-21",0
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0.212
"2008-02-25",0
"2008-02-26",4.3648
"2008-02-27",13.5156
"2008-02-28",7.4191
"2008-02-29",14.5051
"2008-03-01",0
"2008-03-02",0
"2008-03-03",3.2881
"2008-03-04",8.0674
"2008-03-05",15.3812
"2008-03-06",36.8296
"2008-03-07",0
"2008-03-08",16.8315
"2008-03-09",33.4114
"2008-03-10",10.3849
"2008-03-11",40.4515
"2008-03-12",46.3741
"2008-03-13",25.024
"2008-03-14",0.994
"2008-03-15",39.8133
"2008-03-16",23.3944
"2008-03-17",24.9423
"2008-03-18",4.6559
"2008-03-19",8.4008
"2008-03-20",6.0567
"2008-03-21",24.3804
"2008-03-22",0.7934
"2008-03-23",0
"2008-03-24",39.7271
"2008-03-25",0
"2008-03-26",8.3576
"2008-03-27",0
"2008-03-28",10.2835
"2008-03-29",7.46
"2008-03-30",20.2772
"2008-03-31",0.2816
"2008-04-01",10.6263
"2008-04-02",9.0287
"2008-04-03",3.5183
"2008-04-04",4.394
"2008-04-05",3.577
"2008-04-06",14.8665
"2008-04-07",13.0594
"2008-04-08",12.4272
"2008-04-09",12.6433
"2008-04-10",19.3614
"2008-04-11",11.1381
"2008-04-12",16.3025
"2008-04-13",9.7993
"2008-04-14",1.489
"2008-04-15",7.0026
"2008-04-16",3.6671
"2008-04-17",0.8668
"2008-04-18",0.5973
"2008-04-19",8.8261
"2008-04-20",1.225
"2008-04-21",0
"2008-04-22",0
"2008-04-23",0.4882
"2008-04-24",11.6526
"2008-04-25",0.2966
"2008-04-26",8.6888
"2008-04-27",18.9613
"2008-04-28",34.7366
"2008-04-29",6.0944
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0.0604
"2008-05-05",0
"2008-05-06",0
"2008-05-07",0
"2008-05-08",0
"2008-05-09",0.8652
"2008-05-10",0
"2008-05-11",0
"2008-05-12",4.6032
"2008-05-13",0.5213
"2008-05-14",0
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0.5038
"2008-05-21",5.1891
"2008-05-22",8.8627
"2008-05-23",1.5372
"2008-05-24",0.4845
"2008-05-25",6.0927
"2008-05-26",4.7384
"2008-05-27",9.7492
"2008-05-28",10.9758
"2008-05-29",4.8129
"2008-05-30",0
"2008-05-31",1.2821
"2008-06-01",10.8802
"2008-06-02",3.3763
"2008-06-03",2.9708
"2008-06-04",0.1473
"2008-06-05",0
"2008-06-06",3.9704
"2008-06-07",6.2322
"2008-06-08",6.5778
"2008-06-09",11.6993
"2008-06-10",1.1135
"2008-06-11",0
"2008-06-12",3.0273
"2008-06-13",0.1074
"2008-06-14",1.2451
"2008-06-15",0
"2008-06-16",0
"2008-06-17",2.5391
"2008-06-18",0
"2008-06-19",0
"2008-06-20",5.4921
"2008-06-21",2.5477
"2008-06-22",6.4847
"2008-06-23",0
"2008-06-24",0
