,"(mm) Precipitation (CHIRPS) at Matara, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0.1273
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",8.5449
"2007-01-10",18.8329
"2007-01-11",72.7271
"2007-01-12",11.9561
"2007-01-13",1.6966
"2007-01-14",0
"2007-01-15",0
"2007-01-16",0
"2007-01-17",1.638
"2007-01-18",5.1177
"2007-01-19",25.312
"2007-01-20",0
"2007-01-21",8.9792
"2007-01-22",0.5946
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",5.5483
"2007-01-27",34.2603
"2007-01-28",0
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0.4564
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0.002
"2007-02-11",3.424
"2007-02-12",0
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",0
"2007-02-18",0
"2007-02-19",0.3484
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",9.3344
"2007-02-25",29.0587
"2007-02-26",7.9055
"2007-02-27",3.3187
"2007-02-28",4.3176
"2007-03-01",0.1446
"2007-03-02",1.061
"2007-03-03",0.8141
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",0.4482
"2007-03-13",3.4503
"2007-03-14",0
"2007-03-15",3.023
"2007-03-16",15.4926
"2007-03-17",12.9801
"2007-03-18",1.1403
"2007-03-19",0.9126
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0.1041
"2007-03-23",0
"2007-03-24",20.5023
"2007-03-25",0.0331
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",4.4274
"2007-03-31",1.3163
"2007-04-01",9.1543
"2007-04-02",2.1867
"2007-04-03",18.9832
"2007-04-04",14.698
"2007-04-05",27.5836
"2007-04-06",34.6663
"2007-04-07",32.0286
"2007-04-08",39.04
"2007-04-09",38.2499
"2007-04-10",23.4541
"2007-04-11",26.8053
"2007-04-12",15.8348
"2007-04-13",19.9781
"2007-04-14",11.1997
"2007-04-15",1.1697
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0
"2007-04-19",1.9216
"2007-04-20",0
"2007-04-21",0
"2007-04-22",4.9099
"2007-04-23",16.8403
"2007-04-24",8.7031
"2007-04-25",13.9667
"2007-04-26",8.9893
"2007-04-27",20.3402
"2007-04-28",14.5943
"2007-04-29",2.8828
"2007-04-30",5.1772
"2007-05-01",0.834
"2007-05-02",0.7728
"2007-05-03",6.8168
"2007-05-04",1.8437
"2007-05-05",6.1352
"2007-05-06",3.5581
"2007-05-07",2.6558
"2007-05-08",0.0161
"2007-05-09",1.225
"2007-05-10",0
"2007-05-11",1.2818
"2007-05-12",13.3089
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0
"2007-05-21",0
"2007-05-22",0
"2007-05-23",1.7617
"2007-05-24",1.0363
"2007-05-25",0
"2007-05-26",0
"2007-05-27",0
"2007-05-28",109.224
"2007-05-29",4.4059
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0.3639
"2007-06-02",0
"2007-06-03",2.7651
"2007-06-04",0
"2007-06-05",20.065
"2007-06-06",0.6504
"2007-06-07",0
"2007-06-08",4.6528
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",10.36
"2007-06-13",6.1166
"2007-06-14",94.7041
"2007-06-15",33.2914
"2007-06-16",5.6266
"2007-06-17",19.2021
"2007-06-18",37.0735
"2007-06-19",33.508
"2007-06-20",16.679
"2007-06-21",67.6162
"2007-06-22",29.9149
"2007-06-23",12.1208
"2007-06-24",0.2259
"2007-06-25",0
"2007-06-26",19.2636
"2007-06-27",4.3064
"2007-06-28",9.4827
"2007-06-29",28.0059
"2007-06-30",1.4478
"2007-07-01",0.871
"2007-07-02",10.8947
"2007-07-03",4.4127
"2007-07-04",23.7832
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",0.1092
"2007-07-12",0
"2007-07-13",2.8735
"2007-07-14",1.237
"2007-07-15",12.3569
"2007-07-16",25.563
"2007-07-17",0
"2007-07-18",5.0916
"2007-07-19",1.1286
"2007-07-20",6.1009
"2007-07-21",0.0659
"2007-07-22",0
"2007-07-23",27.8469
"2007-07-24",4.742
"2007-07-25",0
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0
"2007-07-29",14.087
"2007-07-30",13.1388
"2007-07-31",0.4971
"2007-08-01",6.6179
"2007-08-02",13.3473
"2007-08-03",12.2503
"2007-08-04",0.4624
"2007-08-05",0
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",0
"2007-08-11",17.1121
"2007-08-12",0.8829
"2007-08-13",2.5547
"2007-08-14",0
"2007-08-15",0
"2007-08-16",0
"2007-08-17",0
"2007-08-18",13.8033
"2007-08-19",3.1748
"2007-08-20",0
"2007-08-21",3.8537
"2007-08-22",0
"2007-08-23",12.6069
"2007-08-24",4.5352
"2007-08-25",15.5008
"2007-08-26",11.4558
"2007-08-27",1.06
"2007-08-28",25.3987
"2007-08-29",8.3215
"2007-08-30",57.7785
"2007-08-31",52.811
"2007-09-01",15.2963
"2007-09-02",22.561
"2007-09-03",0
"2007-09-04",3.4379
"2007-09-05",16.5262
"2007-09-06",0
"2007-09-07",20.1052
"2007-09-08",0
"2007-09-09",26.8047
"2007-09-10",0
"2007-09-11",0.1789
"2007-09-12",3.4059
"2007-09-13",41.8211
"2007-09-14",0.8512
"2007-09-15",14.6967
"2007-09-16",17.5255
"2007-09-17",42.5188
"2007-09-18",9.2235
"2007-09-19",7.8493
"2007-09-20",5.5798
"2007-09-21",5.877
"2007-09-22",28.2098
"2007-09-23",0
"2007-09-24",0
"2007-09-25",5.7914
"2007-09-26",0
"2007-09-27",3.3743
"2007-09-28",18.8238
"2007-09-29",0
"2007-09-30",0
"2007-10-01",13.7149
"2007-10-02",44.7011
"2007-10-03",13.1409
"2007-10-04",0.5785
"2007-10-05",16.1959
"2007-10-06",57.5155
"2007-10-07",1.1587
"2007-10-08",1.7305
"2007-10-09",2.5921
"2007-10-10",4.7671
"2007-10-11",42.7694
"2007-10-12",0
"2007-10-13",0
"2007-10-14",8.7954
"2007-10-15",10.1522
"2007-10-16",17.1327
"2007-10-17",35.8283
"2007-10-18",27.8337
"2007-10-19",2.295
"2007-10-20",7.8369
"2007-10-21",13.1736
"2007-10-22",8.8511
"2007-10-23",9.2866
"2007-10-24",0
"2007-10-25",14.5059
"2007-10-26",26.4872
"2007-10-27",8.7252
"2007-10-28",4.0421
"2007-10-29",0.2245
"2007-10-30",0
"2007-10-31",0.701
"2007-11-01",19.855
"2007-11-02",13.3536
"2007-11-03",6.7258
"2007-11-04",10.396
"2007-11-05",20.8159
"2007-11-06",14.7242
"2007-11-07",13.1432
"2007-11-08",7.0037
"2007-11-09",9.8274
"2007-11-10",12.7465
"2007-11-11",12.7834
"2007-11-12",17.2927
"2007-11-13",12.5387
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",3.717
"2007-11-20",5.6458
"2007-11-21",0.8629
"2007-11-22",0
"2007-11-23",1.6595
"2007-11-24",8.4067
"2007-11-25",12.22
"2007-11-26",16.1929
"2007-11-27",0
"2007-11-28",0.1428
"2007-11-29",3.9599
"2007-11-30",0
"2007-12-01",0
"2007-12-02",2.6377
"2007-12-03",4.8585
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",1.7261
"2007-12-08",4.4005
"2007-12-09",6.0439
"2007-12-10",8.4844
"2007-12-11",5.9758
"2007-12-12",25.8273
"2007-12-13",0.091
"2007-12-14",25.0248
"2007-12-15",15.3065
"2007-12-16",11.9544
"2007-12-17",6.3065
"2007-12-18",5.3358
"2007-12-19",8.056
"2007-12-20",11.9026
"2007-12-21",27.2566
"2007-12-22",9.1492
"2007-12-23",21.0187
"2007-12-24",0
"2007-12-25",0.0979
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",8.5857
"2008-01-04",3.2425
"2008-01-05",0
"2008-01-06",13.9808
"2008-01-07",5.572
"2008-01-08",6.7601
"2008-01-09",6.9381
"2008-01-10",30.8246
"2008-01-11",0.2768
"2008-01-12",5.7582
"2008-01-13",11.8838
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",10.4541
"2008-01-22",0.7463
"2008-01-23",0
"2008-01-24",0.8064
"2008-01-25",11.4249
"2008-01-26",4.6546
"2008-01-27",6.7545
"2008-01-28",0.1061
"2008-01-29",0
"2008-01-30",0.1046
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0
"2008-02-06",11.5153
"2008-02-07",19.3713
"2008-02-08",7.3438
"2008-02-09",0
"2008-02-10",0
"2008-02-11",0.1177
"2008-02-12",19.7754
"2008-02-13",5.8368
"2008-02-14",12.3592
"2008-02-15",0.1687
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",15.1295
"2008-02-21",18.1577
"2008-02-22",2.5158
"2008-02-23",0
"2008-02-24",0.152
"2008-02-25",0
"2008-02-26",0
"2008-02-27",13.1721
"2008-02-28",0
"2008-02-29",0
"2008-03-01",0
"2008-03-02",4.1903
"2008-03-03",27.3375
"2008-03-04",11.7677
"2008-03-05",15.094
"2008-03-06",21.0975
"2008-03-07",2.1875
"2008-03-08",0
"2008-03-09",28.6154
"2008-03-10",5.603
"2008-03-11",30.6631
"2008-03-12",45.1725
"2008-03-13",5.48
"2008-03-14",54.9268
"2008-03-15",98.503
"2008-03-16",28.4389
"2008-03-17",40.8808
"2008-03-18",2.7693
"2008-03-19",31.9194
"2008-03-20",4.6994
"2008-03-21",0
"2008-03-22",0
"2008-03-23",0
"2008-03-24",10.0241
"2008-03-25",0
"2008-03-26",0.71
"2008-03-27",9.8353
"2008-03-28",13.1429
"2008-03-29",5.8017
"2008-03-30",3.024
"2008-03-31",1.9034
"2008-04-01",1.8303
"2008-04-02",13.5873
"2008-04-03",1.6863
"2008-04-04",6.6246
"2008-04-05",7.9217
"2008-04-06",13.0504
"2008-04-07",18.7973
"2008-04-08",21.354
"2008-04-09",15.8479
"2008-04-10",23.1791
"2008-04-11",11.6034
"2008-04-12",6.7538
"2008-04-13",7.0572
"2008-04-14",3.9826
"2008-04-15",11.2786
"2008-04-16",13.9539
"2008-04-17",0.3906
"2008-04-18",9.6064
"2008-04-19",7.1078
"2008-04-20",0
"2008-04-21",0
"2008-04-22",0
"2008-04-23",17.9756
"2008-04-24",15.6858
"2008-04-25",0.0633
"2008-04-26",5.8829
"2008-04-27",17.5777
"2008-04-28",43.8129
"2008-04-29",11.1349
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0.5905
"2008-05-04",8.3479
"2008-05-05",1.0846
"2008-05-06",0.1448
"2008-05-07",13.8719
"2008-05-08",6.9372
"2008-05-09",6.5814
"2008-05-10",0
"2008-05-11",0
"2008-05-12",3.0164
"2008-05-13",0
"2008-05-14",0.0326
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0
"2008-05-21",0
"2008-05-22",0.8408
"2008-05-23",10.7118
"2008-05-24",0
"2008-05-25",0
"2008-05-26",4.6117
"2008-05-27",14.3745
"2008-05-28",21.8797
"2008-05-29",31.8314
"2008-05-30",16.8614
"2008-05-31",7.5515
"2008-06-01",67.7767
"2008-06-02",23.7806
"2008-06-03",11.1594
"2008-06-04",0
"2008-06-05",0
"2008-06-06",3.8746
"2008-06-07",52.3173
"2008-06-08",43.6449
"2008-06-09",22.5494
"2008-06-10",0
"2008-06-11",0
"2008-06-12",3.9513
"2008-06-13",0.3508
"2008-06-14",15.2511
"2008-06-15",17.8784
"2008-06-16",0
"2008-06-17",15.8914
"2008-06-18",2.6461
"2008-06-19",0
"2008-06-20",0
"2008-06-21",0
"2008-06-22",15.2608
"2008-06-23",15.7724
"2008-06-24",26.8702
"2008-06-25",9.395
"2008-06-26",25.2211
"2008-06-27",0
"2008-06-28",0
"2008-06-29",0
"2008-06-30",0
"2008-07-01",1.1584
"2008-07-02",0
"2008-07-03",0
"2008-07-04",0
"2008-07-05",1.3121
"2008-07-06",31.4823
"2008-07-07",1.1283
"2008-07-08",0.2533
"2008-07-09",0
"2008-07-10",0
"2008-07-11",0
"2008-07-12",0.3937
"2008-07-13",0
"2008-07-14",0
"2008-07-15",37.3756
"2008-07-16",0
"2008-07-17",0
"2008-07-18",61.7354
"2008-07-19",0.2775
"2008-07-20",0
"2008-07-21",0
"2008-07-22",10.1916
"2008-07-23",7.0041
"2008-07-24",0
"2008-07-25",0.2262
"2008-07-26",0.5202
"2008-07-27",5.9212
"2008-07-28",13.549
"2008-07-29",24.1325
"2008-07-30",0
"2008-07-31",0
"2008-08-01",0.0461
"2008-08-02",7.5994
"2008-08-03",0.4635
"2008-08-04",0
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0
"2008-08-08",1.8821
"2008-08-09",0.9609
"2008-08-10",1.7304
"2008-08-11",0
"2008-08-12",6.5045
"2008-08-13",23.4761
"2008-08-14",0.7924
"2008-08-15",0
"2008-08-16",1.0684
"2008-08-17",1.7546
"2008-08-18",0.1185
"2008-08-19",0
"2008-08-20",0
"2008-08-21",5.5297
"2008-08-22",0
"2008-08-23",0
"2008-08-24",1.3198
"2008-08-25",18.9301
"2008-08-26",13.3213
"2008-08-27",14.2173
"2008-08-28",4.0538
"2008-08-29",17.4995
"2008-08-30",60.4362
"2008-08-31",7.3443
"2008-09-01",0
"2008-09-02",0
"2008-09-03",0.1876
"2008-09-04",18.021
"2008-09-05",47.511
"2008-09-06",0
"2008-09-07",19.5987
"2008-09-08",1.4569
"2008-09-09",0.1669
"2008-09-10",0
"2008-09-11",0
"2008-09-12",0
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0.0107
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",0.4755
"2008-09-26",0.1105
"2008-09-27",4.228
"2008-09-28",0
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0
"2008-10-03",0.0661
"2008-10-04",0.8089
"2008-10-05",0.1248
"2008-10-06",0.8476
"2008-10-07",5.6646
"2008-10-08",10.5981
"2008-10-09",6.4322
"2008-10-10",18.5291
"2008-10-11",38.8961
"2008-10-12",34.4146
"2008-10-13",1.7062
"2008-10-14",8.3804
"2008-10-15",0.0048
"2008-10-16",2.9203
"2008-10-17",16.7571
"2008-10-18",27.3873
"2008-10-19",46.6402
"2008-10-20",36.9691
"2008-10-21",26.4076
"2008-10-22",0
"2008-10-23",0
"2008-10-24",26.5336
"2008-10-25",37.3679
"2008-10-26",0.6105
"2008-10-27",3.653
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",1.7472
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",8.5762
"2008-11-08",6.8151
"2008-11-09",11.9754
"2008-11-10",23.1291
"2008-11-11",17.2359
"2008-11-12",7.9934
"2008-11-13",8.3765
"2008-11-14",4.0323
"2008-11-15",0.0498
"2008-11-16",0
"2008-11-17",0
"2008-11-18",7.4871
"2008-11-19",3.3726
"2008-11-20",30.2067
"2008-11-21",11.2931
"2008-11-22",27.8704
"2008-11-23",13.2945
"2008-11-24",34.4543
"2008-11-25",4.4384
"2008-11-26",22.9125
"2008-11-27",2.9491
"2008-11-28",37.4029
"2008-11-29",28.7235
"2008-11-30",15.7732
"2008-12-01",0.4828
"2008-12-02",5.5693
"2008-12-03",0
"2008-12-04",0
"2008-12-05",22.4194
"2008-12-06",13.583
"2008-12-07",0.6246
