,"(mm) Precipitation (CHIRPS) at Monaragala, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0.0979
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0.1158
"2007-01-09",51.4243
"2007-01-10",69.5028
"2007-01-11",116.5137
"2007-01-12",22.9545
"2007-01-13",0.2233
"2007-01-14",0
"2007-01-15",0
"2007-01-16",7.4776
"2007-01-17",4.2892
"2007-01-18",6.4582
"2007-01-19",7.6202
"2007-01-20",0
"2007-01-21",3.8148
"2007-01-22",1.5996
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",40.6346
"2007-01-27",11.5824
"2007-01-28",0.0167
"2007-01-29",0.0776
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0.084
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0
"2007-02-11",0.5887
"2007-02-12",0.8467
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0.0927
"2007-02-17",0.0693
"2007-02-18",0
"2007-02-19",0.5019
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0.1679
"2007-02-24",27.8616
"2007-02-25",8.6783
"2007-02-26",0
"2007-02-27",1.0643
"2007-02-28",0.3054
"2007-03-01",0
"2007-03-02",0.0134
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0.0308
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",7.669
"2007-03-13",0.014
"2007-03-14",0
"2007-03-15",4.6247
"2007-03-16",7.6174
"2007-03-17",1.1177
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",9.0612
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0
"2007-03-31",5.9964
"2007-04-01",5.4639
"2007-04-02",3.1539
"2007-04-03",11.0721
"2007-04-04",6.5863
"2007-04-05",28.2532
"2007-04-06",27.8464
"2007-04-07",30.1452
"2007-04-08",36.402
"2007-04-09",26.4765
"2007-04-10",26.7255
"2007-04-11",5.0707
"2007-04-12",25.6498
"2007-04-13",6.5884
"2007-04-14",2.4768
"2007-04-15",17.7077
"2007-04-16",4.0763
