,"(mm) Precipitation (CHIRPS) at Mullaitivu, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",0.185
"2007-01-10",3.2496
"2007-01-11",0.0094
"2007-01-12",0.0269
"2007-01-13",0
"2007-01-14",0
"2007-01-15",0
"2007-01-16",0.7377
"2007-01-17",4.0575
"2007-01-18",0
"2007-01-19",12.9628
"2007-01-20",7.8499
"2007-01-21",0.1391
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",24.3071
"2007-01-27",48.6246
"2007-01-28",0
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0.0304
"2007-02-11",0
"2007-02-12",0
"2007-02-13",0.725
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",1.488
"2007-02-18",0
"2007-02-19",0
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",4.7183
"2007-02-25",6.1332
"2007-02-26",0
"2007-02-27",0
"2007-02-28",0
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",0.0379
"2007-03-13",0
"2007-03-14",0
"2007-03-15",0
"2007-03-16",1.0694
"2007-03-17",0
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",0
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0.0406
"2007-03-31",17.3309
"2007-04-01",3.6364
"2007-04-02",1.6294
"2007-04-03",0.5102
"2007-04-04",0.3255
"2007-04-05",19.7901
"2007-04-06",22.6299
"2007-04-07",23.5192
"2007-04-08",0.8796
"2007-04-09",9.1722
"2007-04-10",9.7397
"2007-04-11",12.9278
"2007-04-12",0
"2007-04-13",0
"2007-04-14",0
"2007-04-15",6.2635
"2007-04-16",0.4425
"2007-04-17",0
"2007-04-18",0
"2007-04-19",3.675
"2007-04-20",5.6988
"2007-04-21",8.2382
"2007-04-22",5.7353
"2007-04-23",0.1663
"2007-04-24",0.9183
"2007-04-25",1.0432
"2007-04-26",4.1894
"2007-04-27",3.0142
"2007-04-28",0
"2007-04-29",7.1655
"2007-04-30",0
"2007-05-01",0
"2007-05-02",0
"2007-05-03",3.2664
"2007-05-04",2.6334
"2007-05-05",0.8841
"2007-05-06",0.0185
"2007-05-07",0
"2007-05-08",0
"2007-05-09",0
"2007-05-10",0
"2007-05-11",0
"2007-05-12",0
"2007-05-13",1.0331
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0
"2007-05-21",0
"2007-05-22",0
"2007-05-23",0.614
"2007-05-24",5.098
"2007-05-25",3.6358
"2007-05-26",0.3193
"2007-05-27",1.2993
"2007-05-28",8.3243
"2007-05-29",1.8314
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0
"2007-06-02",0.6154
"2007-06-03",0.2221
"2007-06-04",0.929
"2007-06-05",0.2669
"2007-06-06",0.0944
"2007-06-07",0.2115
"2007-06-08",0
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",0
"2007-06-13",0
"2007-06-14",0
"2007-06-15",0
"2007-06-16",0
"2007-06-17",0
"2007-06-18",0
"2007-06-19",0
"2007-06-20",0
"2007-06-21",0.0734
"2007-06-22",0.0515
"2007-06-23",0.0392
"2007-06-24",0
"2007-06-25",0
"2007-06-26",0.4971
"2007-06-27",1.8042
"2007-06-28",0.3066
"2007-06-29",0.1874
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0
"2007-07-03",0
"2007-07-04",0
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",2.1755
"2007-07-12",0.0262
"2007-07-13",1.753
"2007-07-14",0
"2007-07-15",0
"2007-07-16",0
"2007-07-17",0.5067
"2007-07-18",0.6558
"2007-07-19",0.4787
"2007-07-20",3.5234
"2007-07-21",1.7038
"2007-07-22",2.3755
"2007-07-23",2.8197
"2007-07-24",2.1983
"2007-07-25",2.3322
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0.1038
"2007-07-29",4.6231
"2007-07-30",5.2953
"2007-07-31",2.5245
"2007-08-01",2.3301
"2007-08-02",1.3397
"2007-08-03",1.3802
"2007-08-04",0.2251
"2007-08-05",0.0302
"2007-08-06",0.2728
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",3.4925
"2007-08-11",1.5855
"2007-08-12",2.6022
"2007-08-13",0.5199
"2007-08-14",0
"2007-08-15",0.8588
"2007-08-16",0.0107
"2007-08-17",0
"2007-08-18",0.2039
"2007-08-19",3.5199
"2007-08-20",1.6457
"2007-08-21",2.8722
"2007-08-22",2.4143
"2007-08-23",0.7672
"2007-08-24",4.3536
"2007-08-25",2.9186
"2007-08-26",0
"2007-08-27",0
"2007-08-28",0
"2007-08-29",0
"2007-08-30",0.0137
"2007-08-31",0
"2007-09-01",0.0103
"2007-09-02",0.9189
"2007-09-03",0.0965
"2007-09-04",0.4493
"2007-09-05",0
"2007-09-06",8.1349
"2007-09-07",1.9976
"2007-09-08",1.0616
"2007-09-09",4.6231
"2007-09-10",3.1891
"2007-09-11",9.499
"2007-09-12",0
"2007-09-13",2.8541
"2007-09-14",4.3766
"2007-09-15",3.4008
"2007-09-16",1.8765
"2007-09-17",2.4553
"2007-09-18",0.3969
"2007-09-19",0.5204
"2007-09-20",0.055
"2007-09-21",0.002
"2007-09-22",0
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",0
"2007-09-27",4.0338
"2007-09-28",6.0643
"2007-09-29",0
"2007-09-30",0.0275
"2007-10-01",0
"2007-10-02",0.0819
"2007-10-03",0
"2007-10-04",0.0397
"2007-10-05",0.0169
"2007-10-06",0
"2007-10-07",0
"2007-10-08",0
"2007-10-09",6.7849
"2007-10-10",9.8494
"2007-10-11",14.6606
"2007-10-12",19.8959
"2007-10-13",5.0907
"2007-10-14",19.6281
"2007-10-15",16.7809
"2007-10-16",23.7148
"2007-10-17",26.0974
"2007-10-18",19.1585
"2007-10-19",6.03
"2007-10-20",1.2353
"2007-10-21",15.0537
"2007-10-22",29.5151
"2007-10-23",19.1327
"2007-10-24",7.4597
"2007-10-25",13.5361
"2007-10-26",18.6945
"2007-10-27",25.3334
"2007-10-28",17.6363
"2007-10-29",0
"2007-10-30",6.6191
"2007-10-31",0
"2007-11-01",3.0317
"2007-11-02",7.2761
"2007-11-03",5.2619
"2007-11-04",7.4897
"2007-11-05",0
"2007-11-06",8.1214
"2007-11-07",27.009
"2007-11-08",0
"2007-11-09",0.3678
"2007-11-10",0.3352
"2007-11-11",1.1102
"2007-11-12",0
"2007-11-13",0.3299
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",6.3336
"2007-11-20",0.4098
"2007-11-21",24.2477
"2007-11-22",56.0453
"2007-11-23",16.0162
"2007-11-24",0
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",0
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0
"2007-12-08",6.9332
"2007-12-09",3.7054
"2007-12-10",14.8405
"2007-12-11",2.1678
"2007-12-12",38.3759
"2007-12-13",50.2121
"2007-12-14",19.5708
"2007-12-15",42.2843
"2007-12-16",49.7171
"2007-12-17",24.6219
"2007-12-18",63.8654
"2007-12-19",44.5904
"2007-12-20",22.5406
"2007-12-21",0
"2007-12-22",0
"2007-12-23",13.0626
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",16.7406
"2008-01-04",2.7024
"2008-01-05",2.3526
"2008-01-06",0
"2008-01-07",0
"2008-01-08",0
"2008-01-09",0.0463
"2008-01-10",0
"2008-01-11",0
"2008-01-12",0
"2008-01-13",0.0117
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",0.0282
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",0
"2008-01-26",0.5442
"2008-01-27",0
"2008-01-28",0.0897
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0.0214
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0
"2008-02-06",5.505
"2008-02-07",27.0967
"2008-02-08",6.6569
"2008-02-09",2.5264
"2008-02-10",7.317
"2008-02-11",0
"2008-02-12",0
"2008-02-13",1.7454
"2008-02-14",0
"2008-02-15",0
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0
"2008-02-21",0
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0
"2008-02-25",0
"2008-02-26",1.7122
"2008-02-27",8.2188
"2008-02-28",3.1757
"2008-02-29",17.6178
"2008-03-01",0.0325
"2008-03-02",0.4771
"2008-03-03",0
"2008-03-04",0
"2008-03-05",0
"2008-03-06",3.0988
"2008-03-07",0.4758
"2008-03-08",0
"2008-03-09",29.3684
"2008-03-10",27.7419
"2008-03-11",19.7838
"2008-03-12",15.9506
"2008-03-13",2.9839
"2008-03-14",4.31
"2008-03-15",8.1134
"2008-03-16",9.0343
"2008-03-17",6.4029
"2008-03-18",2.7836
"2008-03-19",3.9997
"2008-03-20",2.4106
"2008-03-21",12.9671
"2008-03-22",6.5091
"2008-03-23",12.3823
"2008-03-24",21.0285
"2008-03-25",3.2596
"2008-03-26",7.0082
"2008-03-27",1.1674
"2008-03-28",1.7804
"2008-03-29",1.9796
"2008-03-30",11.8787
"2008-03-31",3.3871
"2008-04-01",1.9288
"2008-04-02",11.7838
"2008-04-03",0.8489
"2008-04-04",2.0059
"2008-04-05",0
"2008-04-06",0
"2008-04-07",12.3498
"2008-04-08",7.0505
"2008-04-09",7.2116
"2008-04-10",2.1859
"2008-04-11",1.2904
"2008-04-12",9.9037
"2008-04-13",0.5057
"2008-04-14",0.4125
"2008-04-15",2.3812
"2008-04-16",2.2654
"2008-04-17",0.0196
"2008-04-18",1.266
"2008-04-19",0
"2008-04-20",1.5581
"2008-04-21",0
"2008-04-22",0
"2008-04-23",0.0016
"2008-04-24",5.8298
"2008-04-25",4.7989
"2008-04-26",1.2563
"2008-04-27",4.9707
"2008-04-28",1.7838
"2008-04-29",0
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",0
"2008-05-07",0
"2008-05-08",0
"2008-05-09",0
"2008-05-10",0
"2008-05-11",0
"2008-05-12",0
"2008-05-13",0.0904
"2008-05-14",0
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0
"2008-05-21",0
"2008-05-22",1.2181
"2008-05-23",0.0005
"2008-05-24",0
"2008-05-25",3.7776
"2008-05-26",0.1552
"2008-05-27",0
"2008-05-28",0.0046
"2008-05-29",0
"2008-05-30",0
"2008-05-31",3.7018
"2008-06-01",1.019
"2008-06-02",0.1451
"2008-06-03",0.0605
"2008-06-04",0
"2008-06-05",0
"2008-06-06",0.001
"2008-06-07",0.0441
"2008-06-08",0.1161
"2008-06-09",0.0728
"2008-06-10",0.095
"2008-06-11",0
"2008-06-12",0
"2008-06-13",0
"2008-06-14",0
"2008-06-15",0
"2008-06-16",0
"2008-06-17",0
"2008-06-18",0
"2008-06-19",0
"2008-06-20",0
"2008-06-21",0
"2008-06-22",0
"2008-06-23",0
"2008-06-24",0.0068
"2008-06-25",0
"2008-06-26",0
"2008-06-27",0.0094
"2008-06-28",0
"2008-06-29",0
"2008-06-30",0
"2008-07-01",0
"2008-07-02",0
"2008-07-03",0.0901
"2008-07-04",0.0001
"2008-07-05",0
"2008-07-06",0
"2008-07-07",0
