,"(mm) Precipitation (CHIRPS) at Nuwara Eliya, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",1.1346
"2007-01-10",27.4111
"2007-01-11",91.8944
"2007-01-12",13.6949
"2007-01-13",0.2259
"2007-01-14",0
"2007-01-15",0
"2007-01-16",2.0079
"2007-01-17",1.0226
"2007-01-18",9.2012
"2007-01-19",19.3444
"2007-01-20",0
"2007-01-21",3.4319
"2007-01-22",0.9917
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",13.7364
"2007-01-27",26.4525
"2007-01-28",0
"2007-01-29",1.9921
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0.0058
"2007-02-11",0.0379
"2007-02-12",0.1887
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",3.2674
"2007-02-18",0
"2007-02-19",0.7929
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",21.5125
"2007-02-25",12.0395
"2007-02-26",4.0852
"2007-02-27",1.2206
"2007-02-28",2.0826
"2007-03-01",0
"2007-03-02",0.5199
"2007-03-03",1.1773
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",5.25
"2007-03-13",1.1334
"2007-03-14",0
"2007-03-15",8.8875
"2007-03-16",5.1776
"2007-03-17",1.8704
"2007-03-18",0.0253
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",7.4946
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0.0559
"2007-03-31",24.0729
"2007-04-01",12.1093
"2007-04-02",10.7986
"2007-04-03",15.0506
"2007-04-04",13.8049
"2007-04-05",24.1642
"2007-04-06",42.6977
"2007-04-07",43.8576
"2007-04-08",50.452
"2007-04-09",25.7887
"2007-04-10",27.6209
"2007-04-11",12.9117
"2007-04-12",17.8931
"2007-04-13",11.3063
"2007-04-14",0
"2007-04-15",13.4939
"2007-04-16",0.0936
"2007-04-17",0
"2007-04-18",0
"2007-04-19",9.6006
"2007-04-20",0.7939
"2007-04-21",10.0204
"2007-04-22",11.1464
"2007-04-23",7.9329
"2007-04-24",10.2103
"2007-04-25",8.7132
"2007-04-26",12.6755
"2007-04-27",12.8637
"2007-04-28",5.557
"2007-04-29",12.9942
"2007-04-30",7.7843
"2007-05-01",0
"2007-05-02",1.2412
"2007-05-03",3.2795
"2007-05-04",8.2673
"2007-05-05",9.2903
"2007-05-06",9.4334
"2007-05-07",11.7239
"2007-05-08",1.5927
"2007-05-09",0.1872
"2007-05-10",0.7736
"2007-05-11",9.1328
"2007-05-12",11.05
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0.1002
"2007-05-20",0.7823
"2007-05-21",1.934
"2007-05-22",4.5587
"2007-05-23",6.2937
"2007-05-24",5.454
"2007-05-25",14.5634
"2007-05-26",1.187
"2007-05-27",21.9955
"2007-05-28",60.4529
"2007-05-29",1.0124
"2007-05-30",0
"2007-05-31",0.3188
"2007-06-01",0.1672
"2007-06-02",0
"2007-06-03",1.8813
"2007-06-04",17.9018
"2007-06-05",11.9795
"2007-06-06",11.0187
"2007-06-07",10.0818
"2007-06-08",0.2354
"2007-06-09",0
"2007-06-10",0
"2007-06-11",1.9068
"2007-06-12",11.4524
"2007-06-13",22.874
"2007-06-14",52.8177
"2007-06-15",65.2364
"2007-06-16",15.0705
"2007-06-17",8.6631
"2007-06-18",12.7841
"2007-06-19",31.2181
"2007-06-20",9.8541
"2007-06-21",51.768
"2007-06-22",41.7443
"2007-06-23",1.3748
"2007-06-24",15.4722
"2007-06-25",11.8049
"2007-06-26",25.5004
"2007-06-27",0.307
"2007-06-28",22.4312
"2007-06-29",0.6554
"2007-06-30",0
"2007-07-01",1.3143
"2007-07-02",0.2818
"2007-07-03",23.2974
"2007-07-04",12.2368
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",12.4308
"2007-07-12",11.9572
"2007-07-13",0
"2007-07-14",0
"2007-07-15",0.0975
"2007-07-16",1.9709
"2007-07-17",6.5036
"2007-07-18",11.5808
"2007-07-19",21.2388
"2007-07-20",12.1495
"2007-07-21",5.8024
"2007-07-22",9.498
"2007-07-23",36.8125
"2007-07-24",14.9964
"2007-07-25",3.0381
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0
"2007-07-29",26.0066
"2007-07-30",14.7393
"2007-07-31",9.7002
"2007-08-01",0.7328
"2007-08-02",8.3677
"2007-08-03",0
"2007-08-04",0
"2007-08-05",0
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",1.8868
"2007-08-10",7.8538
"2007-08-11",14.7689
"2007-08-12",4.9197
"2007-08-13",0.0789
"2007-08-14",0
"2007-08-15",0.5664
"2007-08-16",4.4697
"2007-08-17",0.0123
"2007-08-18",1.4828
"2007-08-19",12.9241
"2007-08-20",2.089
"2007-08-21",2.4562
"2007-08-22",9.9631
"2007-08-23",16.0181
"2007-08-24",18.3193
"2007-08-25",20.1284
"2007-08-26",8.4204
"2007-08-27",21.6121
"2007-08-28",19.4954
"2007-08-29",16.6009
"2007-08-30",43.3074
"2007-08-31",31.1662
"2007-09-01",1.5395
"2007-09-02",0.0119
"2007-09-03",0.3082
"2007-09-04",6.1839
"2007-09-05",16.7228
"2007-09-06",0.4992
"2007-09-07",27.314
"2007-09-08",8.4702
"2007-09-09",27.9579
"2007-09-10",0
"2007-09-11",17.7971
"2007-09-12",8.4063
"2007-09-13",11.0641
"2007-09-14",0
"2007-09-15",8.5007
"2007-09-16",7.4648
"2007-09-17",18.5687
"2007-09-18",4.1979
"2007-09-19",0.2818
"2007-09-20",0.4056
"2007-09-21",0
"2007-09-22",5.1592
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",6.2861
"2007-09-27",7.9734
"2007-09-28",7.1971
"2007-09-29",1.9494
"2007-09-30",0
"2007-10-01",0.7709
"2007-10-02",5.5509
"2007-10-03",11.3554
"2007-10-04",0.2513
"2007-10-05",1.1231
"2007-10-06",11.0011
"2007-10-07",0
"2007-10-08",0
"2007-10-09",7.7564
"2007-10-10",18.5306
"2007-10-11",14.6645
"2007-10-12",9.5333
"2007-10-13",9.5703
"2007-10-14",20.7804
"2007-10-15",23.171
"2007-10-16",17.0318
"2007-10-17",11.83
"2007-10-18",5.928
"2007-10-19",10.6737
"2007-10-20",6.4583
"2007-10-21",5.17
"2007-10-22",10.4911
"2007-10-23",10.2411
"2007-10-24",19.4586
"2007-10-25",24.4506
"2007-10-26",25.1877
"2007-10-27",16.371
"2007-10-28",0
"2007-10-29",0
"2007-10-30",0
"2007-10-31",0.3428
"2007-11-01",15.3848
"2007-11-02",13.9431
"2007-11-03",5.9884
"2007-11-04",12.9225
"2007-11-05",17.4681
"2007-11-06",9.7712
"2007-11-07",13.2825
"2007-11-08",6.0778
"2007-11-09",1.9851
"2007-11-10",4.3658
"2007-11-11",1.6565
"2007-11-12",20.0407
"2007-11-13",0.1357
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",5.8592
"2007-11-20",5.7277
"2007-11-21",3.902
"2007-11-22",7.029
"2007-11-23",17.0489
"2007-11-24",13.7324
"2007-11-25",1.8012
"2007-11-26",0
"2007-11-27",0
"2007-11-28",2.6956
"2007-11-29",5.0929
"2007-11-30",0
"2007-12-01",0
"2007-12-02",3.5769
"2007-12-03",3.2146
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0.1178
"2007-12-08",1.9225
"2007-12-09",15.0057
"2007-12-10",1.9862
"2007-12-11",7.8866
"2007-12-12",23.696
"2007-12-13",8.3784
"2007-12-14",27.1957
"2007-12-15",42.1083
"2007-12-16",15.0782
"2007-12-17",4.7422
"2007-12-18",4.3265
"2007-12-19",17.8204
"2007-12-20",25.2467
"2007-12-21",13.7682
"2007-12-22",27.3497
"2007-12-23",9.0128
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",3.4831
"2008-01-04",6.8197
"2008-01-05",0
"2008-01-06",0.1532
"2008-01-07",0.9446
"2008-01-08",21.5321
"2008-01-09",20.9195
"2008-01-10",15.5822
"2008-01-11",2.2396
"2008-01-12",16.1072
"2008-01-13",4.3589
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",6.9133
"2008-01-22",1.0074
"2008-01-23",0
"2008-01-24",0
"2008-01-25",9.4037
"2008-01-26",4.7627
"2008-01-27",2.1993
"2008-01-28",6.7216
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0.8915
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0.6648
"2008-02-06",15.5396
"2008-02-07",15.0387
"2008-02-08",16.2916
"2008-02-09",2.778
"2008-02-10",5.103
"2008-02-11",1.5708
"2008-02-12",4.0001
"2008-02-13",1.4019
"2008-02-14",0
"2008-02-15",0.3465
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",5.6841
"2008-02-21",0.3588
"2008-02-22",0.0156
"2008-02-23",0
"2008-02-24",2.4137
"2008-02-25",0
"2008-02-26",0
"2008-02-27",24.6983
"2008-02-28",0.212
"2008-02-29",5.6283
"2008-03-01",1.8434
"2008-03-02",14.2797
"2008-03-03",18.9471
"2008-03-04",19.9568
"2008-03-05",19.556
"2008-03-06",26.3209
"2008-03-07",0
"2008-03-08",7.7888
"2008-03-09",24.7323
"2008-03-10",9.876
"2008-03-11",37.2659
"2008-03-12",70.9178
"2008-03-13",30.6621
"2008-03-14",14.65
"2008-03-15",56.3602
"2008-03-16",32.8723
"2008-03-17",35.8051
"2008-03-18",17.8883
"2008-03-19",4.8357
"2008-03-20",0
"2008-03-21",1.8261
"2008-03-22",0.5402
"2008-03-23",0
"2008-03-24",28.2124
"2008-03-25",1.8203
"2008-03-26",2.9194
"2008-03-27",6.0231
"2008-03-28",14.5275
"2008-03-29",9.1437
"2008-03-30",18.0472
"2008-03-31",6.2303
"2008-04-01",9.2526
"2008-04-02",17.9196
"2008-04-03",9.8637
"2008-04-04",8.424
"2008-04-05",12.3633
"2008-04-06",14.8749
"2008-04-07",15.9394
"2008-04-08",17.1914
"2008-04-09",18.0935
"2008-04-10",23.1955
"2008-04-11",22.8255
"2008-04-12",17.5948
"2008-04-13",11.9489
"2008-04-14",11.1239
"2008-04-15",5.9103
"2008-04-16",19.9288
"2008-04-17",7.0989
"2008-04-18",4.674
"2008-04-19",17.0977
"2008-04-20",7.8471
"2008-04-21",0
"2008-04-22",0.7269
"2008-04-23",7.8759
"2008-04-24",14.4688
"2008-04-25",0.3794
"2008-04-26",1.6618
"2008-04-27",23.8951
"2008-04-28",42.659
"2008-04-29",6.4609
"2008-04-30",0
"2008-05-01",0.8276
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0.1277
"2008-05-06",4.2461
"2008-05-07",1.4995
"2008-05-08",1.9545
"2008-05-09",0.8463
"2008-05-10",0
"2008-05-11",0
"2008-05-12",7.2746
"2008-05-13",2.5774
"2008-05-14",0.7878
"2008-05-15",0.7866
"2008-05-16",0.0275
"2008-05-17",0
"2008-05-18",0.108
"2008-05-19",0.6489
"2008-05-20",4.9911
"2008-05-21",0.9254
"2008-05-22",19.3393
"2008-05-23",4.4426
"2008-05-24",0
"2008-05-25",10.0116
"2008-05-26",9.8317
"2008-05-27",12.7581
"2008-05-28",11.8599
"2008-05-29",2.2712
"2008-05-30",6.9864
"2008-05-31",2.645
"2008-06-01",26.8941
"2008-06-02",18.0624
"2008-06-03",1.9102
"2008-06-04",5.0313
"2008-06-05",3.5754
"2008-06-06",12.0844
"2008-06-07",38.7504
"2008-06-08",25.3875
