,"(mm) Precipitation (CHIRPS) at Puttalam, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",9.9239
"2007-01-10",0.1443
"2007-01-11",4.5311
"2007-01-12",2.3716
"2007-01-13",0
"2007-01-14",0
"2007-01-15",0
"2007-01-16",1.1063
"2007-01-17",8.2203
"2007-01-18",0.7384
"2007-01-19",17.0017
"2007-01-20",0
"2007-01-21",2.2026
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",0.3825
"2007-01-27",6.0895
"2007-01-28",0
"2007-01-29",0.0476
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0.0104
"2007-02-11",0
"2007-02-12",0
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",0.0757
"2007-02-18",0.073
"2007-02-19",0.0439
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",1.5372
"2007-02-25",7.2194
"2007-02-26",0.8105
"2007-02-27",0
"2007-02-28",0.0077
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",1.1344
"2007-03-13",2.3824
"2007-03-14",0
"2007-03-15",6.231
"2007-03-16",5.0445
"2007-03-17",0
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",5.2542
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0.3153
"2007-03-31",23.1189
"2007-04-01",21.1212
"2007-04-02",0.0094
"2007-04-03",2.2396
"2007-04-04",11.681
"2007-04-05",19.3463
"2007-04-06",36.7021
"2007-04-07",30.478
"2007-04-08",19.6484
"2007-04-09",20.9293
"2007-04-10",26.8713
"2007-04-11",43.6917
"2007-04-12",0.0033
"2007-04-13",3.8101
"2007-04-14",0.0191
"2007-04-15",0.002
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0
"2007-04-19",0
"2007-04-20",6.9096
"2007-04-21",12.9202
"2007-04-22",11.5853
"2007-04-23",2.5765
"2007-04-24",3.0345
"2007-04-25",11.6286
"2007-04-26",23.7934
"2007-04-27",13.5376
"2007-04-28",9.5031
"2007-04-29",19.567
"2007-04-30",0
"2007-05-01",0.0008
"2007-05-02",0.1072
"2007-05-03",2.938
"2007-05-04",5.0442
"2007-05-05",0.0987
"2007-05-06",0.001
"2007-05-07",0.6004
"2007-05-08",0.7098
"2007-05-09",14.3756
"2007-05-10",0.9559
"2007-05-11",0
"2007-05-12",1.457
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0.5196
"2007-05-20",0
"2007-05-21",0
"2007-05-22",0
"2007-05-23",4.2033
"2007-05-24",12.7233
"2007-05-25",0.0614
"2007-05-26",0
"2007-05-27",9.6124
"2007-05-28",11.0579
"2007-05-29",6.982
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0
"2007-06-02",0
"2007-06-03",0.0013
"2007-06-04",6.4912
"2007-06-05",3.5062
"2007-06-06",2.9894
"2007-06-07",1.5067
"2007-06-08",0.1216
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",1.5997
"2007-06-13",6.5189
"2007-06-14",13.6709
"2007-06-15",19.264
"2007-06-16",2.2377
"2007-06-17",0.9718
"2007-06-18",8.3732
"2007-06-19",6.1069
"2007-06-20",3.7998
"2007-06-21",12.2238
"2007-06-22",17.0399
"2007-06-23",5.6783
"2007-06-24",0
"2007-06-25",0
"2007-06-26",0.0519
"2007-06-27",4.8002
"2007-06-28",9.186
"2007-06-29",0.0138
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0.3841
"2007-07-03",0.6779
"2007-07-04",0
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",0.8594
"2007-07-12",0.0835
"2007-07-13",0.0108
"2007-07-14",0
"2007-07-15",0.0092
"2007-07-16",0.3913
"2007-07-17",0
"2007-07-18",0.7697
"2007-07-19",4.2342
"2007-07-20",1.5994
"2007-07-21",0.0015
"2007-07-22",0.0366
"2007-07-23",6.1325
"2007-07-24",3.2938
"2007-07-25",0.5688
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0.5687
"2007-07-29",3.8601
"2007-07-30",3.2088
"2007-07-31",0.172
"2007-08-01",1.4045
"2007-08-02",1.7426
"2007-08-03",0.8182
"2007-08-04",0.2388
"2007-08-05",5.1468
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",0.6601
"2007-08-11",1.7638
"2007-08-12",0.8912
"2007-08-13",0
"2007-08-14",0
"2007-08-15",0.4971
"2007-08-16",0.1089
"2007-08-17",0.406
"2007-08-18",0.5861
"2007-08-19",2.0756
"2007-08-20",0.0007
"2007-08-21",1.6415
"2007-08-22",1.4279
"2007-08-23",3.4202
"2007-08-24",4.2203
"2007-08-25",0.5533
"2007-08-26",0.0153
"2007-08-27",0
"2007-08-28",0.4612
"2007-08-29",0.8797
"2007-08-30",3.0011
"2007-08-31",1.0628
"2007-09-01",0.0514
"2007-09-02",0.4442
"2007-09-03",0.1169
"2007-09-04",3.1166
"2007-09-05",0.6274
"2007-09-06",0.5368
"2007-09-07",14.3579
"2007-09-08",10.6029
"2007-09-09",12.0686
"2007-09-10",0
"2007-09-11",2.6215
"2007-09-12",3.2203
"2007-09-13",0.9186
"2007-09-14",1.0717
"2007-09-15",1.3592
"2007-09-16",0.8774
"2007-09-17",1.6892
"2007-09-18",0.6033
"2007-09-19",0.0822
"2007-09-20",0
"2007-09-21",0.0025
"2007-09-22",0.0927
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",0
"2007-09-27",0.5001
"2007-09-28",0.7047
"2007-09-29",0
"2007-09-30",0.1132
"2007-10-01",0.7171
"2007-10-02",1.1895
"2007-10-03",3.1874
"2007-10-04",0.3528
"2007-10-05",0.0823
"2007-10-06",0.0485
"2007-10-07",0
"2007-10-08",4.1319
"2007-10-09",0.7584
"2007-10-10",37.823
"2007-10-11",13.5834
"2007-10-12",8.9843
"2007-10-13",17.9494
"2007-10-14",18.8102
"2007-10-15",17.4186
"2007-10-16",29.9732
"2007-10-17",20.9342
"2007-10-18",14.7695
"2007-10-19",15.4231
"2007-10-20",3.638
"2007-10-21",1.7314
"2007-10-22",12.7754
"2007-10-23",5.2605
"2007-10-24",21.3323
"2007-10-25",19.9168
"2007-10-26",24.2988
"2007-10-27",10.1019
"2007-10-28",6.3335
"2007-10-29",0.1705
"2007-10-30",0.38
"2007-10-31",0
"2007-11-01",10.3632
"2007-11-02",6.5381
"2007-11-03",10.1385
"2007-11-04",13.4977
"2007-11-05",7.5135
"2007-11-06",13.3011
"2007-11-07",14.6398
"2007-11-08",6.3862
"2007-11-09",0.5937
"2007-11-10",2.1217
"2007-11-11",0.5131
"2007-11-12",2.6038
"2007-11-13",0.0612
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",14.1412
"2007-11-20",6.0653
"2007-11-21",17.5936
"2007-11-22",16.493
"2007-11-23",8.2726
"2007-11-24",0.0031
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",1.5072
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0.1837
"2007-12-08",1.6907
"2007-12-09",1.2163
"2007-12-10",1.2272
"2007-12-11",0.3622
"2007-12-12",13.555
"2007-12-13",15.2761
"2007-12-14",9.115
"2007-12-15",13.5267
"2007-12-16",9.8826
"2007-12-17",12.3968
"2007-12-18",19.5986
"2007-12-19",5.662
"2007-12-20",9.1669
"2007-12-21",16.1905
"2007-12-22",36.8886
"2007-12-23",22.9633
"2007-12-24",0
"2007-12-25",0.1968
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",8.7899
"2008-01-04",3.5373
"2008-01-05",0.003
"2008-01-06",0
"2008-01-07",0
"2008-01-08",0
"2008-01-09",2.6889
"2008-01-10",0.0589
"2008-01-11",0
"2008-01-12",0.4339
"2008-01-13",3.6662
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",0
"2008-01-22",0.0016
"2008-01-23",0
"2008-01-24",0
"2008-01-25",3.4494
"2008-01-26",5.1238
"2008-01-27",1.4365
"2008-01-28",0
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0.1084
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0
"2008-02-06",4.5249
"2008-02-07",18.2609
"2008-02-08",7.7767
"2008-02-09",4.2822
"2008-02-10",4.0415
"2008-02-11",5.4617
"2008-02-12",4.9594
"2008-02-13",6.5487
"2008-02-14",0
"2008-02-15",0.0162
"2008-02-16",0.0314
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0
"2008-02-21",0.7603
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0
"2008-02-25",0
"2008-02-26",0
"2008-02-27",7.0573
"2008-02-28",0.1018
"2008-02-29",18.7085
"2008-03-01",0.795
"2008-03-02",7.5446
"2008-03-03",6.9687
"2008-03-04",6.5946
"2008-03-05",6.5445
"2008-03-06",12.0103
"2008-03-07",0
"2008-03-08",0
"2008-03-09",43.8852
"2008-03-10",29.736
"2008-03-11",13.3538
"2008-03-12",30.0763
"2008-03-13",15.8232
"2008-03-14",12.124
"2008-03-15",22.998
"2008-03-16",11.9283
"2008-03-17",10.1356
"2008-03-18",5.6865
"2008-03-19",5.2945
"2008-03-20",5.8047
"2008-03-21",19.3108
"2008-03-22",21.0383
"2008-03-23",8.4112
"2008-03-24",49.4579
"2008-03-25",0
"2008-03-26",5.932
"2008-03-27",2.4697
"2008-03-28",9.5942
"2008-03-29",6.575
"2008-03-30",4.255
"2008-03-31",3.8995
"2008-04-01",0
"2008-04-02",2.897
"2008-04-03",0.0022
"2008-04-04",1.1324
"2008-04-05",2.8958
"2008-04-06",15.9337
"2008-04-07",20.6828
"2008-04-08",10.9671
"2008-04-09",16.2844
"2008-04-10",14.1699
"2008-04-11",14.4639
"2008-04-12",18.0182
"2008-04-13",12.4553
"2008-04-14",9.9261
"2008-04-15",14.9018
"2008-04-16",6.7502
"2008-04-17",4.3199
"2008-04-18",8.8854
"2008-04-19",5.3623
"2008-04-20",0
"2008-04-21",0
"2008-04-22",0
"2008-04-23",0
"2008-04-24",6.4653
"2008-04-25",9.6892
"2008-04-26",16.9345
"2008-04-27",14.0518
"2008-04-28",22.4325
"2008-04-29",5.8193
"2008-04-30",0
"2008-05-01",0.4777
"2008-05-02",0
"2008-05-03",0.0007
"2008-05-04",0.0007
"2008-05-05",0
"2008-05-06",0.0239
"2008-05-07",0.0444
"2008-05-08",0
"2008-05-09",1.4738
"2008-05-10",0.0007
"2008-05-11",0.0006
"2008-05-12",1.2955
"2008-05-13",0.6625
"2008-05-14",0.0427
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0.2077
"2008-05-20",0.311
"2008-05-21",0
"2008-05-22",2.4406
"2008-05-23",6.9149
"2008-05-24",0
"2008-05-25",0
"2008-05-26",0.7086
"2008-05-27",6.7714
"2008-05-28",5.3845
"2008-05-29",0.8753
"2008-05-30",0.4333
"2008-05-31",3.9417
"2008-06-01",9.2693
"2008-06-02",1.5108
"2008-06-03",1.2712
"2008-06-04",0.0001
"2008-06-05",0.1132
"2008-06-06",1.0651
"2008-06-07",4.408
"2008-06-08",6.0397
"2008-06-09",4.3145
"2008-06-10",1.3273
"2008-06-11",0.101
"2008-06-12",2.9372
"2008-06-13",0.0465
"2008-06-14",0.3559
"2008-06-15",0
"2008-06-16",0
"2008-06-17",0.9632
